jiᶽan tiᶽ	trad	detail	调类	
芈	芈		miᶽ1	
芈	羋		miᶽ1	
猕	獼		miᶽ2	
弭	弭		miᶽ1	
縻	縻		miᶽ2	
味	味	（白）～道	miᶽ6	
非	非		fiᶽ1	
啡	啡		fiᶽ1	
飞	飛		fiᶽ1	
妃	妃		fiᶽ1	
鲱	鯡		fiᶽ1	
扉	扉		fiᶽ1	
绯	緋		fiᶽ1	
霏	霏		fiᶽ1	
菲	菲		fiᶽ1	
斐	斐		fiᶽ1	
匪	匪		fiᶽ1	
诽	誹		fiᶽ1	
蜚	蜚		fiᶽ5	
费	費	消～	fiᶽ5	
费	費	姓	viᶽ6	
屝	屝		viᶽ6	
翡	翡		fiᶽ5	
废	廢		fiᶽ5	
肺	肺		fiᶽ5	
吠	吠		fiᶽ5	
沸	沸	～騰	fiᶽ5	
芾	芾	《詩·召南》蔽芾甘棠	fiᶽ5	
腓	腓		viᶽ2	
淝	淝		viᶽ2	
维	維		viᶽ2	
惟	惟		viᶽ2	
唯	唯		viᶽ2	
肥	肥	（文）	viᶽ2	
微	微		viᶽ2	
薇	薇	（白）薔～花	biᶽ2	
薇	薇	（文）	viᶽ2	
未	未		viᶽ6	
味	味	（文）～精	viᶽ6	
低	低		tiᶽ1	
底	底		tiᶽ1	
邸	邸		tiᶽ1	
抵	抵	～抗	tiᶽ1	
抵	牴	～觸	tiᶽ1	
抵	觝	～觸	tiᶽ1	
砥	砥	中流～柱	tiᶽ1	
帝	帝		tiᶽ5	
蒂	蒂		tiᶽ5	
梯	梯		tʰiᶽ1	
涕	涕	鼻～	tʰiᶽ1	
屉	屉		tʰiᶽ5	
屉	屜		tʰiᶽ5	
笹	笹	同屜	tʰiᶽ5	
体	體		tʰiᶽ1	
体	体	俗體字	tʰiᶽ1	
躰	躰	俗體字	tʰiᶽ1	
軆	軆	俗體字	tʰiᶽ1	
骵	骵	俗體字	tʰiᶽ1	
剃	剃	～頭	tʰiᶽ5	
剃	薙	～頭	tʰiᶽ5	
鬄	鬄		tʰiᶽ5	
剃	鬀	～頭	tʰiᶽ5	
替	替		tʰiᶽ5	
达	达	达，滑也	tʰiᶽ5	
堤	堤		diᶽ2	
题	題		diᶽ2	
提	提		diᶽ2	
醍	醍	～醐	diᶽ2	
鹈	鵜	～鶘	diᶽ2	
蹄	蹄		diᶽ2	
蹄	蹏		diᶽ2	
啼	啼		diᶽ2	
啼	嗁		diᶽ2	
娣	娣		diᶽ6	
睇	睇		diᶽ6	
弟	弟		diᶽ6	
第	第		diᶽ6	
递	遞		diᶽ6	
隶	隸		diᶽ6	
隶	隷		diᶽ6	
棣	棣		diᶽ6	
地	地		diᶽ6	
驴	驢		liᶽ2	
犁	犁		liᶽ2	
犁	犂		liᶽ2	
黎	黎		liᶽ2	
黎	㴝		liᶽ2	
鹂	鸝		liᶽ2	
离	離		liᶽ2	
漓	漓	淋～	liᶽ2	
漓	灕	～江（廣西水名）	liᶽ2	
篱	籬		liᶽ2	
璃	璃		liᶽ2	
璃	瓈		liᶽ2	
梨	梨		liᶽ2	
梨	棃		liᶽ2	
厘	厘	俗作釐省	liᶽ2	
厘	釐		liᶽ2	
嫠	嫠		liᶽ2	
狸	狸		liᶽ2	
狸	貍		liᶽ2	
罹	罹		liᶽ2	
蠡	蠡		liᶽ2	
蠡	蠡		liᶽ1	
吕	呂		liᶽ1	
吕	吕		liᶽ1	
旅	旅		liᶽ1	
缕	縷		liᶽ1	
屡	屢		liᶽ1	
礼	禮		liᶽ1	
李	李		liᶽ1	
里	里	公～	liᶽ1	
里	裏	～向：裏面	liᶽ1	
里	裡	俗裏字	liᶽ1	
哩	哩		liᶽ1	
理	理		liᶽ1	
俚	俚		liᶽ1	
娌	娌	妯～	liᶽ1	
鲤	鯉		liᶽ1	
锂	鋰		liᶽ1	
鳢	鱧		liᶽ1	
醴	醴		liᶽ1	
澧	澧		liᶽ1	
滤	濾		liᶽ6	
虑	慮		liᶽ6	
例	例		liᶽ6	
厉	厲		liᶽ6	
励	勵		liᶽ6	
戾	戾		liᶽ6	
盭	盭		liᶽ6	
丽	麗		liᶽ6	
俪	儷		liᶽ6	
骊	驪		liᶽ2	
郦	酈		liᶽ6	
莅	莅		liᶽ6	
莅	蒞		liᶽ6	
涖	涖		liᶽ6	
履	履		liᶽ6	
利	利		liᶽ6	
莉	莉		liᶽ6	
詈	詈		liᶽ6	
俐	俐	伶～	liᶽ6	
蜊	蜊	蛤～	liᶽ6	
