聲母	韻母	陰平24	陽平21	陰上55	陽上35	陰去33	陽去22
l	an	24單(~獨)丹	21蘭攔欄			33懶誕旦	22爛
ɬ	an			55散(~亂)		33散(解~)傘篡	
ʦ	an			55盏	35*棧		22攢綻賺
ʦʰ	an			55産鏟			
s	an	24山珊刪閂	21孱潺(滑~~)			33疝(~氣)	
k	an	24奸艱間(中~)		55簡柬		33間(~斷)諫澗鐧襇	
ŋ	an		21顔磑[磨研]	55眼(一~蔗)[一節甘蔗]			22雁
h	an	24慳[節約](~錢)	21閑嫻				22限恨[不喜歡]莧(~菜)
ʔ	an					33晏	
k	wan	24關鳏					22摜[拿]
ɓ	aŋ		21棚嘭				
pʰ	aŋ	24烹抨(~開)[分開]	21鵬膨彭	55𨭌(飯~)[盛飯帶飯的用具]	35棒	33□(~去~來)[懸挂著的東西因外力作用而搖來搖去]	
m	aŋ		21盲	55□(瘦~~)		33猛	22孟
w	aŋ		21横	55□(天~開)[天放晴了]			
n	aŋ						22□(~衫)[縫衣服]
l	aŋ					33冷[寒冷]	
ʦ	aŋ	24爭踭(腳~)[腳後跟]箏				33猙(猛~)[很能幹]	22脹(~飯)[吃飯，一種不太客氣地說法]
ʦʰ	aŋ	24撑(~船)	21睜(~眼)	55鐺[用來煮東西的炊具,但不是鍋]	35*橙	33蹭撐(~住)[頂住]牚(椅~)睜	
s	aŋ	24生牲笙甥		55省			
k	aŋ	24耕更(五~)庚羹埂		55粳(~米)		33更(加)	
ŋ	aŋ						22硬
h	aŋ	24坑亨	21行(~爲)衡恒	55亨(老~)[對老人的一種不禮貌的稱呼]			22幸杏行(品~)
ʔ	aŋ	24蔦					
j	aŋ					33牚[用腳把物件蹬開]	
k	waŋ			55梗[蔬菜等植物的梗部、莖部]			
kʰ	waŋ		21纊(~頸)[用(圍巾)圍住脖子]				
ɗ	ap			5嗒[含咂](~~味)[一種果脯類的零食]			2踏揚搨(~本)遝(一~紙)雜
tʰ	ap					3塌塔榻塌溻	
n	ap					3□[跨]	2納
l	ap					3答搭擸(~高件衫)[把穿在身上的上衣向上翻起]	2蠟臘
ɬ	ap					3霎(~下眼)[一眨眼功夫，一轉眼功夫]□(冇離踏~)	
ʦ	ap					3紮(~馬)蹲马步	2閘
ʦʰ	ap					3插	
s	ap			5□(~頭髮)[剪頭髮]		3唼(~氣)	2煠[用清水煮](~雞蛋)
k	ap			5甲		3夾(~衲)[一種小夾衣]裌胛	
h	ap			5恰			2合盒
ʔ	ap				35鴨		
j	ap			5悒(鬼鬼~~)[鬼鬼祟祟]		3□[悄悄地藏在身上]	2挹(~手)[招手示意别人過來]
ɓ	at						2拔
pʰ	at				35坺[量詞](一~泥)	3癟[癟的意思]	2□(靜~~)[靜悄悄]
m	at						2襪
f	at			5法髮		3發	2罰筏乏伐
w	at					3挖[舊]	2滑[舊]
ɗ	at						2達
tʰ	at					3□[懶洋洋地坐著]	
n	at					3焫[熱，燙手的意思]	2捺
l	at					3瘌	2辣
ɬ	at					3撒(~網)薩	
ʦ	at					3紮軋劄	2□(~開)[掃開]
ʦʰ	at					3察擦獺刷	
s	at					3殺	2□[用掃帚就著水來回地使勁掃]
kʰ	at					3擖(~傷)[擦傷]	
ŋ	at					3餲[尿發出的臊味]	2齧[吃，一種不太雅觀的吃法]
ʔ	at					3壓押	
ɓ	ak						2白帛
pʰ	ak			5帕魄		3拍	
