	注释：白-，文=
m	[1]妈吗[2]麻麻蟆[3]马码玛[5]骂[7]嬷{唔～：祖母}蚂□{凹下}[8]墨麦脉𢫦{打}
f	[1]花哗[2]华样哗[3]法发髪血划{～标}[5]化[6]话=画华{姓}划{计～}[8]乏猾=滑伐阀罚或惑
v	[6]话-{～事：说话}[8]越曰阅悦粤
t	[1]嗒[3]答得德打[7]搭褡得{给予}
tʰ	[1]他它她哒[3]塔贴-铁-踢-[5]沓{重～}[7]沓{一～纸}榻帖叠踏{糟～}[8]塌踏碟直-达
l	[1]拿拉啦垃[2]哪{～吒}剌{～痢}痢[3]□{高举长根击}[5]那哪[7]□{一瘸一瘸}[8]纳蜡腊猎勒辣捺钠呐
ts	[3]节{竹～、季～}[7]煠{煎一下}[8]砸铡
tsʰ	[1]差嚓[3]擦测厕侧[5]贼[8]截-□{蟑螂}
s	[3]撒锡萨煞塞{蓬蓬～：杂草丛生}[5]飒[7]杀[8]塞{瓶～}
tʃ	[1]渣遮吒咋{～呼}喳楂[3]责隻者[5]榨蔗诈炸[7]扎仄榨[8]眨闸札紥
tʃʰ	[1]岔叉车杈[2]茶查[3]拆策册赤-插察[5]勺-垞[7]戳[8]择泽宅
ʃ	[1]纱沙=赊奢傻裟鲨砂[2]□{～俚：男人}[3]啥涩虱色霎□{肩扛}[5]赦笠-[6]射社舍麝力-{～力：勤劳}
k	[1]家佳加嘉枷傢伽[3]假贾甲钾革荚{豆～}[5]架驾嫁稼价[7]夹{名词}峡岬格隔膈蛤{～蜊}嘎[8]夹{动词}
kʰ	[1]咖□{一～菜}[3]刻客克咳[7]卡[8]揢{～鱼}
ŋ	[2]牙蚜讶芽[3]雅[6]伢-{～子}[8]额
x	[1]哈[2]蛤{～蟆}遐暇瑕[3]下{～山}黑[6]下{山～}厦夏[7]瞎霞虾鲑{～油}吓[8]狭侠辖核匣
∅	[1]阿鸦啊[3]鸭押压[5]亚娅[7]哑
#ia	
p	[3]壁[7]□{一小堆}
pʰ	[3]□[8]啪
t	[1]爹{背称父}[3]摘-{～茶}
tʰ	[5]籴{～米}[7]□{绑}
l	[8]□{竹编圆形晒具}历-{官～}
ts	[3]姐-{大～}脊-{背～}[5]借藉{～口}[7]鲫{～𤖯，鲫鱼}[8]□{踏于水}
tsʰ	[2]斜{歪～}[3]且迹-{足～}[5]斜-{微陡}[6]谢榭[8]籍-{～贯}
s	[1]□{竹～：竹枝}[2]邪[3]写[5]泻[7]□{煎～：炸糍饺}
k	[1]迦{释迦牟尼佛}[3]□{味涩}[7]□{敏捷}
kʰ	[2]骑-{跨上}[3]□{打赌、欺诈}[7]喫{～人：欺诈}[8]屐
ŋ	[3]惹𱳅{～目}
∅	[1]丫呀[7]爷耶椰[3]野冶□{抓、握}也喏{唱～}[6]夜
#ua	
ʃ	[3]耍
tʃ	[1]抓
k	[1]瓜呱[3]寡括剐刮{～胡子}[5]卦挂褂[7]刮{搜～}
kʰ	[1]誇夸垮挎=跨[7]□{一～痰}
ŋ	[3]瓦佤
∅	[1]漥挖娃哇洼蛙
#o	
p	[1]波玻菠包[3]博膊[5]簸{～箩}播{广～}[7]驳笸砵拨
pʰ	[1]坡[2]婆鄱[3]泼[5]破雹-[8]薄朴钹箔{锡～}
m	[1]摸馍[2]磨{～刀}魔摩蘑[3]抹[5]袜[6]磨{石～}[8]末膜莫漠沫茉寞
f	[2]和[3]火伙{～计}[5]货[6]祸霍藿[7]伙{～伴}[8]活
v	[1]窝涡倭莴蜗[2]禾=[3]□{实、不空}
t	[1]多=哆[3]躲朵=岛[5]剁[7]朵{一～云}[8]琢啄
tʰ	[1]拖=[2]舵伦驼驮陀[3]脱托託妥唾拓蜕[5]□{～手，伸出手}[6]惰堕踱{过}渡{～a}[7]□{一～：一个面团}[8]夺铎
l	[1]啰[7]箩=罗锣捼骡螺=挪逻萝揉-[3]裸[5]啰{呼猪}[6]糯摞{一～砖}[7]□{～下：滑落下}[8]骆乐诺
ts	[3]左作昨佐撮{粗}[7]做[7]撮{一～}
tsʰ	[1]搓[3]切-[5]锉错挫{抚摸}[6]坐座[8]杂凿
s	[1]蓑梭唆=[3]锁索缩[7]屑
tʃ	[1]捉[3]灸卓灼酌[7]桌[8]着
tʃʰ	[3]尺-粟-獭{水獭}[5]厝[7]唆-[8]浊戳=
ʃ	[1]靴[3]杀-拾-{捡}[5]蓆-露-[7]腡{皱纹}[8]勺=芍-石-
k	[1]哥歌锅□{～～硬}[3]葛割=各阁觉郭角{牛～}果菓裹=合{我～你：我和你}[5]过=个=[7]角{五～}桷{椽}咯搁[8]疙
kʰ	[1]柯科棵戈苛蝌窠[3]可磕渴阔扩壳瞌[5]去-课[7]壳
ŋ	[2]鹅俄峨娥蛾[3]我=[5]□{m起头}[6]饿卧[8]乐{音～}鄂鳄
x	[1]呵嗬[2]何河荷[3]割-{～禾}[6]贺[7]熻{焖饭}[8]合盒鹤学喝褐
∅	[1]阿喔[3]恶噩[5]握沃[7]哦
#yo	
p	[3]剥[5]布-
pʰ	[5]曝[8]缚-
t	[3]着-{拿}
tʰ	[6]□{路}[3]着{𢫦～}
ts	[1]□{撮口}[3]雀[8]嚼
tsʰ	[2]□{豨～：小母猪}[3]□{淋，～雨}
s	[3]削黍
k	[3]镢[7]脚
kʰ	[2]茄[7]瘸
ŋ	[5]箬{粽～}[8]弱疟虐
∅	[1]唷[3]约沃-{浇}[6]芋-[8]若药浴-{洗～}
#e	
p	[1]呗[3]摆-{拔}
pʰ	[3]被-飞-陂[6]□{搧，～火}[7]皮-[8]篦{～子}
m	[1]咩[2]眉-楣-[3]尾-娓-[5]妹[7]糜-{稀饭}
v	[5]秽{杂草}
t	[8]丢{扔}
tʰ	[6]地-{坟}[8]忑
l	[1]□{踩踏}[3]你-[5]仂{用于人名末尾}
ts	[1]栽-[3]仔{尾仔：末子}[6]汁{～～，乳房}[7]汁{奶～}
s	[5]死-{～掉：死去}
tʃ	[3]纸折摘=哲浙[5]这[7]摺䇽{晒物竹席}
tʃʰ	[1]□{肥～：胖墩墩}[3]湿-[5]翅-{鱼～}[7]扯
ʃ	[1]畲[2]蛇匙佘[3]裏-{～头}血歇舐[7]竭狸-{猫子～}[8]胁协舌穴涉
k	[1]鸡[5]髻
kʰ	[1]溪-[7]骑-徛-{站立}
x	[3]嘿[7]哈
∅	[1]欸[3]呃[5]哎[8]扼厄
#ie	
p	[3]屄{女阴}[8]鳖
pʰ	[1]批-[3]爆[6]避-{～开}[7]撇劈{～草}[8]别
m	[1]乜[3]抹-[8]灭蔑篾
t	[1]爹3[7]俤[7]跌
tʰ	[3]铁弟-娣贴[8]蝶牒彻澈剔
l	[6]例[8]列烈裂劣
ts	[3]姐=接节=栉痔
tsʰ	[3]妾切=[5]砌[6]□{浸}[8]捷睫蠞{海蟹}截
s	[1]些撕-茜[3]洗=[8]泄=
k	[3]劫结洁[8]夹-
kʰ	[3]崎{陡}[7]隙{缺口}□{水田流水口}[8]杰揭竭
ŋ	[3]聂摄孽[5]艾-[7]倪{姓}蚁-[8]业热捏-涅烨叶
∅	[3]椅-□{掰}[5]咽-[8]页液腋掖
#ue	
k	[7]□{以眼示意}
kʰ	[1]□{赶牛声}[5]气-[6]□{～倒：病倒}[7]□{怒视}
ŋ	[2]鱼-渔-[7]□{揉}[8]月
#ø	
pʰ	[5]□{泡沫}
t	[7]茫{～～浓}
x	[1]墟[3]呵{起哄叹词}[7]□{喘气}
∅	[1]□{睡着}[2]儿而[3]耳=尔[5]二贰[7]呕-
#yø	
ts	[3]嘬{吮吸}
tsʰ	[5]□{人：吓人}[8]绝
s	[3]髓-雪薛惜-{可～}
tʃʰ	[3]啜{～酒}
ʃ	[3]说={～话}[7]说-{～小孩}
#æ	
p	[1]掰𤖯[3]摆[5]簸{动词}拜
pʰ	[2]排牌[3]𢆓{厝～：瓦片屋顶}[5]破-派稗湃[6]败
m	[2]磨-{～刀}埋[3]买[6]卖[7]蔴-
f	[2]怀淮槐
t	[1]多-呆[3]底-歹[5]戴带
tʰ	[1]拖-胎=[2]台苔抬蹄{骹～}[3]舵-[5]太泰态替-汰贷代[6]大待
l	[1]来[2]来泥-犁-[3]乃奶[6]耐赖奈柰獭{水～}
ts	[1]灾栽=哉[3]宰载{年～}崽[5]载再
tsʰ	[2]才财材裁豺=[3]采彩睬踩[5]菜蔡[6]在
s	[1]沙-[3]洗-[5]赛细-洒婿
tʃ	[1]斋[3]□{抓痒}[5]债
tʃʰ	[1]钗差[2]柴{姓}[3]□{捞}[6]寨[7]柴{～火}
ʃ	[1]筛=[2]豺-[5]帅[7]箩-
k	[1]街皆阶[3]解=[5]界芥戒届械介疥尬解-
kʰ	[1]揩[3]凯楷[5]□{砍，～柴}
ŋ	[2]呆□{老鹰}挨{拖时}[3]我3[7]□{沾上}
x	[1]咳[2]孩鞋懈[3]蟹解-{会}[6]禊{～俚：村名}解{姓}
∅	[1]挨唉哎埃[3]蔼矮隘[6]艾=
#uæ	
p	[5]褙
pʰ	[1]坯-[2]赔[6]背-{～书}焙-
m	[2]梅-霉枚-煤媒糜{烂}没{勿}[7]□{无牙而嚼}
f	[1]灰[3]火-海[6]害坏亥[7]硋{陶器}
t	[3]短[5]对-
tʰ	[1]胎-梯-[2]台-{烛～}[5]退-[6]袋
l	[2]鸾銮[6]累-[7]儡-
ts	[1]脧{男阴}
tsʰ	[1]猜摧催-[5]脆-[7]坐-
tʃʰ	[1]吹-
ʃ	[1]衰摔甩[5]税[6]喙{开大～，打哈欠}[7]螺-
k	[1]乖该□{鸡～，鸡鸭胃}[3]裹-{～粽}改拐几馃{干饭团、绿豆～}[5]盖怪[7]拐{～骹}傀-
kʰ	[1]开饥-[3]蒯[5]溉概慨快[7]乞-{～食}
ŋ	[2]呆-[6]碍外
∅	[1]哀煨-歪[2]禾-[5]爱[7]□{以棍狠击}
#eu	
pʰ	[3]剖
m	[2]谋眸牟[3]某亩[6]茂贸懋
f	[2]浮=[3]否
t	[1]兜[3]斗[7]抖
tʰ	[1]偷[2]头=投[3]敨{～气}[5]透[6]豆逗痘[7]头-
l	[1]娄[2]雷-楼擂-{～茶}[3]搂{捣乱}[6]漏陋[7]篓
ts	[1]邹糟-[3]蚤走=[5]奏骤揍
tsʰ	[5]凑
s	[3]宿{鸟～}[5]嗽
tʃ	[3]□{裤腰束紧}[5]皱
tʃʰ	[1]馊-□{柚}巢{猪～}[3]柱-
ʃ	[1]搜□{翻滚}[2]愁[5]瘦
k	[1]勾沟钩[3]狗苟枸{～杞}[5]垢够构购
kʰ	[1]箍[3]口[5]寇扣叩
ŋ	[3]偶藕
x	[1]候-{等～}[3]喉猴[3]厚{～薄}[6]后候{时～}厚{忠～}後
∅	[1]瓯欧[5]沤{～肥}[7]呕{～吐}
#iu	
p	[1]□{喷射}
m	[1]瞄{～一眼}
t	[1]丢=[5]□{气喘}[7]竹-鸟-
tʰ	[1]抽=[2]绸稠筹[3]丑纣[8]逐轴宙妯
l	[1]溜遛[2]流刘留瘤琉硫浏榴馏[3]柳[5]溜{滑～}[8]六=陆{～地}
ts	[3]酒足{手～}[5]□{拧干}[7]足{满～}
tsʰ	[1]秋揪鳅鬚[2]□{～留：和睦}[6]就袖-
s	[1]修羞[2]囚[3]宿{星～}[5]秀锈绣[8]俗
tʃ	[1]周洲州舟[3]肘帚{大～}[5]昼-咒[7]帚{小～}
tʃʰ	[2]仇酬[3]醜手龊[5]臭嗅
ʃ	[1]收休[2]□{收回绳索}[3]手=首=守[5]兽[6]受绶授
k	[1]纠赳鸠跔-[3]九久玖韭[5]救灸究
kʰ	[1]丘邱蚯[2]求球裘[3]菊粬曲桕鞠臼[6]舅旧=[8]局柩
ŋ	[2]牛=[3]纽妞扭[5]肉[7]纽{乱了}[8]玉狱毓
∅	[1]幽犹猷[3]有友酉诱[5]幼铀柚=釉[6]又右佑祐[8]育辱褥=欲
#ui	
pʰ	[2]培赔=陪[5]配佩沛[6]倍焙=
t	[1]堆[5]对=碓队兑
tʰ	[1]推[2]锤=槌={名词}[3]腿[5]退[7]锤槌={动词}
l	[3]累{积～}蕊垒儡=[6]锐类泪累=
ts	[1]锥[3]嘴[5]晬{周岁}最[7]拽{脚～了}
tsʰ	[1]催=崔[5]脆=翠粹[6]醉[7]粹
s	[1]虽鬚须需[2]垂谁[3]戍[5]晬岁=睡穗[6]婿=瑞绪[7]□{炖～：炖蹄膀}
tʃ	[1]追
tʃʰ	[1]吹=炊=
k	[1]龟归圭闺[3]鬼轨诡馃-傀=[5]桂季贵
kʰ	[1]亏奎盔[2]葵逵[3]豨{猪}[5]膭块-愧溃馈[5]跪柜
ŋ	[2]危桅[6]魏巍
#au	
p	[1]包胞苞褒[3]保堡宝饱葆[5]报豹鲍
pʰ	[1]脬{小～}抛[2]袍饱浮刨[3]跑泡{水～}[5]炮砲泡{～茶}[7]抱泡{灯～}
m	[2]毛=茅猫=矛锚[3]卯铆[6]冒帽貌[7]毛-{鸡～}猫-
