	注释：白-，文=
ʃ	[1]匈胸凶汹兄=[5]□{温热}[6]颂{～衣，穿衣}[7]聋-甚{～俚：什么}
k	[1]公工攻功蚣[5]贡汞□{扭曲}
kʰ	[1]空{～心}[3]孔[5]空{～缺}控[7]□{急走形态}
x	[3]哄
∅	[2]吾吴蜈梧[3]五伍午[6]悟晤误唔{不}[7]嗯
#iɤŋ	
p	[1]坊-{地方}
t	[1]忠[5]中-{～意}
tʰ	[2]重-{～复}[6]重-{轻～}仲
l	[2]龙陇隆
ts	[1]踪-{～迹}□{吻}[5]纵怂{溺爱}
tsʰ	[2]松{～树}
s	[1]松淞嵩[6]诵讼颂=
k	[1]供{～给}弓躬芎宫龚恭[3]虹冢拱窘[5]供-{～佛}
kʰ	[2]穷穹[3]恐巩[6]共
ŋ	[2]浓
∅	[1]雍痈臃[2]荣莹营嵘容蓉溶榕熔戎绒庸融镛[3]勇涌踊蛹拥冗[5]□{～水：平静舒缓的流水}[6]用佣
#ĩ	
p	[1]宾鬓槟缤滨彬冰=兵斌濒[3]丙炳禀[5]柄=併殡[7]饼=
pʰ	[1]乒拼{～音}[2]贫平=苹萍评坪屏凭频蘋[3]品[5]并{～且}拼{～合}聘姘[6]病=
m	[2]闽民明=名=铭鸣冥暝=瞑螟眠[3]每敏闵悯抿皿[6]命=[7]眠-{种苗寄埋}
t	[1]砧=丁=钉=疔叮盯仃[3]顶=鼎=[5]镇订=钉={～住}
tʰ	[1]听=厅=[2]沉尘亭=停庭廷蜓[3]挺艇逞[5]听{～便}[6]阵定=炖-{～鸡}
l	[1]拎[2]林淋=琳霖临邻铃=伶苓玲龄零=灵鳞磷凌陵菱绫宁=柠咛狞泞[3]岭=领=凛[6]另令吝
ts	[1]侵津狰精晴晶[3]井□{定夺}[5]浸进
tsʰ	[1]亲青=清=蜻[2]秦情晴=忱[3]请寝□{稀}[5]凊{冷}衬[6]尽烬静净=
s	[1]心新薪辛锌惺猩芯[3]醒=[5]信讯迅性=姓=腥=
tʃ	[1]针真贞侦祯正-征徵蒸珍斟甄臻箴[3]枕振震贩颈疹整[5]正证症政
tʃʰ	[1]称声蛏{～干}[2]惩[5]称{相～}趁
ʃ	[1]深=掀=身申伸欣升{上～}兴声=琛鑫[2]神承乘城=成=诚形刑型邢臣丞辰晨[3]沈审婶[5]胜兴{高～}圣肾[6]慎剩盛[7]眩-
k	[1]金今禁{～得起}襟筋=巾=斤京惊鲸经径茎-荆兢[3]锦紧仅谨景憬境警[5]茎=敬竟=镜=竞劲径禁{～止}[7]□{～卵包：煮蛋包}
kʰ	[1]轻=钦卿□{鉴别成色}[2]琴禽擒=勤芹噙黔[3]顷=倾=腱擒{紧抱}[5]庆罄[6]近妗[7]□{～心：故意}
ŋ	[2]吟人仁银迎=[3]耳忍□{扭伤}[5]□{颈部紧缩}[6]认任
∅	[1]音阴荫因茵姻殷英瑛鹰莺婴樱缨鹦[2]赢=淫荧盈[3]饮引隐影=蚓颖[5]映应印
#uĩ	
p	[1]奔□{溢出}[3]本[5]粪-畚笨
pʰ	[1]□{蛘}[2]盆[5]喷
m	[2]门们[3]糜{～烂}[5]问-[6]闷焖[7]蚊{原文“蠓”}
f	[1]昏婚荤分芬吩纷[2]魂焚浑横=坟晕-[3]粉忿[5]愤粪=混训奋[6]分{水～}份馄[7]哄{骗}
t	[1]敦蹲墩[3]盾=囤-[5]顿=扽吨炖=蹾钝[7]盾-{柱～：柱下石}
tʰ	[1]椿[2]豚[3]□{用锄～开}
l	[1]抡=[2]轮伦纶仑沦崙[6]论嫩
ts	[1]尊遵惇樽谆[5]晋俊骏峻竣
tsʰ	1[2]存[3]忖{思～}[5]寸吋
s	[1]孙狲新{～妇}[2]寻巡旬询[3]损笋[5]逊[7]榫
ʃ	[2]绳蝇=驯
k	[3]滚磙[5]棍
kʰ	[1]昆崑焜坤琨鲲[3]困捆[5]困
∅	[1]温瘟[2]文纹蚊雯闻紊汶[3]稳刎吻=[5]问=[6]揾{沾}
#ỹ	
tʃ	[3]准[5]圳
tʃʰ	[1]春椿[3]蠢[5]睃{看地}
ʃ	[1]勋薰=[2]舷唇纯醇蝇-[5]训[6]顺
k	[1]军君均钧皲
kʰ	[1]薰-[2]群裙琼[3]菌倾-顷-郡[5]熏{臭气～人}
ŋ	[5]润
∅	[1]晕=[2]匀云[3]永允[6]闰运孕泳咏
#ɛ̃	
p	[1]崩冰-分-颁扳蹦斑班癍[3]板坂版[5]扮襻{布纽}[7]板{木～}
pʰ	[1]攀[2]朋棚=瓶硼[3]反-崩{倒}蚌[5]盼叛蚌=[6]办饭-瓣
m	[2]蛮盟[3]猛=[6]慢漫蔓幔孟[7]梦-
f	[1]番=翻蕃藩幡[2]凡帆还环樊烦繁矾[3]反=返[5]泛贩楦{鞋～}[6]饭=
v	[1]弯湾[2]完丸袁缘-[3]晚挽輓[5]怨-[6]万[7]□{～线：绞线}
t	[1]单丹登灯丁-钉-{铁～}疔-瞪蹬郸[3]等顶-扽{～禾}掸[5]旦诞凳蛋订钉{动词}
tʰ	[1]滩摊天-厅-[2]潭=谈痰弹坛谭檀填-滕澄=腾藤誊[3]坦毯袒忐橂[5]炭叹氮碳□{～伙：交朋友}[6]但淡弹{子～}邓定-{～钱：订金}[7]澄
l	[1]□{～～韧}[2]兰阑栏难能宁-零-铃-[3]冷懒-□{吐～}[6]滥难烂[7]愣
ts	[1]曾增争=睁筝铮净僧峥罾{方形鱼网}[3]剪-{～布}[5]占替栈甑[7]剪-{～子}
tsʰ	[1]千-[2]惭曾{～经}层残[3]修[6]暂渐赠[7]塍{田}
s	[1]先-僧星-[3]省伞散{丸～}[5]散{分～}腥-
tʃ	[1]蒸-砧=榛臻[3]展盏{量词}裥碾[5]战[7]盏{灯～}
tʃʰ	[2]缠橙[3]鳝-□{吵闹}筅{刷洗}[5]秤灿[6]缠-[7]筅{饭～：竹制洗锅具}
ʃ	[1]森升-{量词}生=牲=参{人～}[2]檐嫌蝉禅贤[3]闪陕显远-掀-险䘆-[5]扇献宪[6]善鳝=现县剩[7]鳞-□{缠～：筑篱笆}
k	[1]间奸肩根跟更{～改}庚耕羹艰[3]敢瞰拣𨢑柬简碱茧耿亘哽[5]间{～接}更{～加}涧劲-{有～}[7]□{～掉：死掉}
kʰ	[1]牵轻-[3]垦恳肯砍=[6]禁-{～忌}
ŋ	[2]岩颜[3]眼[6]雁硬=
x	[1]亨哼[2]咸鹹闲痕恒行=衡衔[3]很狠□{提}[5]哼{应声}[6]陷限恨行{品～}幸杏[7]舷{边～：边缘}
∅	[1]恩鹰-莺-[3]嗯{～～：大声叹气}[5]□{盖}[7]嗯
#iɛ̃	
p	[1]鞭边辫{～子}[3]扁=匾蝙贬=[5]遍{一～}变卞[7]贬{压抑}□{～～的：糊糊的}扁-{片}
pʰ	[1]编篇编[2]便{～宜}[3]□{～樵：用斧头破柴}辫{动词，～辫子}[5]骗片[6]辨辩遍{普～}
m	[2]棉绵□{～涧：涂好小涧}[3]免勉娩冕[5]面{脸}缅[6]麵
t	[1]颠癫巅[3]点=典碘[5]店=惦垫=[6]奠淀
tʰ	[1]天=添[2]田=甜=填=滇恬[3]忝□{门槛}[6]电佃殿淀
l	[2]连涟莲鲢廉镰簾帘联[3]脸[6]练炼鍊栋恋殓
ts	[1]尖煎櫼[3]剪-[5]箭溅荐=甑
tsʰ	[1]千=迁歼纤钎签笺[2]前钱[3]浅践堑[5]□{～樵：柴}[6]贱
s	[1]先=仙□{～子：神经不正常者}[5]线衅[7]蝇-
k	[1]坚兼□{～水：碱水}[3]检俭笕={水～}[5]见剑舰建[7]囝{儿子}
kʰ	[1]谦骞[2]钳=乾{～坤}墘{～田：山田}虔[3]遣谴[5]欠歉芡{上～：上粉水}[6]件俭健键[7]钳-
ŋ	[1]拈-[2]年=言严闫黏[3]研染捻碾-[6]念验砚廿佥[7]年-蔫
∅	[1]烟咽胭淹阉渊焉鄢[2]炎盐然燃延筵檐[3]演掩衍[5]燕厌宴堰[6]焰艳谚彦□{山～：山顶上}
#uɛ̃	
p	[1]般搬[5]半[7]盘-{～进：混入}
pʰ	[1]潘[2]盘=磐蟠[3]拌=[5]胖蚌=畔伴
m	[2]瞒鳗[3]满
f	[1]欢番-{～子：神经不正常者}[2]寒韩[3]旱罕捍[5]汉幻翰汗[6]换=唤缓焊[7]鼾-
t	[1]端[3]断-{～樵}[5]顿-{量词}
tʰ	[1]吞[2]团-[3]断-{～了}[5]褪{～衣：脱衣}[6]断={判～}段煅锻塅[7]团-{量词}
l	[2]联-{缝}[3]暖卵=[6]乱
ts	[1]钻{～缝}[3]钻{～石}[5]钻{～洞}[7]盏-{一～花}
tsʰ	[1]村[6]荐-{杆～：草垫}
s	[1]酸[5]算蒜
tʃ	[1]专砖[3]转[5]沾-{～糖}
tʃʰ	[1]川穿[3]剷铲喘[5]串篡撰[6]赚[7]癣-{大毒疮}
ʃ	[1]山删闩轩讪汕疝[2]船弦眩玄悬舷=[3]产卵-颤-[7]僆{鸡～}
k	[1]干竿甘=疳=肝官观冠{衣～}关巾-筋-鳏[3]感秆管杆赶捲-[5]干{～部}冠{～军}贯惯眷灌罐[7]捲-
kʰ	[1]宽圈-{圆～}[3]款近-{远～}[5]劝{～导}看
ŋ	[2]元玩原源圆-顽[3]软阮研-{～粉末}[6]愿岸韧-
∅	[1]安桉鞍氨胺[2]完=[3]宛碗皖豌[5]案按[6]换-{～衣}
#yø̃	
tʰ	[2]传{宣～}[3]转-{～动}[6]传{自～}
tsʰ	[2]全泉[3]吮-[6]旋-{绕着转}
s	[1]宣鲜萱[2]旋=[3]癣=选[5]羡
k	[1]捐鹃娟绢涓[3]卷{～宗}捲=[5]卷券倦
kʰ	[1]圈=[2]权拳[3]犬[5]劝
∅	[1]冤鸳[2]员圆=园沿铅缘辕猿援缓媛[3]远=[5]怨[6]院
#ŋ	
∅	[1]唔
