"id","hanzi","note","ipa","audio","ntd","dl","databse","py"
28,"衙",,"jɔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yau2.wav",2,"阳平","zg","yau2"
29,"惹",,"jɔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yau3.wav",3,"阴上","zg","yau3"
30,"野",,"jɔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yau3.wav",3,"阴上","zg","yau3"
31,"雅",,"jɔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yau3.wav",3,"阴上","zg","yau3"
32,"亚",,"jɔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yau6.wav",6,"阳去","zg","yau6"
33,"夜",,"jɔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yau6.wav",6,"阳去","zg","yau6"
34,"扬",,"jẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yen2.wav",2,"阳平","zg","yen2"
35,"杨",,"jẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yen2.wav",2,"阳平","zg","yen2"
36,"洋",,"jẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yen2.wav",2,"阳平","zg","yen2"
37,"疡","(溃疡)","jẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yen2.wav",2,"阳平","zg","yen2"
38,"羊",,"jẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yen2.wav",2,"阳平","zg","yen2"
39,"阳",,"jẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yen2.wav",2,"阳平","zg","yen2"
40,"也","(之乎者也)","je","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yei3.wav",3,"阴上","zg","yei3"
41,"仰",,"njẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/nien3.wav",3,"阴上","zg","nien3"
42,"养",,"jẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yen3.wav",3,"阴上","zg","yen3"
43,"痒",,"jẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yen3.wav",3,"阴上","zg","yen3"
44,"扰",,"jə","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/ye3.wav",3,"阴上","zg","ye3"
45,"杳","(杳无音信)","jə","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/ye3.wav",3,"阴上","zg","ye3"
46,"舀","(舀水)","jə","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/ye3.wav",3,"阴上","zg","ye3"
47,"液",,"jɔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yau6.wav",6,"阳去","zg","yau6"
48,"腋",,"jɔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yau6.wav",6,"阳去","zg","yau6"
49,"扔",,"jɛ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yan1.wav",1,"阴平","zg","yan1"
50,"忍",,"jɛ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yan3.wav",3,"阴上","zg","yan3"
51,"烊","(融化)","jẽ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yen2.wav",2,"阳平","zg","yen2"
52,"瓤","(瓜瓤)","nõ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/non2.wav",2,"阳平","zg","non2"
53,"穰","(禾茎)","jõ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yon2.wav",2,"阳平","zg","yon2"
54,"嚷","(攘)","jõ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yon3.wav",3,"阴上","zg","yon3"
55,"壤","(土壤)","jõ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yon3.wav",3,"阴上","zg","yon3"
56,"攘",,"jõ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yon3.wav",3,"阴上","zg","yon3"
57,"域",,"joʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yog7.wav",7,"阴入","zg","yog7"
