"id","hanzi","note","ipa","audio","ntd","dl","databse","py"
199,"贩",,"fɑ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/faun5.wav",5,"阴去","zg","faun5"
200,"泛",,"fɑ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/faun6.wav",6,"阳去","zg","faun6"
201,"犯",,"fɑ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/faun6.wav",6,"阳去","zg","faun6"
202,"范","(范围)","fɑ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/faun6.wav",6,"阳去","zg","faun6"
203,"范","(榜样)","fɑ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/faun6.wav",6,"阳去","zg","faun6"
204,"饭",,"fɑ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/faun6.wav",6,"阳去","zg","faun6"
205,"乏",,"fɔʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/faug8.wav",8,"阳入","zg","faug8"
206,"伐",,"fɔʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/faug8.wav",8,"阳入","zg","faug8"
207,"筏",,"fɔʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/faug8.wav",8,"阳入","zg","faug8"
208,"罚",,"fɔʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/faug8.wav",8,"阳入","zg","faug8"
209,"浮","(轻浮)","fe","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/fei2.wav",2,"阳平","zg","fei2"
210,"肥",,"fe","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/fei2.wav",2,"阳平","zg","fei2"
