繁体	简体	声母	韵母	聲調	拼音无调	拼音	IPA	备注		
杯	杯	b	ui	1h	bui	bui1h	pui⁵⁵			
卑	卑	b	ai	1h	bai	bai1h	pɐi⁵⁵			
盃	杯	b	ui	1h	bui	bui1h	pui⁵⁵			
桮	桮	b	ui	1h	bui	bui1h	pui⁵⁵			
悲	悲	b	ai	1h	bai	bai1h	pɐi⁵⁵			
碑	碑	b	ai	1	bai	bai1	pɐi³⁵			
碑	碑	b	ai	1h	bai	bai1h	pɐi⁵⁵			
北	北	b	aq	7	baq	baq7	pɐʔ⁵⁵			
貝	贝	b	ui	5	bui	bui5	pui²⁴			
背	背	b	ai	5	bai	bai5	pɐi²⁴			
背	背	b	ui	6	bui	bui6	pui³²	~诵。		
俻	俻	b	ai	6	bai	bai6	pɐi³²			
被	被	b	ai	6	bai	bai6	pɐi³²	~打。		
被	被	p	ai	1	pai	pai1	pʰɐi³⁵	~子。		
備	备	b	ai	6	bai	bai6	pɐi³²			
焙	焙	b	ui	6	bui	bui6	pui³²			
輩	辈	b	ui	5	bui	bui5	pui²⁴			
奔	奔	b	ang	1h	bang	bang1h	pɐŋ⁵⁵			
錛	锛	b	ang	1h	bang	bang1h	pɐŋ⁵⁵			
本	本	b	un	3	bun	bun3	pun¹¹			
笨	笨	b	ang	6	bang	bang6	pɐŋ³²			
崩	崩	b	ang	1h	bang	bang1h	pɐŋ⁵⁵			
迸	迸	b	ang	6	bang	bang6	pɐŋ³²	~裂。		
逼	逼	b	ek	7	bek	bek7	pek⁵⁵			
鼻	鼻	b	ai	6	bai	bai6	pɐi³²			
比	比	b	ai	3	bai	bai3	pɐi¹¹			
彼	彼	p	ai	3	pai	pai3	pʰɐi¹¹			
秕	秕	b	ai	3	bai	bai3	pɐi¹¹	~子。		
俾	俾	p	ai	3	pai	pai3	pʰɐi¹¹			
筆	笔	b	aq	7	baq	baq7	pɐʔ⁵⁵			
鄙	鄙	p	ai	3	pai	pai3	pʰɐi¹¹			
必	必	b	ieq	7	bieq	bieq7	pieʔ⁵⁵			
庇	庇	p	ai	6	pai	pai6	pʰɐi³²			
陛	陛	b	ai	6	bai	bai6	pɐi³²			
畢	毕	b	aq	7	baq	baq7	pɐʔ⁵⁵			
閉	闭	b	ai	5	bai	bai5	pɐi²⁴			
敝	敝	b	ai	5	bai	bai5	pɐi²⁴			
婢	婢	b	ai	1h	bai	bai1h	pɐi⁵⁵			
弼	弼	b	aeq	8	baeq	baeq8	pæʔ²¹¹			
蓖	蓖	b	ai	1h	bai	bai1h	pɐi⁵⁵			
痹	痹	b	ai	5	bai	bai5	pɐi²⁴			
碧	碧	b	eq	7	beq	beq7	peʔ⁵⁵			
蔽	蔽	b	ai	5	bai	bai5	pɐi²⁴			
幣	币	b	ai	5	bai	bai5	pɐi²⁴			
壁	壁	b	eq	7	beq	beq7	peʔ⁵⁵			
避	避	b	ai	6	bai	bai6	pɐi³²			
斃	毙	b	ai	5	bai	bai5	pɐi²⁴			
