#调值	［1］阴平11［2］阳平55［3］上23［5］阴去35［6］阳去33［7］入42																		
#ɿ																			
ts	[1]资姿咨兹滋锱{～重}[3]紫子梓[6]自																		
tsʰ	[1]疵{吹毛求～}差{参～}[2]雌瓷{～器}瓷{～巴}慈磁{～石}辞词祠[3]此[5]刺赐次																		
s	[1]斯撕厮私师狮尸尻司丝思[3]死[5]饲伺四肆[6]似事祀{祭～}																		
ts	[1]知支枝肢栀之芝汁织[3]只{～有}姊脂旨指止趾址[5]滞{停～}制致稚{幼～}至痔志痣[6]字治值植[7]侄质职																		
tsʰ	[1]痴[2]池迟持[3]侈耻齿[5]翅[7]秩赤斥																		
s	[1]施诗失[2]时[3]矢屎使驶史始匙{钥～}[5]逝誓试式[6]世势是豉{豆～}氏示视嗜士仕柿市寺侍实释食蚀识饰[7]室适																		
#i																			
p	[3]彼鄙比秕[5]避臂庇痹闭[6]婢陛币弊毙蔽																		
pʰ	[1]批披胚坯[2]皮疲脾琵枇[5]屁[6]鼻																		
m	[2]迷[3]米[6]谜																		
t	[2]低堤堆[3]底抵[5]对队兑[6]弟帝第地																		
tʰ	[1]梯[2]提题蹄啼[3]体腿[5]替剃屉																		
ȵ	[2]泥尼倪[3]你拟[5]腻																		
l	[2]离{～开半寸}[2]离{～开}篱璃黎犁梨厘狸[3]礼李里理鲤[6]例厉励丽荔利痢[7]隶吏																		
tɕ	[1]饥{～饿}肌饥{～荒}几{茶一}几{～乎}基机讥鸡稽[3]嘴挤纪济几{～个}[5]祭际寄冀记忌既计继系{～鞋带}髻																		
tɕʰ	[1]妻欺栖[2]齐奇骑祁岐鳍其棋期旗祈脐[3]启企起杞岂[5]砌器弃气汽契																		
ɕ	[1]西兮奚牺嬉熙希稀犀[3]洗喜[5]细戏[6]系{联～}																		
Ø	[1]伊衣医依[2]移疑仪宜[3]以倚椅蚁己[5]意[6]易{难～}异艺毅谊义议[7]轶																		
#u																			
p	[3]补捕[5]布讣[6]部簿怖{恐～}捕埠{商～}																		
pʰ	[1]铺{～设}[2]菩{～萨}[3]蒲脯{胸～}脯{杏～}普谱浦																		
f	[1]夫敷孵{～小鸡}[2]符扶芙[3]俘{～虏}府腑俯甫斧抚釜腐辅[5]付赋傅附赴[6]父																		
k	[1]姑孤箍[3]古估{～计}股鼓[5]故固雇顾																		
kʰ	[1]枯[3]苦[5]库裤																		
x	[1]呼乎[2]胡湖狐壶[3]虎浒[6]户沪互护																		
Ø	[1]乌污[2]吴蜈{～蚣}梧{～桐}[3]五伍午[5]恶{恨，可～}[6]误悟																		
#y																			
ȵ	[3]女																		
l	[2]驴[3]吕缕{丝～}旅屡履[6]虑滤[7]律{纪～}率{速～}律{～师}																		
tɕ	[1]猪诸居车{～马炮}诛蛛株朱珠拘驹[3]煮举拄{～拐杖}主矩{规～}[5]著{显～}据锯{～子}剧{戏～}剧{～烈}注句铸[6]助巨拒距柱驻蛀俱具惧聚[7]局橘																		
tɕʰ	[1]趋区{～域}驱吹屈蛆{生～}[2]渠除锄厨瞿储{～蓄}[3]处{相～}杵取娶褚{姓}[5]处{～所}去趣																		
ɕ	[1]书舒墟{～市}虚嘘{吹～}须枢需输殊[2]徐[3]暑鼠黍许水[5]庶恕戍絮[6]竖树婿序叙绪[7]术{算～}																		
Ø	[1]淤迂吁[2]如於{～此}余馀愚虞娱榆愉逾于盂如鱼渔[3]与{给～}乳雨宇禹羽语[6]御誉{荣～}预豫遇愈{病～}芋喻裕郁狱域[7]玉入欲浴																		
#a																			
p	[1]巴芭疤爸[3]把{～握，～守，一～}[5]霸壩{堤}坝{平川}罢[6]拔{～河}																		
