#声调	1阴平24 2阳平21 3阴上阳去31 5阴去52 7阴入32 8阳入5
#注释	*训=文-白
#资料来源	《永定县志》，语保永定，《福建省永定凰城客家话研究》
#a	
ɕ	[1]兄-[3]醒=[5]姓
0	[1]萦{～线、绕线}[2]营赢[3]影
#uaŋ	
k	[3]梗
#eŋ	
p	[1]分-兵彬宾槟[3]秉本[5]并{合～}殡鬓笨粪
pʰ	[1]拼[2]盆瓶平={和～}评㖹{吹气}贫频凭苹[3]并{～且}品[5]聘姘
m	[1]闽蚊[2]门明{～确}盟民眠{~床}眉[3]皿命={～令}敏悯抿[5]问-
f	[1]分=芬=昏婚[2]唇魂坟[3]粉
v	[1]温[2]文匀云浑{水~}[3]稳隐允永运[5]问=
t	[1]敦墩蹲
tʰ	[1]吞[3]钝
n	[3]嫩
l	[1]拎鳞[2]林灵{精～}淋临陵菱邻轮[3]令闰
ts	[1]真精晶睛征津榛臻蒸针振-{啄啄~：颤抖}斟{亲嘴}[3]整枕诊疹拯镇振准震[5]正政浸进晋证症圳{水渠}俊
tsʰ	[1]深-清蜻亲称{～呼}春村[2]陈情程呈逞辰诚沉寻{找}秦尘{~灰：灰尘}臣澄[3]静靖尽阵惩[5]趁衬称{相～}秤侵寸
s	[1]伸心辛新薪身申升孙[2]神成={～功}晨绳承{～认}丞辰乘塍{田塍}纯[3]沈审婶肾剩笋慎甚损{~身：小产}顺[5]圣信讯胜
#iŋ	
ɲ	[1]忍[2]人宜{便~}[3]认韧=刃
tɕ	[1]京均钧君军鲸金经[3]紧仅谨景[5]敬劲竞竞
tɕʰ	[1]近=卿肾{鸡胗}[2]群勤{~力：勤劳}芹裙擎拳-[3]菌[5]庆
ɕ	[1]薰欣勋熏[2]形[5]兴
0	[1]荫因姻敖晕应{～当}鹰{~纸：风筝}英婴缨音[2]仁{目珠~：眼珠}蝇盈[3]任纴饮引尹引嵊{高山}[5]应{～用}印
#oŋ	
p	[1]枫-[3]棒
pʰ	[1]蜂[2]蓬蓬[3]缝{一条～}[5]碰
m	[2]蒙[3]梦懵
f	[1]风枫=疯丰封峰锋[2]烘红洪鸿虹缝{～纫机}[3]奉凤讽
v	[1]翁[5]瓮甕蕹{~菜}
t	[1]东冬中-{~央心：中间，~手指：中指}[3]懂董[5]栋冻崠{山脊}
tʰ	[1]通[2]同铜桐童朣筒[3]桶捅动洞统[5]痛
n	[2]农脓{～鼻}脓浓=[3]弄
l	[1]聋窿[2]笼隆龙=胧砻[3]拢
ts	[1]舂[3]肿[5]粽种
tsʰ	[1]窗聪匆葱囱充重{轻～}冲充[2]从虫崇重{～复}[3]宠重{～量}仲[5]铳
s	[1]双嵩[3]㧐[5]送宋
k	[1]工公蚣功攻弓=宫供=恭[3]拱巩[5]贡贡{~脓：化脓}
kʰ	[1]空{～虚}[3]孔恐共=[5]控空{～位}
ŋ	[5]汪*{狗叫声}
0	[5]擁{使劲儿推}
#ioŋ	
l	[2]龙-
ɲ	[2]浓-
tɕ	[1]弓-躬供-
tɕʰ	[2]松{～树}穷[3]共-
ɕ	[1]松{鞋带～了}胸凶汹兄=[2]雄熊{动物}[3]颂讼诵
0	[1]雍拥痈庸冗[2]融容溶榕茸榕熊{姓氏}蓉[3]勇涌用
#ueŋ	
k	[3]滚[5]棍
kʰ	[1]昆[3]捆[5]困
#ieʔ	
pʰ	[8]卜{萝~}
l	[8]历
tʰ	[8]特笛
tɕ	[7]吉急橘鲫[8]即
tɕʰ	[8]及
ɲ	[7]日[8]入热月
0	[7]一益[8]翼
#ueʔ	
k	[7]国骨
kʰ	[7]窟{水~：水坑}[8]掘
#ouʔ	
m	[7]目{~珠：眼睛}木[8]穆
p	[7]腹-{～脐}发
pʰ	[7]仆{前仆后继}[8]伏-{趴}仆{～人}
f	[7]福幅复[8]服
v	[7]屋沃{浇水}
t	[7]督啄-笃涿{雨淋}啄{~~振：颤抖}剁-[8]撞*{尖物撞击}
tʰ	[8]读毒独
l	[7]摝{搅拌}禄[8]鹿□{~滚：发烧}
ts	[7]粥竹筑烛嘱足
s	[7]叔缩速淑[8]熟赎属
tsʰ	[7]促束触[8]族簇□{咳嗽}
k	[7]谷[8]焗□{象声词：叽叽～~}
kʰ	[7]哭[8]呛*
#hŋ	
0	[1]□{应答声}[2]你{第二人称}疑[3]议义女汝耳毅二遇艺
#hm	
0	[1]唔{俗，表否定}[2]吴蜈梧[3]五伍午
