təø	1	多都			
təø	2	舵驮[驮子]塘			
təø	3	朵躲			
təø	5	剁读毒			
tʰəø	1	拖			
nəø	2	挪			
nəø	5	糯			
ləø	2	罗锣箩骡螺脶[手指纹]郎[~头子，女婿]			
ləø	5	落			
tsəø	3	榨捉做			
tsəø	5	左佐			
kəø	1	歌哥锅家-加痂			
kəø	5	过架嫁价			
kʰəø	3	可			
kʰəø	5	货			
ŋəø	1	瓦			
ŋəø	2	蛾鹅[~婆塘，地名]牙芽			
ŋəø	5	饿			
xəø	1	虾下[底~]			
xəø	2	河何荷和			
xəø	3	火伙哭			
xəø	5	祸下学			
pəø	1	菠玻			
pəø	2	婆			
pəø	3	腹[~饿，肚子饿]			
pəø	5	簸薄白[~个，白的]			
pʰəø	5	破帕			
məø	1	毛[头~，头发]			
məø	2	磨麻茂贸毛			
məø	3	马码			
məø	5	骂			
tsʰəø	1	坐			
tsʰəø	2	茶查床			
səø	1	沙纱杉			
səø	3	锁琐缩叔			
səø	5	熟			
fəø	3	福			
əø	2	禾			
əø	3	屋			
ta	1	□[~公，外公，姥爷]			
ta	3	打			
ta	5	大答			
tʰa	3	塌			
na	1	拿			
na	5	耐纳			
la	1	拉			
la	5	腊蜡辣			
tsa	1	遮			
tsa	3	扎			
tsa	5	炸蔗杂炙			
ka	1	间-			
ka	3	夹			
ka	5	戒盖=			
kʰa	1	□[近~，现在]			
kʰa	3	卡			
ŋa	5	我			
xa	2	鞋			
pa	1	巴芭疤□[~子，以为]□[黏住]			
pa	2	排牌			
pa	3	婆[奶奶]把八排[这~,这回儿，这下]			
pa	5	坝拜			
pʰa	1	杷			
pʰa	3	□[~lau，阳台]			
pʰa	5	怕派			
ma	1	买抹			
ma	2	埋蛮			
ma	5	卖外			
tsʰa	1	叉差			
tsʰa	2	岔柴			
tsʰa	3	扯擦□[~婆，疯且傻的女人]			
tsʰa	5	菜察尺			
sa	1	奢赊畲生-			
sa	2	蛇石			
sa	3	洒舍傻洒撒			
sa	5	射晒事[讲~，讲话]			
fa	3	发			
fa	5	发伐筏			
a	3	鸭			
tai	2	台苔抬待怠殆			
tai	5	戴贷代带			
tʰai	1	胎			
tʰai	2	泰			
tʰai	3	太			
tʰai	5	态			
lai	2	□[~ɕie，肮脏，不整洁]			
lai	5	赖□[个]			
tsai	1	灾栽			
tsai	3	宰载[年载]			
tsai	5	再			
kai	1	该阶街			
kai	2	界械			
kai	3	改解格革隔割			
kai	5	介届			
kʰai	1	开揩			
kʰai	3	凯慨咳楷客			
kʰai	5	概			
ŋai	1	哀埃挨			
ŋai	5	爱[唔~，不想]艾癌隘			
xai	3	吓海蟹黑			
xai	5	害			
pai	3	摆北百柏			
pai	5	败白[明~]			
pʰai	3	拍			
mai	5	迈			
tsʰai	1	猜差[出差]			
tsʰai	2	才材财裁			
tsʰai	3	彩采睬拆			
sai	1	衫			
sai	5	赛			
to	1	单端			
to	2	潭-弹团			
to	3	胆短			
to	5	担断锻段夺			
tʰo	3	脱			
no	1	暖[又读]			
no	2	南男难诺			
lo	1	懒□[~嗦，小疾病，疑难杂症]			
lo	2	蓝篮兰拦栏洛络			
lo	3	裸卵□[四~围，四周]			
lo	5	烂乱乐			
tso	5	座作桌卓琢啄浊			
ko	1	干肝肩			
ko	3	果敢减赶割葛			
ko	5	郭角较-			
kʰo	1	科窠棵颗			
kʰo	3	渴各[各人]			
kʰo	5	课阔廓扩			
ŋo	2	岩-[~泉，地名]			
ŋo	5	俄			
xo	2	还[~有]霍藿			
xo	5	贺喊-汗下[一~，全部]			
po	1	波巴[嘴~]班般搬			
po	2	盘			
po	3	板			
po	5	扮半伴拌勃博剥驳			
pʰo	5	盼判□[~东西，提东西]			
mo	1	魔摩摸			
mo	3	满			
mo	5	慢末沫寞墨默陌			
tsʰo	1	餐			
tsʰo	2	错[~误]			
tsʰo	3	错[~嘚，错了]			
tsʰo	5	赚			
so	1	三山删酸			
so	3	所			
so	5	算蒜索			
fo	3	反			
fo	5	饭佛			
tia	1	爹□[~唔清，分不清]			
lia	3	栗-			
nia	3	惹□[和，在]			
nia	5	硬			
tɕʰia	2	茄斜			
tɕʰia	3	且			
tɕʰia	5	席吃[文章中看到“吃”字时读此音]			
tɕia	1	佳羹[粥]家=			
tɕia	3	贾假姐			
tɕia	5	借藉脊			
pia	2	爬			
ɕia	2	夏厦下[下降]			
ɕia	3	写			
ɕia	5	夏泻卸			
ia	3	雅亚			
ia	5	夜[~晡前，夜晚]			
lei	1	岭			
lei	3	领			
lei	5	力			
tei	1	低			
tei	3	底抵得			
tei	5	□[这]□[我~，我们]			
tʰei	1	厅-[~面，餐厅]			
tʰei	5	替剃听			
nei	2	泥			
tsei	3	井醒			
tsei	5	□[我~，我们]			
tsʰei	1	青			
tsʰei	3	请			
tsʰei	5	侄			
kei	1	鸡			
kei	3	颈[~骨，脖子]			
kʰei	1	轻			
pei	1	杯碑卑悲			
pei	2	陪赔坪			
pei	5	辈背被备倍病-			
pʰei	5	配佩			
mei	1	妈			
mei	2	媒煤名			
mei	3	每美			
mei	5	梅枚命			
xei	1	兄[~la,弟弟]			
xei	5	系			
sei	1	声[~气，声音]			
sei	3	洗虱媳			
sei	5	细食			
fei	1	非			
fei	5	废肺			
ti	1	堤			
ti	2	帝题提蹄啼			
ti	3	□[近~，现在]			
ti	5	弟[老弟，弟弟]第地笛敌狄			
tʰi	1	梯			
tʰi	3	体剔			
tʰi	5	踢			
ni	1	你			
ni	2	宜尼人仁			
ni	3	拟			
ni	5	艺倪仪义腻疑认逆			
li	2	梨狸鲤			
li	3	礼李里理			
li	5	例厉励丽离篱璃荔利栗=			
tɕi	1	基几[几乎]机讥饥[饥荒]			
tɕi	2	际			
tɕi	3	挤济纪[纪律]几			
tɕi	5	祭剂计寄记忌吸击激			
tɕʰi	1	妻溪倚[立]欺			
tɕʰi	2	齐脐契奇骑技妓餈[~粑，糍粑]棋旗			
tɕʰi	3	启企喜			
tɕʰi	5	戏器弃其期气汽			
ɕi	1	些西栖犀牺嬉熙希稀惜=			
ɕi	2	谁[~嘚，哪个]			
ɕi	3	起[~头，起床]			
ɕi	5	息熄			
pi	2	弊皮疲脾币			
pi	3	彼比婆[鹅~塘，地名]□[~嘚，哪里]			
pi	5	闭臂被避			
pʰi	1	批披丕			
pʰi	3	鄙			
pʰi	5	屁匹僻			
mi	1	米尾			
mi	2	迷谜秘眉霉			
mi	5	妹密蜜			
si	3	死-[死嘚，死了]			
fi	1	飞			
fi	2	肥			
i	1	医衣依			
i	2	移意			
i	3	蚁矣以			
i	5	易疫			
tie	1	颠			
tie	2	甜田填			
tie	3	点跌典			
tie	5	电殿垫店			
tʰie	1	添天			
tʰie	3	贴铁			
nie	1	捏你[又读]			
nie	2	燃年			
nie	3	染娘[妇~,老婆]			
nie	5	念热日			
lie	2	廉镰帘连联怜莲			
lie	5	立列烈裂练炼恋律历			
tɕie	1	尖煎			
tɕie	3	检接汁急拣剪节结鲫只[ke~，那个]			
tɕie	5	剑箭溅件浙杰建荐见吉积籍绩贱			
tɕʰie	1	签迁千牵			
tɕʰie	2	钱前			
tɕʰie	3	浅切泉[岩~]七			
tɕʰie	5	欠歉疾[痛]戚			
ɕie	1	仙鲜[新鲜]先			
ɕie	2	谢嫌塍[田塍]□[旁边]			
ɕie	3	湿歇显			
ɕie	5	赦社馅胁协习袭十苋线羡扇舌设折献悉实失室			
pie	1	鞭编边蝙			
pie	2	便[~宜]			
pie	3	扁匾笔			
pie	5	变便[方~]别[区别]遍辫毕必			
pʰie	1	篇偏			
pʰie	5	骗			
mie	2	绵棉眠			
mie	3	免			
mie	5	面灭			
ie	1	腌烟一[~粒，一个]			
ie	2	炎盐阎檐[~老鼠，蝙蝠]严□[~且系，同样是]			
ie	3	也野演一[~定]熨[~帖，舒服，漂流]			
ie	5	验厌叶页宴乙一			
tye	5	转			
nye	1	软暖			
nye	5	入[~去，进去]月虐			
lye	5	劣略掠			
tɕye	1	专砖捐			
tɕye	3	卷			
tɕye	5	圈[圈养]倦绝决诀			
tɕʰye	1	川穿圈[圆圈]近			
tɕʰye	2	全传拳权颧			
tɕʰye	3	缺出			
tɕʰye	5	串劝券着[歇~,睡着]却确			
ɕye	1	靴薛轩宣上县选-			
ɕye	2	旋船玄悬			
ɕye	3	选=血□[软~，柔软]			
ye	1	远养-痒越-			
ye	2	丸圆沿铅元原源园			
ye	5	院阅越=粤约			
tu	1	都			
tu	2	徒屠途涂图杜□[~su，地方]			
tu	3	堵赌肚			
tu	5	肚度渡镀独			
tʰu	3	土			
tʰu	5	秃吐兔突			
nu	3	努			
nu	5	奴怒			
lu	2	卢炉芦			
lu	3	鲁橹虏卤			
lu	5	路露鹭鹿禄			
tsu	1	租			
tsu	3	祖组阻			
tsu	5	祝粥卒筑足烛嘱局			
ku	1	姑孤箍牯			
ku	3	古估鼓			
ku	5	故固谷			
kʰu	1	枯			
kʰu	3	股			
kʰu	5	库裤[衫~，衣服]			
xu	1	呼			
xu	3	浒[水浒]			
pu	1	巴			
pu	2	怖恐菩[菩萨]			
pu	3	补			
pu	5	布部步			
pʰu	1	铺			
pʰu	3	谱普浦捕甫辅朴			
pʰu	5	铺瀑			
mu	5	暮慕墓募幕木目穆牧			
fu	1	夫肤敷腐			
fu	2	胡湖狐壶瓠胡扶富副			
fu	3	苦虎府腑俯斧釜			
fu	5	戽户付赋傅俘虏佛			
tsʰu	1	粗初			
tsʰu	3	楚础			
tsʰu	5	醋措助猝族促触			
su	1	苏酥			
su	2	素			
su	3	数[动词]			
su	5	塑数[名词]述速粟俗=续赎束			
u	1	污坞巫诬妇[~娘，老婆]			
u	2	吴蜈			
u	3	午武舞侮鹉五=			
u	5	误恶[可恶]务雾芋			
kua	1	瓜柑官			
kua	3	寡剐管馆刮骨			
kua	5	挂卦罐括惯			
kʰua	1	夸宽关			
kʰua	3	侉垮			
kʰua	5	跨块			
xua	1	花			
xua	2	含函划			
xua	5	化华画合换盒			
sua	1	刷			
sua	3	耍			
ua	1	蛙洼蛙弯湾			
ua	2	华划滑还[~钱]			
ua	3	碗			
ua	5	话万袜			
toŋ	1	东冬			
toŋ	2	同铜桐童瞳			
toŋ	3	冻栋动洞			
toŋ	5	董懂			
tʰoŋ	1	通			
tʰoŋ	3	桶捅筒统			
tʰoŋ	5	痛			
noŋ	2	齈鼻农脓			
noŋ	3	侬[你]			
noŋ	5	弄			
loŋ	1	聋			
loŋ	2	笼隆龙容[~易]			
loŋ	3	拢冗			
loŋ	5	弄			
tsoŋ	1	椶鬃宗中[当中]忠终钟			
tsoŋ	2	中[射中]			
tsoŋ	3	准总种肿			
tsoŋ	5	糉种[种树]重			
tsʰoŋ	1	村聪怱葱囱充重冲舂			
tsʰoŋ	2	存丛虫从层-			
tsʰoŋ	3	蠢宠			
tsʰoŋ	5	昨铳重			
soŋ	1	嵩孙[~崽]			
soŋ	3	笋榫			
soŋ	5	送宋讼			
foŋ	1	风枫疯丰封峯锋分[~钟]			
foŋ	3	粉讽			
foŋ	5	份冯凤逢缝			
koŋ	1	公蚣工功攻弓躬宫恭供			
koŋ	2	贡			
koŋ	3	汞拱巩□[~人屋嘚，他们家里]			
koŋ	5	供			
kʰoŋ	1	空			
kʰoŋ	2	穷			
kʰoŋ	3	菌孔			
kʰoŋ	5	控空			
xoŋ	1	烘			
xoŋ	2	红洪鸿虹			
xoŋ	3	哄恐			
poŋ	1	分[~俵渠，分给他]崩			
poŋ	2	盆朋彭棚			
poŋ	3	本			
pʰoŋ	1	喷蜂			
pʰoŋ	3	捧			
moŋ	1	懵			
moŋ	2	门蚊孟蒙蠓			
moŋ	3	猛			
moŋ	5	问梦			
oŋ	1	五-女			
oŋ	2	鱼			
ty	1	猪堆			
ty	3	里[~头，里面]			
ty	5	对队兑昼[下~，下午]□[系哩~，在这]			
tʰy	1	梯			
tʰy	5	袋退蜕梯[又读]			
ny	3	女汝语			
ly	2	驴来			
ly	3	吕旅里[伙~头，厨房]			
ly	5	虑滤累泪			
tɕy	1	诸居车[车马炮]诛蛛株朱珠拘驹			
tɕy	2	驻注蛀铸			
tɕy	3	煑举主姊嘴			
tɕy	5	据巨拒拄注句盖-醉贵剧			
tɕʰy	1	苎区驱催吹炊-			
tɕʰy	2	除锄趣厨锤			
tɕʰy	3	储处杵取娶□[一会儿]			
tɕʰy	5	徐处聚柱住脆			
ɕy	1	书舒墟虚须需枢输殊灰-			
ɕy	2	恕			
ɕy	3	暑鼠薯许水			
ɕy	5	绪竖树岁税			
y	2	愉愈裕欲			
y	3	雨宇禹羽			
y	5	如遇逾喻辱玉狱			
te	5	德[文读词]			
tʰe	5	特			
le	5	肋			
tse	5	则窄责			
tsʰe	5	泽择[选择]策册			
ke	1	渠[他]			
ke	3	□[那]			
kʰe	3	刻			
kʰe	5	恰			
xe	3	□[~宝崽，傻子]			
xe	5	核			
me	5	麦脉			
se	5	色			
fe	2	去			
e	3	耳[~房，房间]饵			
e	5	二[又读]			
ten	1	登灯丁钉铁			
ten	2	藤邓亭停□[~钱，赚钱]			
ten	3	等顶鼎			
ten	5	凳订订定			
tʰen	1	吞厅=			
nen	1	奶[牛~]			
nen	2	能			
nen	5	嫩能			
len	2	临邻灵零铃伶			
len	3	冷			
len	5	令另			
tsen	1	曾增憎争筝睁精晶正征			
tsen	2	郑			
tsen	3	枕整			
tsen	5	赠			
tsʰen	1	亲清			
tsʰen	2	尘蹭磨蹭曾层=橙情程成城诚			
tsʰen	3	惩			
tsʰen	5	衬			
sen	1	心森辛新身申孙[又读，孙悟空]生=牲笙甥星腥			
sen	2	神			
sen	3	什晨省			
sen	5	信姓			
fen	1	分[~数]			
fen	5	坟喷[~口水]			
ken	1	今金跟根巾斤筋更庚耕京荆惊经			
ken	3	紧耿			
ken	5	更境镜			
