来源：	张倩 2020《佳县（佳芦镇）方言音系研究》；Skanda，Hynuza 整理录入
说明：	
#符号说明：-白=文*俗?待考	
#调值	［1］213［2］24［3］534［5］42［7］4［8］213
#ɿ	
ʦ	［1］支枝肢资姿咨脂兹滋芝□{用力碾、压}［3］紫纸只{～有}姊旨指子梓之止趾址［5］自至字志痣□{～东西：称东西}
ʦʰ	［1］□{脚太肥，把鞋～烂了}［2］雌瓷慈磁祠词［3］疵此齿［5］刺翅次伺
s	［1］斯撕施丝思私尸司廝师狮诗燍{～气}咝{凉～～}［2］时匙辞［3］死史屎使矢始驶［5］赐舐寺嗣饲是氏视嗜似祀巳士仕四肆示柿俟事市恃试侍
#ʅ	
tʂ	［1］知蜘蒸-正-［3］整-［5］滞制智雉致稚痔置治
tʂʰ	［1］痴称-［2］池驰迟持［3］侈耻［5］秤-
ʂ	［1］声-升-{量词，一～}［2］绳-［5］世势誓逝剩-
#i	
p	［1］屄{女阴}［3］蓖彼鄙比秕滗{～住}［5］蔽敝弊币毙陛闭被臂病-备篦
pʰ	［1］批披丕坯［2］皮疲琵枇凭-平-坪-{地名，张家坪}瓶-［3］脾痹箅避［5］譬庇僻屁辟
m	［2］迷谜糜弥眉楣名-［3］米靡［5］媚命-□{嫑～我：不要哄骗我}
t	［1］低钉{～子}［2］迪［3］底抵嘀{～～叨叨}顶-［5］弟帝第递地钉-{～住}
tʰ	［1］梯听-［2］堤题提蹄啼［3］体［5］替涕剃屉
n	［2］泥倪宜谊尼疑-匿［3］你拟［5］泥{被泥缠住}
l	［1］□{圪～：挠痒痒}［2］犁黎离篱璃梨厘狸［3］礼李里理鲤［5］例厉励丽隶利痢吏
ʨ	［1］鸡稽饥肌几{茶～}基机讥精-睛-{眼～仁子}［3］挤己几{～个}井-［5］祭际穄济剂计继髻技妓寄冀纪记忌既季镜-净寂静-{～个悄悄}
ʨʰ	［1］妻欺期{时～}清-轻-青-{胳膊黑～}［2］齐脐畦奇骑岐祁鳍其棋旗杞祈［3］启企起岂［5］砌契器弃气汽
ɕ	［1］西息犀溪奚兮携牺希稀恓{～惶}栖［1］肥-［3］洗玺徙嬉熙喜蟢□{～～sɿ55 sɿ42：贬义词，形容人爱在背地说话，说话不大气}［5］细婿系係戏
Ø	［1］伊衣依揖醫［2］仪移遗蝇-赢-疑=［3］蚁倚椅矣已以□{把光线挡住}尾-［5］艺义议易{难～}夷姨肄意异毅忆亿抑翼疫役翻译□{刺眼：太阳把我眼～的}
#u	
p	［3］补捕堡-{吴～}［5］布怖步部=
pʰ	［1］铺{～床}［2］蒲菩脯［3］谱普浦［5］铺{床～}部-簿
m	［2］模摹谋［3］某亩牡母拇［5］暮慕墓募幕牧
f	［1］麸{麦～子}［2］夫肤跗{脚～面}敷俘孵符扶芙浮［3］府腑俯甫脯斧釜腐辅否［5］父付赋傅赴讣附妇负富副
t	［1］都{～城}［3］堵赌肚{猪～}［5］杜妒度渡镀
tʰ	［2］徒屠途涂图［3］土吐{～痰，呕～}［5］兔
n	［3］□{使劲}
ʦ	［1］租=［3］阻祖=组
ʂ	［1］梳疏蔬书舒输殊［2］谁-［3］暑{～假}鼠黍署{专～}薯数{动词}水-蜀属［5］恕数{名词}竖戍树睡-
ʐ	［2］如［3］汝儒乳［5］擩{～进去}
k	［1］姑孤箍［3］古估股鼓［5］故固雇顾
kʰ	［1］骷{～子：头}［3］苦［5］库裤
x	［1］呼乎［2］胡湖狐壶糊［3］虎浒［5］户沪互护𪏳{稀饭煮得黏稠}
Ø	［1］乌污［2］吴蜈吾梧无［3］五伍午武舞侮鹉［5］误悟恶{可～}巫诬抚务雾戊
#y	
n	［3］女［5］鱼-
l	［2］驴［3］吕旅缕履［5］虑滤泪-{眼～}
ʨ	［1］居车{～马炮}拘驹［3］举嘴-［5］巨拒距据锯聚矩句具惧醉-剧俱
ʨʰ	［1］蛆趋区驱［2］渠瞿［3］取娶［5］去趣{有～}□{量词，长条状：把布扯成一～一～}
ɕ	［1］墟虚嘘须需［2］徐随-{～当}［3］许髓-遂{半身不～}［5］序叙绪絮岁-穗-
Ø	［2］鱼=渔于淤余愚虞娱盂榆愉［3］语与雨宇禹羽［5］御誉预豫遇寓吁迂逾愈芋喻郁育玉
#ər	
