#参考资料	《安徽安庆方言同音字汇》
#符号说明	“□”表示写不出来的字
#调值	[1]阴平31[2]阳平35[3]上声213[5]去声51[7]入声55
#ɿ	
ts	[1]资姿咨孜龇兹[3]子仔姊紫籽梓□{量词：一～毛线}[5]自字柿
tsʰ	[1]疵刺{火星喷冒}差{参差不齐}眙{看：过来～～好东西}[2]寺词祠瓷慈磁糍辞雌饲[3]此[5]次刺{～刀}赐伺
s	[1]私司丝思撕嘶斯厮鸶师狮似厕{（白）茅～}[3]死使驶始史[5]巳四似肆祀事士仕
#ʅ	
tʂ	[1]之芝支枝肢吱只知蜘梔臟{食用油变质}[3]止址趾芷只旨指{～导}纸[5]至志痣制致治窒痔智稚置[7]织汁职直植值殖侄质指{～甲}
tʂʰ	[1]痴□{～倒：滑倒}嗤[2]池匙迟治{～鱼}持[3]齿耻[5]赤斥翅[7]尺秩
ʂ	[1]施尸诗[2]时[3]矢屎始[5]示式市试世誓势视饰轼是适[7]石湿实拾室失食识什{～锦糖果}十释
ʐ	[7]日
#i	
p	[1]屄[3]比彼鄙[5]蔽弊蓖避敝毙闭[7]笔鼻碧必逼毕壁辟匕滗璧
pʰ	[1]批披劈坯[2]皮疲{～寒：疟疾}脾啤琵枇匹痹[3]痞疟[5]屁僻
m	[1]眯咪洱[2]迷谜猕糜靡[3]米[7]秘觅蜜密咪
t	[1]低堤[3]底抵[5]地第帝弟娣递蒂屉[7]的{目～}滴敌笛迪嫡杓{～耳朵}
tʰ	[1]梯[2]提题蹄啼[3]体[5]替剃嚏[7]踢缔{系；绑：～鞋带。《广韵》特计切：“结也"。}
n	[2]泥尼离梨犁黎篱璃厘[3]你里理李礼鲤[5]腻例利丽莉厉励[7]力立历吏荔栗粒痢隶砾栎{～树}笠沥率律泪{（白）眼～}榫{让带水的东西滴干。《集韵》劣戌切：“去滓汁日捧。”}
tɕ	[1]鸡机肌饥讥叽基箕姬唧[3]几挤已纪{～律}[5]记计纪技季寄纪{姓}技际剂寂忌继妓祭系{～鞋带}[7]急既即积级及极汲激吉脊击圾迹绩辑籍集疾鲫缉
tɕʰ	[1]妻期欺戚沏凄嘁蹊栖[2]其齐骑棋奇祁脐旗芪祈麒鳍荠{荸～}[3]起岂启企乞取娶[5]去{白}器气汽契砌弃[7]七漆柒膝吃
ɕ	[1]西稀溪嘻熙希牺兮嘶{大声喊叫}皙茜硒嬉[3]洗喜禧[5]戏系{联～}[5]细絮婿[7]吸席熄锡息惜习昔析晰悉媳犀蜥蟋
Ø	[1]医依衣倚蚁咿揖[2]移姨咦遗疑颐宜[3]以已椅尾{狗～巴草}[5]亿艺意义忆疫毅议[7]一壹逸{～当：要当}译易益{用处：这东西有么～}
#u	
p	[1]□{用嘴喷出气体或液体}[3]补捕[5]布怖步部埠伏{～鸡：孵小鸡}[7]不
pʰ	[1]铺{～床}扑漕{液体沸腾溢出}□{泡沫}[2]仆葡菩匍{～哲}[3]普谱脯蒲蹼[7]瀑匍{～着：趴着}
m	[3]母牡亩拇姆[7]暮墓幕沐牧目木睦穆
f	[1]夫{～人}肤敷腐{豆～}孵麸[2]浮扶俘符[3]府俯斧辅腐{～败}抚腑阜[5]副负付妇驸傅{姓}[7]福幅辐蝠复服腹蝮覆芙附伏{～击}
k	[1]姑孤辜咕菇估箍牯{公牛}[3]古股鼓[5]故顾固雇古□{用水、茶等漱口；快速大口喝}[7]谷
kʰ	[1]枯骷箍{～个桶；打个～}[2]葫{～芦}[3]苦[5]库裤酷[7]窟{～凼：小水坑}哭
x	[1]呼乎忽□{～他一巴掌：扇他一巴掌}[2]湖胡糊蝴壶弧狐和{～牌}[3]虎浒戽{～水}□{推搏}[5]户互护沪瓠[7]核{桃子～儿}
Ø	[1]污乌巫诬呜钨□{灭：灯～掉着}幠{被～}[2]无吴吾芜梧蜈[3]五午武伍舞捂鹉妩[5]误雾悟焐{水～子；～手}恶{可～}[7]物屋兀务
#ʯ	
n	[2]驴[3]女旅吕铝屡缕抨[5]虑滤
tʂ	[1]朱珠猪诸株诛铢蛛侏居拘车{象棋}[2]煮主拄嘱瞩举矩沮[5]住注驻祝柱蛀著据句具俱剧拒距巨惧炬锯飓[7]竹筑逐烛築塞满局聚菊桔橘
tʂʰ	[1]□{把某物用力塞给某人}区趋驱躯岖[2]厨橱滁殊渠徐除[3]处{～理}鼠储趣[5]处{到～}[7]出触畜屈曲蛐{～～儿}
ʂ	[1]书舒输枢淑虚须需嘘墟[3]属暑署蜀曙薯许[5]树竖[7]熟术述{反复念叨}叔赎恕庶墅塾
Ø	[1]迂淤[2]鱼渔于余愉盂愚娱[3]雨语羽宇屿[5]与玉芋郁欲浴遇愈御预吁寓誉域裕喻谕育
#a	
p	[1]巴{嘴～}□{粘贴}爸芭疤粑扒{～开}[3]把靶[5]壩坝霸罢[7]八拔捌□{傻不懂事：这人真～}稗
pʰ	[1]啪趴琶杷[2]爬扒{～手}耙[5]怕
m	[1]妈蟆[2]麻[3]马码玛蚂[5]骂[7]抹{～灰；～牌}
f	[2]乏[7]发法罚伐筏阀砝
t	[1]哒[3]打[5]大[7]答达搭瘩耷沓□{踏：脚～板凳上哒～倒：跌倒}
tʰ	[1]他她它[7]塔踏塌□{错过：班车～掉着；掉：～一层皮}趿{～子：拖鞋}搨{抹：不要把墨水往墙上～}遢
n	[1]拉垃[2]拿[3]哪喇[5]那[7]辣蜡腊邋瘌纳捺{用力按住}
ts	[7]砸杂咂匝
tsʰ	[7]擦
s	[2]撒{～水}洒[5]萨{菩～}靸{～鞋：拖鞋}撒{～气}嗄{声音嘶哑}
tʂ	[1]查{姓}渣喳楂揸{手～着老大地}砟哆{张口}奓{张开：头发～着}[3]鲊{～肉}[5]绽{衣服～着线}炸榨诈栅乍拃[7]扎闸铡轧{～钢}札
tʂʰ	[1]叉杈差碴馇{～猪食}蹅[2]查茶搽茬察[5]岔[7]插查察
ʂ	[1]沙纱砂痧裟鲨杉挲[3]傻[5]厦[7]杀煞
k	[1]家{白}嘎[5]架{白}嫁{白}[7]夹{白}尬
kʰ	[1]咖[2]蛤{～蟆}跨{～门槛}[3]卡[5]跨{～裆：裤裆}[7]掐{～菜}
ŋ	[1]鸦{白}丫{白}[2]伢[5]轧[7]鸭{白}
x	[1]虾{白}哈[3]下{身份地位或等级低，品质差}[5]下{白}[7]瞎
Ø	[1]啊阿{～姨}
#ia	
p	[1]□{拟声词}
pʰ	[1]□{一个巴：打～一耳光}
t	[3]嗲
tɕ	[1]家{文}加稼佳[3]假贾[5]架{文}嫁{文}价[7]夹{文}甲
ɕ	[1]虾{文}吓[2]霞[5]下{文}夏厦{～门}[7]辖峡侠狭
Ø	丫{文}鸦{文}[2]牙芽[5]哑[7]压押轧{～棉花}
#ua	
tʂ	[1]抓[3]爪
ʂ	[3]耍[7]刷
k	[1]瓜呱[3]寡[5]挂褂卦[7]刮括呱
kʰ	[1]夸[3]垮侉剐{铲：把锅～～}挎{划刮；挂：手～了个口子；围巾～树上着}[5]胯跨{～栏}
x	[1]花□{讨好.哄}[2]华划{～船}[5]话画划计{～化}[7]滑猾
Ø	[1]蛙哇剜洼蛙蜗[2]娃[3]瓦搲{～米}[5]搲{拿；取：太高,一不到凹洼}[7]挖袜
#ie	
p	[7]别憋鳖瘪
pʰ	[3]瞥[7]撇潎
m	[7]灭蔑篾
t	[1]爹[7]跌{～价}叠碟谍蝶喋
tʰ	[7]铁贴帖
n	[3]捩{用力拧扭：～毛巾}咧□{歪：～嘴}[7]列裂猎烈劣捏{手～子：手帕；～着}聂孽镍蹑镊
tɕ	[1]嗟{叹词}[3]姐[5]借[7]接节截结洁杰捷揭劫绝
tɕʰ	[2]茄[3]且[5]切笡{歪斜：桌子有点～}[7]切怯窃妾
ɕ	[1]些蝎[2]斜邪[3]写[5]谢卸泄[7]歇屑雪血薛
Ø	[1]椰[2]爷[3]也野[5]夜[7]叶页腋噎
#o	
p	[1]波菠玻卜{萝～}[3]跛簸{把沙子～掉}[5]簸{戳～}[7]薄拨驳博脖勃铂泊搏膊
pʰ	[1]坡[2]婆[3]剖[5]破[7]泼迫
m	[1]摸{动词；慢,拖拖拉拉}[2]磨魔膜摩摹模蘑馍谋[3]母亩拇姆牡[5]磨{～子口转动：把头～过来}[7]末莫墓
f	[2]佛
t	[1]多哆[3]躲[5]剁跺惰堕舵按拸垛[7]涿{量词：一～水}沰{淋：～雨}裰{缝纫}夺
tʰ	[1]拖[2]驮驼鸵陀[3]妥椭[7]脱托拓
n	[1]哕捋[2]罗锣骡箩螺萝逻脶{手指纹}[3]捋[7]乐落{～雨}烙洛骆搦{用盐短时腌制蔬菜：～菜}
ts	[3]左佐[5]做坐座[7]作撮{一～毛}昨嘬□
tsʰ	[1]撮{～合}搓[2]痤[5]错措锉[7]矬{矮～～}
s	[1]梭睃{眼珠灵活转动；斜视}[3]所锁琐[7]索缩唆嗍
tʂ	[1]啄[7]着{燃烧起来}桌捉镯拙
tʂʰ	[3]□{挑拨；怂恿}[7]戳绰
ʂ	[7]硕说{文}烁朔砾
ʐ	[7]弱
k	[1]锅歌哥过[3]果裹[5]过个各[7]鸽割搁阁葛郭角
kʰ	[1]科棵颗窠[3]可[5]课[7]渴壳磕瞌扩廓搉
ŋ	[1]阿{～胶}[2]鹅蛾俄[3]我[5]饿[7]恶
x	[1]呵[2]和{～气}河荷禾[5]货获祸{惹～}贺[7]合盒喝祸{～害}
Ø	[1]阿{～弥陀佛}哦{叹词}
#io	
n	[7]箬虐疟略掠{稍微剪短一点儿：把头毛～掉一点}
tɕ	[7]脚嚼觉{知～}
tɕʰ	[7]却雀确{的～}
ɕ	[7]学削
Ø	[7]约乐{音～}岳钥药
#uo	
Ø	[1]窝莴屙蜗涡[2]讹{相差：～不少；怪罪；蔽诈}[7]卧{～铺}浣{不干净；弄脏}
#ɚ	
Ø	[2]而儿[3]耳[5]二
#ɛ	
p	[1]掰[3]摆[5]败拜稗
pʰ	[2]排牌[5]派湃
m	[2]埋[3]买[5]卖迈脉
t	[1]待{待着}呆[3]逮歹[5]带代戴待袋贷怠黛
tʰ	[1]胎[2]拾{～水；～头；衬托：这衣服～人}台[5]太态{～度}泰汰
n	[1]奶{～～：祖母}[2]来莱[3]奶{牛～}[5]耐奈赖癞
ts	[1]栽灾栽[3]宰载崽仔{牛～裤}[5]在再
tsʰ	[1]猜[2]才材财裁[3]踩睬采彩[5]蔡菜
s	[1]腮鳃塞[3]□{揍：把他～-顿}[5]赛
tʂ	[1]斋[5]寨债
tʂʰ	[1]差{出～}钗[2]柴豺
ʂ	[1]筛[5]晒
k	[1]该街[3]改解{白}[5]盖钙丐芥戒{（白）～烟}概{（文）～念}
kʰ	[1]开[3]楷凯锴[5]概{白}
ŋ	[1]哀挨{～近}唉{～声叹气}[2]挨{～打}癌{文}埃[3]矮[5]爱碍艾捱{拖延}
x	[1]嗨[2]孩还鞋[3]海蟹{～子}[5]害亥{～时}
Ø	[1]唉{叹词,表示叹息}[5]哎{叹词，表示呼唤、应答、同意等}
#iɛ	
tɕ	[1]阶{台～}[3]解{文}[5]介{～绍.界～线}届{换～}戒{文}械{机～}
Ø	[2]岩癌{白}崖
#uɛ	
tʂ	[1]□{胳膊脱臼或有残疾}[3]□{拿架子}[5]拽
tʂʰ	[1]揣[5]踹
ʂ	[1]摔衰[3]甩[5]帅
k	[1]乖[3]拐[5]怪
kʰ	[5]快块筷会{～计}
x	[2]怀淮槐踝[5]坏
Ø	[1]歪[2]□{播晃不稳}[5]外
#e	
p	[7]北白百伯
pʰ	[7]拍
m	[7]默麦
t	[7]得德
tʰ	[7]特
ts	[7]贼则责择泽
tsʰ	[7]册侧策测厕{（文）～所}拆
s	[7]色虱塞{水瓶～子}糁{饭～子：饭粒}
tʂ	[1]遮[3]者[5]这[7]折哲浙蔗摘
tʂʰ	[1]车扯{～水：从井里打水；抽搐}[3]扯{～布：买布}[5]撤彻{～底；来不～：来不及}掣{～霍：闪电；敏捷}
ʂ	[1]设舌摄{折损耗；降：江水～着一点}赊赦歙佘[2]蛇[3]舍{～不得}[5]射舍{宿～}涉
ʐ	[3]惹[7]热
k	[7]革隔格
kʰ	[7]咳刻克客
k	[3]给[5]□{锯：把树～断}
x	[5]嘿[7]吓黑赫{不～显：不怎么样}
n	[1]勒[5]肋
#ei	
p	[1]杯背悲卑碑[5]背{～心}倍贝备被闭{（白）把灯～掉}
pʰ	[1]胚呸[2]陪赔培[5]配佩
m	[2]煤酶霉玫眉梅媒莓[3]每美[5]妹昧
f	[1]非飞妃[2]肥[3]匪翡[5]费废肺痱
t	[1]堆[5]队对兑
tʰ	[1]推梯{～子}[3]腿[5]退褪蜕
n	[2]雷擂[3]馁累{积～}蕾儡[5]内累{受～}泪{文}
ts	[3]嘴[5]最醉罪
tsʰ	[1]催摧{动词；水壶：水～子；用水壺烧：～壶水}崔[2]随[5]脆翠
s	[1]虽[2]随{～时}隋[3]髓[5]岁碎穗隧
x	[3]□{～头～脑；养攮,无分寸}
#ue	
k	[7]国
x	[7]或
Ø	[7]物
#uei	
