IPA	调类	调值	例字
tsɿ	1	55	资姿咨兹滋
tsɿ	3	21	紫纸只=[~要]姊脂旨指子梓止址滓
tsɿ	5a	45	制刺[(名词)]至志痣
ʣʰɿ	2a	13	瓷慈磁辞词祠时只[~有]糍[~粑]
ʣʰɿ	3	21	□[(理睬)]此侈
ʣʰɿ	5b	35	伺刺[(动词)]次赐
ʣʰɿ	6	33	誓是氏豉自示视字似巳寺市
sɿ	1	55	斯私师狮诗尸司丝思虱
sɿ	3	21	死屎始
sɿ	5a	45	世势四肆试
pi	1	55	痹[~子,瘫痪了的人]屄[(女阴)]
pi	2b	24	逼碧璧壁=必毕笔
pi	3	21	比彼鄙=敝[~人]
pi	5a	45	蔽毙闭痹[(麻痹)]滗[~水:倒掉容器中多余的水或汁]憋
bʰi	1	55	批披璧=
bʰi	2a	13	皮疲脾啤批琵匹
bʰi	3	21	痞庇鄙-
bʰi	5b	35	屁僻辟
bʰi	6	33	弊币鼻被备蓖
li	2b	24	犁黎离篱璃梨厘
li	3	21	礼李里理鲤醴澧
li	5a	45	丽痢历励厉吏立笠粒栗力
li	6	33	例荔利痢
ȶi	1	55	低
ȶi	2b	24	滴=的[~确]嫡笛敌狄
ȶi	3	21	底抵
ȶi	5a	45	帝缔蒂踮
ȡi	1	55	梯
ȡi	2a	13	题蹄啼提=
ȡi	3	21	体
ȡi	5b	35	替涕剃屉隶[~属]
ȡi	6	33	弟第递地
ʨi	1	55	隻=知支枝肢桅饥肌鸡稽芝之基几[~乎]机奇[~数]
ʨi	2b	24	蜘积缉急级吉螂即织职极击激绩执汁吸侄质积迹
ʨi	3	21	己纪幾[~个]挤鹿杞[枸~]脊=
ʨi	5a	45	智冀记忌既计继系[~鞋带]髻寄祭际济迹剂季寂这=
ʥʰi	1	55	妻溪-欺痴
ʥʰi	2a	13	□[(凑近看)]七漆乞齐池迟驰奇[~怪]岐祁鳍持其棋期旗骑膝-尺=吃=
ʥʰi	3	21	启起杞[~人忧天]岂
ʥʰi	5b	35	契器弃气汽去-泣戚集辑及直值殖植极
ʥʰi	6	33	倚技妓痔治企[~业]
ɕi	1	55	西施牺嬉希稀悉溪=
ɕi	2b	24	习袭湿失室息熄媳析适释惜昔夕席=膝=
ɕi	3	21	洗喜
