#漢字	音標	解釋				
#簡稱	/	乐昌三溪				
#全稱	/	乐昌三溪话				
#版本	/	2022-6-23				
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f				
#韻母	/	#韻母順序，用逗號分開。如：a,o,e				
#聲調	/	1 1a 陰平 ꜀, 2 1b 陽平 ꜁, 3 2 上 ꜂, 5 3a 阴去 ꜄, 7 4a 阴入#每個聲調包括：五度調值 八聲 四聲 漢字調類 四角調類，調內用空格分隔，調間用逗號分開。				
#說明	/	來源： 《乐昌土话研究》#HTML格式，僅允許一行，用<br>換行				
多	to1					
拖	tʰo1					
他	ie6					
驼	to2					
舵	to3					
大	ta6					
罗	lo2					
锣	lo2					
萝	lo2					
左	tʃo3					
搓	tsʰie1					
歌	ko1					
哥	ko1					
个						
可	kʰo3					
鹅	ŋo2	天~				
我	ŋa6	书籍记载，存疑				
我	ŋo6	实际读音				
饿	ŋo6					
河	ho2					
荷	ho2					
贺	ho6					
茄	kʰye2					
波	po1					
菠	po1					
簸	po5					
坡	po1	不符合方言演变规律				
破	pʰo5					
婆	po2					
魔						
磨	mo2	~刀				
磨	mo6	~石				
朵	to3					
剁						
糯	no6					
骡						
螺	lo2					
螺						
脶						
坐	tʃʰo3					
蓑	ʃo1					
梭						
锁	ʃo3					
锅	ko1					
果	ko3					
过	ko5					
科						
窠						
课	kʰo5					
卧						
货	kʰo5	不符合方言演变规律				
火	ho3					
和	ho2	~气				
禾	o2					
祸	ho6					
窝	o1					
瘸						
靴	ye1					
巴	pɔ1					
疤	pɔ1					
把	pɔ3	~握				
怕						
爬	pɔ2					
杷						
麻	mɔ2					
马	mɔ3					
骂	mɔ6					
拿						
茶	tʃʰɔ2					
渣	tʃɔ1					
榨	tʃɔ5					
叉	tʃʰɔ1					
差	tʃʰɔ1					
查	tʃʰɔ2					
沙	ʃɔ1					
纱	ʃɔ1					
洒						
家	kɔ1					
加	kɔ1					
痂						
嘉						
假	kɔ3	真~				
架	kɔ5					
嫁	kɔ5					
价	kɔ5					
揢						
牙	ŋɔ2					
芽	ŋɔ2					
衙						
虾	hɔ1					
赫						
下	hɔ3					
夏						
鸦						
哑	ɔ3					
亚						
姐	tʃye3	推导音，无记录				
借	tʃye3					
且	tʃʰɔ3					
些						
写	ʃye3					
泻	ʃɔ6	不符合方言演变规律				
邪						
斜						
谢	ʃye6					
遮	tʃɔ1					
者	tʃoe3					
蔗						
车	tʃʰɔ1					
扯	tʃʰɔ3					
蛇	ʃɔ2					
射						
赊	ʃɔ1					
舍	ʃɔ3	~得				
社	ʃɔ3					
惹	iɔ3					
爷	iɔ2					
也	ia6					
野	iɔ3					
夜	iɔ6					
耍						
瓜	kua1					
寡	kua3					
剐	kua3					
誇						
垮	kʰua3					
牛						
瓦	ua3					
瓦	ŋɔ3					
花	hua1					
化	hua5					
划	hua2	~船				
補						
谱						
布	pu5					
铺	pʰu1	~床				
铺	pʰu5	店~				
普	pʰu3					
菩	pu2					
步	pu6					
模	mu2					
都	tu1	首~				
堵						
赌	tu3					
肚	tu3					
土	tʰu3					
吐						
兔	tʰu5					
徒	tu2					
屠	tu2					
涂	tu2					
图	tu2					
杜	tu5					
度	tu6					
奴	nu2					
