du	4	231	肚2(担~,怀孕;伸腰扭~.伸懒腰)			
du	6	213	肚3(~肠)杜度1(长~)渡镀			
lu	3	51	鲁橹虏卤			
lu	5	334	卢炉1芦鸬庐鲈颅泸攎(收聚:用手~)			
lu	6	213	路露鹭赂			
tsu	1	44	租猪诸朱蛛株诛珠硃□(凸起:~出来-块)			
tsu	3	51	祖组阻诅煮主疰(~夏)			
tsu	5	334	著驻注蛀铸𣥼(《集韵》去声御韵陟卢切,“~,吴俗谓盛物于器曰~.”)			
tsʰu	1	44	粗初吹-			
tsʰu	3	51	褚(姓)楚础杵鼠(老~)暑(~假)处1(~理,办事~)			
tsʰu	5	334	醋措处2(到~)			
dzu	2	113	除储厨橱刍雏捶-(~背)垂-(耳朵~子)			
dzu	6	213	苎助住柱箸(筷~笼)			
su	1	44	苏酥疏书舒枢殊1抒梳输𤼀(乏力:人~)𣩷(~煮烂了)须鬚(玉米~)□(~腿.抖腿)			
su	3	51	数(动词,~~有多少)水-(车~,落~鬼)			
su	5	334	数(名词.~目)素诉塑(泥~)恕戍漱(~口)曙薯署庶蔬(~菜)			
zu	5	334	锄如儒茹刍(又音)雏(又音)殊2(旧读)			
zu	4	231	竖乳(~~,豆腐~)擩(插、拿旗~起来)			
zu	6	213	汝树助(又音)			
ku	1	44	姑沽菇蛄孤箍辜咕(叽叽~~)			
ku	3	51	古估牯股鼓臌(~胀)䀇(沙~)蛊(~惑人心)			
ku	5	334	故固锢雇顾囗(~弄,房子与房子间的狭窄过道)			
kʰu	1	44	枯			
kʰu	3	51	苦			
kʰu	5	334	库裤枯(菜~,稻穗~)			
gu	2	113	咕(又音, ~~唠唠,心中不满,自言自语)			
gu	6	213	□(污垢附著在人体或器物上:~手,沾手)			
xu	3	51	虎(又音)□(又音.抛洒)			
u	1	44	乌污□(陷入)			
u	2	113	吴蜈梧壶娪(亵~子,妓女)胡(~子)			
u	3	51	五午忤(~逆)			
u	5	334	捂恶(厌~)焐(~手:焖;烧开仔还要~~)			
u	6	213	误悟互护务雾户沪紨(䙬~)坞(上~)鹉(鹦~)			
ly	3	51	吕侣铝旅屡			
ly	5	334	驴			
ly	6	213	虑滤缕			
tɕy	1	44	居拘驹矩锥-(~钻子)疽			
tɕy	3	51	举嘴			
tɕy	5	334	据锯句醉-(酒~)沮(~潮)			
