#调值	［1］31［2］53［3］24［5］213
#ɿ	
ts [1]知蜘支枝肢栀资姿咨兹滋辎之芝嗤侄质只{一～}豉炙汁翅{白}脂职炙织吃[2]执直值植殖秩[3]紫纸姊指旨子梓滓止趾址只{～有}[5]滞制智翅雉自 致稚至字置治志痣	
tsʰ [1]疵匙痴赤斥尺吃翅{文}[2]雌池驰差瓷糍迟慈磁辞词祠持伺差{参～}[3]此齿[5]刺赐次	
s [1]斯厮撕施私狮师尸司丝思诗失室适释湿识式饰[2]时实石十什拾食蚀[3]屎舐死使史驶始[5]世势誓逝是氏四肆示视嗜似祀巳士仕柿俟市恃寺嗣饲事试侍	
z [1]日	
#i	
p [1]蓖逼碧璧辟壁[2]鼻[3]彼俾比□{ku31～：牛虻}[5]弊毙敝陛箅鐾婢避臂秘庇痹篦毕必	
pʰ [1]批披丕匹僻劈胚坯[2]皮疲脾枇琵[5]弼	
m [1]迷觅[2]谜糜弥[3]米[5]泌密蜜	
t [1]低堆{文}的滴嫡[2]笛敌狄[3]底抵[5]弟帝第递	
tʰ [1]梯踢剔[2]堤提题蹄啼[3]体[5]替涕剃屉	
l [1]立笠粒栗力律{白}溺历率{速～}□{～xai31：这里}[2]虑泥犁黎离篱璃梨釐狸雷{白}[3]礼履里李理鲤旅{白}垒{白}女{白}[5]滤例厉励丽隶荔利痢吏类{白}泪{白}逆	
tɕ [1]鸡稽饥肌基机讥缉集辑急级疾给{供～}几{茶～}及吸{白}吉即鲫极戟屐积迹脊籍藉绩击激□{pu53～：荸荠}[2]荠[3]挤己杞几{～个}[5]聚祭际穄济剂计继髻技妓冀寄纪记忌既系{～鞋带}寂{文}季	
tɕʰ [1]蛆妻欺七期漆膝[2]齐脐畦奇骑岐祁其棋旗祈戚乞[3]取{文}娶{文}启企起岂[5]趣契器弃气汽去{白}泣	
ȵ [2]倪宜仪尼疑[3]你{文}拟蚁{白}[5]谊议腻匿义{白}	
ɕ [1]须需西棲犀溪兮奚牺嬉熙希稀吸{文}悉息熄媳席夕锡析戌恤[2]习袭褯徐{白}[3]洗玺徙喜[5]序{白}叙{白}绪{白}细婿碎{文}戏系{连～}	
Ǿ [1]伊医衣依揖乙一益亦译易[2]移夷姨沂遗[3]与倚椅已以尾{白}蚁{文}[5]誉{白}豫{白}义{文}艺刈易肄意异毅逸{文}忆亿抑翼疫{文}役{文}	
#u	
p [1]不[2]□{～tɕi31：荸荠}[3]补[5]部簿布怖步	
pʰ [1]铺扑醭仆曝瀑[2]蒲菩脯[3]谱普浦捕埠甫阜[5]铺赴讣	
m [1]木目穆牧[2]模{～子}[5]暮慕墓募茂	
f [1]呼护夫肤敷孵麸赋福副蝠复腹覆盖服伏栿忽[2]胡湖壶乎俘符扶芙抚斛佛{仿～}浮狐[3]虎浒府腑俯脯斧釜腐辅[5]户沪戽互瓠{～瓜}父付傅附妇负富副复	
v [1]屋[3]舞	
t [1]督[2]笃	
tʰ [1]秃突[2]屠	
l [2]奴{文}	
s [1]粟[5]戍	
z [2]儒{文}辱{文}[3]乳{文}	
tɕ [1]局	
tɕʰ [1]曲{文}	
k [1]姑孤箍谷骨□{～pi24：牛虻}[3]古估䀇牯股鼓[5]故固锢雇顾	
kʰ [1]枯哭酷窟[2]瓠{～芦}跍[3]苦[5]裤库	
Ǿ [1]乌污巫诬侮[2]吴蜈吾梧无物勿[3]五伍午武舞鹉[5]坞误悟恶{可～}务雾戊	
#y	
l [1]律{文}[2]驴{文}[3]女{文}吕旅{文}缕屡	
tsʰ [1]初{文}[5]去{文}	
tɕ [1]猪诸居车{～马炮}诛蛛株珠朱硃拘驹菊掬橘[3]煮举主帚[5]苧巨拒距著据锯惧柱矩驻注住蛀铸句具惧	
tɕʰ [1]渠驱区驱屈麯黢出[2]除储厨雏瞿[3]取{白}娶{白}拄□{：捅}[5]去处{～所}	
ȵ [2]驴{白}	
ɕ [1]书舒墟枢输殊[2]徐术[3]暑鼠许属薯[5]序{白}叙{白}徐{白}竖续树述{文}	
Ǿ [1]如汝吁迂于郁育狱域[2]鱼余儒{白}乳{白}愚虞娱盂榆逾愉[3]语雨宇禹羽[5]御愈遇寓芋喻裕疫{白}役{白}玉欲浴誉{文}豫{文}	
#a	
p [1]巴芭疤八拔□{～得高：爬得高，站得高}[2]爸[3]把[5]霸把{～柄}坝耙罢	
pʰ [1]帕趴[2]钯杷爬琶[5]怕	
m [1]妈抹{～布}[2]麻痳蟆[3]马码[5]骂□{：乳房}	
f [1]花{白}法乏发[2]华铧划伐筏罚[5]化画话	
v [1]袜	
t [1]答搭□{：跌倒}瘩[2]达[5]大	
tʰ [1]他踏拓沓塔榻塌獭[2]□{pan24～：扔掉}	
l [1]纳拉腊蜡捺辣癞□{毛～子：婴儿}[2]拿[3]哪[5]那{白} 	
ts [1]楂渣炸{～鱼}扎札轧铡抓[3]蔗爪[2]杂眨闸[5]䖳炸{爆～}诈榨乍	
tsʰ [1]叉杈差插擦察□{：踏}[2]茶搽茬[5]岔□{：淋}	
s [1]沙纱撒萨杀刷{文}杉痧[3]洒傻耍	
k [2]□{～子：阴茎}[3]尬{文}	
x [1]蛤哈	
Ǿ [1]阿	
#ia	
