1	43	陰平
2	22	陽平
3	325	陰上
6	31	陽去
7	5	陰入
8	2	陽入
，	文	
。	白	
！	小稱	
.	又	
無	零聲母	
tsɿ1	資咨諮姿茲滋之芝脂痔致置	
2	持	
3	子	
6	治稚	
tsʰɿ1	癡	
3	恥豈	
sɿ1	思，私	
sɿ2	而時	
6	視寺嗣飼	
pi1	祕泌庇閉，	
3	鄙比肉斧	
6	幣，斃，	
pʰi	□（漏～ 笊籬也）	
2	皮疲被琵枇脾肥	
6	鼻	
mi2	眉	
3	美。	
6	媚味	
ti1	知。	
6	自（~kɔ 自呼也）	
tʰi3	體	
6	地又弟	
ni2	尼	
li2	離，籬璃	
3	李禮里裏理	
6	利荔	
tsʰi2	遲，	
3	齒	
6	字	
tɕi1	知（, 知識）枝支子（詞尾）	
3	指紫，紙姊	
tɕʰi2	池詞辭匙	
6	視（近~）徛	
ȵi1	爾！你！耳！	
2	兒疑蟻	
6	二藝義議毅	
ɕi1	屍希四在是	
2	時（眼頭~）	
3	屎矢死始	
ki1	幾（舉豈切）機基痣季，志誌記渠寄冀	
2	騎奇□（倚也）	
3	紀几擧。	
6	技妓	
kʰi1	欺氣汽器棄	
2	其旗祈	
3	企	
6	柿	
hi1	希犧去	
3	喜起倚（角~）	
i1	衣醫	
2	迻移姨飴	
3	以，	
6	意，異，易肄	
pu1	晡（今～）播玻夫布	
2	菩浦	
pʰu3	普譜	
6	鋪（普故切）步部	
fu1	絝褲芋傅父，	
2	符芙糊壺湖狐胡鬍	
3	府虎火苦	
6	負婦	
tu3	賭	
6	肚（~~ɕi 肚子）	
tʰu1	兔吐	
2	屠塗圖	
3	土	
6	度（娶也）渡杜	
nu6	稬怒	
lu2	爐	
3	魯呂旅	
6	路露	
tsu1	租資。次	
3	祖組紫	
tsʰu1	雌祠麤酢錯	
3	似祀巳	
su1	瓷私。師獅思。絲施篩詩市數（所矩切）塑試蘇酥鬚	
3	數（色句切）	
6	視，事。自柿侍	
ku1	孤過囗（滅也）固雇	
3	姑！古牯估鼓股	
kʰu1	庫	
u1	烏	
2	吳	
3	舞	
6	霧務惡	
tɕy1	豬朱珠輸具，追，注	
3	煮取，矩擧，主豎	
6	住柱	
tɕʰy1	處趣	
2	除儲錘	
6	箸	
ȵy2	魚娛	
3	女	
6	遇	
ɕy1	虛書輸舒薯鼠暑	
2	徐誰	
3	水	
6	樹	
ky1	居鋸據拘句餓（飢~）	
kʰy1	區驅	
2	瞿	
6	拒距巨	
hy1	去	
3	許	
y1	餘？	
2	愉遺	
3	雨（，~衣）宇	
6	喻裕	
pa1	霸壩父北（~京）	
tsa1	借	
sa1	帥，	
ɕa3	寫	
ha1	嚇害呵客杏（又）	
a1	阿（又）丫	
tia1	爹	
tɕia1	遮蔗嬭（嫬）	
tɕʰia1	車	
ɕia1	瀉	
2	蛇畬協，	
3	寫	
6	射麝謝社	
ia3	野	
6	夜	
pɔ1	巴疤	
2	杷	
3	把	
pʰɔ1	□（屎～ 圊也）	
2	匍，爬，琶	
6	耙	
mɔ	馬！	
2	麻	
6	罵	
fɔ1	花化	
nɔ2	□（物件）	
tsɔ6	灹醡（~油）	
tsʰɔ1	杈釵差蔡	
2	茶查炒	
sɔ1	紗砂疏	
kɔ1	加假（居迓切）架嫁駕嘉家（~具）挂價	
3	假（古雅切）	
kʰɔ1	□（外~邊）	
ŋɔ2	牙芽	
3	瓦（小稱）雁（又 小稱）	
6	外（~甥）	
hɔ2	霞	
3	蝦！	
6	下廈	
ɔ1	鴉丫（~叉）	
uɔ6	話畫	
po1	薄.菠	
pʰo1	破，	
2	婆	
3	剖，	
mo2	魔磨（莫婆切）嬤	
6	磨（摸卧切）	
to1	多	
tʰo1	拖	
2	毒（毒之曰毒 去聲）	
3	橢	
6	惰垛（柴～）	
lo1	攞（拏也 娶也）	
2	鑼籮蠃	
tso6	作	
tsʰo1	初坐	
3	楚	
6	座	
so3	鎖	
ko1	哥歌	
kʰo1	課窠	
ŋo2	䳘俄蛾	
ho1	荷貨化	
2	猴何（有也）盉（~氣）華禾（, ~苗）	
6	禍	
o1	屙	
tɕio2	著（.碰~）	
tɕʰio1	助	
2	鋤	
ɕio1	鞾梳蔬稀	
kʰio1	□（老～ 䵹鼄也）	
3	茄！	
io6	要	
uo2	禾。叫（喔）	
pie1	蓖	
tie1	第，	
6	遞	
lie3	禮	
6	例歷離（。 ~開）	
tɕie1	枝肢齊，祭	
ȵie2	儀□（乳子）	
ɕie1	世勢	
6	誓	
kie1	計繼季，	
6	系（漢語~）	
kʰie1	契	
hie1	戲	
ie2	迻移	
pai1	拜跛	
3	擺	
6	敗	
pʰai1	派	
2	排牌	
mai3	米！美，	
6	買，賣，	
tai2	汏	
3	底	
6	兌	
tʰai1	剃	
3	弟！體睇	
nai2	泥	
6	能，	
lai2	碌	
tsai1	齋最，	
6	寨	
tsʰai2	柴，才財材齊。	
sai1	婿嬸細西顋曬	
3	洒洗	
kai1	戒，界介屆□（頑皮）	
3	改，	
kʰai1	開（,~會）	
hai1	害，解？	
2	鞵	
ai1	低阿	
3	矮	
ɕiai2	衺斜	
6	□（疾也）	
kiai1	雞街皆由介戒。季。	
3	解	
kʰiai1	楷	
hiai1	快	
kuai1	怪	
3	柺	
huai2	懷，	
uai1	竵外，	
tɔi6	帶逮	
tʰɔi1	太	
6	大	
lɔi6	賴癩	
tsʰɔi1	蔡	
kɔi1	箇	
ŋɔi1	我	
hɔi2	懷（~孕）	
oi		
p1	貝輩沸疱	
2	陪	
6	倍背（~書）	
pʰ1	配梯	
2	賠	
6	焙	
m1	妹！	
2	梅楣煤媒枚塺	
f1	灰	
2	囘茴	
6	會（開~）	
t1	對堆碓（水～）	
6	隊	
3	拖（曳也）	
tʰ1	胎態推退	
6	代袋	
n6	能內	
l2	雷來棃	
6	類裏？	
ts3	崽	
6	罪	
tsʰ1	菜	
2	猜	
s1	歲賽碎	
2	隨	
tɕʰ1	吹炊	
ɕ1	稅	
k1	蓋	
kʰ1	恢盔塊會（~計）	
ŋ2	獃	
無1	煨	
6	愛	
tɕyoi3	嘴	
puei1	飛費碑杯	
uei		
pʰ1	胚	
m1	尾！	
m6	味	
f1	肺廢	
ts1	醉嘴，	
s3	使	
k1	規貴，桂龜	
3	癸鬼軌	
6	跪	
kʰ2	葵	
1	開（清理）	
h1	徽，	
無1	威危委	
2	維圍違	
3	偉	
6	魏䘙位慰，胃	
au		
p1	包爆	
2	拔	
3	抱	
pʰ1	泡礮	
m1	茅	
6	貌	
t1	鳥！	
6	調	
tʰ2	條調	
n6	鬧溺	
3	腦，	
l2	寮（屋也）嫽	
ts1	罩蕉？	
tsʰ1	鈔抄	
2	巢	
3	炒	
s1	笑瘦騷燥消銷	
3	小嫂.	
k1	教交郊	
kʰ1	靠敲	
3	巧攷考烤	
ŋ2	顏	
h1	孝皓	
iau		
p3	表	
pʰ1	票	
m2	貓苗	
t1	刁彫雕釣	
tʰ1	挑糶	
n2	饒	
6	繞（~線）	
tɕ1	爪（番薯~）	
tɕʰ1	鍬翹	
ɑu		
p1	報	
3	保	
pʰ2	袍	
6	暴	
m2	毛無？孬	
6	帽	
t1	刀到	
3	島禱倒（~楣）	
6	道，	
tʰ2	桃濤陶	
3	討	
6	道。導盜	
n3	腦	
l2	勞牢	
3	老	
ts1	糟	
3	早左走	
tsʰ1	皁	
2	曹	
3	艸	
6	造	
s1	□（乖巧）	
3	掃嫂	
k1	高膏糕告	
3	狗	
6	厚	
ŋ2	牛䳘	
h1	薅	
2	猴	
3	好（~差）	
無1	奧懊	
2	熬豪	
3	襖藕，	
əu		
ts1	奏	
tsʰ1	湊	
s3	所手	
ŋ3	藕。	
ieu		
p1	標彪	
pʰ1	飄	
3	剖。	
m3	母牡某	
6	戊茂貿	
f3	否	
t1	兜到	
3	斗	
tʰ1	偷透	
2	頭投	
3	敨	
6	豆	
l2	摟（~耳朵）	
6	料漏，（~斗）	
ts1	皺	
tɕ1	招照	
tɕʰ1	超	
2	朝潮	
6	趙	
ɕ1	燒邵蕭銷閂	
2	紹愁	
k1	叫驕	
k 1	靠鮳	
2	橋	
3	口	
h3	曉	
無1	腰妖	
2	姚搖謠	
3	舀	
6	要.鷂	
iu		
pʰ2	浮	
t1	丟	
l2	流劉榴	
