#符号说明：-白=文/书*俗?待考		连读高降调	[1b]⁵³
#调值	[1]⁵³ [2]⁵⁵ [3]²¹ [5]²² [6]³²⁴ [0]⁰	连读高平调	[2b]⁵⁵
#ɿ		连读低降调	[3b]²¹
tʰ	[1]厅[2]亭停廷庭[3]艇挺□{斜靠}[5]听[6]定		
l	[2]林淋临邻轮菱宁{~波}灵零铃农隆龙[5]领岭另[6]鳞令[0]□{乌~：乌鱼；比喻害群之马}□{mo⁵⁵~：鳗鱼}□{tɕiɑu̜⁵⁵~：松鼠}		
ts	[1]津1尽{~量}精1晶睛[2b]□{面~骨：颧骨}[3]井[5]贱2浸进		
tsʰ	[1]亲皴青清[2]寻晴情[3]请[5]侵静[6]遂{~安}蕈净		
s	[1]心辛1新幸性星[1b]□{maⁿ³³~雨：毛毛雨}[3]笋榫省{~长；节~}擤醒[5]信讯姓腥		
tɕ	[1]金襟津2巾斤筋劲{~头}京经供{饲养；抚养；赡养}[1b]□{头~：太阳穴}[2]琴1芹[3]禁紧警		
tɕʰ	[1]轻[2]琴2勤穷[5]揿近		
ȵ	[2]人1银迎浓[6]认		
ɕ	[2]熊雄[5]兴胸1凶		
Ø	[1]掩音阴荫因姻鹰鹦译[2]赢营蓉[3]饮引影勇蛹[5]忍印应{~该；答~}樱2映[6]任瘾闰拥用[0]蝇{苍~}		

#yɪⁿ			
tʃ	[1]肫菌君军[3]準准均[6]□{~光：形容光滑}		
tʃʰ	[1]春椿群□{伸}[2]裙[3]喘蠢		
ʃ	[1]熏[2]巡纯淳[5]训兄[6]旬顺		
Ø	[2]匀云雲[6]允运晕永		

#yⁿ			
tʃ	[6]□{吮吸}		

#on			
p	[2]盘旁[5]半		
pʰ	[5]伴胖[6]棒{竹~}		
f	[1]方[2]房防[3]纺[5]放 		
ts	[1]庄桩妆状{告~}[5]壮1		
tsʰ	[1]窗		
s	[1]双		
k	[1]冈钢缸扛{抬}光1江[3]岗纲港[5]杠降{~落伞}虹况[5b]□{被子~kaⁿ³³：棉袄}[6]广		
kʰ	[1]糠[5]抗囥{藏；放}矿[6]□{硌}		
x	[1]荒慌[2]行{银~}杭皇[6]□{~一下儿：突然}		
Ø	[2]黄1亡		

#ion			
tɕ	[5]镜		

#m̩			
Ø	[5]母[3]尾{~巴}		

#n̩			
Ø	[2]鱼渔1儿[3]尔{你}[5]五伍[6]二贰		
