#符号说明：-白=文/书*俗?待考		连读高降调	[1b]⁵³
#调值	[1]⁵³ [2]⁵⁵ [3]²¹ [5]²² [6]³²⁴ [0]⁰	连读高平调	[2b]⁵⁵
#ɿ		连读低降调	[3b]²¹
p	[1]菠薄{~荷}包胞[1b]□{~tsɛ²⁴：螳螂，蝗虫}[2]玻[2b]□{~翼儿：蝴蝶，蜻蜓}[3]保1堡宝饱[5]报暴爆豹龅雹[6]钵		
pʰ	[2]婆□{~tɕiou̜³¹：盘缠}[5]破2泡炮薄{厚~}[5b]□脬{卵~：阴囊}[6]饱		
m	[2]馍麻{~雀儿}毛1茅锚矛{长~：太平天国起义军}膜[2b]蚂{~蚁}□{~liⁿ⁰：鳗鱼}[5]冒贸[6]沫[0]姆{保~}		
t	[1]刀[3]倒{打~；~水}[5]到[6]笃		
tʰ	[2b]□{~帚：扫院子用的扫帚}[3]讨[5]套稻道1		
l	[2]脶萝逻劳1牢辣2□{~~：猪}[5]脑1老1落{~雨}洛骆络乐[6]闹		
ts	[1]糟[3]左早爪[5]灶罩笊镯		
tsʰ	[1]锉抄钞□{撞}[2]曹槽[3]彩草炒吵[5]躁糙耖		
s	[1]骚[3]嫂[5]唆扫[5]索束速		
k	[2]哥歌锅2高{~低}膏篙糕交1[3]裹稿绞搅[5]告胶1教{~书；~育}窖觉{睏~}[6]搞各阁郭角[0]□{lɔʌ̯⁵⁵~：连枷}		
kʰ	[1]课敲[3]可1考[5]科靠扩[5b]□{~白笋：茭白}[6]壳		
ŋ	[2]鹅[5]岳		
x	[1]货霍1[2]荷{~花；薄~}和{~气}[3]好{~坏}霍2[5]鹤好{喜~}孝[6]祸号{~码}		
Ø	[1]窝{酒~}[5]卧{~铺}		

#io			
tɕ	[1]交2蛟朝{初一~：正月初一}招{~亲}[5]招{~生}召照叫[6]着{穿}脚觉{~悟}		
tɕʰ	[2]朝1{~代}[3]巧[5]着{寻~：找到}[6]轿2戳确		
ȵ	[5]箬		
ɕ	[1]烧1□{掀}[2]苕[3]少{多~}		
