si	8	11b	佢他豉(豆～)瓷饲(～料)时(几～:什么时候)拾(收～:整治人)十折(～本:亏本)前(面～)磁(～铁)词祠辞
si	7	53	史(历～)喜(～事。又i44)湿歇(～一下)屑(～屎:垃圾)使(指～。又sai53)始(开～)
si	6	35b	誓自(～家)视字牸(～牛)巳寺痔(～疮)士仕柿(～花:柿子)市蒔(～田:插秧)贱(讨～:犯贱,又tʃiεn35b)蟮(虫～儿:蚯蚓)示(表～)
si	5	35	世势细戏试苋(～菜)线扇献现(～钱)熄(～灯)式
si	4	242b	是钱(重量单位)嫌
si	3	11	洗(～面:洗脸)屎起(觑nai11～:看不起)习(～惯)鲜(新～)癣(～疤:癣)实(～在)失室息(利～)食(粮～。又iε11)识(知～)惜(可～)席(～面)适(～合)释
si	2	34b	钱钱币贤全(～州。又tʃyεn11b)
si	1	44	西犀婿(郎～:女婿)系(关～|连～)撕施私师(老～|～傅)尸司丝诗希稀仙先悉(熟～)蟋(～蟀崽:蟋蟀)饰(首～)析锡
tsʰi	7	53	启(～发)耻齿(～轮)岂(～有此理)切(～菜)
tsʰi	5	35	砌契(～纸:契约)器(瓷～)气汽纤(～索:纤绳)刺(～刀)次(～序)
tsʰi	1	44	溪(梅～:当地地名)欺千戚
tsi	8	11b	奇持(支～)期旗集(～体|收～)值(～班)植(～物)
tsi	7	53	紫致(～敬)几止(～血)纪(～律)接摺褶劫(打～)汁(灌～:化脓)急折(打～)节结织□(间:一～屋儿)子(猴～。又tsai11)己(损人利～)
tsi	6	35b	企(～业)治(政～)件
tsi	5	35	锯际济祭制计继髻(～头:发髻)翅(～杆:翅膀)技寄指(手～头)置志(～气)志(杂～)痣记(～得)既(～然)占(～领)箭剑(～刀:剑)颤见(觑～:看)见季
tsi	4	242b	徛(站立)
tsi	3	11	举脐肚(～窟:肚脐眼)纸指(用手指。又tsɿ45)趾(脚～头)杞(枸～菜)蚤(级一～两～)及(～格)质吉(～利)职(～务)籍(～贯)极积绩击激(～动)
tsi	2	34b	齐棋(下～)舅(阿～:舅舅)
tsi	1	44	鸡知智(～慧)支(～持)枝肢只(～有)姿资脂(胭～)饥(肚～嘎:肚子饿了)之芝基(～脚:地基)机饑祈(千～莫去)尖(～～:尖儿)今(～晡日:今天)煎
i	7	53	已(～经)以(～为)
i	5	35	繫(粪箕～:粪箕提梁)意(～思)异毅亿一易(～得:容易)
i	3	11	起(起来:收～)叶(～儿:叶子)页舌日(～头:太阳)益(有～)译
i	2	34b	移(～动)
i	1	44	椅(交～:椅子)医衣依佑(保～)喜(欢～)
ɲi	7	53	染眼
ɲi	5	35	艺义议淹燕
ɲi	3	11	蚁(蚂～)撚逆(忤～:不孝顺)仪(～器)宜尼(～姑)疑
ɲi	2	34b	泥盐阎檐(～口:屋檐滴水处 )鲇(～鱼)颜(～料)燃研(～儿:研子)
ɲi	1	44	烟
li	7	53	礼理
li	5	35	厉励丽荔(～浦)吏立(成～。又lai35)
li	3	11	璃(玻～)厘歷(～史)
li	2	34b	犁
ni	5	35	□(挼～:搓绳子)□(小)炼(～铁)□(打滚:～地)
ni	2	34b	年(过～)
tʰi	7	53	体帖贴铁□(来nai11～了:来不及了)
tʰi	5	35	剃替
tʰi	3	11	剔(～骨头)
tʰi	1	44	梯(楼～)添天
ti	8	11b	碟□(慢慢～行:慢慢的走)
ti	7	53	跌(～嘎:丢了)
ti	6	35b	递(～把佢:递给他)弟(徒～。又tiε242b)第簟垫
ti	5	35	帝
ti	3	11	抵底点(量词，些儿，点儿。又tiε11、tiεn53、tia11)的(目～)嫡敌
ti	2	34b	堤题蹄甜填田
ti	1	44	癫
mi	7	53	米尾(～巴)免(～得)
mi	5	35	谜沕(潜水)面麵(～条)
mi	3	11	篾密蜜明(清～。又min34b)迷
mi	2	34b	眉(～毛)棉
pʰi	7	53	鄙(下流)
pʰi	5	35	屁遍(再讲一～片)
pʰi	3	11	避(～免)僻(偏～)辟庇(包～)
pʰi	1	44	批篇匹
pi	7	53	比鳖笔逼
pi	6	35b	币毙被(～动)婢(奴～)备(准～)篦(～梳:篦子)
pi	5	35	蔽闭痹秘变滗(～汤)
pi	4	242b	被(～窠:被子)
pi	3	11	必毕擘(～开:剥开)碧
pi	2	34b	皮脾(～气脏:脾气不好)枇(～杷)琵(～琶)便(～宜)
pi	1	44	边(～边:边儿。又pin44)
u	7	53	伍(队～)武鹉雨握(～手)屋
u	5	35	误(～事)悟(～性)互(～助组)务雾芋戊
u	3	11	袄(裌～)梧(～州)□(淹没)
u	2	34b	吴壶湖鬍瓠(～芦)扶符狐(～狗:狐狸)胡(～椒)
u	1	44	乌污诬
kʰu	5	35	库靠(～倒:靠着，依仗着。又kʰau35)
kʰu	3	11	苦(又fu11)酷
kʰu	1	44	枯(花生～|茶～)
ku	7	53	估(～计)股(～份)牯(畲～:公黄牛)鼓
ku	5	35	固故顾雇句告(～状)
ku	3	11	古谷(～雨)
ku	1	44	孤姑(尼～)箍高篙(竹～)
fu	7	53	浒(水～)府(唐～|政～)舞(跳～)
fu	5	35	户护付傅姓富副负妇(～女:女人)
fu	3	11	苦(又kʰu11)好佛(～教)获(收～)福複覆伏服復(重～)
fu	1	44	呼(招～)夫(脚～)薅(～田)
mu	5	35	帽幕牧
mu	3	11	莫(姓)木目
mu	2	34b	模毛(～～崽雨)
pʰu	7	53	谱浦普
pʰu	5	35	铺戽(～水)□(泼水，洒水)
pʰu	3	11	樸(～素)扑
pʰu	1	44	铺
pu	8	11b	腐(豆～)薄缚仆(～倒)
pu	6	35b	部步埠(～头:水边码头)菢
pu	5	35	布佈报(～恩)
pu	4	242b	抱
pu	3	11	补斧(～头)保(～出来)
pu	2	34b	蒲(～扇)浮
pu	1	44	晡(后日～:后天)
y	7	53	吕旅语(～文)雨(谷～)
y	5	35	预裕餧玉
y	3	11	余娱(～乐)愚泪(眼～。不单说)月(～亮)律□(～走:驱赶开;追赶)虑(考～)
ʃy	7	53	暑(～假)血
ʃy	5	35	漱术(白～)
ʃy	3	11	戌(戊～)
ʃy	1	44	序(秩～)舒墟(y11～:赶墟)虚需鬚输(～赢|运～)闩术(技～)
ɲy	7	53	远
ɲy	5	35	愿(心～)怨院(宅～。又yεn35)
ɲy	2	34b	丸铅沿源(～头)园(～nai44:菜园)
ɲy	1	44	渊
ʧʰy	7	53	处(～理)取(争～)缺
ʧʰy	5	35	处(到～)趣(兴～)串劝
ʧʰy	3	11	殊(特～)屈(委～)麴
ʧʰy	1	44	区川(四～)穿圈
ʧy	8	11b	徐如(假～)瞿薯(葛～。又səu11b)
ʧy	7	53	□(打)
ʧy	6	35b	序(次～)聚具(～备)赚(～钱:盈利)县(一～:一个县)
ʧy	5	35	著据(根～)拘(～留)转剧(京～)
ʧy	4	242b	软(手～)
ʧy	3	11	主矩(规～)卷菊
ʧy	2	34b	除(～脱:除开)厨(～pa11:厨子)船
ʧy	1	44	诸车(又tai44)居朱珠砖
a	7	53	下(～底头:下面|～课)夏(立～节)鸭押
a	3	11	蛾(飞～崽:飞蛾。又o34b)额(～头)哑
a	2	34b	衙(～门)
a	1	44	阿(～妈:母亲)牙芽丫(～头)啊(语气词)
xa	7	53	赫嚇□(傻)
xa	1	44	哈(放置;给)虾下(乡～)
nga	7	53	哑(～狗:哑巴的蔑称)
nga	3	11	砑
kʰa	7	53	客
kʰa	3	11	□(二～儿:秕子)卡(卡住)
kʰa	1	44	揢(～颈)掐
ka	7	53	痂(结～)裌(～袄:夹衣)夹挟隔
ka	5	35	价架嫁
ka	3	11	假嘎(肚饥～:肚子饿了)□(maŋ53～:妻子)
ka	1	44	家
sa	8	11b	杂煠(水煮)射石宅(住～)
sa	6	35b	□(倒:～水)麝(～儿)
sa	5	35	□(～底日:明天)
sa	4	242b	社(春～:在春分前后)惹
sa	3	11	捨
sa	2	34b	搽茶(老～)查蛇财裁
sa	1	44	沙纱赊畲(～土:旱地)杉(～树)
tsʰa	7	53	插擦撤拆坼赤尺
tsʰa	5	35	岔菜
tsʰa	3	11	扯(～常:经常)
tsʰa	1	44	杈差叉车
tsa	7	53	窄摘隻炙□(压住)
tsa	5	35	诈炸榨肉
tsa	3	11	闸(～门)紥(～辫儿:扎辫子)铡(～刀)
tsa	1	44	渣灾(～难)栽(～树)眨□(发～:发瘟疫)
la	7	53	挪(～用:挪用)来(又na34b)□(走)
la	5	35	癞(～头)
la	3	11	辣
la	2	34b	□(爬)
la	1	44	□(ləu34b～:东西)□(啃咬:～骨头)□(～润:湿润)
na	7	53	□(踩踏)
na	5	35	奈□(睡)
na	3	11	纳(出～)
na	2	34b	来(～年:明年，又la53)□(uən34b～:天气冷)
tʰa	5	35	太
tʰa	3	11	塔獺(水～|豪～)
tʰa	1	44	他胎(怀～)
ta	8	11b	□(～ti11:咱们)
