	参考资料	《枞阳方言研究》，整理于东乡日常。									
	#调值	[1]³² [2]⁵⁵ [3]⁵² [5]³¹ [7]入声韵分aʔ ㄹ oʔ ㅂ ɪʔ ㄷ əʔ ㄱ ，根据韵不同调值不同，关于nl不分，整理得大部分n+细音，洪音+l.									
	m 머	[1]猫蟆｛白，蛤蟆}[2]毛矛茅[3]卯[5]冒帽貌*(~掉，漏掉)									
	t 떠	[1]刀叨[3]倒{打~}岛祷导[5]到倒{~车}盗道稻									
	tʰ 더	[1]滔涛掏[2]桃陶萄[3]讨[5]套									
	l 러	[1]捞唠[2]劳牢铙挠[3]老[5]闹									
	n 너	[1]孬[2]劳牢铙挠[3]脑恼[5]闹									
	ts 쩌	[1]遭糟朝昭招沼[3]早枣澡蚤爪找[5]皂造{文}躁灶罩赵兆肇召照诏									
	tsʰ 써	[1]抄超[2]曹槽巢朝潮[3]草吵炒[5]造{白，造反，制造}糙									
	s 서	[1]骚臊烧捎梢稍[2]韶芍[3]嫂少{多~}[5]少{~年}绍扫{动词}邵									
	Ø/ni 녀/여	[2]饶[3]绕{围~}扰[5]绕{~开}									
	k 꺼	[1]高膏羔糕茭教交浇[3]搞搅稿架{打架}[5]告窖觉较									
	kʰ 거	[1]敲㸆(~菜)[3]考烤拷[5]靠犒铐									
	x 허	[1]蒿薅[2]豪毫[3]郝好[5]好号浩									
	ŋ 어	[1]*邀{叫，呼唤}[2]熬敖[3]袄咬[5]懊傲奥拗									
#ɪʔ 엗											
	p 뻳	[7]北百柏伯（文）白铂剥（白)卜(白）									
	pʰ 벧	[7]迫拍{文}魄									
	m 멛	[7]陌墨默麦脉沫（白）									
	t 뗃	[7]得(文)德									
	tʰ 덷	[7]特（文）									
	l 렏	[7]肋勒									
	ts 쩯	[7]贼则择泽窄摘责辄折哲浙									
	tsʰ 쎋	[7]侧测恻拆坼{哈子~，裂开}策册厕澈撤									
	s 섿	[7]瑟塞色摄涉舌（文）设涩（文）									
	k 껟	[7]革格隔割{白}葛{白}阁{白}鸽{白}									
	kʰ 겓	[7]刻克客咳磕									
	x 헫	[7]吓核｛核桃｝									
#e 에											
	Ø 에	[1]些（白）[3]也（白）									
	ts 쩨	[1]遮[3]者[5]蔗(文）									
	s 세	[1]奢赊[2]蛇[3]舍[5]社射赦蔗（白读）									
	k 게	[1]*｛拎着}[3]给{~你}									
#ɛ 애											
	p 빼	[3]摆（文）[5]拜败稗									
	pʰ 배	[2]排牌[3]摆（白)[5]派									
	m 매	[2]埋[3]买*(用石头扔）[5]卖迈									
	t 때	[1]呆[3]歹[5]待怠殆戴代袋贷带大{~夫}									
	tʰ 대	[1]胎苔（白）[2]台苔（文）抬[5]太泰态									
	l 래	[2]来[5]赖癞									
	n 내	[3]乃奶[5]耐奈赖癞									
	ts 째	[1]灾栽斋[2]宅[3]宰载[5]载{~载}再在债寨									
	tsʰ 쌔	[1]猜钗差{~差}[2]才财材裁柴豺[3]彩睬采踩（文）[5]菜蔡									
	s 새	[1]腮筛[5]赛晒栖（白，鸡~)									
	k 깨	[1]该街秸阶{白}[3]改解{~手}[5]溉丐盖芥介{白}概戒{白}届{白}界{白}锯(白，～木头)									
	kʰ 개	[1]开揩[3]凯楷[5]慨									
	x 해	[2]孩鞋还[3]海蟹[5]害亥骇									
	ŋ 애	[1]哀[2]挨埃[3]蔼霭[5]爱碍艾隘									
#əʔ 윽		大部分aʔ韵均可									
	p 쁙	[7]不拔（文）八									
	pʰ 븍	[7]仆瀑扑									
	m 믁	[7]木沐目牧穆									
	f 픅	[7]复弗拂佛缚福蝠幅腹覆服伏									
	t 뜩	[7]独读牍笃督毒特（白，特为，故意）得(文)跌(白)									
	tʰ 득	[7]突秃*（表示沸腾）									
	l 륵	[7]鹿绿六陆录禄									
	ts 쯕	[7]只汁侄质直值织职殖酯炙执卒足涩（白)塞(白，水瓶塞)									
	tsʰ 쓱	[7]秩赤尺斥促插									
	s 슥	[7]湿十拾实失室识饰食蚀适释石虱宿俗肃夙粟速续（白）舌（白）膝(白，～波，表示膝盖)塞(文)缩(白)									
	Ø윽	[7]日入									
	kʰ극	[7]掐(掐断)系(~鞋带，~结头)卡(~牙子，塞牙)									
	k 끅	[7]亇{表示关联}家{-家，表示村庄促化}结{白，打~头，打结}									
	x 흑	[7]黑									
#o 오											
	p 뽀	[1]玻波播簸[3]跛									
	pʰ 보	[1]坡颇[2]婆[5]破剖									
	m 모	[1]摸[2]模魔磨摩[3]母拇亩牡[5]募墓暮慕磨茂贸幕									
	t 또	[1]多[3]朵躲[5]舵剁惰堕									
	tʰ 도	[1]拖[2]驼驮鸵[3]妥[5]唾									
	l 로	[1]捋摞[2]罗挪罗锣骡螺[3]裸[5]糯懦									
	ts 쪼	[1]着啄{白}[3]左佐[5]坐座做									
	tsʰ 쏘	[1]搓[5]锉矬错措*{表示段}									
	s 소	[1]娑蓑梭唆[3]锁所琐									
	Ø 오	[2]儿而[3]尔耳饵惹[5]二贰									
	k 꼬	[1]哥歌戈过{时间~了}锅[3]果裹[5]个过									
	kʰ 고	[1]轲科窠苛颗[3]可[5]课									
	x 호	[2]何河荷和禾[3]火伙[5]贺祸货									
	ŋ 오	[1]额[2]讹蛾鹅俄[3]我[5]饿									
#oʔ 옵											
	p 뽑	[7]脖勃帛钵（文）拨博薄剥（文)卜(文）驳									
	pʰ 봅	[7]泼拍{文}									
	m 똡	[7]没末沫（文）莫膜寞									
	t 똡	[7]夺铎沰									
	tʰ 돕	[7]脱托									
	l 롭	[7]落洛骆诺酪络乐(快乐)烙									
	ts 쫍	[7]撮{一~毛}作昨									
	s 솝	[7]索缩(文)嗍									
	y/ny/Ø 옵, 뇹	[7]若弱									
	k 꼽	[7]鸽{文}割{文}葛{文}各阁{文}胳角国郭过									
	kʰ 곱	[7]磕{文}渴壳乞（白，表示被动）括扩阔廓搉确{白}									
	x 홉	[7]赫喝合盒壑鹤霍或惑获活豁学{白}									
	ŋ 옵	[7]厄扼轭鄂恶{凶恶}									
#ia 야											
	Ø 야	[1]鸦[2]芽衙[3]雅[5]讶亚*{撒娇}									
	tɕ 쟈	[1]嘉加[3]假(真假，放假)贾[5]驾嫁(文)稼架{文}价(文)									
	ɕ 샤	[1]虾{文}[2]霞瑕遐暇[5]下{文}夏									
#iaʔ 얄											
	Ø 얄	[7]押压（文)									
	tɕ 쟐	[7]甲									
	tɕʰ 챨	[7]洽恰									
