漢字	音標	註釋
邊	ɓi1	白
鞭	ɓi1	白
辮	ɓi1	白
脾	ɓi2	～胃
裨	ɓi2	
俾	ɓi2	
比	ɓi3	
譬	ɓi3	
彼	ɓi3	
匕	ɓi3	
妣	ɓi3	
痺	ɓi5	
幣	ɓi5	
閉	ɓi5	
斃	ɓi5	
避	ɓi5	
庇	ɓi5	
蔽	ɓi5	
敝	ɓi5	～衣
變	ɓi5	～鬼：反常
弊	ɓi6	
敝	ɓi6	～姓
備	ɓi6	
被	ɓi6	～動
八	ɓi9	
鼈	ɓi9	
鱉	ɓi9	
䘷	ɓi9	摺疊地捲起（衣袖等）
啡	ɓi9	白
鼻	fi1	
披	fi1	文，～掛
脾	fi2	～氣
疲	fi2	
皮	fi2	文，陳～
鄙	fi2	
砒	fi2	
枇	fi2	
琵	fi2	
丕	fi2	
疕	fi3	凝～：結痂
痞	fi3	
片	fi5	白，一～門：一扇門
□	fi9	～骹：叉腿
味	vi1	
未	vi1	地支
冞	vi1	潛水
迷	vi2	
謎	vi2	
眯	vi2	
米	vi3	白～
篾	vi6	
啡	vi9	哨子
麪	mi1	
□	mi1	旋轉快
□	mi1	笑～：笑得很甜
棉	mi2	白
彌	mi2	
靡	mi2	
糜	mi2	文，～爛
獼	mi2	
麋	mi2	
弭	mi2	
眉	mi2	文
嵋	mi2	文
米	mi3	公尺
媚	mi5	
物	mi6	白，東西；物件
乜	mi9	什麼
詩	ti1	
施	ti1	
絲	ti1	
屍	ti1	
鷥	ti1	
時	ti2	
辭	ti2	推～
始	ti2	
匙	ti2	
死	ti3	
四	ti5	
世	ti5	
勢	ti5	
扇	ti5	
肆	ti5	四的大寫
視	ti5	白，電～
是	ti6	
蝕	ti6	銷～
氏	ti6	
恃	ti6	
豉	ti6	豆～
□	ti9	閃光
視	ti9	
滴	ti9	一～：一點
地	ɗi1	白，天～
遲	ɗi2	
抵	ɗi2	文，～抗
纏	ɗi2	白
胝	ɗi2	
砥	ɗi2	
邸	ɗi2	
詆	ɗi2	
牴	ɗi2	
底	ɗi3	文，功～
帝	ɗi5	文，天～
戴	ɗi5	白，～帽
第	ɗi5	文，及～
地	ɗi5	白，天～之間
棣	ɗi5	
弟	ɗi6	
碟	ɗi6	白
底	ɗi6	哪
地	ɗi6	白，～方
滇	ɗi6	替，滿
蒂	ɗi9	
泥	ni2	
尼	ni2	～龍
呢	ni2	～喃
旎	ni2	
奶	ni2	～媽
呢	ni2	～絨
染	ni3	白，～布
尼	ni3	～姑
膩	ni5	
呢	ni9	語氣詞
昵	ni9	
𥍉	ni9	～目：眨眼
痢	li1	
吏	li1	
隸	li1	白，奴～
離	li2	
籬	li2	
璃	li2	
醨	li2	
蘺	li2	
梨	li2	
犁	li2	文
黎	li2	文
藜	li2	
呂	li2	
侶	li2	
鋁	li2	
旅	li2	
釐	li2	
狸	li2	文
蠡	li2	
儷	li2	
鸝	li2	
驪	li2	
厲	li2	～害
醴	li2	
履	li2	
禮	li3	文
李	li3	
裏	li3	文，表～
里	li3	
理	li3	
鯉	li3	
俚	li3	
娌	li3	
麗	li5	
勵	li5	
礪	li5	
癘	li5	
蒞	li5	
隸	li5	文，～書
劙	li5	～甘蔗：削甘蔗皮
蜊	li5	
莉	li5	文，茉～
厲	li5	嚴～
利	li6	文
□	li6	用力拉出（人）
莉	li6	白茉～：茉莉花
俐	li6	
詈	li9	
笠	li9	文
攦	li9	～紙：把紙撕破
喱	li9	咖～
之	tsi1	
膣	tsi1	女陰
芝	tsi1	
支	tsi1	文，～店
枝	tsi1	文，荔～
肢	tsi1	
知	tsi1	文，～府
痴	tsi1	
踟	tsi1	
殊	tsi1	
錢	tsi2	
臍	tsi2	
阻	tsi3	
只	tsi3	
旨	tsi3	
指	tsi3	文
脂	tsi3	
紫	tsi3	
址	tsi3	
趾	tsi3	
祉	tsi3	
芷	tsi3	
沚	tsi3	
恥	tsi3	
子	tsi3	
籽	tsi3	
仔	tsi3	～細
姊	tsi3	
咫	tsi3	
梓	tsi3	
自	tsi5	～從
煎	tsi5	
箭	tsi5	白，射～
至	tsi5	
緻	tsi5	
致	tsi5	
桎	tsi5	
窒	tsi5	
製	tsi5	
制	tsi5	
志	tsi5	
痣	tsi5	
誌	tsi5	
智	tsi5	
濟	tsi5	
雉	tsi5	
稚	tsi5	
祭	tsi5	
際	tsi5	
著	tsi5	
滯	tsi5	
摯	tsi5	
貯	tsi5	
苎	tsi5	
霽	tsi5	
知	tsi5	文，～識
儲	tsi5	
舌	tsi6	
舐	tsi6	
自	tsi6	～己
字	tsi6	～名
痔	tsi6	
折	tsi6	斷
治	tsi6	
摺	tsi9	
即	tsi9	這
□	tsi9	孧～：小
豉	tsi9	～油：醬油
接	tsi9	白，用手承接
私	si1	
司	si1	
飼	si1	
妻	si1	
悽	si1	
淒	si1	
萋	si1	
棲	si1	
思	si1	相～
伺	si1	
西	si1	文
鮮	si1	
師	si1	
獅	si1	
螄	si1	
斯	si1	
撕	si1	
廝	si1	
嘶	si1	
須	si1	
鬚	si1	
需	si1	～要
姿	si1	
舒	si1	
抒	si1	
胥	si1	
馳	si1	
鰓	si1	
齊	si2	文
池	si2	
磁	si2	
慈	si2	
滋	si2	
徐	si2	
詞	si2	
辭	si2	～典
瓷	si2	
祠	si2	
雌	si2	
疵	si2	
寺	si2	
持	si2	
峙	si2	
侈	si2	
犀	si2	文，～牛
黍	si2	玉蜀～
眵	si2	
史	si3	
使	si3	文，～命
駛	si3	文
取	si3	
娶	si3	
處	si3	～分
屎	si3	文
次	si5	
序	si5	
敘	si5	
刺	si5	文
試	si5	
柿	si5	
樹	si5	文，～立
俟	si5	
趣	si5	
婿	si5	
緒	si5	
庶	si5	
示	si5	指～
賜	si5	
肆	si5	放～
豎	si5	
細	si5	文，仔～
逝	si5	
噬	si5	
泗	si5	
仕	si5	～宦
弒	si5	
軾	si5	
砌	si5	文
嗣	si5	文
使	si5	文，大～
視	si5	文，～察
恕	si5	
市	si6	
事	si6	
士	si6	
祀	si6	
侍	si6	
仕	si6	棋子
蠘	si6	梭子蟹
□	si9	放～：小孩拉尿
二	zi1	
兒	zi2	
余	zi2	
餘	zi2	
如	zi2	白，無～：不如
榆	zi2	～林：地名
夷	zi2	
痍	zi2	
魚	zi2	文，釣～臺
雨	zi2	文，～水：節氣
禹	zi2	
遺	zi2	
矣	zi2	
貽	zi2	
怡	zi2	
頤	zi2	
飴	zi2	
彝	zi2	
羽	zi2	
庾	zi2	
臾	zi2	
諛	zi2	
儒	zi2	
孺	zi2	～太夫人
需	zi2	軍～
俞	zi2	姓
宜	zi2	白，便～
於	zi3	
于	zi3	
以	zi3	
已	zi3	
語	zi3	
予	zi3	
與	zi3	
雨	zi3	文，人名
宇	zi3	
玉	zi5	人名
愈	zi5	
愉	zi5	
喻	zi5	
諭	zi5	
預	zi5	
譽	zi5	稱～
豫	zi5	
逾	zi5	
渝	zi5	
禦	zi5	
御	zi5	
卸	zi5	
役	zi5	
孺	zi5	～子
輸	zi5	文，運～
易	zi5	變～
玉	zi6	
易	zi6	容～
異	zi6	
遇	zi6	
乳	zi6	豆腐～
□	zi9	火焰突然閃光
基	ki1	
居	ki1	
几	ki1	茶～
幾	ki1	文，～乎
機	ki1	文
肌	ki1	
飢	ki1	
稽	ki1	
羈	ki1	
枝	ki1	白，一～鉛筆
支	ki1	白，一～紗
拘	ki1	
駒	ki1	
己	ki1	家～：自己
旗	ki2	
棋	ki2	
渠	ki2	
舷	ki2	
杞	ki2	
矩	ki2	文，～形
舉	ki3	
己	ki3	自～
紀	ki3	
矩	ki3	文
見	ki5	白
技	ki5	
妓	ki5	
巨	ki5	
詎	ki5	
鉅	ki5	
距	ki5	
炬	ki5	
伎	ki5	
遽	ki5	
劇	ki5	
既	ki5	
暨	ki5	文
計	ki5	
記	ki5	
繼	ki5	文
企	ki5	
冀	ki5	
驥	ki5	
懼	ki5	
颶	ki5	
季	ki5	文
悸	ki5	
瞿	ki5	
癯	ki5	
衢	ki5	
寄	ki5	文，～望
具	ki6	
俱	ki6	
忌	ki6	
據	ki6	
拒	ki6	
□	ki9	用東西卡住或墊住
欺	xi1	
區	xi1	
驅	xi1	
軀	xi1	
嶇	xi1	
敧	xi1	
祛	xi1	
樞	xi1	
奇	xi2	
期	xi2	
祺	xi2	
蜞	xi2	
歧	xi2	
祈	xi2	
祁	xi2	
啟	xi2	
豈	xi2	
琪	xi2	
嗜	xi2	
騎	xi2	文，～兵
起	xi3	
齒	xi3	
其	xi3	
氣	xi5	文，生氣
器	xi5	文，～重
缺	xi9	～喙：唇裂
天	hi1	白，～上
希	hi1	
稀	hi1	
晞	hi1	
兮	hi1	
羲	hi1	
曦	hi1	
熙	hi1	
犧	hi1	
添	hi1	白，～油
奚	hi1	
蹊	hi1	
溪	hi1	文，～流
年	hi2	白
啼	hi2	
喜	hi3	
熹	hi3	
禧	hi3	
嬉	hi3	
體	hi3	文
戲	hi5	
剃	hi5	
替	hi5	文，代～
涕	hi5	
締	hi5	文，取～
係	hi6	
繫	hi6	
系	hi6	
耳	hi6	
鐵	hi9	
硯	ŋi1	
疑	ŋi2	
宜	ŋi2	
誼	ŋi2	
儀	ŋi2	
倪	ŋi2	
霓	ŋi2	
擬	ŋi3	～稿
義	ŋi5	人名
藝	ŋi5	
囈	ŋi5	
蟻	ŋi5	文
毅	ŋi5	
詣	ŋi5	
義	ŋi6	道～
議	ŋi6	
伊	i1	
衣	i1	
醫	i1	
依	i1	
圓	i2	白，～凳
絃	i2	胡琴
姨	i2	
椅	i3	
厴	i3	
倚	i3	文
意	i5	
億	i5	
燕	i9	白，～鳥
姨	i9	
□	i9	瓜果枯萎
逸	i9	文，安～
孵	ɓu1	
烰	ɓu2	
垺	ɓu2	堆
補	ɓu3	文
不	ɓu5	
佈	ɓu5	文
怖	ɓu5	
步	ɓu5	
部	ɓu6	～族
伏	ɓu6	～膿：化膿
婦	ɓu6	白，新～：兒媳
□	ɓu9	瓜蒂
夫	fu1	文，丈～
敷	fu1	
膚	fu1	
鋪	fu1	文，～平
伕	fu1	
駙	fu1	
