#符號說明：-白=文/書*俗?待考
#調值	［1］³²⁴［2］³⁵［3］²¹³［5］⁵³［6］²¹［7］⁴［8］⁵
#ɿ
pʰ	［1］□{浮腫}□{～灰（草木灰）}泡1{水～兒}脬{尿～}拋［2］跑袍庖［5］炮泡2{～在水裏}皰{起～}□{量詞，約40～60市斤}［6］拋刨{～牀}抱鮑-暴-{粗～}爆-菢孵{～小雞}
m	［2］毛矛茅貓錨髦［3］卯鉚［6］冒帽貌□{黴菌}
t	［1］刀叨{嘮～}朝1-{今～子}［3］倒1{打～}島搗禱蹈導［5］到倒2{～車}悼□{～毛（更換羽毛）}
tʰ	［1］掏滔濤燾［2］桃逃萄淘啕陶濤［3］討［5］套［6］稻道盜蹈
l	［1］撈1嘮{～叨}［2］勞撈2{～起來}癆牢撓{不屈不～}饒［3］老佬姥腦擾惱瑙{瑪～}繞1{圍～}［6］鬧繞2{～線}澇
ʦ	［1］召招昭朝1={～霞}遭糟［3］早棗澡藻找沼爪2{手～兒}蚤［5］竈照罩燥躁噪兆
ʦʰ	［1］鈔抄耖{～田}超操譟{《集韻》倉刀切。大聲叫喊}□{屈指舀水}［2］朝2{～代；～東}潮嘲曹槽漕嘈巢［3］草吵炒［5］造糙［6］皁趙造櫂
s	［1］臊{～氣}燒騷搔梢稍艄捎□{腳亂蹬}［2］韶紹1{介～}睄{很快掃視}潲{～雨}□{順放}□{～叨（囉嗦）}［3］掃1{～地}少1{多～}嫂［5］掃2{～帚}哨紹2{～興}少2{～年}𢜶{《集韻》先到切。快}［6］邵
k	［1］高篙茭{～瓜（茭白）}羔糕皋教-{～書}膏1{牙～}［3］搞稿鎬攪-絞-{～肉}□{挨～（受苦受罪）}□{小孩爭鬥：尋～}□{和（連詞）}［5］告誥窖{埋}酵-{長～（發麪）}覺1-{睏～}校1-{《集韻》居效切。～場，～秤}膏2{～油（添加潤滑油）；～磨（往磨眼添加要磨的東西）}□{遍（量詞）}
kʰ	［1］敲-繰{～邊}［3］考拷烤［5］靠犒銬□{油水不足的感覺}［6］□{十字～}
x	［1］蒿薅□{油變味}［2］豪毫嚎壕濠號1{～喪}□{口～（帶髒字兒的口頭禪）}［3］郝好1{～壞}［5］好2{愛～}耗孝-{帶～}［6］浩號2{～碼}
0	［1］□{誇獎}鏖{～糟：不潔}［2］熬{～粥}□{憋着，強行忍住}［3］咬襖［5］傲奧澳懊拗{～口}奡{從平躺到上半身抬起}扷{《集韻》於到切。比試}
#iɔ
p	［1］標彪鏢膘［3］表裱婊［5］鰾
pʰ	［1］漂1{～浮}飄□{水平方向削}［2］瓢嫖［3］漂2{～白}［5］票漂3{～亮}
m	［2］苗瞄描［3］秒渺藐/［5］謬{～論}［6］妙廟繆{姓}
t	［1］刁叼雕碉貂{《集韻》丁聊切。～尾}□{牛羊舐人}［3］屌［5］吊釣調1{腔～}掉=
tʰ	［1］挑1{～水}［2］調2{～和}條笤［3］挑2{～撥}誂{《廣韻》徒了切。～禍}斢{調換}［5］跳眺［6］掉-銚{《廣韻》徒吊切。茶～兒（燒水壺）}
l	［2］遼療聊僚燎嘹瞭獠鐐撩嫽{《廣韻》落蕭切。逗}寥㞠［3］了{～結}鳥嫋［6］料尿=撂廖尥{～腿}䩍{白～～（臉色蒼白）}□{木製大勺，澆水施肥用}
ʨ	［1］交郊膠姣跤嬌驕矯焦蕉礁椒澆□{氣量小，刁鑽}［3］餃鉸狡絞=較1{比～}□{縫}攪=繳僥剿矯［5］叫教={～育}覺1=校1={～對}較2{～量}醮{道士打～}酵=
ʨʰ	［1］敲={推～}鍬蹺悄［2］喬橋僑蕎樵瞧翹1{不平}［3］巧［5］竅俏峭翹2{～辮子}［6］轎撬
ɕ	［1］肖消宵霄銷簫蕭梟/囂枵{薄}［2］淆餚1{～肉}［3］小曉［5］笑嘯孝哮酵={發～}［6］效□{～開（翻開，揭開）}校2{學～}
0	［1］腰要1{～求}邀妖幺{～二三}吆{驅趕}喲［2］搖遙謠姚窯堯餚2{菜～}［3］舀□{歪}［5］要2{需～}䌁{草～子（草繩）}□{從中間捆}［6］耀躍={大～進}
#o
p	［1］波玻菠坡播［3］跛
pʰ	［1］頗/［2］婆［3］剖［5］破
m	［2］磨1{～刀}蘑摩魔謀牟模饃麼□{一點一點地移動}［3］母拇姆={保～}某畝□{沫}牡［6］募暮慕墓貿茂/磨2{石～}
f	［3］否缶/
t	［1］多哆［3］朵躲［5］剁
tʰ	［1］拖［2］陀駝鴕佗坨{～粉}馱［3］妥橢［6］垛舵墮惰
l	［1］囉螺{田～}［2］羅邏鑼籮蘿腡{指紋}奴挪=哪2{～吒}［3］努裸虜［6］怒糯懦
ʦ	［3］左佐［5］做坐=座=
ʦʰ	［1］搓磋［5］錯1{～誤}措挫銼［6］坐-座-
s	［1］梭唆嗦娑蓑趖{《廣韻》蘇禾切。走得快}［3］鎖瑣所
k	［1］哥歌過1{～掉了}戈鍋［3］果裹股2{屁～}［5］過2{～失}個
kʰ	［1］苛柯科蝌棵顆窠［3］可［5］課
x	［1］呵［2］和1{～氣}河何荷禾［3］夥火伙［5］貨和2={應～}［6］賀禍和2-{唱～}䗙{《集韻》河干切。～蟺（蚯蚓）}
0	［1］阿1{～膠}屙倭窩蝸渦萵［2］訛鵝蛾俄娥峨［3］我=［5］臥{～倒}涴［6］餓
#ɤɯ
t	［1］兜丟1［3］斗{一～米}抖蚪/陡［5］鬥{～爭}竇
tʰ	［1］偷［2］頭投□{一種烹飪方法：～飯，～粥}［5］透［6］豆痘逗
l	［2］婁樓柔揉蹂□{～搜（纏人，煩人）}［3］簍摟㧕*{攪動，吵鬧}［6］露2{～出來了}陋漏
ʦ	［1］周州洲舟謅［3］走肘帚/{笤～}㥮{彆扭}［5］皺縐奏揍咒晝鄒
ʦʰ	［1］抽□{煙燻}［2］愁籌綢稠酬仇1疇［3］醜瞅［5］臭湊［6］驟宙/
s	［1］收搜餿颼艘鎪［2］□{吮吸}［3］手守首叟［5］獸瘦嗽［6］壽受授售
k	［1］勾溝鉤［3］苟/狗枸［5］購構夠{往上～；能～}垢/個
kʰ	［1］摳［2］瞘{～眼，眼珠凹在眼眶中}［3］口［5］叩扣寇
x	［1］齁{鹹～子（喜愛喫鹹的人）}［2］喉猴侯瘊□{腫、湧}□{長時間地煮}□{着急，吵鬧}［3］吼□{～像（急於獲得的樣子）}［5］鮜□{跳}□{撲}□{因運動或穿着不當，衣服往上竄}［6］厚候{～客}後逅/
0	［1］歐鷗□{煮}謳毆甌［2］牛-□{～子（米象）}□{倔強，固執}［3］嘔/偶藕［5］慪{～氣（生悶氣）}漚
#iɤɯ
m	［5］謬
t	［1］丟2
l	［1］溜鎦蹓［2］牛=劉瀏留榴瘤流琉硫［3］柳扭鈕紐□{瓜～兒（剛成形的小瓜）}［6］遛溜{水急}
ʨ	［1］糾赳鳩灸究鬮揪鬏［3］九久玖韭酒［5］究疚救㾭{《集韻》即就切。縮}□{抽搐}鯽{～魚}
ʨʰ	［1］秋鰍丘邱蚯［2］求球裘囚酋虯蜷曲仇2{姓}［3］搝{捉弄}［6］臼舅舊就
ɕ	［1］休修羞［3］朽［5］嗅秀{～頂（謝頂）}繡鏽袖宿1{星～}
0	［1］優憂悠幽［2］尤猶由油郵遊［3］有友酉［5］幼誘［6］又右佑祐柚
#ɪi
p	［1］杯悲卑碑背2{～書包}［5］貝狽閉輩焙倍備=背3{～脊}臂避
pʰ	［2］賠=陪=培裴=［5］佩配=沛［6］備-
m	［2］彌迷謎梅脢{《廣韻》莫杯切。～條肉}眉=楣黴=媒=煤［3］每美=鎂［6］妹昧魅媚
f	［1］飛非啡妃［2］肥淝［3］匪誹緋翡菲{～薄}［5］吠廢肺費䉬䉬{《廣韻》方肺切。蘆～}
t	［1］低堆爹=［3］底抵［5］的對隊兌帝蒂締遞
tʰ	［1］梯推頹［2］提啼蹄題堤{大～上}［3］腿體［5］屜退褪剃涕替蛻=［6］弟第地
l	［2］雷蕾釐離1籬梨犁尼泥狸璃漓鸝黎呢倪［3］禮李裏裏理鯉哩累1{積～}你壘磊儡/擬餒［5］膩擂［6］淚=類累2{勞～}擂厲歷=勵麗利痢莉荔俐隸例內吏離2{～遠點兒}匿=䐯
ʦʰ	［1］車2［3］扯=
s	［1］賒奢［3］舍1={～不得}［5］社舍2{宿～}謝-［6］射麝=
#uɪi
tʰ	［5］蛻
l	［6］蕊銳
ʦ	［1］追錐椎［3］嘴=［5］最墜贅綴醉
ʦʰ	［1］吹炊崔催摧蛆［2］捶垂槌錘隨-2［5］脆翠粹悴{憔～}［6］罪聚-{～財}
s	［1］尿-雖荽{芫～}［2］隋遂隨=髓誰［3］水［5］歲碎稅睡遂/隧/說{遊～}［6］穗瑞
k	［1］歸圭硅閨規龜［3］鬼軌詭癸［5］貴桂瑰鱖
kʰ	［1］虧盔窺［2］奎逵葵睽/魁茴-{～香}［3］傀{～儡}［5］潰簣愧劊［6］櫃跪
x	［1］灰恢詼揮暉輝麾/徽［2］回茴=蛔［3］毀悔誨［5］賄穢晦誨諱卉［6］繪會2{開～}慧彗匯惠
0	［1］威巍煨偎［2］圍違爲1{作～}危桅微薇唯維圩回{～買}［3］偉葦緯僞尾猥委萎［5］畏喂胃謂蝟尉蔚慰［6］衛未味魏位爲2{替，給}
#ɛ̃
p	［1］班斑扳1{～手}頒［3］板版坂［5］扮瓣辦
pʰ	［1］攀［2］扳2{～本（賺回本錢，反敗爲勝）}湴𨂝{涉水}［5］盼絆［6］辦-{來不～（來不及）}
m	［2］蠻［6］曼慢漫=謾蔓幔=
f	［1］番翻帆［2］凡礬煩繁樊［3］反返［5］販犯={犯罪}乏泛疺噁心［6］犯-{罪犯}範飯
t	［1］丹耽擔1{負～}單1［3］膽疸撣［5］擔2{～子}石1{量詞}
tʰ	［1］貪=攤灘癱痑{《廣韻》他干切。疲勞到極點}［2］壇=談痰彈1{～性}覃譚=潭=檀曇［3］毯坦袒忐□{秤桿末梢略低（分量不足）}［5］炭碳嘆坍探{下滑}［6］旦但彈2{子～}蛋誕淡氮
l	［2］蘭欄攔藍籃難1{～過}瀾南=男=楠［3］懶覽=攬=罱兩1{～個}倆［6］爛濫難2{～民}
ʦ	［1］簪□{～肉}［3］斬盞［5］贊站蘸綻
ʦʰ	［1］參1摻餐攙［2］殘蠶慚讒饞{嘴～}孱單2{～於}禪1{～寺}［3］產鏟慘闡［5］燦［6］棧暫綻
s	［1］三山杉衫叄［3］傘散1［5］散2{～布}
k	［1］乾={～的溼的}肝=甘=柑=泔=間1-{一～房（量詞）}監-{～牢}尷［3］杆=竿=稈=趕=擀=揀鹼-感=敢=襉{打～}［5］幹2={～部}間2-{～苗（動詞）}
kʰ	［1］鉛刊堪=勘鵮{禽鳥類啄食：雀兒～食}看1={～守}［3］砍=坎=檻{門～}侃=艦{軍～}［5］看2={～見}嵌
x	［1］酣憨鼾［2］含=韓=鹹-函銜-寒=閒-［3］喊罕［5］漢=悍捍焊憾撼=翰=［6］旱=陷-限-莧餡翰-
0	［1］淹庵=安=鞍=氨［2］顏-巖-［3］眼俺［5］案=按=晏-{遲}暗=彥諺-［6］岸=雁-
#iɛ̃
ʨ	［1］艱奸監=1{坐～}間1={房～}［3］減鹼=簡柬［5］鑑{～定}監=2{～視}間2={～隔}澗諫艦=
ɕ	［2］鹹=銜=閒=［5］陷=限=
0	［2］顏=巖=［5］晏={姓}諺=
#uɛ̃
ʦ	［1］跧{彎腰}［5］饌撰=
ʦʰ	［5］撰-創［6］賺
s	［1］刪珊柵拴栓［6］涮
k	［1］關鰥/［5］慣
kʰ	［2］環［6］摜
x	［2］還2{歸～}［6］患幻宦
0	［1］灣彎［2］玩=頑［3］挽晚［5］□{～子（田壟）}［6］萬
#iɪ̃
p	［1］邊編=蝙鯿煸{一種烹調方法}兵賓殯繽儐/檳濱冰鞭［3］扁匾貶丙秉餅稟［5］變並屏1{～住氣}柄□{比賽：我倈來～呃哪個跑得快}
pʰ	［1］編-篇偏乒［2］平評1{～論}坪蘋萍憑瓶駢/屏2{～風}貧頻［3］品評2{～價}［5］片遍騙聘［6］便2{方～}卞病辮辯辨汴鬢
m	［2］民眠{睡～}棉綿名銘明1鳴冥暝螟［3］免勉娩/敏抿皿/閩憫/緬沔/螟［6］面命
t	［1］丁釘1{名詞：～子}叮盯疔顛癲□{粘住}掂［3］點典碘頂鼎［5］釘2{動詞：～釘子}訂店惦玷踮□{用力打}
tʰ	［1］天添廳［2］亭停廷庭蜓莛{《廣韻》特丁切。～子（生長花朵的莖）}甜田填恬［3］舔腆挺艇［5］聽{～話；一～茶葉}□{蛇～子（蛇舌）}［6］電殿奠佃甸墊定澱{～粉}錠{銀～兒}簟{糧～（曬糧的大竹蓆）}澄1{沉澱：才做的米酒要～～纔好喫}
l	［1］拎提蔫［2］連蓮鰱漣憐鄰伶鈴玲齡蛉{金～子（金鐘兒）}零磷鱗麟疄{《廣韻》力珍切。壟（量詞）}廉鐮簾聯奩/林淋霖菱陵凌綾臨靈年粘1拈鮎寧=濘檸凝輪-{～到你}您［3］臉殮斂嶺領輦/攆碾凜檁捻［5］淋{～病}［6］練煉戀鏈吝賃另令念躪
ʦ	［1］佔沾氈粘2瞻［3］展搌輾［5］佔戰顫
ʦʰ	［2］蟬纏{～住了}禪
s	［1］搧扇1{～風}煽［3］閃陝蜆{～子}［5］苫扇2{～子}［6］善鱔{～魚}擅單3{姓}禪2{～讓}贍
ʨ	［1］尖堅肩煎兼搛［3］搌剪繭檢儉撿［5］見劍薦建健鍵毽箭漸
