#备注：《如皋方言研究》 吴凤山			
#调值	[6]21 [2]35 [3]213 [5]44 [7]44 [8]35 [0]44/21		
#符号说明：-白=文			
#ɿ			
Ø	[6]义议蚁衣依艺伊易-5{~容：容易}勚{磨损}肄2{~业}医毅[2]爷1{叔叔；异读，老~}仪夷爷{叔叔}姨宜谊沂饴移遗1[3]已以□{腐败}矣倚尾2{马~草}椅1□{延误：事情挨~下来呀}踦{抵住：大门后头~呀块大石头}里2{西乡的黄市、葛市、江安、胜利、高明、常青、搬经、加力、夏堡、南乡的营防、龙舌、勇敢、新姚、蒲西、花园口音}理-2{西乡的黄市、葛市、江安、胜利、高明、常青、搬经、加力、夏堡、南乡的营防、龙舌、勇敢、新姚、蒲西、花园口音}[5]忆=异易=4{~如反掌}意□{渲润：笔头儿碰到纸墨就~开来呀}肄1{描画}翼=□{凋谢：爪妞儿~掉啊}瞖刈=□{刚开始就终止，本字不明，~nʝ3儿，刚开始就终止的事情}		
#β			
p	[3]补捕=[5]布		
pʰ	[6]步部铺1{~设、~展、胖}薄潽{汤液沸溢}□{~气：喘息}□{腐而体积变大}□{~蛋。蒸嫩蛋脑}孵{本字伏，俗作孵，~蛋}伏{俗作孵，~小鸡}[2]菩□{~气：吐气}蒲扶凫[3]甫浦捕-脯辅-普附3{香~子}[5]埠铺2{店~}		
f	[6]父互妇乎1呼户1沪护=夫伕衭麸附2{鬼魂~体}□{腐而体积变大}糊1{~~儿面}敷{~药}[2]胡1{姓、~须}湖1{太~}糊2{~纸}□{疼}扶芙□{芋、菱叶}稃{另读。谷壳}巫1{~婆}诬俘浮1□{~火：火焰上层}□{~肿}符和2{游~：玩纸牌}𤖱{~头：棺头}狐壶[3]抚□{泼酒}府腑俯腐斧釜虎□{~炭：家中烧木柴后闷熄形成的木炭}敷{~衍}辅=浒1肤[5]负阜戽□{旋转。吹动}付附1{~属}弣{把~：草扎成的加强筋、草把儿}洑赴赋傅富副□{鱼~子：鱼篓}		
v	[6]乌坞污许2{邪邪~}户2{~限：门槛}护-瓠2{~瓜}[2]吴蜈吾梧无胡3{~蜂}[3]午户4{门~框：门框的竖料}五伍戊武鹉侮舞[5]务□{不~：1.正务之外：上南京~要耍耍；2.意外，非故意}误悟焐{保温、阴燃}恶1雾		
t	[6]都猪2{江安、葛市、石北、高井、常青、场南、长庄、花园、搬经、加力、邓园口音}[2]嘟2{走了：脚脚~：~掉咯}[3]肚1{胃}堵睹赌[5]妒□{衬字：紫~~}嘟1{打~子：唇、舌、小舌颤音}		
tʰ	[6]大6{~布、~板床}杜肚2{腹}度渡镀[2]途塗徒屠图[3]土1吐1{~痰}[5]吐2{呕：打~子}兔唾		
l	[6]路露1{雨~}鹭赂[2]卢炉芦鸬庐□{扒取：~钱；轻抚}[3]鲁橹卤蘂蕊乳1{豆腐~}		
ts	[6]租诸猪1□{塞、肿}朱硃珠诛蛛株[3]主拄祖阻组煮[5]做{[老]~种}著{显~}着1{即著，钉：~纽子}注註驻蛀疰{~夏}贮{盛物于器：把米~啊缸里}铸骤-		
tsʰ	[6]住柱1粗□{粗略揩擦}苎初助箸{筷，~笼}□{当面顶撞：长辈挨晚辈~下子心里不好过}□{塞：拿馒头~他的嘴}[2]殳{~庄(地名)}刍除储锄雏□{当面顶撞}厨橱[3]处1杵础褚楚鼠暑土2{江安、搬经一带口音}[5]处2措醋憷{~叹(另读)：忌讳}		
s	[6]书苏柱2竖树枢酥梳疏蔬舒输□{疏松朽烂}[3]数1{动词}[5]戍庶诉恕素嗉塑黍署薯殊漱蔌数2{名词}熟3{秋~(河口镇音)}		
ʐ	[2]如儒襦[3]汝乳={母~}蘂□{捣击使碎}		
