#符号说明：-白=文/书*俗?待考	
#调值	[1]³³⁴ [2]²¹ [3]⁵³ [5]³⁵
#ɿ	
s	[1]蓑梭唆[2]索[3]锁琐所
tʃ	[2]爵嚼着酌勺芍桌卓琢啄
tʃʰ	[2]雀鹊绰却[5]戳
ʃ	[2]说蟀
ʒ	[2]诺若弱虐疟
k	[1]哥歌锅戈蜗[2]割葛各阁胳鹤鶉角国[3]果裹[5]过个
kʰ	[1]科窠[2]磕豁廓扩霍確壳渴[3]可棵颗[5]课搁
ŋ	[2]蛾鹅俄讹鄂恶沃[3]我[5]饿卧
h	[1]喝[2]河何和禾合鸽盒阔活或惑获[3]火伙[5]贺货祸
Ø	[1]阿倭窝[2]兒而[3]尔耳铒[5]二貳
	
#iɔ	
s	[2]削
tʃ	[2]觉脚
ʃ	[2]学
Ø	[2]约药钥跃嶽岳乐
	
#ai	
p	[3]摆[5]拜
pʰ	[2]排牌[5]派稗败
m	[2]埋[5]卖迈
v	[5]外
t	[1]呆[5]戴贷待怠殆代袋载
tʰ	[1]胎[2]台苔抬[5]态太泰
l	[2]来[3]乃奶[5]耐奈赖癩
ts	[1]灾哉斋[3]宰[5]再在债
tsʰ	[1]猜豺钗[2]才材财裁[3]彩探[5]菜蔡
s	[1]腮鳃[5]赛
tʃ	[5]蔗
tʃʰ	[2]柴
ʃ	[1]筛[5]晒
k	[1]该階谐街皆[3]改解[5]盖丐介界芥械届戒
kʰ	[1]开揩[3]凯楷[5]概溉慨
ŋ	[1]哀埃挨[2]埃涯崖捱岩[3]蔼矮[5]碍爱隘
h	[2]孩[3]海[5]亥害艾
	
#uai	
f	[2]怀槐淮[5]坏
s	[2]衰[3]摔[5]帥
ʃ	[5]率
k	[1]乖[5]怪
kʰ	[3]块蒯[5]刽桧快会
Ø	[1]歪
	
#ei	
p	[1]杯碑卑悲[5]贝辈背
pʰ	[1]坯[5]沛倍佩
m	[2]梅枚媒煤霉[3]每美[5]妹昧寐
f	[1]非飞妃翡挥辉[2]回肥茴[3]悔匪榧[5]汇会废肺吠秽痱费
v	[1]威[2]桅微违围苇纬[3]尾伟[5]煨未味畏慰胃谓蝟
l	[2]雷
	
#uəi	
t	[1]堆[5]对队兑
tʰ	[1]推[3]腿[5]褪退蜕
l	[2]雷[3]吕屡垒儡[5]泪类内累
ts	[1]追锥[2]坠[5]缀赘醉
tsʰ	[1]催崔[2]唾槌锤[5]脆翠粹
s	[2]谁[3]水[5]岁税惠绥遂隧穗碎
ʒ	[5]芮锐
k	[1]圭闺龟归[3]轨鬼傀[5]鱖桂癸柜贵
kʰ	[2]奎逵葵魁[5]愧溃
h	[1]徽恢盔[5]贿晦
Ø	[2]维惟遗唯[3]讳[5]慧卫位数
	
#yi	
s	[1]虽[5]叙绪絮
tʃ	[1]居车趋拘驹[2]渠掘菊掬局[3]举[5]据锯巨拒距剧屐鋦句具惧俱
tʃʰ	[1]蛆区驱[2]拙屈曲瞿[5]去
ȵ	[3]女
ʃ	[1]虚墟嘘[3]许
Ø	[2]鱼渔余遇愚虞娱[3]语与吁于盂雨宇禹羽[5]迂榆逾愉愈喻
	
#au	
p	[1]褒包胞泡[3]保堡宝饱[5]抱报暴菢豹爆曝瀑
pʰ	[1]抛[2]袍刨鉋[3]跑[5]鲍炮泡雹
m	[1]猫[2]毛茅锚矛茅[3]牡[5]冒帽卯貌藐
t	[1]刀叨[3]岛倒导[5]祷到道稻盗
tʰ	[1]涛掏萄滔[2]桃逃淘陶[3]讨[5]套
l	[1]捞[2]劳牢唠涝[3]脑恼老[5]闹
ts	[1]遭糟朝召昭招沼[3]枣早蚤爪找澡[5]灶皂罩赵兆照诏
tsʰ	[1]操抄钞超[2]曹槽朝潮[3]草炒吵[5]臊造躁糙
s	[1]骚[3]扫嫂
ʃ	[1]稍潲烧捎鞘[3]少{多~}[5]韶绍邵少{~年}
ʒ	[3]饶绕扰桡
k	[1]高膏篙羔糕[2]犒[3]稿搞[5]告
kʰ	[1]敲[3]考烤[5]靠
ŋ	[2]熬[5]傲袄奥
h	[1]蒿薅[2]毫豪壕[3]好{~坏}[5]号浩好{喜~}耗郝
	
#iau	
p	[1]鳔膘彪标[3]表錶
pʰ	[1]飘漂[2]瓢嫖[5]票漂{~亮}
m	[2]苗描[3]渺秒[5]庙妙谬
t	[1]叼刁貂雕[5]钓吊掉调{~动}
tʰ	[1]挑[2]条调{~和}[5]跳
l	[2]燎疗聊辽撩了{~结}瞭[5]廖料
ts	[1]焦蕉椒樵[3]剿缴绞铰搅巢[5]教窖觉叫
tsʰ	[1]悄[2]瞧[5]俏窍
s	[1]梢消霄宵硝销萧箫[3]小侥[5]笑
tʃ	[1]交郊狡骄娇浇胶[3]饺[5]轿
tʃʰ	[2]乔桥荞侨[3]巧
ȵ	[3]鸟[5]尿
ʃ	[1]嚣[3]晓[5]效校{学~}较酵
ŋ	[3]咬[5]坳
Ø	[1]妖邀腰幺吆[2]肴谣瑶谣窑媱尧[3]舀杳[5]要耀鹞
	
#ɐu	
pʰ	[3]剖
m	[2]谋[3]某亩[5]戊茂贸
f	[2]浮[3]否
t	[1]都兜[2]独读牍犊笃督毒蜀[3]堵赌斗抖陡[5]肚杜度渡镀逗痘妒踱斗
tʰ	[1]偷[2]徒屠途涂图头投秃[3]土[5]吐兔透
l	[2]奴鸬滷庐驴楼六陆绿卢炉芦鹿禄[3]摞努鲁橹虏搂篓[5]怒路赂露镂耧漏陋鹭
ts	[1]租邹绉周舟州洲[2]肘卒镯祝粥足促触[3]祖组阻走[5]奏纣宙昼皱骤帚咒
tsʰ	[1]初粗抽[2]储锄绸稠筹愁仇酬族[3]楚丑[5]醋助凑臭
s	[1]梳疏蔬搜飕馊收[2]续[3]数{动词}叟手首守[5]数漱瘦嗽受兽寿授售
k	[1]勾钩沟[3]狗苟[5]够构购勾{~当}
kʰ	[1]抠[3]口[5]叩扣寇
ŋ	[1]欧殴[3]藕偶呕[5]沤怄
h	[1]瘊[2]喉猴[3]吼[5]侯后厚候
	
#iɐu	
t	[1]丢
l	[1]溜[2]流刘留榴硫琉[3]柳[5]馏
ts	[3]酒韭[5]就
tsʰ	[1]秋锹
s	[1]修羞休[5]秀绣锈袖
tʃ	[1]鸠阄纠{~缠}[3]九久纠{~正}[5]灸臼舅咎旧柩救究
tʃʰ	[1]丘[2]求囚泅球
ȵ	[2]牛[3]纽扭
ʃ	[2]蓄畜[3]朽[5]嗅
Ø	[1]优忧悠幽[2]柔揉尤邮由油游犹育[3]有友酉[5]莠诱又右佑祜柚鼬釉幼
	
#in	
p	[1]彬宾槟殡鬓冰兵[3]禀内秉柄饼[5]病并
pʰ	[1]姘[2]贫频凭平坪评瓶屏萍[3]品[5]拼迸并{合~}聘
m	[2]闽民萌鸣明盟名銘[3]悯敏抿皿[5]命
t	[1]丁钉{~子}[3]顶鼎[5]钉{~住}订定
tʰ	[1]厅听[2]庭亭停廷蜓[3]艇挺锭
l	[2]林琳淋临赁邻鳞燒陵凌菱宁灵零玲铃伶翎[3]檩领岭[5]吝令另凝
ts	[1]津精晶睛[3]井[5]尽进晋静净
tsʰ	[1]侵亲清青蜻[2]秦情晴[3]请[5]浸寝
s	[1]心辛新薪星腥馨[3]醒[5]信讯迅性姓
tʃ	[1]今金襟巾斤筋京荆惊经[3]锦紧谨景警颈{~正}[5]禁仅近劲俊茎境敬竟镜竞径经{~纬}
