韵母	音节	调类	字形	备注
#ɿ	sɿ	[1]	丝思私师撕梳诗施司斯尸狮蛳嘶苏{紫~}	
	sɿ	[2]	时匙氏	
	sɿ	[3]	死屎史使始驶矢豕	
	sɿ	[5]	四世试式势肆拭轼弑驷	
	sɿ	[6]	是事市视似示士誓逝饲柿饰仕侍祀嗜噬谥伺耜	
	sɿ	[7]	石识{迷住；号脉}	
	zɿ	[1]	初{~五}粗{粗糙}痴摛蚩嗤笞差鸱笞	
	zɿ	[2]	迟持池词祠辞慈瓷雌锄饲{~料}弛驰磁糍伺	
	zɿ	[3]	此齿耻侈楚扯疵	
	zɿ	[5]	次刺赐醋滞稚雉茨厕	
	zɿ	[6]	字自治寺巳嗣蛰{惊~}峙恃痔助	
	zɿ	[7]	直值植侄秩斥{~人，冰凉}赤殖尺叱饬掷敕	
	tsɿ	[1]	知资枝支滋姿肢芝之咨孜吱蜘兹辎淄孳嗞租膣	
	tsɿ	[3]	子籽纸止址指紫姊只旨趾梓仔脂芷滓咫祖{祭~}	
	tsɿ	[5]	至致置制志智做痣窒蛭翅	
	tsɿ	[7]	织职帜只指{~甲}炙炽挚渍	
#y	fy	[1]	书{又ɕy}输{又ɕy}虚{又ɕy}舒{又ɕy}殊{又ɕy}墟{又ɕy}嘘{又ɕy}	
	fy	[2]	薯{又ɕy}	
	fy	[3]	水{又ɕy}许{又ɕy}暑{又ɕy}鼠{又ɕy}黍{又ɕy}	
	fy	[5]	税{又ɕy}恕{又ɕy}庶{又ɕy}署{又ɕy}曙{又ɕy}	
	fy	[6]	树{又ɕy}竖{又ɕy}鼠{老~，又ɕy}睡{瞌~，又ɕy}署{又ɕy}墅{又ɕy}	
	fy	[7]	熟{又ɕy}属{又ɕy}叔{又ɕy}淑{又ɕy}孰{又ɕy}塾{又ɕy}菽{又ɕy}	
	ny	[2]	鱼渔愚娱虞	
	ny	[3]	女语	
	ny	[6]	遇寓魏御禺隅	
	ʑy	[1]	吹区驱躯巨距炬渠炊岖枢	
	ʑy	[2]	除厨锤橱槌	
	ʑy	[3]	处拒杵	
	ʑy	[5]	处去	
	ʑy	[6]	住柱具俱惧柜苎	
	ʑy	[7]	束触畜{~生}	
	tɕy	[1]	猪朱珠居株诸诛拘驹追{追问}锥{蜇}鸠{斑~}车蛛侏茱	
	tɕy	[3]	主煮举矩拄帚{扫~}许{不~}	
	tɕy	[5]	句剧注著据昼{上~}铸锯驻蛀踞	
	tɕy	[7]	竹祝烛嘱粥筑竺蜀瞩	
	y	[1]	淤迂盂	
	y	[2]	回如儿而余于儒孺舆予{第一人称}茹妤	
	y	[3]	雨羽宇与耳乳尔饵吕侣铝榈禹汝迩屿闾	
	y	[5]	喂	
	y	[6]	二预锐誉豫喻愉{~快}愈俞芋裕峪贰逾渝谕瑜臾谀	
	y	[7]	玉钰尉{~迟}郁{阴郁}	
#i	pi	[1]	悲杯碑卑婢痹蓖俾	
	pi	[3]	比匕彼妣砒裨	
	pi	[5]	闭贝辈背{背部}蔽狈悖滗	
	pi	[7]	必逼毕笔{又pin}臂壁碧璧愎憋{憋气}	
	βi	[1]	批披坯胚丕	
	βi	[2]	皮陪赔培脾疲琵枇啤蚍陂裴蓓	
	βi	[3]	鄙痞秕	
	βi	[5]	配屁佩沛譬	
	βi	[6]	背{背诵}备被倍币弊敝惫毙庇陛焙	
	βi	[7]	鼻辟避匹{又βin}劈僻癖霹弼□{放置}	
	mi	[1]	□{摆弄}	
	mi	[2]	迷梅煤媒眉枚玫弥莓猕麋糜霉嵋媚楣鹛靡酶	
	mi	[3]	米美每镁	
	mi	[5]	眯{闭眼}	
	mi	[6]	妹谜魅昧寐霉{上~}沕{潜水}	
	mi	[7]	密{又min}蜜{又min}觅幂泌秘汨谧搣	
	fi	[1]	飞灰非挥辉晖徽妃扉菲诙恢蜚啡珲麾霏	
	fi	[2]	回肥谁薯茴蛔洄	
	fi	[3]	悔毁匪诽翡诲晦贿斐	
	fi	[5]	废费肺沸痱吠卉秽	
	fi	[6]	会汇慧惠睡瑞绘讳彗荟	
	ti	[1]	低堆	
	ti	[3]	底抵邸坻	
	ti	[5]	对队兑帝蒂碓缔谛	
	ti	[7]	滴嫡的涤嘀	
	ɾi	[1]	推梯	
	ɾi	[2]	提雷离题黎堤梨厘啼蹄篱犁璃漓擂{研磨}蕾驴垒累罹藜	
	ɾi	[3]	理李里体礼腿旅履屡累鲤狸吕磊儡娌醴澧蠡	
	ɾi	[5]	退褪替剃屉蜕	
	ɾi	[6]	地弟第利泪类例虑滤递提{袋子}累丽吏厉隶励砺悌娣涕莉俐痢猁戾耒鹂逮	
