繁體	简体	聲韻	聲調		1ː51	2ː31
不	不	pɛʔ	5		3ː214	4ː22
伯	伯	paʔ	5		5ː35	6ː13
八	八	pɔʔ	5		7ː5	8ː2
別	别	piɛʔ	5			
剝	剥	poʔ	5			
北	北	pɛʔ	5			
博	博	poʔ	5			
壁	壁	piʔ	5			
必	必	piʔ	5			
憋	憋	piɛʔ	5			
撥	拨	pɛʔ	5			
柏	柏	paʔ	5			
泌	泌	piʔ	5			
潷	滗	piʔ	5			
爸	爸	paʔ	5			
璧	璧	piʔ	5			
畢	毕	piʔ	5			
癟	瘪	piɛʔ	5			
百	百	paʔ	5			
碧	碧	piʔ	5			
秘	秘	piʔ	5			
筆	笔	piʔ	5			
缽	钵	pɛʔ	5			
腹	腹	pɤʔ	5			
膊	膊	poʔ	5			
臂	臂	piʔ	5			
蔔	卜	poʔ	5			
迫	迫	paʔ	5			
逼	逼	piʔ	5			
駁	驳	poʔ	5			
鱉	鳖	piɛʔ	5			
僕	仆	pʰɤʔ	5			
僻	僻	pʰiʔ	5			
劈	劈	pʰiɛʔ	5			
匹	匹	pʰiɛʔ	5			
帕	帕	pʰaʔ	5			
拍	拍	pʰaʔ	5			
撇	撇	pʰiɛʔ	5			
撲	扑	pʰoʔ	5			
撲	扑	pʰɤʔ	5			
樸	朴	pʰoʔ	5			
樸	朴	pʰɤʔ	5			
潑	泼	pʰɛʔ	5			
珀	珀	pʰaʔ	5			
璞	璞	pʰoʔ	5			
癖	癖	pʰiʔ	5			
辟	辟	pʰiʔ	5			
霹	霹	pʰiʔ	5			
魄	魄	pʰaʔ	5			
卓	卓	tyoʔ	5			
咥	咥	tiɛʔ	5			
啄	啄	tyoʔ	5			
嫡	嫡	tiʔ	5			
得	得	tɛʔ	5			
德	德	tɛʔ	5			
掇	掇	tɛʔ	5			
搭	搭	tɔʔ	5			
桌	桌	tyoʔ	5			
滴	滴	tiʔ	5			
琢	琢	tyoʔ	5			
的	的	tiʔ	5			
督	督	tɤʔ	5			
竹	竹	tyoʔ	5			
答	答	tɔʔ	5			
築	筑	tyoʔ	5			
篤	笃	tɤʔ	5			
著	着	tɛʔ	5			
褡	褡	tɔʔ	5			
跌	跌	tiɛ	5			
剔	剔	tʰiʔ	5			
坼	坼	tʰaʔ	5			
塌	塌	tʰɔʔ	5			
塔	塔	tʰɔʔ	5			
帖	帖	tʰiɛʔ	5			
忒	忒	tʰɛʔ	5			
托	托	tʰoʔ	5			
搨	搨	tʰɔʔ	5			
榻	榻	tʰɔʔ	5			
獺	獭	tʰɔʔ	5			
禿	秃	tʰɤʔ	5			
脫	脱	tʰɛʔ	5			
脫	脱	tʰɤʔ	5			
褪	褪	tʰɛʔ	5			
貼	贴	tʰiɛʔ	5			
踢	踢	tʰiʔ	5			
遢	遢	tʰɔʔ	5			
鐵	铁	tʰiɛʔ	5			
刮	刮	kuaʔ	5			
割	割	kuɛʔ	5			
各	各	koʔ	5			
合	合	kɛʔ	5			
嗝	嗝	kɤʔ	5			
國	国	kuɛʔ	5			
夾	夹	kɔʔ	5			
括	括	kuaʔ	5			
擱	搁	koʔ	5			
格	格	kaʔ	5			
甲	甲	kɔʔ	5			
穀	谷	kɤʔ	5			
給	给	kɛʔ	5			
胛	胛	kɔʔ	5			
胳	胳	koʔ	5			
莢	荚	kɔʔ	5			
葛	葛	kuɛʔ	5			
虢	虢	kuɛʔ	5			
蛤	蛤	kɛʔ	5			
袷	袷	kɔʔ	5			
裌	裌	kɔʔ	5			
覺	觉	koʔ	5			
角	角	koʔ	5			
郭	郭	koʔ	5			
閣	阁	koʔ	5			
隔	隔	kaʔ	5			
革	革	kaʔ	5			
骨	骨	kuɛʔ	5			
鴿	鸽	kɛʔ	5			
丐	丐	kʰɛʔ	5			
乞	乞	kʰaʔ	5			
克	克	kʰɛʔ	5			
刻	刻	kʰɛʔ	5			
咳	咳	kʰɛʔ	5			
哭	哭	kʰɤʔ	5			
客	客	kʰaʔ	5			
屈	屈	kʰuɛʔ	5			
廓	廓	kʰoʔ	5			
恰	恰	kʰɔʔ	5			
掐	掐	kʰɔʔ	5			
擴	扩	kʰoʔ	5			
殼	壳	kʰoʔ	5			
渴	渴	kʰuɛʔ	5			
確	确	kʰoʔ	5			
磕	磕	kʰɛʔ	5			
窟	窟	kʰuɛʔ	5			
酷	酷	kʰɤʔ	5			
闊	阔	kʰuɔʔ	5			
不	不	fɤʔ	5			
勿	勿	fɛʔ	5			
幅	幅	fɤʔ	5			
弗	弗	fɛʔ	5			
彿	彿	fɛʔ	5			
忽	忽	fɛʔ	5			
拂	拂	fɛʔ	5			
法	法	fɔʔ	5			
番	番	fɔ̃	5			
發	发	fɔʔ	5			
福	福	fɤʔ	5			
腹	腹	fɤʔ	5			
蝠	蝠	fɤʔ	5			
復	复	fɤʔ	5			
覆	覆	fɤʔ	5			
豁	豁	fɔʔ	5			
乍	乍	tsɔʔ	5			
仄	仄	tsɛʔ	5			
作	作	tsoʔ	5			
側	侧	tsɛʔ	5			
則	则	tsɛʔ	5			
劄	札	tsɔʔ	5			
卒	卒	tsɛʔ	5			
摘	摘	tsaʔ	5			
柵	栅	tsaʔ	5			
榨	榨	tsɔʔ	5			
炸	炸	tsɔʔ	5			
猝	猝	tsɛʔ	5			
眨	眨	tsɔʔ	5			
窄	窄	tsɔʔ	5			
紮	扎	tsɔʔ	5			
詐	诈	tsɔʔ	5			
責	责	tsaʔ	5			
側	侧	tsʰɛʔ	5			
冊	册	tsʰaʔ	5			
察	察	tsʰɔʔ	5			
廁	厕	tsʰɛʔ	5			
惻	恻	tsʰɛʔ	5			
拆	拆	tsʰaʔ	5			
插	插	tsʰɔʔ	5			
撮	撮	tsʰɛʔ	5			
擦	擦	tsʰɔʔ	5			
測	测	tsʰɛʔ	5			
策	策	tsʰaʔ	5			
詫	诧	tsʰaʔ	5			
些	些	sɛʔ	5			
卅	卅	sɔʔ	5			
塞	塞	sɛʔ	5			
撒	撒	sɔʔ	5			
殺	杀	sɔʔ	5			
澀	涩	sɛʔ	5			
煞	煞	sɔʔ	5			
瑟	瑟	sɛʔ	5			
索	索	soʔ	5			
肅	肃	sɤʔ	5			
色	色	sɛʔ	5			
薩	萨	sɔʔ	5			
速	速	sɤʔ	5			
霎	霎	sɔʔ	5			
倔	倔	tɕyɛʔ	5			
劫	劫	tɕiɛʔ	5			
即	即	tɕiʔ	5			
厥	厥	tɕyɛʔ	5			
只	只	tɕiʔ	5			
吉	吉	tɕiʔ	5			
哲	哲	tɕiɛʔ	5			
啜	啜	tɕyiʔ	5			
執	执	tɕiʔ	5			
孑	孑	tɕiɛʔ	5			
孓	孓	tɕyɛʔ	5			
急	急	tɕiʔ	5			
戟	戟	tɕyʔ	5			
折	折	tɕiɛʔ	5			
