来源：	1991《介休方言志》张益梅。Vinchi 录入增补。
说明：	代表城关音系
#符号说明：-白＝文	
#调值	［1］13 ［3］523 ［5］45 ［7］13 ［8］523
#a	
p	［1］巴{尾~，结~}芭疤耙{~儿}爬-［3］靶把{~握}把{介词}［5］霸坝罢爸把{刀~子}耙{~地}帕{手~，老妇人头上遮的黑色织物}吧叭-{拟声词}
pʰ	［1］琶耙爬［5］怕帕
m	［1］妈麻蟆馍-{~~ 馒头}［3］马吗蚂玛［5］骂吗
t	［1］□{爷~~，爷爷呀，用于惊奇时}［3］打［5］大
tʰ	［1］他她它
n	［1］拿［3］那哪［5］呐
l	［1］拉垃［3］拉{~糊：指人性情豁达与人好共事}［5］落{~下作业了}了-{语气助词}
ts	［1］咱渣栅喳［3］咋铡{~菜：剁菜}［5］榨诈乍炸{~弹}
tsʰ	［1］茶搽查茬诧［3］衩镲［5］差{~不高}岔叉杈
nᶻ	［5］□{雨后路面上泥水很多，行走不便}
s	［1］沙纱痧鲨茬-□{~头发：剪头发}［3］洒厦{大~}撒□{~子：铁的或陶瓷的洗脸盆}［5］乍-沙{捡，挑选}
tʂ	［1］睁-眨□{用水泡菜使菜中水分充足}［5］炸{锅~了}
tʂʰ	［1］□{~~：撒娇}［3］□{~腰}［5］□{往袋中装物时撑开口儿的动作}
ʂ	［1］生－［3］傻甥-［5］啥生-{~儿：生日}
k	［3］嘎尬玍{~骨：乖僻，脾气不好}
kʰ	［3］卡{~车}
ŋ	［3］俺－{~们}
Ø	［1］啊阿
x	［1］呵{~气}哈罅｛裂开，~下缝缝｝[5]下＝杏-｛~坡：介休村名｝夏-｛~天｝吓-｛~死我了｝
Ø	［1］啊阿
#ia	
p	［1］□{大针脚地缝合，贴}棚-{~子：只有顶子的简易棚}［5］ 迸□{裂开}
pʰ	［1］□{流流~~：容器内液体很满的样子}［3］□{~开腿：双腿分开}
m	［1］孟{~村：介休一村名}［3］猛{~忽地：突然间}［5］□{~~：唢呐或类似唢呐的玩具}
l	［1］□{薄~：挣扎，甩动}［3］冷-
tɕ	［1］加伽痂拁茄笳袈家佳嘉耕-□{面条儿}羹-{面条儿}［3］假{真~}贾{姓}［5］架驾假{放~}稼嫁价
tɕʰ	［1］抲{抱，引申为妇女分娩}［3］卡［5］掐{~死}呛{~人}
ȵ	［1］牙-芽-蚜-衙-鸭娘{~~：尊称和祖母同辈的老妇人｝［3］哑-［5］轧-硬-压-亚-娘{祖母}
ɕ	［1］虾霞瑕侠暇行-{~~：小儿学步}[5]杏｛~核｝下厦｛~门｝吓夏
Ø	［1］牙芽衙［3］雅哑也-［5］讶亚轧
#ua	
ts	［1］抓□{拍打的声音}［3］爪
tsʰ	［5］□{倾倒液物体的声音}
s	［1］□{把衣着的衣裤推向上}唰［3］耍
k	［1］瓜呱□{男女发生性行为，常用于骂人}［3］寡剐［5］挂褂卦
kʰ	［1］夸［3］胯垮侉{本地认为很土的外地口音}［5］挎
x	［1］花华铧哗划{~玻璃}［5］化华{~山}画桦话划{计~}
Ø	［1］娃蛙挖娲［3］瓦{砖~}［5］瓦{~刀}凹洼哇□{~住了：胃口中积食不化}
	
#ya	
tɕ	［1］□{硬，比喻义为“好”；引申义为“死”}［5］□{“张家”的合音，~庄：张家庄（介休一村名）}
ɕ	［1］横-{形容词：与地面平行的}□{训斥}［5］横-{动词：卡住}
Ø	［1］曰-{子~诗云}［3］哕{干呕}［5］□{~子猴儿：一种木偶戏，它是外来的江湖艺人一人操作并演唱的一种布袋木偶戏}
#ᴇ	
tʂ	［1］遮-［3］者-赭-
tʂʰ	［1］车-蛇-奢-［3］扯-［3］撤-
ʂ	［1］赊-［3］舍-{放弃}［5］社-赦-舍-{宿~}射-麝-
ʐ	［3］惹-□{传染：他~上我了}揖-{作~}
#iᴇ	
p	［1］婆-［3］簸-{~麦子}［5］簸{~箕}别{~扭}
pʰ	［1］坡-［3］□{类似于摘玉茭的动作}［5］破-劈-{~硬柴：劈柴}
m	［1］磨-{~刀儿}魔-{~了：疯了}摩-馍-{发财~：过节时蒸的一种馒头}［3］抹{~油}［5］磨-{水~儿}
t	［1］爹多-驮-{动词}驮{骆~}［3］□{向下倾斜：~角角眼}［5］大-驮-{名词：~子}
tʰ	［1］拖-［3］□{仰卧，有贬义}
l	［1］锣-箩-萝-罗{~王庄：介休一村名}［3］□{用单手拿物，使物体受力不均匀，把罐罐的耳子~下来了}［5］□{~腰：体操或舞蹈中身体向后弯曲成拱形}
tɕ	［1］皆秸阶街过-{拿~来}茄-{~子}［3］姐解{~放}［5］介芥疥界借届戒械左-{~手}
tɕʰ	［1］揩-{~桌子}搓-{~鱼鱼：一种用手搓成的的面食，常用高粱面或莜面做成}
ȵ	［1］挨-{~打}［3］□{脖斜~肚：不规律的臥势或伸懒腰等动作，可能是“仰”的音转}［5］捱{~住：忍住}
ɕ	［1］斜邪些鞋偕谐携［3］写解{大~杯：衣扣全开}［5］谢榭解{姓~}蟹懈泻排泄卸灺姓-{你~家：你们家族}
k	［1］哥-{大~：妻兄}
kʰ	［3］可{成都转轻}［5］可{副词：到处}
ŋ	［1］屙-蛾-{~~}［3］我-［5］饿-
x	［1］河-［3］荷{拿}［5］□{哄，奉承}
Ø	［1］爷［3］野冶也［5］夜液腋一{“一个”的合音}
#uᴇ	
k	［1］锅-［3］果-裹-［5］过-{~年}
kʰ	［1］棵颗{一~豆豆}□{打耳光}［3］颗-{起了一身～～}［5］嗑-骒-{雌性，专指骒马；起~：动物发情}
x	［1］和-{动词}［3］火-伙-{~计}［5］货-祸
