po	1	波菠玻坡		
	5	簸		
pʰo	2	婆		
	3	颇跛		
	5	破		
mo	1	摸		
	2	魔磨摩		
	6	磨		
to	1	多		
	3	朵		
	5	剁		
tʰo	1	拖		
	2	驼驮		
	3	妥椭		
	5	唾		
	6	舵惰		
lo	1	□[拉屎]		
	2	罗锣箩骡螺		
	3	□[麻烦也]		
	6	糯		
tso	1	啄		
	3	左		
	5	佐		
tsʰo	1	搓		
	5	错		
	6	坐座		
so	1	蓑梭唆		
	2	□[劣也]		
	3	琐锁		
ko	1	哥歌		
	5	个		
kʰo	1	科窠棵苛		
	3	可颗		
	5	课		
ŋo	2	蛾鹅俄讹		
	6	我饿卧		
ho	2	河何荷		
	6	贺		
kuo	1	戈		
	3	果裹		
	5	过		
huo	2	和		
	3	火伙		
	5	货		
	6	祸		
uo	1	锅倭窝蜗		
	2	禾		
pai	3	摆		
	5	拜		
pʰai	2	排牌		
	5	派		
	6	败		
mai	2	埋		
	3	买		
	6	卖迈		
tai	1	呆		
	3	歹		
	5	戴带		
tʰai	1	胎		
	2	台苔抬		
	5	太		
	6	待怠殆代袋大贷		
lai	2	来雷-		
	3	乃奶		
	6	耐奈赖癞		
tsai	1	灾栽斋		
	3	宰载崽		
	5	再载债		
tsʰai	1	猜差		
	2	才材财裁豺柴		
	3	彩采睬揣		
	5	菜蔡		
	6	在寨		
sai	1	腮鳃筛		
	3	洒		
	5	赛晒帅		
kai	1	该皆阶街		
	3	改解		
	5	盖介界芥尬疥届诫戒		
kʰai	1	开揩		
	3	凯楷丐		
	5	概溉慨咳		
ŋai	1	哀挨		
	2	呆涯崖捱		
	3	蔼矮		
	5	爱		
	6	碍艾外		
hai	1	唉		
	2	孩谐鞋		
	3	海骇蟹		
	6	亥害械懈解		
kuai	1	乖		
	3	拐		
	5	怪		
kʰuai	5	块快筷		
huai	1	灰-		
	2	怀槐淮		
	3	□[用手拧或摔]		
	6	怀		
uai	1	歪		
	6	会-		
kui	1	圭闺规龟归		
	3	诡轨鬼		
	5	刽桧鳜桂癸贵		
kʰui	1	盔魁亏窥		
	2	逵葵		
	3	跪		
	5	愧		
	6	溃柜		
hui	1	灰=恢非飞妃挥辉徽		
	2	回茴肥		
	3	毁匪		
	5	废肺绘悔晦费讳		
	6	会=吠惠慧汇		
ui	1	煨威		
	2	维惟微违围余-		
	3	委尾伟纬雨-		
	5	秽畏慰		
	6	卫伪为位未味魏胃谓蝟汇芋会-		
pau	1	褒包胞		
	3	保堡宝饱		
	5	报豹爆		
pʰau	1	抛泡		
	2	袍铇浮		
	3	剖跑		
	5	炮泡		
	6	抱暴菢鲍		
mau	1	猫=		
	2	毛茅锚谋矛		
	3	卯某亩牡		
	6	帽冒貌茂贸		
tau	1	刀朝昭招		
	3	祷岛倒沼斗抖陡		
	5	到倒照诏斗		
tʰau	1	滔超偷		
	2	逃桃淘陶萄涛朝潮头投		
	3	讨		
	5	套导透		
	6	盗道稻赵兆召豆逗		
lau	1	捞		
	2	劳牢铙挠饶楼搂		
	3	脑恼老扰绕蒌楼		
	6	斗漏陋		
tsau	1	遭糟邹		
	3	早枣蚤澡爪找走		
	5	躁竈罩奏皱绉		
tsʰau	1	操抄钞		
	2	曹槽巢愁		
	3	草炒吵		
	5	糙凑		
	6	皂造骤棹		
sau	1	骚臊梢烧搜飕馊		
	3	嫂少叟		
	5	扫潲少瘦漱		
	6	绍邵		
kau	1	高膏篙羔糕交郊胶		
	3	稿绞狡搅		
	5	告教校较窖觉校		
kʰau	1	敲		
	3	考		
	5	靠犒□[玩耍]		
	6	□[混在一起]		
ŋau	1	□[红烧]		
	2	熬		
	3	咬		
	5	□[以扁担一端举物]		
	6	傲		
hau	1	蒿		
	2	豪壕毫肴侯喉猴		
	3	好吼		
	5	好孝酵		
	6	浩号效后厚候		
piau	1	标膘彪		
	3	表		
	5	□[分配也]		
pʰiau	1	飘		
	2	瓢嫖		
	3	□[离位斜出之物如牙]		
	5	票		
miau	1	猫-		
	2	苗描		
	3	藐渺秒鸟杳		
	5	喵		
	6	庙妙谬		
tiau	1	刁貂雕		
	5	钓吊		
tʰiau	1	挑		
	2	条调		
	3	调-		
	5	跳粜		
	6	调		
liau	2	辽聊		
	3	了瞭燎疗		
	6	料廖		
tɕiau	1	焦蕉椒骄娇浇阄勾-钩-沟-		
	3	剿矫缴侥狗-苟-		
	5	醮叫彀-够-		
tɕʰiau	1	锹		
	2	樵乔侨桥荞		
	3	口-		
	5	窍叩-扣-寇-		
	6	轿-		
ȵiau	1	欧-瓯-		
	2	尧牛-		
	3	呕-藕-偶-		
	5	沤-怄-		
	6	尿		
ɕiau	1	消宵霄硝销枵嚣萧箫		
	3	小晓		
	5	笑		
iau	1	妖邀腰要		
	2	摇谣窑姚		
	3	舀		
	5	要		
	6	耀鹞		
keu	1	勾=钩=沟=		
	3	狗=苟=		
	5	彀=够=		
kʰeu	3	口=		
	5	叩=扣=寇=		
ŋeu	1	欧=瓯=		
	3	呕=藕=偶=		
	5	沤=怄=		
tiəu	1	丢		
liəu	1	溜		
	2	流刘留硫琉		
	3	柳		
	6	榴		
tɕiəu	1	纠鸠揪		
	3	酒九久韭		
	5	救究		
tɕʰiəu	1	秋丘		
	2	求球		
	6	就袖-臼舅咎旧		
ȵiəu	2	牛=		
	3	纽扭		
ɕiəu	1	休修羞		
	2	囚泅		
	3	朽		
	5	秀绣锈嗅=莠诱		
	6	袖=		
iəu	1	忧优幽		
	2	尤邮由油游犹		
	3	有友酉		
	5	幼		
	6	又右祐柚鼬釉		
huəu	2	浮=		
	3	否		
	5	阜		
tam	1	担		
	3	胆		
	5	担		
tʰam	2	谈痰		
	3	□[舔也]		
	6	淡		
lam	2	蓝篮		
	3	览揽榄		
	6	滥缆		
tsam	3	斩		
	5	蘸		
tsʰam	2	惭		
	6	暂栈		
sam	1	三衫		
kam	1	尴监		
	3	减		
	5	鉴监		
kʰam	5	嵌		
	6	□[跨步]		
ŋam	1	□[天久不雨状]		
	2	岩		
ham	2	咸衔		
	3	喊		
	6	陷		
tem	1	沾瞻占		
	3	□[倒压也]		
	5	占		
lem	3	染=冉		
tsem	1	□[堆积也]		
tsʰem	2	岑		
sem	1	森参		
	3	陕闪		
	6	赡		
tiem	3	点		
	5	店		
tʰiem	1	添		
	2	甜		
	3	舔		
	6	簟垫		
liem	2	廉镰帘		
tɕiem	1	尖兼		
	3	检		
	5	剑		
tɕʰiem	1	签谦		
	2	潜钳		
	5	欠歉		
	6	渐俭		
ȵiem	1	拈		
	2	黏严		
	3	俨染-		
	6	验酽念		
ɕiem	1	纤		
	2	嫌		
	3	险		
iem	1	淹阉腌		
	2	炎盐阎檐		
	3	掩		
	5	厌		
	6	艳焰		
təm	1	针斟		
	3	枕		
	5	枕		
tʰəm	2	沉		
ləm	2	壬		
	6	任衽刃		
səm	1	深		
	2	葚		
	3	沈审婶损		
	6	甚		
liəm	2	林淋临		
tɕiəm	1	今金禁襟		
	3	锦		
	5	禁		
tɕʰiəm	1	侵钦		
	2	寻		
	3	寝		
ȵiəm	2	吟淫迎		
	6	赁		
ɕiəm	1	心欣		
iəm	1	音阴		
	3	饮		
	5	荫饮		
tom	1	耽		
tʰom	1	贪		
	3	潭谭		
	5	探		
lom	2	南男		
tsom	1	簪		
tsʰom	1	参		
	3	蚕		
	5	惨		
	6	□[刻石也]		
som	3	□[食而享之]		
kom	1	甘柑		
	3	感敢		
	5	□[弓腰也]		
kʰom	1	堪		
	3	坎砍		
	5	龛		
	6	撼		
ŋom	1	庵揞		
	5	暗		
hom	1	酣		
	2	含函		
	6	憾		
pan	1	班斑颁扳		
	3	板版		
	5	扮		
pʰan	1	攀		
	3	瓣		
	5	盼		
	6	办		
man	1	蛮-□[轻声时语日期也，表日期单位一天]		
	2	蛮		
	6	漫幔慢		
tan	1	丹单		
	3	掸		
	5	旦		
tʰan	1	滩摊		
	2	檀坛弹		
	3	坦毯		
	6	诞但弹蛋		
lan	2	难兰栏拦		
	3	懒		
	6	难烂		
tsan	3	盏		
	5	赞站		
tsʰan	1	餐		
	2	残谗馋		
	3	铲		
	5	灿		
san	1	山		
	3	伞散产		
	5	散珊疝		
kan	1	艰间奸		
	3	简柬拣		
	5	间谏涧		
ŋan	1	蔫		
	2	顽颜		
	3	眼		
	5	晏		
han	1	□[顽皮也]		
	2	闲		
	6	限-苋		
kuan	1	鳏关		
	5	惯		
huan	2	还环烦藩樊繁凡帆		
	3	反		
	5	贩泛		
	6	幻患宦饭范犯		
uan	1	弯湾		
	6	万		
pen	1	般搬崩		
	5	半		
pʰen	1	潘烹		
	2	盘彭=膨		
	5	判叛		
	6	伴		
men	2	瞒萌		
	3	满		
	6	孟		
ten	1	毡专-砖-登灯		
	3	展等		
	5	战颤转-凳		
tʰen	1	川-穿-吞		
	2	缠传-椽腾誊藤滕		
	5	□[拖延]		
	6	篆-传-邓		
len	1	睖		
	2	然燃能楞		
	3	冷=□[翻转也]		
	6	□[坡也]□[发抖也，又音sen]		
tsen	1	榛臻曾增憎争=筝睁=		
	5	□[用气力]		
tsʰen	1	睁		
	2	曾层		
	5	衬		
	6	赠		
sen	1	膻僧生=牲笙甥=		
	2	蝉禅船-		
	3	省=		
	5	扇		
	6	善膳单禅		
ken	1	跟=根=更粳=庚羹=耕=		
	3	哽梗=耿		
	5	更		
