tsa	1	33	楂(山~)渣遮抓									
tsa	3	31	杂(~种)									
tsa	5	45	诈榨炸蔗栅									
tsa	7	42	摘眨(~眼)扎铡(~刀)劄(用针~)炙-									
tsʰa	1	33	叉差杈车									
tsʰa	2	212	茶搽查昨									
tsʰa	3	31	扯									
tsʰa	5	45	岔杂(~屋)									
tsʰa	7	42	擦插察尺拆坼(开~:缝隙)									
sa	1	33	沙纱赊杉									
sa	2	212	蛇									
sa	3	31	酒舍(~得)傻射撒									
sa	5	45	□(~红薯:用水煮熟)石									
sa	7	42	萨杀									
ka	1	33	家加痂									
ka	3	31	假(真~)假(放~)									
ka	5	45	架嫁稼价尬									
ka	7	42	隔夹甲胛(肩~)裌(~衣)									
kʰa	7	42	掐客									
ŋa	2	212	牙芽伢									
ŋa	3	31	瓦									
ŋa	7	42	砑									
xa	1	33	下(底~，~来)									
xa	2	212	虾蛤									
xa	3	31	夏									
xa	5	45	合(十~一升)盒(烟~)匣									
xa	7	42	吓									
a	1	33	阿(~胶)跨-									
a	3	31	哑									
a	7	42	鸭押压轧									
pia	7	42	壁臂									
pʰia	7	42	劈									
fia	3	31	画									
tia	5	45	涩									
lia	1	33	□(舔)									
ʨia	1	33	嘉家(~具)佳									
ʨia	3	31	姐-									
ʨia	5	45	贾驾借									
ʨia	7	42	脊-									
ʨʰia	1	33	□(蝲~:蜘蛛)									
ʨʰia	3	31	谢(姓)恰									
ʨʰia	5	45	席(~子)笡(斜)斜治									
ʨʰia	7	42	赤-									
ȵia	1	33	惹									
ȵia	7	42	额									
ɕia	2	212	霞瑕暇厦(~门)									
ɕia	3	31	写狭峡辖									
ɕia	5	45	泻									
ia	1	33	鸦丫野揖									
ia	2	212	衙亚爷									
ia	3	31	夜涯崖晏晚									
ia	5	45	雅									
sua	3	31	涮									
kua	1	33	瓜									
kua	3	31	寡剐括									
kua	5	45	挂卦褂									
kua	7	42	刮									
kʰua	1	33	夸									
kʰua	2	212	跨									
kʰua	3	31	桠垮									
xua	3	31	华									
ua	1	33	蛙洼挖=									
ua	3	31	话									
ua	5	45	滑猾									
pɔ	1	33	波菠玻播									
pɔ	3	31	宝保堡博泊(梁山~)帛									
pɔ	5	45	簸报									
pɔ	7	42	拨饽剥驳									
pʰɔ	1	33	颇坡									
pʰɔ	2	212	婆薄(~荷)									
pʰɔ	5	45	破薄(厚~)									
pʰɔ	7	42	泊(~船)									
mɔ	1	33	毛摸									
mɔ	2	212	魔磨[~刀]馍模摹无没								
mɔ	3	31	冒帽磨(~面)末沫膜穆									
fɔ	2	212	和(~气)佛(拜~)									
fɔ	3	31	火伙									
fɔ	7	42	□(哄:~人)									
tɔ	1	33	多刀									
tɔ	2	212	惰									
tɔ	3	31	朵岛倒									
tɔ	5	45	剁到稻(水~)啄-									
tɔ	7	42	掇(两手~起)夺踱									
tʰɔ	1	33	拖									
tʰɔ	2	212	驼驮桃逃淘(~米)									
tʰɔ	3	31	讨道(~理)									
tʰɔ	5	45	妥椭									
tʰɔ	7	42	脱托(拜~)									
nɔ	2	212	挪捼(双手摩擦、按摩)诺									
nɔ	3	31	糯脑-									
lɔ	1	33	啰									
lɔ	2	212	罗箩锣骡螺痨脶(手指纹)									
lɔ	3	31	老骆乐(快~)									
lɔ	5	45	裸卵落烙酪洛络									
lɔ	7	42	捋(~袖)									
tsɔ	3	31	左早酌卓琢镯=啄=									
tsɔ	5	45	佐做灶									
tsɔ	7	42	拙作(工~)桌									
tsʰɔ	1	33	搓坐座									
tsʰɔ	2	212	曹-措									
tsʰɔ	3	31	草绰									
tsʰɔ	5	45	矬错凿戳									
tsʰɔ	7	42	撮									
sɔ	1	33	蓑梭嗦唆									
sɔ	3	31	锁琐嫂									
sɔ	5	45	扫所勺									
sɔ	7	42	刷索(绳~)									
kɔ	1	33	哥歌锅戈高-虢									
kɔ	3	31	阁革									
kɔ	7	42	格□[ma31~:什么]									
kʰɔ	3	31	咳□(疲倦)									
kʰɔ	7	42	刻克									
ŋɔ	1	33	□(一~~:一点）									
ŋɔ	3	31	扼									
ŋɔ	5	45	蚁									
xɔ	3	31	核赫									
xɔ	7	42	黑									
ɔ	3	31	而									
ɔ	5	45	尔									
piɛ	1	33	憋									
piɛ	3	31	别鳖毕必碧碧									
pʰiɛ	3	31	辟									
pʰiɛ	5	45	卜(萝~)									
pʰiɛ	7	42	撇									
miɛ	3	31	密=蜜									
miɛ	5	45	灭篾									
tiɛ	3	31	蝶谍嫡敌的(目~)									
tiɛ	5	45	□(~开:赶走)									
tiɛ	7	42	跌叠碟滴笛									
tʰiɛ	7	42	帖贴鉄									
liɛ	3	31	励烈烈裂劣历									
liɛ	5	45	猎									
ʨiɛ	2	212	截									
ʨiɛ	3	31	劫集及杰吉绩击激脊=									
ʨiɛ	5	45	姐=									
ʨiɛ	7	42	节接急揭结									
ʨʰiɛ	3	31	斥赤=									
ʨʰiɛ	5	45	且绝-									
ʨʰiɛ	7	42	妾捷怯切(~开)									
ȵiɛ	3	31	聂业									
ȵiɛ	5	45	热孽月									
ȵiɛ	7	42	蹑镊折(~叠)捏									
ɕiɛ	1	33	蝎									
ɕiɛ	2	212	谢(感~)麝懈舍(宿~)蟹=屑									
ɕiɛ	3	31	谐摄胁习吸悉失室息媳蚀席(主~)夕适释析实=食=									
ɕiɛ	5	45	舌									
ɕiɛ	7	42	歇雪血穴惜									
iɛ	1	33	椰									
iɛ	2	212	液腋									
iɛ	3	31	入乙益译易(交~)									
iɛ	5	45	也叶页越翼亦									
iɛ	7	42	腌噎									
kuɛ	7	42	国									
xuɛ	3	31	或惑获活=									
uɛ	3	31	物									
lyɛ	3	31	律率									
ʨyɛ	1	33	撅(~嘴巴)									
ʨyɛ	3	31	绝=掘决诀倔(~强)爵									
ʨʰyɛ	3	31	雀鹊									
ʨʰyɛ	7	42	缺									
ȵyɛ	3	31	虐疟									
ɕyɛ	1	33	靴薛									
ɕyɛ	3	31	术(技~)术(白~)述削									
yɛ	3	31	阅悦粤跃域疫役									
pai	1	33	跛									
pai	2	212	败(失~)									
pai	3	31	摆									
pai	5	45	拜									
pʰai	1	33	□(~东西:用扁担的一头挑)									
pʰai	2	212	排牌									
pʰai	3	31	派稗败(衰~)									
tuei	2	212	队									
tʰuei	3	31	腿									
nuei	3	31	内									
luei	1	33	□(打~:滚动)									
luei	2	212	雷锐瑞类泪									
luei	3	31	蕊儡虑滤累(极困，连~)									
luei	5	45	摞(~起来)屡累(~积)垒									
tsuei	1	33	追锥									
tsuei	2	212	坠缀赘									
tsuei	3	31	嘴									
tsuei	5	45	最醉									
tsuei	7	42	□(~火:挑拨离间)									
tsʰuei	1	33	催崔									
tsʰuei	2	212	槌锤垂翠粹									
tsʰuei	3	31	罪									
tsʰuei	5	45	脆									
suei	2	212	随隧岁=									
suei	3	31	暑-鼠髓水									
suei	5	45	碎税									
suei	7	42	湿									
kuei	1	33	圭国规龟归									
kuei	3	31	轨诡鬼									
kuei	5	45	桂贵									
kuei	7	42	骨核(果子~)									
kʰuei	1	33	盔亏窥									
kʰuei	2	212	逵葵溃									
kʰuei	3	31	跪癸柜									
kʰuei	5	45	愧									
xuei	1	33	恢挥辉徽									
xuei	2	212	回茴蛔贿惠慧秽讳									
xuei	5	45	讳晦绘悔汇									
uei	1	33	威危微									
uei	2	212	违围为(作~)维惟未纬									
uei	3	31	为(~什么)唯伟位									
uei	5	45	卫伪畏胃谓委									
ʨʰyei	7	42	出									
pɔi	5	45	背(~部)辈-									
pʰɔi	1	33	胚坯									
pʰɔi	2	212	赔陪									
pʰɔi	3	31	倍背(~书)									
mɔi	2	212	梅煤霉媒									
mɔi	5	45	妹莫									
fɔi	1	33	灰									
tɔi	1	33	堆									
tɔi	5	45	对碓兑									
tʰɔi	1	33	胎推梯-									
tʰɔi	2	212	台苔抬									
tʰɔi	3	31	待-代-袋									
tʰɔi	5	45	退蜕褪									
tsɔi	1	33	□(男性生殖器)									
tsʰɔi	1	33	吹炊在									
tsʰɔi	2	212	台(桌子)材-财-裁-才-(人~)									
tsʰɔi	5	45	菜蔡									
sɔi	3	31	睡									
kɔi	1	33	该									
kɔi	5	45	盖									
kʰɔi	1	33	开									
ŋɔi	3	31	外									
xɔi	3	31	海-害-									
ɔi	5	45	要(想~)									
uɔi	1	33	煨									
uɔi	5	45	会(~不~)									
pau	1	33	褒包胞									
pau	2	212	曝									
pau	3	31	饱									
pau	5	45	暴豹爆									
pʰau	1	33	抛									
pʰau	2	212	袍刨鲍饱雹									
pʰau	5	45	炮泡跑鳔									
mau	2	212	茅矛锚貌									
mau	5	45	茂贸卯									
tau	1	33	叨									
tau	2	212	道(大~)									
tau	5	45	祷									
tʰau	1	33	滔掏陶涛									
tʰau	2	212	稻(晚~)盗导									
tʰau	3	31	萄									
tʰau	5	45	套									
nau	3	31	恼闹饶									
nau	5	45	挠脑=									
lau	1	33	捞臊									
lau	2	212	劳牢唠笊(~篱)									
lau	5	45	涝									
tsau	1	33	遭糟朝(今~)招昭									
tsau	2	212	皂									
tsau	3	31	枣蚤爪沼									
tsau	5	45	赵兆召照躁									
tsʰau	1	33	操抄钞超									
tsʰau	2	212	潮朝(~代)巢曹=槽									
tsʰau	3	31	炒造									
tsʰau	5	45	糙吵									
sau	1	33	骚梢捎烧稍									
sau	2	212	韶邵少(~年)									
sau	3	31	少(多~)									
sau	5	45	潲绍									
kau	1	33	膏羔糕高=胶交-教(~书)告(~诉)									
kau	3	31	稿搞									
kau	5	45	窖觉(睡~)告(上~)颌									
kʰau	3	31	考									
kʰau	5	45	靠犒烤拷敲									
ŋau	1	33	咬									
ŋau	2	212	熬傲									
xau	1	33	薅和(~面)									
xau	2	212	豪毫□(形容人妖)郝(姓)									
xau	3	31	孝号好(喜~)									
xau	5	45	耗浩									
au	2	212	懊									
au	3	31	袄拗(折断)									
au	5	45	奥坳									
piau	1	33	膘标彪飙(打~:跳跃)									
piau	3	31	表婊裱									
