					调值 [1]211 [2]24 [3]213 [5]53 [7]5
豆	t	iɵ	53		
楼	l	iɵ	24		
走	tɕ	iɵ	213		
凑	tɕʰ	iɵ	53		
钩	k	ɵ	211		
狗	k	ɵ	213		
够	k	ɵ	53		
口	kʰ	ɵ	213		
藕	ɣ	ɵ	213		
后	x	ɵ	24	白	
后	x	ɵ	53	文	
厚	x	ɵ	53		
富	f	β	53		
副	f	β	53		
浮	f	β	24		
妇	f	β	53		
流	l	iɵ	24		
酒	tɕ	iɵ	213		
修	ɕ	iɵ	211		
袖	ɕ	iɵ	53		
抽	tɕʰ	iɵ	211		
绸	tɕʰ	iɵ	213		
愁	tɕʰ	iɵ	24		
瘦	ɕ	iɵ	53		
州	tɕ	iɵ	211		
臭	tɕʰ	iɵ	53		
手	ɕ	iɵ	213		
寿	ɕ	iɵ	53		
九	tɕ	iɵ	213		
球	tɕʰ	iɵ	24		
舅	tɕ	iɵ	53		
旧	tɕ	iɵ	24		
牛	l	iɵ	24		
休	ɕ	iɵ	211		
优	Ǿ	iɵ	211		
有	Ǿ	iɵ	213		
右	Ǿ	iɵ	53		
油	Ǿ	iɵ	24		
丢	t	iɵ	211		
幼	Ǿ	iɵ	53		
贪	tʰ	ã	211		
潭	tʰ	ã	24		
南	l	ã	24		
蚕	tsʰ	ã	24		
感	k	ã	213		
含	x	ã	24		
暗	ɣ	ã	53		
搭	t	aʔ	5		
踏	tʰ	aʔ	5		
拉	l	a	211		
杂	ts	aʔ	5		
鸽	k	ɤʔ	5		
盒	x	ɤʔ	5		
胆	t	ã	213		
毯	tʰ	ã	213		
淡	t	ã	53		
蓝	l	ã	24		
三	s	ã	211		
甘	k	ã	211		
敢	k	ã	213		
喊	x	ã	213		
塔	tʰ	aʔ	5		
蜡	l	aʔ	5		
赚	ts	uã	53		
杉	s	a	211		
减	tɕ	ɪ̃	213		
咸	x	ã	24	白	
咸	ɕ	ɪ̃	24	文	
插	tsʰ	aʔ	5		
闸	ts	aʔ	5		
夹	k	aʔ	5	白	
夹	tɕ	iaʔ	5	文	
衫	s	ã	211		
监	tɕ	ɪ̃	211		
岩	Ǿ	ɪ̃	24		
甲	tɕ	iaʔ	5		
鸭	Ǿ	iaʔ	5		
黏	n	ɪ̃	24		
尖	tɕ	ɪ̃	211		
签	tɕʰ	ɪ̃	211		
占	ts	ã	53		
染	ɹ	õ	213	白	
染	ɹ	uã	213	文	
钳	tɕʰ	ɪ̃	24		
验	Ǿ	ɪ̃	53		
险	ɕ	ɪ̃	213		
厌	Ǿ	ɪ̃	53		
炎	Ǿ	ɪ̃	24		
盐	Ǿ	ɪ̃	24		
接	tɕ	ieʔ	5		
折	ts	ɤʔ	5		
叶	Ǿ	ieʔ	5		
剑	tɕ	ɪ̃	53		
欠	tɕʰ	ɪ̃	53		
严	Ǿ	ɪ̃	24		
业	Ǿ	ieʔ	5		
点	t	ɪ̃	213		
店	t	ɪ̃	53		
添	tʰ	ɪ̃	211		
甜	tʰ	ɪ̃	24		
念	n	ɪ̃	53		
嫌	ɕ	ɪ̃	24		
跌	t	ieʔ	5		
贴	tʰ	ieʔ	5		
碟	t	ieʔ	5		
协	ɕ	ieʔ	5		
犯	f	ã	53		
法	f	aʔ	5		
