					调值 [1]211 [2]24 [3]213 [5]53 [7]5
冻	t	ɘn	53		
通	tʰ	ɘn	211		
桶	tʰ	ɘn	213		
痛	tʰ	ɘn	24		
铜	tʰ	ɘn	24		
动	t	ɘn	53		
洞	t	ɘn	24		
聋	l	ɘn	24		
弄	l	ɘn	53		
粽	ts	ɘn	53		
葱	tsʰ	ɘn	211		
送	s	ɘn	53		
公	k	uɘn	211		
孔	kʰ	uɘn	213		
烘	x	uɘn	211		
红	x	uɘn	24		
翁	Ǿ	uɘn	211		
木	m	ɤʔ	5		
读	t	ɤʔ	5		
鹿	l	ɤʔ	5		
族	ts	uoʔ	5		
谷	k	uoʔ	5		
哭	kʰ	uoʔ	5		
屋	Ǿ	uoʔ	5		
冬	t	ɘn	211		
统	tʰ	ɘn	213		
脓	l	ɘn	24		
脓	l	ɘn	211	～包	
松	s	ɘn	211		
宋	s	ɘn	53		
毒	t	ɤʔ	5		
风	f	ɘn	211		
丰	f	ɘn	211		
凤	f	ɘn	53		
梦	m	ɘn	53		
中	ts	uɘn	211		
虫	tsʰ	uɘn	24		
终	ts	uɘn	211		
充	tsʰ	uɘn	211		
宫	k	uɘn	211		
穷	tɕʰ	yɘn	24		
熊	ɕ	yɘn	24		
雄	ɕ	yɘn	24		
福	f	ɤʔ	5		
服	f	ɤʔ	5		
目	m	ɤʔ	5		
六	l	ɤʔ	5		
宿	s	ɤʔ	5		
竹	ts	uoʔ	5		
畜	tsʰ	uoʔ	5		
缩	s	ɤʔ	5		
粥	ts	uoʔ	5		
叔	s	uoʔ	5		
熟	s	uoʔ	5		
肉	ɹ	ɵ	53		
菊	tɕ	yeʔ	5		
育	Ǿ	yeʔ	5		
封	f	ɘn	211		
蜂	f	ɘn	211		
缝	f	ɘn	24		
浓	n	ɘn	24		
龙	l	ɘn	24		
松	s	ɘn	211		
重	ts	uɘn	24		
肿	ts	uɘn	213		
种	ts	uɘn	53		
冲	tsʰ	uɘn	211		
恭	k	uɘn	211		
共	k	uɘn	53		
凶	ɕ	yɘn	211		
拥	Ǿ	yɘn	213		
容	Ǿ	yɘn	24		
用	Ǿ	yɘn	53		
绿	l	ɤʔ	5		
足	ts	ɤʔ	5		
烛	ts	uoʔ	5		
赎	s	uoʔ	5		
属	s	uoʔ	5		
褥	ɹ	uoʔ	5		
曲	tɕʰ	yeʔ	5		
局	tɕ	yeʔ	5		
玉	Ǿ	yᶽ	53		
浴	Ǿ	yeʔ	5		
说	s	uoʔ	5		
不	p	ɤʔ	5		
克	kʰ	ɤʔ	5		
