	註釋：-白讀，=文讀												
p	[3]脯-{筍～：筍乾}匏瓠[5]肥疿[6]吠[8]婦-{新～：兒媳婦}												
pʰ	[1]麩-鋪[3]醭醅[5]扶-{～手}屁[6]湢{泥～：爛泥}[7]□{香末}												
t	[1]蛛追珠-{肥～：皂莢}[3]躲{俗，～角：躲在角落裏}除[5]廚著櫥[6]垂贅隊隧墜軸箸[7]築竺竹[8]苎軸{車～}												
tʰ	[1]□{揉洗}[3]伫儲[5]鋤錘槌[7]畜朒{填塞}												
n	[3]汝女[5]□{吵鬧不安}[7]□{用指甲壓進}[8]肉												
l	[3]旅鋁莒屢閭戮呂履侶縷[5]驢[6]慮累濾淚類[7]律[8]綠陸六錄												
k	[1]車{～馬炮}居歸規龜閨距圭拘[3]巨舉詭葵矩睽逵踞軌{鐵～}鬼倨據[5]貴鱖句桂鋸季[6]櫃跪局掘[7]鞠菊㥌倔掬憠[8]俱劇具炬巨{又音}渠{他}倨{又音}據{又音}拒懼踞{又音}												
kʰ	[1]趨軀駒虧區嶇驅[3]杵豬{訓“豨”}豨[7]曲渠{又音，水渠}粬憠鞠{又音}倔{又音}麴屈												
ŋ	[3]危桅巍語嵬[5]虞魚漁娛[6]馭愚禦御遇寓[8]獄玉												
x	[1]輝墟虛琿嘘揮[3]許[6]慧惠彗蕙諱卉雨穗[7]畜{俗}搐蓄旭煦□{拋摔}												
ts	[1]朱株錐硃珠{寶～}諸誅侏疽褚[3]醉煑咀徐嘴主[5]隨隋{三字舊讀}駐薯{木～}垂注註鑄蛀[6]住{～宿}[7]足蜀促{又音}粥祝囑燭[8]駐聚驟												
tsʰ	[3]取鼠娶處{～理}[5]處翠喙[6]秫糯{訓“秫”}趣[7]出觸促{又音}												
s	[1]舒輸書雖抒需胥鬚須[3]誰殊水儲黍[5]曙墅垂{又音}隋{又音}庶穢歲={萬～}暑恕署隨{又音}睡絮[6]豎緒樹贖{～金}序塾遂熟續[7]蓿菽肅恤粟述宿叔敍俗術淑												
∅	[1]威畏[3]宇禹委孺羽逶圍萎帷渝唯維逾偉隅違葦汙薯-{番～}臾韋予如於妤餘諛余儒乳榆迂萸盂俞于[5]畏{伓～：別怕}[6]喟衛予螬僞踰渭芋位愈喻胃譽預[7]欲慾與郁尉域毓聿豫育熨裕□{摺疊}[8]屬辱贖浴囑褥												
#a													
p	[1]巴{尾～}疤芭笆[3]巴{俗，下～}靶把{～握}□{狹窄}[5]爬扒叭耙垻欛霸壩=把{～柄}[6]罷爸[7]百柏拔={提～}擘伯[8]吧{俗}												
pʰ	[1]扒[5]帕脬{陰囊}怕□{一團}[7]拍{節～}												
m	[3]馬碼嫲[5]栂拇麻={～紗}媽姆痳[6]罵媽[8]麥𢫦{打}												
t	[1]爹[3]打[5]茶□{張開}[6]碟踏[7]䋎{縫}搭答劄												
tʰ	[1]他它她[6]疊[7]貼塔踏{～實}榻塌[8]差												
n	[3]那[5]哪□{量詞，張虎口量}[7]捺□{給}[8]鈉納拿呐												
l	[1]啦拉[5]喇[6]疊[7]癩狧{舔}[8]獵蠟臘												
k	[1]傢佳豭{狗～：公狗}家枷加嘉[3]假賈{姓}[5]駕嫁={～妝}價架假{放置}[7]隔覺挾胛甲裌夾匣[8]架{量詞}挾裌夾												
kʰ	[1]掐[7]卡客												
ŋ	[3]雅[5]衙牙蚜芽[6]亞砑[8]樂岳嶽												
x	[1]□{⿰酉合}[5]霞瑕嫁={～人}[6]廈下{～棋}夏[7]狹狎挾學{～習}俠[8]哈												
ts	[1]查{姓}榨{～菜}渣炸[3]查[5]榨{油～：名詞}做[7]紮札劄蚱軋眨乍												
tsʰ	[1]叉差[5]岔[7]册插												
s	[1]沙紗痧傻[5]{動作快且亂}[7]霎塞-薩[8]涑颯{雨聲}												
∅	[1]阿鴉[3]啞[7]鴨壓押[8]下峽{～陽}												
#ia													
p	[7]壁-{～板}												
pʰ	[8]□{差}												
t	[1]地{“地下”快讀的合音}[6]糴[7]摘												
tʰ	[5]□{開玩笑}[7]拆-{～厝：拆房子}坼-{必～：裂縫}												
n	[3]惹[7]囁鑷齧[8]笍{篾辮}□{髪辮}												
l	[7]躐[8]曆𥷒{，～子}												
k	[5]迦[6]架{礙手礙腳}[8]夾{老鼠～}屐												
kʰ	[1]椏[5]□{作梗}[7]恰洽												
x	[1]□{張開}[7]嚇脅俠{又音}												
ts	[1]遮[3]者斜姐[5]藉蔗鷓畲[6]謝{姓}[7]脊隻跡蹟只[8]葉蹀籍												
tsʰ	[1]賒奢車[3]且扯[5]趄苴斜{～墿：斜路}[7]赤□{用力使尖物刺入}												
s	[3]寫捨[5]舍瀉赦[6]謝{動詞，花～了}卸□{筍的嫩衣}[8]靸{拖鞋}削-{～刀}												
∅	[3]野佘也冶亦椰耶[6]麝夜[8]社役野-{～發：野生}射												
#ua													
l	[3]裸{俗}卵{俗}												
k	[1]呱瓜[3]菓剮寡裹-{包～}果[5]掛卦過褂[6]餜{油炸～}[8]刮槨廓郭												
kʰ	[1]戈蝌科誇洿垮窠跨[5]課[7]擴括[8]摑												
x	[1]嘩花[3]夥伙[5]化貨[6]畫-{～仔：畫片}禍話={白～}[7]閥法伐筏乏髮={理～}活												
ts	[1]抓												
s	[3]耍												
∅	[1]鍋萵媧蝸窩蛙娃挖窪[3]鏵樺和華[6]謂話-{～事：說話}[8]畫-{～圖}劃瓦												
#ɛ													
p	[5]閉-{～氣}□{鼓吹}[6]苩{俗}蔔{蘿～}卜[7]北[8]白={坦～}												
pʰ	[7]魄珀迫												
m	[3]彌{～勒}魘[6]妹[7]默陌□{未受精的蛋}[8]脈墨密-{躲～：躲藏}												
t	[1]胝[3]挃{要、需要}□{程度深重}[6]直[7]德得[8]凹塌												
tʰ	[7]踢特忒												
n	[3]耐-{～性}[6]膩[7]凹{又音}[8]饇{吃飽喝足}												
l	[3]勒{彌～}[5]來{～去}[8]栗勒{～索}												
k	[5]的{訓，結構助詞}[7]格革嗝隔{～開}骼												
kʰ	[7]咳克刻喀尅												
ŋ	[7]扼厄額={名～}[8]逆違{訓“逆”}厄扼												
x	[7]赫郝黑核[8]嘿{氣喘}												
ts	[1]栽[3]籽[6]□{麵糰}[7]澤則擇={選～}仄責節-{柴～：木節}[8]塞												
tsʰ	[5]菜臍[6]賊[7]徹撤策測漆拆{～字}側廁□{攙扶}												
s	[1]毸{雌性}[3]使駛[5]狸-{貓～}[6]力李-{～仔：李子}[7]色嗇錫-塞-{～住}穡瑟蝨澀鯴{田～：鯰魚}												
∅	[1]眵{大便、屎}[7]壓軛呃												
#iɛ													
p	[3]必{～裂：破裂}[6]別{～人}[7]鼈屄												
pʰ	[5]劈㓟{橫劈}[8]別{分～}撇												
m	[7]蔑□{涂敷}[8]蔑滅												
t	[1]爹{祖父}[7]跌疊[8]諜牒蝶												
tʰ	[6]疊{又音}[7]帖鐵												
n	[7]捏鑷聶攝												
l	[7]烈列[8]裂咧												
k	[5]□{僵直}[6]夾挾裌[7]謁劫桀急-{～躁}竭詰揭潔傑結={團～}[8]狹-{～把：狹窄}												
kʰ	[7]缺-{～仔：豁唇}怯												
ŋ	[6]鑷攝[8]業頁孽												
x	[6]挾{又音}穴[7]脅協□{水勢急}												
ts	[1]者[3]仔-{詞尾，甌～：杯子}[6]折-{～本：虧本}[7]接捷摺折={存～}節哲這浙[8]折-{～斷}												
tsʰ	[5]楔碶{木楔}[6]蠘鍥{尖樁}[7]濕切={密～}妾												
s	[3]些{俗}[6]翼={鴨～：鴨翅膀}脅翅[7]薛拭泄設襲脅{又音}涉												
∅	[7]□{掰開}[8]吃{訓}饁{吃}食{吃}												
#uɛ													
p	[3]發-{～癫}[5]垻-簸壩-[7]潑={活～}菝-{蓽～：草藥名}鉢撥{～款}髮-{頭～仔：劉海}發[8]鈸												
pʰ	[5]破{～衣}[6]被{～仔：被子}[7]潑-{～水}												
m	[5]麻-蔴-磨{～墨}[7]抹[8]襪沫末												
t	[1]多-{幾～}[3]戴[5]戴{姓}帶[6]大[7]達[8]舵待												
tʰ	[1]拖[3]癩{病～：麻瘋}[5]泰太{～公}[7]獺擦{～光}太{～少}												
n	[1]嬝[5]□{解撒}												
l	[6]賴-{～勢：耍無賴}[8]辣												
k	[1]乖[3]拐飢-{腹～}軌蓋{盒仔～：盒蓋}□{老化}[5]芥怪蓋={姓}[7]葛钁{鋤頭}[8]騎{揹負}												
kʰ	[3]葵[5]快[7]闊缺={～點}渴												
ŋ	[3]嵬巍[5]鵝[6]魏外[8]月我												
x	[3]海[5]歲-{三～}[6]害亥壞□{攪拌}[7]歇												
ts	[1]哉災[3]載{五～}宰[5]載{～人}再[6]□{～尿：尿床}[7]紮[8]絕最												
tsʰ	[5]蔡[7]啜察												
s	[1]鯊沙[3]髓[5]籮-{～仔：籮筐}[6]瀨{河中的灘}[7]撒率={～領}薩{又音}煞殺												
∅	[1]歪哀[3]倚淮懷唯槐[5]愛[6]為-{～人}[7]□{褪色}[8]餧我{又音}												
#yɛ													
p	[7]髮-{又音}												
pʰ	[5]皮[6]被{棉～}												
m	[3]尾[6]妹{又音}												
tʰ	[7]獺												
n	[1]嬝												
l	[7]劣												
k	[1]奇{雙反}[3]飢-{腹～}[5]怪{又音}寄[6]钁{又音}□{揹負}[7]決厥訣獗暨[8]歧-{～仔：台階}徛{站}岐-{井～：地名}												
kʰ	[1]開[5]氣{～力}快[7]缺={又音}厥												
ŋ	[3]巍{又音}[5]鵝[6]艾外魏{又音}[8]月{又音}												
x	[5]歲[6]□{擾動}[7]歇												
ts	[3]紙[5]沶{小瀑布}[6]□{又音，～尿：尿床}[7]拙茁□{曬穀蓆}[8]絕{又音}												
tsʰ	[1]吹[7]綴拙{又音}啜輟												
s	[3]髓[5]稅說={遊～}[7]說-{小～}雪												
∅	[3]飛{～動}浮蕨[5]蛇[6]為衛{又音}[7]越粤曰悅銳閱[8]舌												
#ɔ													
p	[1]褒波播玻菠[3]婆{太～：曾祖母}[5]婆{花～：貶稱}播{又音}[6]舶泊[7]溥剝={～削}博勃搏脖駁[8]薄箔												
pʰ	[1]坡[3]頗[5]破[7]璞撲拍{～球}粕												
m	[1]瘼摸[3]魔摩[5]磨{～難}[6]磨{～粉}[7]冪幕莫膜[8]沒{沉～}												
t	[1]多={～餘}[3]朶陀駝島馱掏[6]擇-{～茶：揀選茶葉}惰[7]琢桌卓奪啄[8]□{戳}												
tʰ	[1]拖={～拉機}[3]妥沱[5]□{肉包}[6]掉{詞尾}[7]託拓托[8]侘{呆痴}												
n	[3]挪[5]揉[6]懦糯[7]揉蹂{踩踏}諾												
l	[1]囉[3]駱[5]籮={一～錢}騾邏鑼羅[6]摞{一～碗}[7]烙樂絡酪洛駱{姓}[8]洛落												
k	[1]歌哥[5]□{抬頭}[7]閣合={～水：水匯合}個各鴿轄割[8]□{裝盛}												
