繁体	简体	IPA	注释	来源			
件	件	ʥiɛ̃6	又音	墳派			
儉	俭	ʥiɛ̃6	又音	墳派			
健	健	ʥiɛ̃6	康~	墳派			
鯨	鲸	ʥiɪn2	~魚	墳派			
覲	觐	ʥiɪn6	朝見君主或朝拜聖地	墳派			
勁	劲	ʥiɪn6	~道：勁兒	墳派			
琴	琴	ʥiɪn2	口~。蔡佞《19世紀末的蘇州話》在“二、A Syllabary of the Soochow Dialect所顯示的音係”中，將該字列於[iən]韻後	鄉音字類、蘇州同音字彙1892、蘇州同音常用字彙			
禽	禽	ʥiɪn2	~獸	墳派			
擒	擒	ʥiɪn2	~拿	墳派			
芹	芹	ʥiɪn2	~菜	墳派			
近	近	ʥiɪn6	親近。《廣韻》：巨靳切	墳派			
窘	窘	ʥyən4	本音。《廣韻》：渠殞切	墳派			
箘	箘	ʥyən4	一種細長無節的竹子，可作箭桿	墳派			
郡	郡	ʥyən6	吳~	墳派			
甝	甝	hæ̃1	應讀[ɦæ̃²²³]：白虎	鄉音字類			
喊	喊	hæ̃3	叫~	鄉音字類、蘇州同音常用字彙			
海	海	hɛ3	該字出自《鄉音字類》，與“喊”“闞”同音，讀[hæ̃⁵¹]。對該字音不予以類推，這裏用的是李軍論文中的擬音記音	鄉音字類			
海	海	hɛ3	~貨	蘇州同音常用字彙			
闞	阚	hæ̃3	虎叫聲	鄉音字類			
醢	醢	hɛ3	肉醬。該字出自《鄉音字類》，與“喊”“闞”同音，讀[hæ̃⁵¹]。對該字音不予以類推，這裏用的是李軍論文中的擬音記音	鄉音字類			
呵	呵	hu1	~斥	墳派			
訶	诃	hu1	大聲斥責、怒罵	墳派			
滹	滹	hu1	~沱河：在河北省西部	墳派			
虖	虖	hu1	嗚~：同“嗚呼”	墳派			
火	火	hu3	~冒：發怒。|~鉗、~夾：用灶頭燒火時夾住稻草送進灶膛的工具	墳派			
虎	虎	hu3	老~	墳派			
琥	琥	hu3	~珀	墳派			
滸	浒	hu3	水~	墳派			
滸	浒	ɕy3	~墅關	蘇州同音常用字彙			
貨	货	hu5	大興~：假冒僞劣的貨物	墳派			
戽	戽	hu5	~鬥：形狀似鬥，用於汲水灌田的老式農具	墳派			
荷	荷	hu5	薄~	墳派			
甩	甩	huæ̃5	濫~	墳派			
花	花	huo1	~頭經	鄉音字類			
化	化	huo5	場~：地方	鄉音字類			
駭	骇	ɕiɛ3	文讀：驚~	墳派			
軒	轩	ɕiɛ̃1	翻~	墳派			
掀	掀	ɕiɛ̃1	~起來	墳派			
蜆	蚬	ɕiɛ̃3	~子山	墳派			
險	险	ɕiɛ̃3	~脚乎：差一點。|打花~：打哈欠	墳派			
顯	显	ɕiɛ̃3	~煥：有光彩，有面子	墳派			
獫	猃	ɕiɛ̃3	~狁：中國古代北方的民族，春秋時稱“戎”“狄”，戰國後稱“匈奴”	墳派			
玁	猃	ɕiɛ̃3	~狁：中國古代北方的民族，春秋時稱“戎”“狄”，戰國後稱“匈奴”	墳派			
嶮	崄	ɕiɛ̃3	高峻的樣子	墳派			
僴	僴	ɕiɛ̃3	①威武勇猛。②胸襟寬大開闊	墳派			
撊	撊	ɕiɛ̃3	①兇猛。②遮防禁止	墳派			
俔	伣	ɕiɛ̃5	誤讀	墳派			
莧	苋	ɕiɛ̃5	~菜。今讀陰上	墳派			
憲	宪	ɕiɛ̃5	~法	墳派			
獻	献	ɕiɛ̃5	~醜：謙辭。變調爲55-21	墳派			
幰	幰	ɕiɛ̃5	馬車上的帷幔。理論應讀陰上	墳派			
靴	靴	ɕiu1	釘~	墳派			
馨	馨	ɕiɪn1	~香	墳派			
興	兴	ɕiɪn1	~盛	墳派			
興	兴	ɕiɪn5	生意~	墳派			
欣	欣	ɕiɪn1	~喜。蔡佞《19世紀末的蘇州話》在“二、A Syllabary of the Soochow Dialect所顯示的音係”中，將該字列於[iən]韻後	鄉音字類、蘇州同音字彙1892、蘇州同音常用字彙			
勳	勋	ɕyən1	“勛”的異體字	墳派			
薰	薰	ɕyən1	~風	墳派			
醺	醺	ɕyən1	醉~~	墳派			
塤	埙	ɕyən1	古代用陶土燒製的一種吹奏樂器，圓形或橢圓形，有六孔	墳派			
獯	獯	ɕyən1	~鬻：中國夏代稱北方民族。周代稱“獫狁”，漢代後稱“匈奴”	墳派			
曛	曛	ɕyən1	①黃昏時。②日落的餘暉。③昏暗	墳派			
焄	焄	ɕyən1	①煙火向上冒。②香、臭的氣味	墳派			
纁	纁	ɕyən1	①淺紅色。②落日的餘暉	墳派			
勛	勋	ɕyən1	~章	鄉音字類			
訓	训	ɕyən5	敎~	墳派			
醃	腌	iɛ̃1	~豬肉	墳派			
魘	魇	iɛ̃1	應讀陰上	墳派			
掩	掩	iɛ̃3	遮~	墳派			
也	也	iɛ3	文讀	墳派			
夜	夜	iɛ5	文讀	墳派			
懈	懈	iɛ5	文讀	墳派			
咽	咽	iɛ̃1	~喉	墳派			
胭	胭	iɛ̃1	擦粉點~：化妝	墳派			
蔫	蔫	iɛ̃1	顏色忒~	墳派			
嫣	嫣	iɛ̃1	美艷、艷麗	墳派			
淹	淹	iɛ̃1	~沒，吳語用“𩑦”	墳派			
閹	阉	iɛ̃1	~脫：閹割掉	墳派			
崦	崦	iɛ̃1	~嵫：①山名，在甘肅省。②古代指太陽落山的地方，如“日薄崦嵫”	墳派			
晻	晻	iɛ̃1	應讀陰上	墳派			
弇	弇	iɛ̃1	《集韻》：衣廉切	墳派			
媕	媕	iɛ̃1	應讀陰上：~婀（遊移不決的樣子）	墳派			
奄	奄	iɛ̃3	①覆蓋。②忽然，突然。③氣息微弱	墳派			
晻	晻	iɛ̃3	~~：昏暗不明，如“日晻晻以西邁”	墳派			
罨	罨	iɛ̃3	①用網捕取；覆蓋。②用來捕魚或捕鳥的網	墳派			
掩	掩	iɛ̃3	~摸：行動遲緩，有意拖拉	墳派			
媕	媕	iɛ̃3	~婀：遊移不決的樣子	墳派			
渰	渰	iɛ̃3	雲興起的樣子	墳派			
黶	黡	iɛ̃3	~子：痣，皮膚上所生的黑色斑點	墳派			
檿	檿	iɛ̃3	~桑：山桑。葉可飼蠶。木堅勁，古代多用以製弓和車轅	墳派			
魘	魇	iɛ̃3	夢~	墳派			
偃	偃	iɛ̃3	~旗息鼓	墳派			
揜	揜	iɛ̃3	同“掩”	墳派			
蝘	蝘	iɛ̃3	蟬	墳派			
堰	堰	iɛ̃3	堵（水）；擋（水）	墳派			
鰋	鰋	iɛ̃3	鲇魚	墳派			
演	演	iɛ̃3	~戲	墳派			
戭	戭	iɛ̃3	長槍	墳派			
睍	睍	iɛ̃3	~~：形容怯懦，不敢正視	墳派			
眼	眼	iɛ̃3	讀書音	墳派			
兗	兖	iɛ̃3	~州：地名，在山東省。也可能讀陽上	墳派			
衍	衍	iɛ̃3	①延伸、展開：繁~。②散佈、分佈。③多餘的。也可能讀陽上	墳派			
琰	琰	iɛ̃3	一種美玉。也可能讀陽上	墳派			
剡	剡	iɛ̃3	①削尖。②尖銳、銳利。也可能讀陽上	墳派			
扊	扊	iɛ̃3	～扅，指門閂。也可能讀陽上	墳派			
焱	焱	iɛ̃3	火花、火焰。也可能讀陽上	墳派			
咽	咽	iɛ̃5	~酸：胃裏泛酸水。|~弗落：吞不下；不能容忍	墳派			
煙	烟	iɛ̃5	應讀陰平	墳派			
嬿	嬿	iɛ̃5	①美好的。②安樂、閒適	墳派			
晏	晏	iɛ̃5	姓	墳派			
厭	厌	iɛ̃5	討惹~	墳派			
贗	赝	iɛ̃5	~品	墳派			
燕	燕	iɛ̃5	~子	墳派			
焰	焰	iɛ̃5	放~口：和尚做佛事超度餓鬼	墳派			
鷃	鷃	iɛ̃5	同“鴳”；一種小型的鳥	墳派			
饜	餍	iɛ̃5	~食：食欲不振	墳派			
因	因	iɪn1	~頭：①原因，緣由。②藉口	墳派			
英	英	iɪn1	~雄只怕病來磨：形容有本領的人就怕受疾病折磨	墳派			
姻	姻	iɪn1	婚~	墳派			
應	应	iɪn1	~該	墳派			
膺	膺	iɪn1	義憤填~	墳派			
蠅	蝇	iɪn1	蒼~	墳派			
嬰	婴	iɪn1	育~堂	墳派			
鷹	鹰	iɪn1	鷂~	墳派			
茵	茵	iɪn1	①車上的坐墊。②墊褥的通稱	墳派			
尹	尹	iɪn3	①治理。②官名。③姓。也可能讀陽上	墳派			
引	引	iɪn3	也可能讀陽上	墳派			
蚓	蚓	iɪn3	也可能讀陽上	墳派			
影	影	iɪn3	~戲：電影	墳派			
穎	颖	iɪn3	也可能讀陽上	墳派			
印	印	iɪn5	~子鈿：舊社會高利貸的一種，利上加利，分期歸還，每還一期，在褶子上蓋印爲記	墳派			
音	音	iɪn1	~頭：弦外之音	墳派			
陰	阴	iɪn1	~滋天：陰天	墳派			
飲	饮	iɪn3	冷~：指冰淇淋、汽水、酸梅湯等一類飲料	墳派			
隱	隐	iɪn3	~瀉：不顯眼，隱蔽	墳派			
蔭	荫	iɪn5	~育之福：父母給予的福分、好處	墳派			
窨	窨	iɪn5	~井	墳派			
間	间	kæ̃1	房子五~	墳派			
監	监	kæ̃1	~牢	墳派			
