繁体	简体	IPA	注释	来源			
受	受	ʤʏ4	又音	鄉音字類			
胄	胄	ʤʏ6	①盔：甲~。②帝王或貴族的後代：貴~。③泛指後代。④承續先業	鄉音字類			
酎	酎	ʤʏ6	①~金：古代諸侯向皇帝交納的貢金，作祭祀用。②多重加工而釀成的醇酒	鄉音字類			
宙	宙	ʤʏ6	①古往今來所有的時間：宇~。②天空	鄉音字類			
籀	籀	ʤʏ6	①誦讀。②~文：漢字的一種字體，亦稱“大篆”	鄉音字類			
紂	纣	ʤʏ6	①商代最後一個君主的謚號。一作“受”，亦稱“帝辛”。②馬緧，卽駕車馬後部的革帶。③通“牖”，窗	鄉音字類			
售	售	ʤʏ6	出~	鄉音字類			
柷	柷	ʧoʔ7	①古代打擊樂器，像方匣子，用木頭做成，奏樂開始時敲打。②一種樹	鄉音字類			
祝	祝	ʧoʔ7	姓	鄉音字類			
粥	粥	ʧoʔ7	~隱湯：燒粥時潷出來的湯，常用來餵嬰兒。|~糝：泡飯的米飯粒子	鄉音字類			
竹	竹	ʧoʔ7	~筱	鄉音字類			
竺	竺	ʧoʔ7	①天竺的簡稱，今印度的舊名。②姓	鄉音字類			
涿	涿	ʧoʔ7	①~鹿|~州：地名，均在河北省。②水滴	鄉音字類			
椓	椓	ʧoʔ7	①擊，砍，敲。②告訴。③宮刑	鄉音字類			
琢	琢	ʧoʔ7	文讀：雕~	鄉音字類			
諑	诼	ʧoʔ7	讒言，謠言	鄉音字類			
啄	啄	ʧoʔ7	~木鳥	鄉音字類			
卓	卓	ʧoʔ7	~越	鄉音字類			
桌	桌	ʧoʔ7	半~	蘇州同音常用字彙			
囑	嘱	ʧoʔ7	~托	蘇州同音常用字彙			
喌	喌	ʧoʔ7	~~，呼雞聲	蘇州同音常用字彙			
倬	倬	ʧoʔ7	大而顯著	鄉音字類			
斲	斲	ʧoʔ7	①斧頭。②砍、削木。③雕飾	鄉音字類			
菿	菿	ʧoʔ7	草大的樣子	鄉音字類			
燭	烛	ʧoʔ7	蠟~：①用蠟或其他油脂製成的供照明用的東西，多爲圓柱形。②指不識好歹、不識抬擧、見硬就屈服的人	鄉音字類			
矚	瞩	ʧoʔ7	注視：~目	鄉音字類			
斸	斸	ʧoʔ7	①大鋤。②挖、砍、斫：~稻（割稻）	鄉音字類			
瘃	瘃	ʧoʔ7	①凍瘡：凍~（凍瘡）。②凍乾	鄉音字類			
捉	捉	ʧoʔ7	~ [mã mã]：捉迷藏	鄉音字類			
穛	穛	ʧoʔ7	早熟的穀類	鄉音字類			
篧	篧	ʧoʔ7	捕魚用的罩	鄉音字類			
浞	浞	ʧoʔ7	油跡~：油漬。又讀[(d)ʒoʔ²³]：沾濕；淋，使濕	鄉音字類			
觸	触	ʧʰoʔ7	抵~	鄉音字類			
歜	歜	ʧʰoʔ7	盛怒	鄉音字類			
搐	搐	ʧʰoʔ7	肌肉牽動	鄉音字類			
矗	矗	ʧʰoʔ7	~燈，舊時放在官署或官僚家庭大門兩側的一種成對的高脚燈籠	鄉音字類			
戳	戳	ʧʰoʔ7	文讀：打一個~子	蘇州同音常用字彙			
齪	龊	ʧʰoʔ7	齷~：骯髒	蘇州同音常用字彙			
畜	畜	ʧʰoʔ7	六~	蘇州同音常用字彙			
搠	搠	ʧʰoʔ7	橫~槍	蘇州同音常用字彙			
束	束	ʧʰoʔ7	一~柴	蘇州同音常用字彙			
束	束	ʃoʔ7	~麵：掛麵	鄉音字類			
蹜	蹜	ʃoʔ7	~~：形容小步快走	鄉音字類			
縮	缩	ʃoʔ7	遇事畏縮不前：俚葛人弗出趟，~煞葛	鄉音字類			
朔	朔	ʃoʔ7	~望	鄉音字類			
箾	箾	ʃoʔ7	①用竿子打人。②古代舞者所拿的竿子	鄉音字類			
嗍	嗍	ʃoʔ7	嘴裏~進去	蘇州同音常用字彙			
叔	叔	ʃoʔ7	~~	鄉音字類			
菽	菽	ʃoʔ7	豆類的總稱	鄉音字類			
俶	俶	ʃoʔ7	①美善。②作。③通“束”，整理。④開始。據《洪武正韻》：式竹切	鄉音字類			
贖	赎	ʒoʔ8	~當頭，如期用錢把送到典當鋪去當的貨物贖出來	鄉音字類			
屬	属	ʒoʔ8	究~：副詞，用在問句裏，表示追究。[例]倷究屬聽啥人說葛，倷講講清爽	鄉音字類			
肉	肉	ʒoʔ8	文讀	鄉音字類			
朒	朒	ʒoʔ8	①農曆月初月亮在東方出現的情形。②不足，欠缺。③畏縮，不伸：~縮。④扭傷，折傷	鄉音字類			
淑	淑	ʒoʔ8	①清湛，清澈。②善良，美好。③認爲好而學習、取法	鄉音字類			
琡	琡	ʒoʔ8	八寸的璋	鄉音字類			
孰	孰	ʒoʔ8	①誰。②何，什麼。③“熟”的本字，成熟	鄉音字類			
熟	熟	ʒoʔ8	生~	鄉音字類			
塾	塾	ʒoʔ8	私~	鄉音字類			
辱	辱	ʒoʔ8	羞~	鄉音字類			
蓐	蓐	ʒoʔ8	①草席，草墊。②床上的墊褥，亦借指床	鄉音字類			
縟	缛	ʒoʔ8	①文采繁多。②繁多，繁瑣：繁文~節	鄉音字類			
褥	褥	ʒoʔ8	~瘡	鄉音字類			
鄏	鄏	ʒoʔ8	郟~：地名，在河南省	鄉音字類			
溽	溽	ʒoʔ8	①潮濕：~暑。②濃厚	鄉音字類			
沭	沭	ʒoʔ8	疑爲誤讀，理應讀[(d)ʒəʔ²³]	鄉音字類			
射	射	ʒoʔ8	疑誤讀	蘇州同音字彙1892			
蜀	蜀	ʤoʔ8	①朝代名。②四川省的簡稱	鄉音字類			
濁	浊	ʤoʔ8	~酒	鄉音字類			
鐲	镯	ʤoʔ8	~頭：鐲子，戴在手腕或腳腕上的環形裝飾品	鄉音字類			
濯	濯	ʤoʔ8	洗滌，清洗	鄉音字類			
擢	擢	ʤoʔ8	①拔取，抽取。②提拔，選用：~升。③聳起。④賺取	鄉音字類			
蠋	蠋	ʤoʔ8	蛾、蝶類的幼蟲	鄉音字類			
躅	躅	ʤoʔ8	①足跡，蹤跡。②比喩前賢的行爲、功績。③踩踏。④躑~：徘徊不前的樣子	鄉音字類			
逐	逐	ʤoʔ8	追~	鄉音字類			
舳	舳	ʤoʔ8	船尾掌舵的地方：~艫	鄉音字類			
軸	轴	ʤoʔ8	文讀	鄉音字類			
質	质	ʧəʔ7	~地	鄉音字類			
鑕	锧	ʧəʔ7	古代刑具的一種組件。腰斬時，墊在受刑人身下的鐵砧	鄉音字類			
騭	骘	ʧəʔ7	陰~：指暗中做好事而不讓人知，引申爲陰德。“傷陰~”則表示做了見不得人的事	鄉音字類			
隲	骘	ʧəʔ7	同“騭”	蘇州同音字彙1892			
桎	桎	ʧəʔ7	①窒礙，阻礙。②束縛，監禁。③~梏：古代的一種刑具，卽腳鐐	鄉音字類			
織	织	ʧəʔ7	紡~娘：昆蟲，黃褐色或綠色，生活在草地裏，善跳躍，雄的前翅能發出像紡車的聲音。也稱“紡紗娘”	鄉音字類			
職	职	ʧəʔ7	~員：機關、企業、學校、團體裏擔任工作的人員	鄉音字類			
樴	樴	ʧəʔ7	樁子	鄉音字類			
炙	炙	ʧəʔ7	~骨	鄉音字類			
蹠	蹠	ʧəʔ7	①脚掌。②踐踏。③到達	鄉音字類			
摭	摭	ʧəʔ7	拾起，摘取：~拾	鄉音字類			
櫛	栉	ʧəʔ7	又音	鄉音字類			
汁	汁	ʧəʔ7	滷~豆腐乾	鄉音字類			
執	执	ʧəʔ7	~照：向政府部門領的開業憑證	鄉音字類			
讋	詟	ʧəʔ7	恐懼，喪膽：~服（因畏懼威勢而服從）	鄉音字類			
慴	慴	ʧəʔ7	①畏懼，恐懼。②懾服	鄉音字類			
褶	褶	ʧəʔ7	~襇	鄉音字類			
浙	浙	ʧəʔ7	~江	鄉音字類			
哲	哲	ʧəʔ7	~理	鄉音字類			
淛	淛	ʧəʔ7	同“浙”	鄉音字類			
窒	窒	ʧəʔ7	~息	鄉音字類			
秷	秷	ʧəʔ7	①收割。②禾穗	鄉音字類			
挃	挃	ʧəʔ7	①搗，撞。②割禾聲：~~。③刺	鄉音字類			
厔	厔	ʧəʔ7	同“庢”	鄉音字類			
拙	拙	ʧəʔ7	~政園，取西晉潘岳《閒居賦》：築室種樹，灌園鬻蔬……是亦拙者之爲政也	鄉音字類			
棁	棁	ʧəʔ7	梁上的短柱	鄉音字類			
窋	窋	ʧəʔ7	①（動物在穴中）欲出的樣子。②空	鄉音字類			
絀	绌	ʧəʔ7	支~	鄉音字類			
縶	絷	ʧəʔ7	①拴住馬脚。②捆綁，繫絆：~維。③拘囚，監禁：~拘。④繫馬的韁繩	鄉音字類			
哳	哳	ʧəʔ7	嘲~，鳥鳴	鄉音字類			
柮	柮	ʧəʔ7	榾~：木柴塊，樹根疙瘩，可代炭用	鄉音字類			
咄	咄	ʧəʔ7	①斥責，怒罵。②表示呵斥。③表示痛惜	鄉音字類			
咄	咄	ʧʰəʔ7	疑爲誤讀	蘇州同音常用字彙			
這	这	ʧəʔ7	~個	蘇州同音常用字彙			
轍	辙	ʧʰəʔ7	覆~	鄉音字類			
澈	澈	ʧʰəʔ7	清~	鄉音字類			
徹	彻	ʧʰəʔ7	~皮~骨：徹徹底底，完完全全，毫無保留。[例]撥我徹皮徹骨罵了一頓	鄉音字類			
撤	撤	ʧʰəʔ7	~脫：除去，取消	鄉音字類			
硩	硩	ʧʰəʔ7	①摘取；採。②搗毀	鄉音字類			
輒	辄	ʧʰəʔ7	動~得咎	鄉音字類			
輟	辍	ʧʰəʔ7	~學	鄉音字類			
啜	啜	ʧʰəʔ7	①吃，喝。②哭泣	鄉音字類			
醊	醊	ʧʰəʔ7	祭祀時把酒潑在地上以祭奠	鄉音字類			
畷	畷	ʧʰəʔ7	田間的小路	鄉音字類			
歠	歠	ʧʰəʔ7	①飲，喝。②可喝的羹湯	鄉音字類			
罬	罬	ʧʰəʔ7	古代一種附有機關的捕鳥網具	鄉音字類			
出	出	ʧʰəʔ7	~襠：<貶>人或物乘機離去或轉移。|~趟：大方，不怕羞	鄉音字類			
黜	黜	ʧʰəʔ7	①貶降，革職：罷~。②擯除，排斥。③廢免，廢除	鄉音字類			
怵	怵	ʧʰəʔ7	①恐懼，害怕：~目驚心。②悽愴，悲傷	鄉音字類			
掣	掣	ʧʰəʔ7	①牽引，牽動：~肘。②抽取。③極速飛行	鄉音字類			
飭	饬	ʧʰəʔ7	①整頓，治理：整~。②告誡：申~。③謹愼。④通“飾”，修飾，裝飾	鄉音字類			
敕	敕	ʧʰəʔ7	文讀。本來是自上命下的用語，南北朝以前通用於長官對下屬、長輩對晚輩，以後作爲皇帝發佈詔令的專稱	鄉音字類			
叱	叱	ʧʰəʔ7	①大聲責罵。②吆喝：呵~	鄉音字類			
赤	赤	ʧʰəʔ7	文讀：~佬（詈語，鬼）	鄉音字類			
尺	尺	ʧʰəʔ7	讀書音	鄉音字類			
斥	斥	ʧʰəʔ7	~責	鄉音字類			
餙	饰	ʃəʔ7	同“飾”	蘇州同音字彙1892			
式	式	ʃəʔ7	樣~	鄉音字類			
軾	轼	ʃəʔ7	①古代車子前面可供憑依的橫木。②古人靠著車前的橫木以表示尊敬	鄉音字類			
拭	拭	ʃəʔ7	揩，擦抹：擦~	鄉音字類			
識	识	ʃəʔ7	~字	鄉音字類			
飾	饰	ʃəʔ7	首~：原指頭上的裝飾品，因此又稱“頭面”，今泛指戒指、手鐲、脚鐲、項鏈等	鄉音字類			
室	室	ʃəʔ7	浴~：澡堂，舊時稱“混堂”	鄉音字類			
失	失	ʃəʔ7	~掭：偶一疏忽，給人以可乘之機。[例]我日局（天天）鎖門葛，今朝一個失掭，枕頭橫邊一隻皮夾子弗見脫哉	鄉音字類			
釋	释	ʃəʔ7	解~	鄉音字類			
適	适	ʃəʔ7	~意	鄉音字類			
螫	螫	ʃəʔ7	文讀	鄉音字類			
奭	奭	ʃəʔ7	①盛，大。②驚視的樣子。③發怒，惱怒。④用茜草染成的紅色。⑤姓	鄉音字類			
襫	襫	ʃəʔ7	襏~：一種雨具。卽蓑衣、雨衣	鄉音字類			
說	说	ʃəʔ7	倷覅瞎~，要吃耳光葛	鄉音字類			
設	设	ʃəʔ7	建~	鄉音字類			
濕	湿	ʃəʔ7	~布衫：喻難以擺脫的麻煩事	蘇州同音字彙1892			
溼	湿	ʃəʔ7	同“濕”	鄉音字類			
攝	摄	ʃəʔ7	~影	鄉音字類			
欇	欇	ʃəʔ7	①植物名，卽紫藤，亦稱虎櫐、虎豆。②杖。③卽楓香樹	鄉音字類			
揲	揲	ʃəʔ7	~蓍：指古人用蓍草卜卦時，先在五十根蓍草中抽出一根，再將其餘作兩部分，然後四根一數，以定陰爻或陽爻的動作	鄉音字類			
刷	刷	ʃəʔ7	板~	鄉音字類			
十	十	ʒəʔ8	~惡不赦：有爲人所不齒的意思	鄉音字類			
什	什	ʒəʔ8	~貨	鄉音字類			
拾	拾	ʒəʔ8	①文讀：~級。②數字十的大寫	鄉音字類			
日	日	ʒəʔ8	文讀	鄉音字類			
馹	驲	ʒəʔ8	古代驛站所用的驛車或馬匹	鄉音字類			
入	入	ʒəʔ8	出~	鄉音字類			
舌	舌	ʒəʔ8	嘴~：卽語言，有貶義。[例]①覅多嘴舌（不要多說話）。②唊嘴舌（搬弄是非）	鄉音字類			
寔	寔	ʒəʔ8	①安置。②通“實”，眞實，實在	鄉音字類			
埴	埴	ʒəʔ8	①黏土。②土地；泥土	鄉音字類			
實	实	ʒəʔ8	老~	鄉音字類			
蝕	蚀	ʒəʔ8	~本	鄉音字類			
食	食	ʒəʔ8	火~，每日的飯食，熟食	鄉音字類			
熱	热	ʒəʔ8	文讀	鄉音字類			
石	石	ʒəʔ8	文讀：~榴	鄉音字類			
碩	硕	ʒəʔ8	文讀	鄉音字類			
祏	祏	ʒəʔ8	宗廟裏擺放祖先牌位的石室	鄉音字類			
鼫	鼫	ʒəʔ8	~鼠：一種外形似兎，短尾、紅眼的鼠。嗜食粟豆，造成田害	鄉音字類			
踅	踅	ʒəʔ8	①盤旋。②轉，轉。③來回地走	蘇州同音字彙1892			
姪	姪	ʤəʔ8	①用以稱兄弟、朋友的子女。②對父執輩的自稱	鄉音字類			
秩	秩	ʤəʔ8	~序	鄉音字類			
豒	豒	ʤəʔ8	同“秩”	鄉音字類			
秫	秫	ʤəʔ8	黏高粱	鄉音字類			
朮	术	ʤəʔ8	白~	蘇州同音字彙1892			
述	述	ʤəʔ8	①遵循。②繼續別人的事業或闡述他人的學說。③說明，記敘	鄉音字類			
直	直	ʤəʔ8	曲~	鄉音字類			
值	值	ʤəʔ8	價~	鄉音字類			
植	植	ʤəʔ8	種~	鄉音字類			
殖	殖	ʤəʔ8	骨~甏：放尸骨的罐子	鄉音字類			
陟	陟	ʤəʔ8	①登高，爬上。②升遷，進用	鄉音字類			
涉	涉	ʤəʔ8	干~	鄉音字類			
擲	掷	ʤəʔ8	拋~	鄉音字類			
躑	踯	ʤəʔ8	躑~：徘徊不前的樣子	鄉音字類			
湜	湜	ʤəʔ8	~~：水清澈見底的樣子	鄉音字類			
蜇	蜇	ʒəʔ8	海~	蘇州同音常用字彙			
蟄	蛰	ʤəʔ8	驚~	鄉音字類			
禚	禚	ʧɑʔ7	①地名，春秋時齊邑。②姓	鄉音字類			
勺	勺	ʧɑʔ7	周公所製作的樂名	鄉音字類			
妁	妁	ʧɑʔ7	女方家的媒人	鄉音字類			
灼	灼	ʧɑʔ7	豆~	鄉音字類			
彴	彴	ʧɑʔ7	①獨木橋。②山間溪流中用以渡人的踏脚石	鄉音字類			
斫	斫	ʧɑʔ7	①以刀斧砍削。②襲擊。③大鋤	鄉音字類			
酌	酌	ʧɑʔ7	我搭倷斟~斟~阿有啥個好法子	鄉音字類			
斮	斮	ʧɑʔ7	①砍斷，斬斷。②削除魚鱗	鄉音字類			
着	着	ʧɑʔ7	~衣裳	鄉音字類			
汋	汋	ʧɑʔ7	①水波激蕩的聲音。②通“酌”，挹取	鄉音字類			
綽	绰	ʧʰɑʔ7	~~有餘	鄉音字類			
㲋	㲋	ʧʰɑʔ7	一種像兎而比兔大的青色的獸	鄉音字類			
㚟	㚟	ʧʰɑʔ7	同“㲋”	鄉音字類			
婼	婼	ʧʰɑʔ7	①不順從。②人名用字	鄉音字類			
扱	扱	ʧʰɑʔ7	~過去	蘇州同音常用字彙			
爍	烁	ʃɑʔ7	閃閃~~	鄉音字類			
鑠	铄	ʃɑʔ7	衆口~金	鄉音字類			
若	若	ʒɑʔ8	~要俏，凍得骯狗叫：指天冷時爲顯示自己的姣美而少穿衣服，結果凍得直叫	鄉音字類			
弱	弱	ʒɑʔ8	~國	鄉音字類			
芍	芍	ʒɑʔ8	~藥	鄉音字類			
昶	昶	ʧʰaŋ5	①白天的時間長。②通“暢”，舒張，通達	鄉音字類			
㫤	昶	ʧʰaŋ5	同“昶”	鄉音字類			
然	然	ʒœ̃2	隱隱~：暗示；有一點兒	鄉音字類			
㸐	然	ʒœ̃2	同“燃”	鄉音字類			
乿	治	ʤʯ6	古同“治”	鄉音字類			
治	治	ʤʯ6	~國	鄉音字類			
佇	伫	ʤʯ4	①久立。②等待，盼望。③聚積，聚集	鄉音字類			
雉	雉	ʤʯ6	~尾：野雞毛。應讀陽上	鄉音字類			
佔	占	ʧœ̃1	①同“覘”，窺視。②看得見的，表面的	鄉音字類			
佔	占	ʧœ̃5	~據	蘇州同音字彙1892			
占	占	ʧœ̃1	~卜	鄉音字類			
凖	准	ʧən3	~備	鄉音字類			
刅	创	ʧʰɔŋ5	①同“創”。②兩刃刀	鄉音字類			
刱	创	ʧʰɔŋ5	同“創”	鄉音字類			
塚	冢	ʧoŋ3	同“冢”，墳墓	鄉音字類			
冢	冢	ʧoŋ3	①高大的墳墓。②山頂。③封土祭祀的地方，卽“社”。④居長的，居首的：~婦	鄉音字類			
宂	冗	ʒoŋ4	同“冗”	鄉音字類			
冗	冗	ʒoŋ4	~長	鄉音字類			
屍	尸	ʃʯ1	觸浮~：把麻煩事推給別人	鄉音字類			
尸	尸	ʃʯ1	①主持。②空佔職位而不做事：~位素餐。③陳屍示衆	鄉音字類			
徵	征	ʧən1	~兵	鄉音字類			
征	征	ʧən1	長~	蘇州同音字彙1892			
箴	箴	ʧən1	~言	蘇州同音字彙1892			
捨	舍	ʃɑ3	讀書音	鄉音字類			
捨	舍	so3	白讀：弗~得	蘇州同音常用字彙			
摺	折	ʧəʔ7	~子	鄉音字類			
折	折	ʧəʔ7	~壽	鄉音字類			
昇	升	ʃən1	①上升。②提高；晉級，登進：~級（升入高一年級；提高一個級別）	鄉音字類			
升	升	ʃən1	①由下而上：~級|~官。②登。③量詞，也稱“公升”：~籮（十分之一斗，呈方形，口大底小，用木頭製成）④《易經》卦名。⑤姓	鄉音字類			
冲	冲	ʧʰoŋ1	~茶：沏茶。|~開水	鄉音字類			
翀	翀	ʧʰoŋ1	向上直飛	蘇州同音字彙1892			
牕	窗	ʧʰɔŋ1	同“窗”	鄉音字類			
窗	窗	ʧʰɔŋ1	~盤：窗台	鄉音字類			
窓	窗	ʧʰɔŋ1	同“窗”	蘇州同音字彙1892			
犨	犨	ʤʏ2	①形容牛的喘息聲。②突出。據《中州音韻》：長柔切	鄉音字類			
犫	犨	ʤʏ2	同“犨”	鄉音字類			
視	视	ʒʯ6	近~	鄉音字類			
眎	视	ʒʯ6	同“視”	鄉音字類			
槊	槊	ʃoʔ7	長矛	鄉音字類			
矟	槊	ʃoʔ7	同“槊”，長矛	鄉音字類			
笋	笋	ʃən3	同“筍”	鄉音字類			
筍	笋	ʃən3	~駁塘鱧魚：春天竹筍上市時，以竹筍片、香蔥燒塘鱧魚，名爲筍駁塘鱧魚	鄉音字類			
筑	筑	ʧoʔ7	①同“築”。②樂器名。古代弦樂器，形狀似琴，有五弦、十三弦、二十一弦的不同，今已失傳	鄉音字類			
築	筑	ʧoʔ7	建~	鄉音字類			
粧	妆	ʧɔŋ1	同“妝”	鄉音字類			
糚	妆	ʧɔŋ1	同“妝”	鄉音字類			
緻	致	ʧʯ5	精~	鄉音字類			
致	致	ʧʯ5	~辭	鄉音字類			
蒓	莼	ʒən2	~菜	鄉音字類			
蓴	莼	ʒən2	同“蒓”	鄉音字類			
術	术	ʤəʔ8	技~	鄉音字類			
衝	冲	ʧʰoŋ1	~風|逆面~：第一次見面就產生惡感	鄉音字類			
袠	帙	ʤəʔ8	①書的封套。②同“秩”，十年	鄉音字類			
帙	帙	ʤəʔ8	①書、畫的封套。②套裝書。③量詞。計算函套或包裹書籍的單位	鄉音字類			
制	制	ʧʯ5	~度	鄉音字類			
製	制	ʧʯ5	~造	鄉音字類			
注	注	ʧʯ5	量詞。用作賬目，錢、房子等	鄉音字類			
註	注	ʧʯ5	記載，登記：~冊。②用文字解釋文義：批~	鄉音字類			
誌	志	ʧʯ5	①記在心裏：永~不忘。②記載的文字：雜~。③記號：標~	鄉音字類			
志	志	ʧʯ5	~氣	鄉音字類			
週	周	ʧʏ1	一~	蘇州同音常用字彙			
周	周	ʧʏ1	姓	鄉音字類			
遶	绕	ʒɐɵ4	文讀：圍~	鄉音字類			
醜	丑	ʧʰʏ3	出~	鄉音字類			
丑	丑	ʧʰʏ3	小~	鄉音字類			
陞	升	ʃən1	同“升”	鄉音字類			
獐	獐	ʧaŋ1	文讀	鄉音字類			
麞	獐	ʧaŋ1	文讀。同“獐”	鄉音字類			
晁	晁	ʤɐɵ2	姓。也作“鼂”“朝”	鄉音字類			
鼂	晁	ʤɐɵ2	姓。同“晁”	鄉音字類			
齣	出	ʧʰəʔ7	算啥個一~	蘇州同音常用字彙			
𤏸	着	ʤɑʔ8	燒~哉。聲母據常熟說話擬定	蘇州同音常用字彙			
着	着	ʤɑʔ8	~肉：貼心	蘇州同音字彙1892			
捱	捱	ɑ1	~延	蘇州同音常用字彙			
⿰委矣	⿰委矣	ɑ5		蘇州同音字彙1892			
唉	唉	ɛ1	答應的聲音	蘇州同音常用字彙			
嬡	嫒	ɛ5	令~	蘇州同音常用字彙			
鸚	鹦	aŋ1	~哥	蘇州同音常用字彙			
罌	罂	aŋ1	~粟花	蘇州同音常用字彙			
噢	噢	ɐɵ1	歎詞，表示順從地答應	蘇州同音常用字彙			
扷	扷	ɐɵ5	~進嘴裏。據《集韻》：烏到切，音奧	蘇州同音常用字彙			
咆	咆	bɐɵ2	~哮	蘇州同音字彙1892			
勽	勽	bɐɵ6	同“抱”“菢”	蘇州同音字彙1892			
菢	菢	bɐɵ6	禽鳥孵卵	蘇州同音字彙1892			
抱	抱	bɐɵ6	又音	蘇州同音字彙1892			
鉋	铇	bɐɵ6	①木工刨平木材的用具。②刷馬毛的鐵刷：馬~	蘇州同音字彙1892			
鮑	鲍	bɐɵ6	又音	蘇州同音字彙1892			
脖	脖	bəʔ8	卽頭頸	蘇州同音字彙1892			
綍	綍	bəʔ8	繩索。理論應讀[fəʔ⁴]	蘇州同音字彙1892			
葡	葡	bəʔ8	~萄	蘇州同音字彙1892			
别	别	bəʔ8	白讀：~人（其他人）	蘇州同音字彙1892			
𢨋	誖	bəʔ8	~弗倒	蘇州同音字彙1892			
盆	盆	bən2	~子：碟子	蘇州同音字彙1892			
俾	俾	bi2	《唐韻》幷弭切。疑作者誤記	蘇州同音字彙1892			
被	被	bi2	~頭	蘇州同音字彙1892			
蚍	蚍	bi2	~蜉：一種大蟻	蘇州同音字彙1892			
疲	疲	bi2	~脫：由於經歷多次而發膩	蘇州同音字彙1892			
髲	髲	bi2	~子。理論應讀陽去	蘇州同音字彙1892			
狴	狴	bi4	~犴	蘇州同音字彙1892			
𡚁	𡚁	bi6	同“弊”	蘇州同音字彙1892			
篦	篦	bi6	理論應讀陽平	蘇州同音字彙1892			
嫖	嫖	biɐɵ2	娼~	蘇州同音字彙1892			
弼	弼	biəʔ8	①輔助。②矯正過失：匡~。③古時用來矯正弓弩的器具。④職官名。輔佐元首的官員。	蘇州同音字彙1892			
鼻	鼻	bəʔ8	白讀：~頭（鼻子）	蘇州同音字彙1892			
趴	趴	bo2	~勒浪：趴著。|~著：趴在桌子上睡著了	蘇州同音字彙1892			
把	把	bo4	疑作者誤記，理論應讀[po⁵¹]或[bo²²³]	蘇州同音字彙1892			
樸	朴	boʔ8	樕~，卽樸樕，小木名。據《廣韻》：蒲木切	蘇州同音字彙1892			
曝	曝	boʔ8	~光	蘇州同音字彙1892			
伴	伴	bœ̃6	陪~。或讀陽上	蘇州同音字彙1892			
拌	拌	bœ̃6	應讀陽上：~嘴舌（拌嘴）	蘇州同音字彙1892			
磅	磅	bɔŋ2	~礴	蘇州同音字彙1892			
磅	磅	pɔŋ3	一~	蘇州同音常用字彙			
膀	膀	bɔŋ2	~胱	蘇州同音字彙1892			
謗	谤	bɔŋ6	疑爲作者誤記	蘇州同音字彙1892			
謗	谤	pɔŋ5	誹~	蘇州同音常用字彙			
汏	汏	dɑ6	~衣裳	蘇州同音字彙1892			
玳	玳	dɑ6	白讀	蘇州同音字彙1892			
𠯈	𠯈	dɑ6	嘗	蘇州同音字彙1892			
廗	廗	dɑ6	白讀：俚有兩~房子。理論應讀陰去	蘇州同音常用字彙			
檯	台	dɛ2	~子	蘇州同音字彙1892			
抬	抬	dɛ2	~價鈿：抬高價錢	蘇州同音字彙1892			
代	代	dɛ6	上~頭：上一輩或指祖上。[例]俚篤上代頭是做米行生意葛	蘇州同音字彙1892			
兊	兑	dɛ6	同“兌”	蘇州同音字彙1892			
岱	岱	dɛ6	泰山的別稱，亦稱“岱宗”“岱嶽”	蘇州同音字彙1892			
埭	埭	dɛ6	黃~，地名	蘇州同音字彙1892			
埭	埭	dɑ6	白讀：①量詞，趟：去一~亦好。②量詞，排，行：一~字。③指老式房屋的“進”	蘇州同音常用字彙			
怠	怠	dɛ6	又音	蘇州同音字彙1892			
迨	迨	dɛ6	又音	蘇州同音字彙1892			
殆	殆	dɛ6	又音	蘇州同音字彙1892			
待	待	dɛ6	又音	蘇州同音字彙1892			
貸	贷	dɛ6	~款	蘇州同音字彙1892			
逮	逮	dɛ6	~捕	蘇州同音字彙1892			
黛	黛	dɛ6	~青色：青黑色	蘇州同音字彙1892			
靆	叇	dɛ6	靉~：①雲多而昏暗的樣子。②飄拂貌，繚繞貌。③眼睛	蘇州同音字彙1892			
踏	踏	dɑʔ8	應讀[daʔ²³]，因作者未區分[aʔ][ɑʔ]	蘇州同音字彙1892			
達	达	dɑʔ8	應讀[daʔ²³]，因作者未區分[aʔ][ɑʔ]	蘇州同音字彙1892			
⿺辶𬑔	⿺辶𬑔	dɑʔ8	疑爲“遝”	蘇州同音字彙1892			
沓	沓	dɑʔ8	應讀[daʔ²³]，因作者未區分[aʔ][ɑʔ]	蘇州同音字彙1892			
噠	哒	dɑʔ8	嚈~：中國古代西方國家。應讀[daʔ²³]，因作者未區分[aʔ][ɑʔ]	蘇州同音字彙1892			
道	道	dɐɵ6	又音	蘇州同音字彙1892			
稻	稻	dɐɵ6	又音	蘇州同音字彙1892			
凸	凸	dəʔ8	~出	蘇州同音字彙1892			
籐	籐	dən2	①竹製的器具。②同“藤”，蔓生植物的捲鬚或莖	蘇州同音字彙1892			
屯	屯	dən2	~搭~：指食品換器皿一再置留	蘇州同音字彙1892			
沌	沌	dən6	又音	蘇州同音字彙1892			
囤	囤	dən6	又音	蘇州同音字彙1892			
遁	遁	dən6	~形：躲避起來，不讓人知道蹤跡	蘇州同音字彙1892			
骰	骰	dʏ2	~子	蘇州同音字彙1892			
荳	荳	dʏ6	同“豆”	蘇州同音字彙1892			
苐	苐	di2	同“第”或“荑”	蘇州同音字彙1892			
弟	弟	di6	亦讀陽上	蘇州同音字彙1892			
