單字	聲紐	呼	等	韻部	聲調	組	攝	聲母_定	介	韻母_定		22	备注							
炯	匣	合	四	青	上	影	梗	kw	u	ɪŋ		55								
勁	見	開	三	清A	去	見	梗	k		ɪŋ		33								
京	見	開	三	庚	平	見	梗	k		ɪŋ		33								
荊	見	開	三	庚	平	見	梗	k		ɪŋ		33								
莖	匣	開	二	耕	平	影	梗	kw	u	εŋ		32	蔬菜和茶叶用							
涇	見	開	四	青	平	見	梗	k		ɪŋ		33								
經	見	開	四	青	平	見	梗	k		ɪŋ		33								
兢	見	開	三	蒸	平	見	曾	k		ɪŋ		33								
驚	見	開	三	庚	平	見	梗	k		ɪŋ		33								
景	見	開	三	庚	上	見	梗	k		ɪŋ		55								
憬	見	合	三	庚	上	見	梗	k		ɪŋ		55								
警	見	開	三	庚	上	見	梗	k		ɪŋ		55								
逕	見	開	四	青	去	見	梗	k		ɪŋ		33								
徑	見	開	四	青	去	見	梗	k		ɪŋ		33								
竟	見	開	三	庚	去	見	梗	k		ɪŋ		55								
敬	見	開	三	庚	去	見	梗	k		ɪŋ		33								
境	見	開	三	庚	上	見	梗	k		ɪŋ		55								
競	群	開	三	庚	去	見	梗	k		ɪŋ		22								
腳	見	開	三	陽	入	見	宕	k		œk		33								
腳	見	開	三	陽	入	見	宕	k		œk		33								
姜	見	開	三	陽	平	見	宕	k		œŋ		33								
僵	見	開	三	陽	平	見	宕	k		œŋ		33								
薑	見	開	三	陽	平	見	宕	k		œŋ		33								
疆	見	開	三	陽	平	見	宕	k		œŋ		33								
韁	見	開	三	陽	平	見	宕	k		œŋ		33								
羌	溪	開	三	陽	平	見	宕	k		œŋ		33								
強								k		œŋ	32									
劫	見	開	三	嚴	入	見	咸	k		ip		33								
杰	群	開	三	仙B	入	見	山	k		it		22								
拮	見	開	三	真A	入	見	臻	k		it		33								
傑	群	開	三	仙B	入	見	山	k		it		22								
結	見	開	四	先	入	見	山	k		it		33								
潔	見	開	四	先	入	見	山	k		it		33								
潔	見	開	四	先	入	見	山	k		it		33								
橛	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	k		yt										
澆	見	開	四	蕭	平	見	效	k		iu		33								
嬌	見	開	三	宵B	平	見	效	k		iu		33								
驕	見	開	三	宵B	平	見	效	k		iu		33								
矯	見	開	三	宵B	上	見	效	k		iu		55								
繳	見	開	四	蕭	上	見	效	k		iu		55								
叫	見	開	四	蕭	去	見	效	k		iu		33								
轎	群	開	三	宵B	平	見	效	k		iu		32								
果	見	合	一	歌	上	見	果	k		ɔ		55								
裹	見	合	一	歌	上	見	果	k		ɔ		55								
粿	見	合	一	歌	上	見	果	k		ɔ		55								
過	見	合	一	歌	平	見	果	k		ɔ		33								
渦	見	合	一	歌	平	見	果	k		ɔ		33								
戈	見	合	一	歌	平	見	果	k		ɔ		33								
哥	見	開	一	歌	平	見	果	k		ɔ		33								
歌	見	開	一	歌	平	見	果	k		ɔ		33								
個	見	開	一	歌	去	見	果	k		ɔ		33								
賅	見	開	一	咍	平	見	蟹	k		ɔi		33								
該	見	開	一	咍	平	見	蟹	k		ɔi		33								
改	見	開	一	咍	上	見	蟹	k		ɔi		55								
蓋	見	開	一	泰	去	見	蟹	k		ɔi		33								
蓋	見	開	一	泰	去	見	蟹	k		ɔi		33								
郭	見	合	一	唐	入	見	宕	k		ɔk		33	也有人读成œk							
國	見	合	一	登	入	見	曾	k		ɔk		33								
咯								k		œk	33									
擱	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	k		œk										
閤	見	開	一	唐	入	見	宕	k		œk		33								
閣	見	開	一	唐	入	見	宕	k		œk		33								
各	見	開	一	唐	入	見	宕	k		œk		33								
各	見	開	一	唐	入	見	宕	k		œk		33								
角	來	開	一	東	入	來	通	k		œk		21								
角	來	開	一	東	入	來	通	k		œk		21								
角	來	開	二	東	入	來	通	k		œk		21								
覺	見	開	二	江	入	見	江	k		œk		33								
覺	見	開	二	江	入	見	江	k		œk		33								
杆	見	開	一	寒	去	見	山	k		ɔn		33								
肝	見	開	一	寒	平	見	山	k		ɔn		33								
竿	見	開	一	寒	平	見	山	k		ɔn		33								
桿	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	k		ɔn										
稈	見	開	一	寒	上	見	山	k		ɔn		55								
趕	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	k		ɔn										
干	見	開	一	寒	平	見	山	k		ɔn		33								
幹	見	開	一	寒	去	見	山	k		ɔn		33								
乾	見	開	一	寒	平	見	山	k		ɔn		33								
光	見	合	一	唐	平	見	宕	k		ɔŋ		33								
胱	見	合	一	唐	平	見	宕	k		ɔŋ		33								
廣	見	合	一	唐	上	見	宕	k		ɔŋ		55								
獷	見	合	三	陽	上	見	宕	k		ɔŋ		55								
肛	見	開	二	江	平	見	江	k		œŋ		33								
岡	見	開	一	唐	平	見	宕	k		œŋ		33								
缸	匣	開	二	江	平	影	江	k		œŋ		32								
剛	見	開	一	唐	平	見	宕	k		œŋ		33								
崗	見	開	一	唐	平	見	宕	k		œŋ		33								
綱	見	開	一	唐	平	見	宕	k		œŋ		33								
鋼	見	開	一	唐	平	見	宕	k		œŋ		33								
槓	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	k		œŋ										
江	見	開	二	江	平	見	江	k		œŋ		33								
講	見	開	二	江	上	見	江	k		œŋ		55								
降	見	開	二	江	去	見	江	k		œŋ		33								
扛	見	開	二	江	平	見	江	k		œŋ		33								
割	見	開	一	寒	入	見	山	k		ɔt		33								
葛	見	開	一	寒	入	見	山	k		ɔt		33								
葛	見	開	一	寒	入	見	山	k		ɔt		33								
高	見	開	一	豪	平	見	效	k		a		33								
羔	見	開	一	豪	平	見	效	k		a		33								
睪								k		a	33									
睾								k		a	33									
膏	見	開	一	豪	平	見	效	k		a		33								
篙	見	開	一	豪	平	見	效	k		a		33								
糕	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	k		a										
稿	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	k		a										
告	見	開	一	豪	去	見	效	k		a		33								
估	見	開	一	模	上	見	遇	k		u		55								
估	見	開	一	模	上	見	遇	k		u		55								
咕	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	k		u										
沽	見	開	一	模	平	見	遇	k		u		33								
孤	見	開	一	模	平	見	遇	k		u		33								
姑	見	開	一	模	平	見	遇	k		u		33								
菇	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	k		u										
辜	見	開	一	模	平	見	遇	k		u		33								
古	見	開	一	模	上	見	遇	k		u		55								
股	見	開	一	模	上	見	遇	k		u		55								
詁	見	開	一	模	上	見	遇	k		u		55								
鼓	見	開	一	模	上	見	遇	k		u		55								
固	見	開	一	模	去	見	遇	k		u		33								
故	見	開	一	模	去	見	遇	k		u		33								
雇	匣	開	一	模	上	影	遇	k		u		33								
僱	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	k		u										
錮	見	開	一	模	去	見	遇	k		u		33								
鯝	見	開	一	模	去	見	遇	k		u		33								
顧	見	開	一	模	去	見	遇	k		u		33								
家								k		a	33									
賈	見	開	一	模	上	見	遇	k		u		55								
車	見	開	三	魚	平	見	遇	k		y		33								
居	見	開	三	之	平	見	止	k		y		33								
莒	見	開	三	魚	上	見	遇	k		y		55								
矩	見	合	三	虞	上	見	遇	k		y		55								
舉	見	開	三	魚	上	見	遇	k		y		55								
櫸	見	開	三	魚	上	見	遇	k		y		55								
巨	群	開	三	魚	上	見	遇	k		y		22								
句	群	合	三	虞	平	見	遇	k		ui		32								
具	群	合	三	虞	去	見	遇	k		ui		22								
炬	群	開	三	魚	上	見	遇	k		y		22								
据	見	開	三	魚	平	見	遇	k		y		33								
鉅	群	開	三	魚	上	見	遇	k		y		22								
踞	見	開	三	魚	去	見	遇	k		y		33								
據	見	開	三	魚	去	見	遇	k		y		33								
遽	群	開	三	魚	去	見	遇	k		ui		22								
鋸	見	開	三	魚	去	見	遇	k		y		33								
懼	群	合	三	虞	去	見	遇	k		ui		22								
瞿	見	合	三	虞	去	見	遇	k		y		32								
谷	見	開	一	東	入	見	通	k		ʊk		55								
穀	見	開	一	東	入	見	通	k		ʊk		55								
掬	見	開	三	東	入	見	通	k		ʊk		55								
鞠	見	開	三	東	入	見	通	k		ʊk		55								
局	群	開	三	鍾	入	見	通	k		ʊk		22								
菊	見	開	三	東	入	見	通	k		ʊk		55								
官	見	合	一	寒	平	見	山	k		un		33								
冠	見	合	一	寒	平	見	山	k		un		33								
倌	見	合	一	寒	平	見	山	k		un		33								
棺	見	合	一	寒	平	見	山	k		un		33								
觀	見	合	一	寒	平	見	山	k		un		33								
觀	見	合	一	寒	去	見	山	k		un		33								
管	見	合	一	寒	上	見	山	k		un		55								
館	見	合	一	寒	去	見	山	k		un		33								
貫	見	合	一	寒	平	見	山	k		un		33								
灌	見	合	一	寒	去	見	山	k		un		33								
罐	見	合	一	寒	去	見	山	k		un		33								
鸛	見	合	一	寒	去	見	山	k		un		33								
工	見	開	一	東	平	見	通	k		ʊŋ		33								
弓	見	開	三	東	平	見	通	k		ʊŋ		33								
公	見	開	一	東	平	見	通	k		ʊŋ		33								
功	見	開	一	東	平	見	通	k		ʊŋ		33								
攻	見	開	一	東	平	見	通	k		ʊŋ		33								
供	見	開	三	鍾	去	見	通	k		ʊŋ		33								
恭	見	開	三	鍾	平	見	通	k		ʊŋ		33								
蚣	見	開	一	東	平	見	通	k		ʊŋ		33								
躬	見	開	三	東	平	見	通	k		ʊŋ		33								
宮	見	開	三	東	平	見	通	k		ʊŋ		33								
拱	見	開	三	鍾	上	見	通	k		ʊŋ		55								
鞏	見	開	三	鍾	上	見	通	k		ʊŋ		55								
共	見	開	三	鍾	平	見	通	k		ʊŋ		33								
貢	見	開	一	東	去	見	通	k		ʊŋ		33								
紅								k		ʊŋ	33									
呱	見	開	一	模	平	見	遇	kw	u	a		33								
瓜	見	合	二	麻	平	見	假	kw	u	a		33								
寡	見	合	二	麻	上	見	假	kw	u	a		55								
卦	見	合	二	佳	去	見	蟹	kw	u	a		33								
掛	見	合	二	佳	去	見	蟹	kw	u	a		33								
褂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	kw	u	a										
乖	見	合	二	皆	平	見	蟹	kw	u	a		33								
拐	群	開	二	佳	上	見	蟹	kw	u	a		55								
枴	見	合	二	佳	上	見	蟹	kw	u	a		55								
怪	見	合	二	皆	去	見	蟹	kw	u	a		33								
關	見	合	二	刪	平	見	山	kw	u	an		33	“与某人相关”也读作kwεn							
慣	見	合	二	刪	去	見	山	kw	u	εn		33								
綸	見	合	二	山	平	見	山	kw	u	an		33								
刮	見	合	二	刪	入	見	山	kw	u	εt		33								
颳	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	kw	u	εt										
圭	見	合	四	齊	平	見	蟹	kw	u	ɐi		33								
瑰	匣	合	一	灰	平	影	蟹	kw	u	ɐi		32								
瑰	見	合	一	灰	平	見	蟹	kw	u	ɐi		33								
閨	見	合	四	齊	平	見	蟹	kw	u	ɐi		33								
龜	見	合	三	脂B	平	見	止	kw	u	ɐi		33								
鮭	見	合	四	齊	平	見	蟹	kw	u	ɐi		33								
歸	見	合	三	微	平	見	止	kw	u	ɐi		33								
軌	見	合	三	脂B	上	見	止	kw	u	ɐi		55								
鬼	見	合	三	微	上	見	止	kw	u	ɐi		55								
癸	見	合	三	脂A	上	見	止	kw	u	ɐi		55								
晷	見	合	三	脂B	上	見	止	kw	u	ɐi		55								
詭	見	合	三	支B	上	見	止	kw	u	ɐi		55								
桂	見	合	四	齊	去	見	蟹	kw	u	ɐi		33								
貴	見	合	三	微	去	見	止	kw	u	ɐi		33								
跪	溪	合	三	支B	上	見	止	kw	u	ɐi		55								
櫃	群	合	三	脂B	去	見	止	kw	u	ɐi		22								
鱖	見	合	三	祭B	去	見	蟹	kw	u	ɐi		33								
季	見	合	三	脂A	去	見	止	kw	u	ɐi		33								
悸	群	合	三	脂A	去	見	止	kw	u	ɐi		22								
傀	見	合	一	灰	平	見	蟹	kw	u	ɐi		33								
匱	群	合	三	脂B	去	見	止	kw	u	ɐi		22								
餽	群	合	三	脂B	去	見	止	kw	u	ɐi		22								
饋	群	合	三	脂B	去	見	止	kw	u	ɐi		22								
龜								kw	u	ɐn	33									
滾	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	kw	u	ɐn										
棍	匣	合	一	魂	上	影	臻	kw	u	ɐn		33								
均	見	合	三	真A	平	見	臻	kw	u	ɐn		33								
君	見	合	三	文	平	見	臻	kw	u	ɐn		33								
軍	見	合	三	文	平	見	臻	kw	u	ɐn		33								
鈞	見	合	三	真A	平	見	臻	kw	u	ɐn		33								
郡	群	合	三	文	去	見	臻	kw	u	ɐn		22								
肱	見	合	一	登	平	見	曾	kw	u	ɐŋ		33	有读55							
轟	見	合	二	耕	平	見	梗	kw	u	εŋ		33	有读55							
逛	見	合	三	陽	上	見	宕	kw	u	εŋ		55								
轟	曉	合	二	耕	平	影	梗	kw	u	εŋ		33	有读55							
肱								kw	u	ɐŋ	33									
骨	見	合	一	魂	入	見	臻	kw	u	ɐt		55								
滑	見	合	一	魂	入	見	臻	kw	u	ɐt		55								
倔	群	合	三	文	入	見	臻	kw	u	ɐt		22								
掘	群	合	三	文	入	見	臻	kw	u	ɐt		22								
崛	群	合	三	文	入	見	臻	kw	u	ɐt		22								
哈	疑	開	一	覃	入	見	咸	h		a		53								
蛤								h		a	32									
廈	匣	開	二	麻	上	影	假	h		a		22								
他	透	開	一	歌	平	端	果	h		a		33								
它	透	開	一	歌	平	端	果	h		a		33								
她	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		a										
牠	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		a										
祂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		a										
蝦	匣	開	二	麻	平	影	假	h		a		32								
蝦								h		a	33									
遐	匣	開	二	麻	平	影	假	h		a		32								
瑕	匣	開	二	麻	平	影	假	h		a		32								
暇	匣	開	二	麻	去	影	假	h		a		22								
霞	匣	開	二	麻	平	影	假	h		a		32								
下	匣	開	二	麻	去	影	假	h		a		22								
下	匣	開	二	麻	上	影	假	h		a		22	表示次数读21							
夏	匣	開	二	麻	上	影	假	h		a		22								
貸	透	開	一	咍	去	端	蟹	h		a		33								
孩	匣	開	一	咍	平	影	蟹	h		a		32								
骸	匣	開	二	皆	平	影	蟹	h		a		32								
解	匣	開	二	佳	去	影	蟹	h		a		22								
太	透	開	一	泰	去	端	蟹	h		a		33								
汰	透	開	一	泰	去	端	蟹	h		a		33								
泰	透	開	一	泰	去	端	蟹	h		a		33								
態	透	開	一	咍	去	端	蟹	h		a		33								
鞋	匣	開	二	佳	平	影	蟹	h		a		32								
諧	匣	開	二	皆	平	影	蟹	h		a		32								
械	匣	開	二	皆	去	影	蟹	h		a		22								
邂	匣	開	二	佳	去	影	蟹	h		a		22								
懈	見	開	二	佳	去	見	蟹	h		a		33								
蟹	匣	開	二	佳	上	影	蟹	h		a		33								
蟹	匣	開	二	佳	上	影	蟹	h		a		21								
淡	定	開	一	談	上	端	咸	h		am		33	文读tam22							
函	匣	開	一	覃	平	影	咸	h		am		32								
涵	匣	開	一	覃	平	影	咸	h		am		32								
喊	曉	開	一	談	上	影	咸	h		am		55								
鹹	匣	開	二	咸	平	影	咸	h		am		32								
貪	透	開	一	覃	平	端	咸	h		am		33								
痰	定	開	一	談	平	端	咸	h		am		32								
談	定	開	一	談	平	端	咸	h		am		32								
潭	定	開	一	覃	平	端	咸	h		am		32								
罈	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		am										
譚	定	開	一	覃	平	端	咸	h		am		32								
探	透	開	一	覃	平	端	咸	h		am		33								
咸	匣	開	二	咸	平	影	咸	h		am		32	又音hεm指食物口味、被盐腌制、身体或衣物有汗等							
銜	匣	開	二	銜	平	影	咸	h		am		32								
陷	匣	開	二	咸	去	影	咸	h		am		22								
餡	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		am										
彈	定	開	一	寒	平	端	山	h		an		32								
攤	透	開	一	寒	平	端	山	h		an		33								
灘	透	開	一	寒	平	端	山	h		an		33								
癱	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		an										
壇	定	開	一	寒	平	端	山	h		an		32								
檀	定	開	一	寒	平	端	山	h		an		32								
忐	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		an										
坦	透	開	一	寒	上	端	山	h		an		55								
袒	定	開	一	寒	上	端	山	h		an		55								
毯	透	開	一	談	上	端	咸	h		an		55								
炭	透	開	一	寒	去	端	山	h		an		33								
碳	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		an										
嘆	透	開	一	寒	平	端	山	h		an		33								
歎	透	開	一	寒	去	端	山	h		an		33								
閒	見	開	二	山	平	見	山	h		an		33	又音εn多用于白读音							
嫻	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		an										
限	匣	開	二	山	上	影	山	h		an		22								
掐	溪	開	二	咸	入	見	咸	h		ap		33								
塌	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		ap										
塔	透	開	一	談	入	端	咸	h		ap		33								
榻	透	開	一	談	入	端	咸	h		ap		33								
匣	匣	開	二	銜	入	影	咸	h		ap		22								
峽	匣	開	二	咸	入	影	咸	h		ap		22								
狹	匣	開	二	咸	入	影	咸	h		ap		22								
酵	見	開	二	肴	去	見	效	h		au		33								
考	溪	開	一	豪	上	見	效	h		au		55								
拷	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		au										
烤	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		au										
敲	溪	開	二	肴	平	見	效	h		au		33								
巧	溪	開	二	肴	上	見	效	h		au		55								
孝	曉	開	二	肴	去	影	效	h		au		33								
校	匣	開	二	肴	去	影	效	h		a		22								
哮	曉	開	二	肴	平	影	效	h		au		33								
效	匣	開	二	肴	去	影	效	h		au		22								
堤	常	開	三	支A	平	章	止	h		ɐi		32								
繫	匣	開	四	齊	去	影	蟹	h		ɐi		22								
梯	透	開	四	齊	平	端	蟹	h		ɐi		33		又音ε						
提	常	開	三	支A	平	章	止	h		ɐi		32								
啼	定	開	四	齊	平	端	蟹	h		ɐi		32								
蹄	定	開	四	齊	平	端	蟹	h		ɐi		32								
題	定	開	四	齊	平	端	蟹	h		ɐi		32								
體	透	開	四	齊	上	端	蟹	h		ɐi		55								
剃	透	開	四	齊	去	端	蟹	h		ɐi		33								
涕	透	開	四	齊	上	端	蟹	h		ɐi		55								
屜	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		ɐi										
替	透	開	四	齊	去	端	蟹	h		ɐi		33								
嚏	端	開	四	齊	去	端	蟹	h		ɐi		33								
兮	匣	開	四	齊	平	影	蟹	h		ɐi		32								
奚	匣	開	四	齊	平	影	蟹	h		ɐi		32								
系	匣	開	四	齊	去	影	蟹	h		ɐi		22								
係	見	開	四	齊	去	見	蟹	h		ɐi		22								
咯								h		ɐk	33									
赫	曉	開	二	庚	入	影	梗	h		ɐk		55								
黑	曉	開	一	登	入	影	曾	h		ɐk		55								
嘿	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		ɐk			拟声词hɐi							
喀	溪	開	二	庚	入	見	梗	h		ɐk		55								
可								h		ɐk	55									
克	溪	開	一	登	入	見	曾	h		ɐk		55								
刻	溪	開	一	登	入	見	曾	h		ɐk		55								
剋	溪	開	一	登	入	見	曾	h		ɐk		55								
客	溪	開	二	庚	入	見	梗	h		εk		33								
嚇	曉	開	二	麻	去	影	假	h		εk		33								
酣	匣	開	一	談	平	影	咸	h		ɐm		32								
憨	曉	開	一	談	平	影	咸	h		ɐm		33								
含	匣	開	一	覃	平	影	咸	h		ɐm		32								
撼	匣	開	一	覃	上	影	咸	h		ɐm		22								
憾	匣	開	一	覃	去	影	咸	h		ɐm		22								
勘	溪	開	一	覃	去	見	咸	h		ɐm		33								
堪	溪	開	一	覃	平	見	咸	h		ɐm		33								
龕	溪	開	一	覃	平	見	咸	h		ɐm		33	有读55							
坎	溪	開	一	覃	上	見	咸	h		ɐm		55								
砍	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		ɐm										
崁	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		ɐm										
瞰	溪	開	一	談	去	見	咸	h		ɐm		33								
嵌	溪	開	二	銜	平	見	咸	h		ɐm		33								
盾	船	合	三	真A	上	章	臻	h		ɔn		33								
痕	匣	開	一	痕	平	影	臻	h		ɐn		32								
很	匣	開	一	痕	上	影	臻	h		ɐn		55								
狠	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		ɐn										
恨	匣	開	一	痕	去	影	臻	h		ɐn		22								
墾	溪	開	一	痕	上	見	臻	h		ɐn		55								
懇	溪	開	一	痕	上	見	臻	h		ɐn		55								
褪								h		ɐn	33									
吞	透	開	一	痕	平	端	臻	h		ɐn		33								
亨	曉	開	二	庚	平	影	梗	h		ɐŋ		33								
哼	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		ɐŋ										
恆	匣	開	一	登	平	影	曾	h		ɐŋ		32								
衡	匣	開	二	庚	平	影	梗	h		ɐŋ		32								
肯	溪	開	一	登	上	見	曾	h		ɐŋ		55								
啃	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		ɐŋ										
坑	溪	開	二	庚	平	見	梗	h		ɐŋ		33								
鏗	溪	開	二	耕	平	見	梗	h		ɐŋ		33								
疼	定	合	一	冬	平	端	通	h		ɐŋ		32								
藤	定	開	一	登	平	端	曾	h		ɐŋ		32								
騰	定	開	一	登	平	端	曾	h		ɐŋ		32								
籐	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		ɐŋ										
行	匣	開	二	庚	平	影	梗	h		ɐŋ		32								
行	匣	開	二	庚	去	影	梗	h		εŋ		22								
杏	匣	開	二	庚	上	影	梗	h		ɐŋ		22	也读作εŋ							
幸	匣	開	二	耕	上	影	梗	h		ɐŋ		22	也读作εŋ							
倖	匣	開	二	耕	上	影	梗	h		ɐŋ		22	也读作εŋ							
閤								h		ɐp	33									
合	匣	開	一	覃	入	影	咸	h		ɐp		22								
盒	匣	開	一	覃	入	影	咸	h		ɐp		22								
闔	匣	開	一	談	入	影	咸	h		ɐp		22								
嗑	匣	開	一	談	入	影	咸	h		ɐp		22								
磕	溪	開	一	泰	去	見	蟹	h		ɐp		55								
瞌	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		ɐp										
洽	匣	開	二	咸	入	影	咸	h		ɐp		55								
恰	溪	開	二	咸	入	見	咸	h		ɐp		55								
俠	匣	開	四	添	入	影	咸	h		ɐp		22								
劾	溪	開	二	皆	去	見	蟹	h		ɐt		22								
核	匣	開	二	耕	入	影	梗	h		ɐt		22								
乞	溪	開	三	欣	入	見	臻	h		ɐt		55								
瞎	曉	開	二	刪	入	影	山	h		ɐt		22								
轄	溪	開	一	泰	去	見	蟹	h		ɐt		22								
侯	匣	開	一	侯	平	影	流	h		ɐu		32								
喉	匣	開	一	侯	平	影	流	h		ɐu		32								
猴	匣	開	一	侯	平	影	流	h		ɐu		32								
吼	曉	開	一	侯	上	影	流	h		ɐu		55								
后	匣	開	一	侯	上	影	流	h		ɐu		22								
厚	匣	開	一	侯	上	影	流	h		ɐu		33								
逅	匣	開	一	侯	去	影	流	h		ɐu		22								
後	匣	開	一	侯	上	影	流	h		ɐu		22								
候	匣	開	一	侯	去	影	流	h		ɐu		22								
口	溪	開	一	侯	上	見	流	h		ɐu		55								
偷	透	開	一	侯	平	端	流	h		ɐu		33								
投	定	開	一	侯	平	端	流	h		ɐu		32								
頭	定	開	一	侯	平	端	流	h		ɐu		32								
透	透	開	一	侯	去	端	流	h		ɐu		33								
靴	曉	合	三	歌	平	影	果	h		œ		55								
釐								l		ɐi	32									
欺	溪	開	三	之	平	見	止	h		i		33								
起	溪	開	三	之	上	見	止	h		i		55								
豈	溪	開	三	微	上	見	止	h		i		55								
汽	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		i										
氣	溪	開	三	微	去	見	止	h		i		33								
棄	溪	開	三	脂A	去	見	止	h		i		33								
器	溪	開	三	脂B	去	見	止	h		i		33								
憩	溪	開	三	祭B	去	見	蟹	h		ip		33								
希	曉	開	三	微	平	影	止	h		i		33								
烯	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		i										
稀	曉	開	三	微	平	影	止	h		i		33								
唏	曉	開	三	微	平	影	止	h		i		33								
熙	曉	開	三	之	平	影	止	h		i		33								
嘻	曉	開	三	之	平	影	止	h		i		33								
嬉	曉	開	三	之	平	影	止	h		i		33								
熹	曉	開	三	之	平	影	止	h		i		33								
羲	曉	開	三	支B	平	影	止	h		i		33								
曦	曉	開	三	支B	平	影	止	h		i		33								
犧	曉	開	三	支B	平	影	止	h		i		33								
喜	曉	開	三	之	上	影	止	h		i		55								
禧	曉	開	三	之	平	影	止	h		i		33								
戲	曉	開	三	支B	平	影	止	h		i		33								
吃								h		εk	33									
踢	透	開	四	青	入	端	梗	h		εk		33								
喫								h		εk	33									
聽	透	開	四	青	平	端	梗	h		εŋ		33								
廳	透	開	四	青	平	端	梗	h		εŋ		33								
艇	定	開	四	青	上	端	梗	h		εŋ		33								
艇	定	開	四	青	上	端	梗	h		εŋ		21								
忑	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		ɪk										
剔	透	開	四	青	入	端	梗	h		ɪk		55								
惕	透	開	四	青	入	端	梗	h		ɪk		55								
忒								h		ɪk	55									
謙	溪	開	四	添	平	見	咸	h		im		33								
欠	溪	開	三	嚴	去	見	咸	h		im		33								
芡	群	開	三	鹽B	上	見	咸	h		im		33								
歉	溪	開	四	添	上	見	咸	h		im		55								
添	透	開	四	添	平	端	咸	h		εm		33								
恬	定	開	四	添	平	端	咸	h		im		32								
甜	定	開	四	添	平	端	咸	h		εm		32								
舔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		im										
險	曉	開	三	鹽B	上	影	咸	h		im		55								
佃	定	開	四	先	平	端	山	h		in		32								
斷	定	合	一	寒	上	端	山	h		ɔn		33	文读tɔn22							
騫	溪	開	三	仙B	平	見	山	h		in		33								
牽	溪	開	四	先	平	見	山	h		in		33								
遣	溪	開	三	仙A	上	見	山	h		in		55								
譴	溪	開	三	仙A	去	見	山	h		in		55								
縴	溪	開	四	先	平	見	山	h		in		33								
圈								h		yn	33									
犬	溪	合	四	先	上	見	山	h		yn		55								
勸	溪	合	三	元	去	見	山	h		yn		33								
天	透	開	四	先	平	端	山	h		εn		33								
田	定	開	四	先	平	端	山	h		εn		32								
填	知	開	三	真B	平	知	臻	h		ɛn		32								
闐	定	開	四	先	平	端	山	h		in		32								
腆	透	開	四	先	上	端	山	h		in		55								
靦	透	開	四	先	上	端	山	h		in		55								
團	定	合	一	寒	平	端	山	h		yn		32	表示“人群聚集在一起”常读hɔn，如“团年”							
糰	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h		yn										
屯	定	合	一	魂	平	端	臻	h		yn		32								
豚	定	合	一	魂	平	端	臻	h		yn		32								
臀	定	合	一	魂	平	端	臻	h		yn		32								
掀	曉	開	三	元	平	影	山	h		in		33								
顯	曉	開	四	先	上	影	山	h		in		55								
憲	曉	開	三	元	去	影	山	h		in		33								
獻	心	開	一	歌	平	精	果	h		in		33								
