單字	聲紐	呼	等	韻部	聲調	組	攝	聲母_定	介	韻母_定		22	备注							
博	幫	開	二	唐	入	幫	宕	p		œk		33								
搏	幫	合	三	虞	去	幫	遇	p		œk		33								
駁	幫	開	二	江	入	幫	江	p		œk		33								
箔	並	開	一	唐	入	幫	宕	p		œk		22								
膊	滂	開	一	唐	入	幫	宕	p		œk		33								
礴	並	開	一	唐	入	幫	宕	p		œk		33								
卜	幫	開	一	東	入	幫	通	p		ʊk		55								
縛	並	開	一	歌	去	幫	果	p		œk		22								
泊	並	開	一	唐	入	幫	宕	p		œk		22								
魄								p		ɛk	33									
邦	幫	開	二	江	平	幫	江	p		œŋ		33								
幫	幫	開	一	唐	平	幫	宕	p		œŋ		33								
綁	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	p		œŋ										
榜	並	開	二	庚	平	幫	梗	p		œŋ		55								
膀								p		œŋ	55									
傍	並	開	一	唐	去	幫	宕	p		œŋ		22								
傍	並	開	二	唐	平	幫	宕	p		œŋ		32								
磅								p		œŋ	22									
煲	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	p		a										
褒	幫	開	一	豪	平	幫	效	p		a		33								
保	幫	開	一	豪	上	幫	效	p		a		55								
葆	幫	開	一	豪	上	幫	效	p		a		55								
堡	幫	開	一	豪	上	幫	效	p		a		55								
褓	幫	開	一	豪	上	幫	效	p		a		55								
寶	幫	開	一	豪	上	幫	效	p		a		55								
報	幫	開	一	豪	去	幫	效	p		a		33								
暴	並	開	一	豪	去	幫	效	p		a		22								
捕	並	開	一	模	去	幫	遇	p		ɐu		22								
哺	並	開	一	模	去	幫	遇	p		ɐu		22								
補	幫	開	一	模	上	幫	遇	p		ɐu		55								
布	幫	開	一	模	去	幫	遇	p		ɐu		33								
步	並	開	一	模	去	幫	遇	p		ɐu		22								
佈	幫	開	一	模	去	幫	遇	p		ɐu		33								
怖	滂	開	一	模	去	幫	遇	p		ɐu		33								
部	並	開	一	模	上	幫	遇	p		ɐu		22								
埠	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	p		ɐu										
簿	並	開	一	模	上	幫	遇	p		ɐu		22								
埔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	p		ɐu			声母有人读送气音							
杯	幫	合	一	灰	平	幫	蟹	p		ui		33								
盃	幫	合	一	灰	平	幫	蟹	p		ui		33								
貝	幫	開	一	泰	去	幫	蟹	p		ui		33								
背	並	合	一	灰	去	幫	蟹	p		ui		22								
背	幫	合	一	灰	去	幫	蟹	p		ui		33								
狽	幫	開	一	泰	去	幫	蟹	p		ui		33								
悖	並	合	一	灰	去	幫	蟹	p		ui		22								
悖	並	合	一	灰	去	幫	蟹	p		ui		22								
焙	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	p		ui										
輩	幫	合	一	灰	去	幫	蟹	p		ui		33								
暴	並	開	一	東	入	幫	通	p		ʊk		22								
卜	幫	開	一	東	入	幫	通	p		ʊk		55								
僕	並	開	一	東	入	幫	通	p		ʊk		22								
蹼	幫	開	一	東	入	幫	通	p		ʊk		55								
瀑	並	開	一	豪	去	幫	效	p		ʊk		22	也有读成œk							
曝	並	開	一	豪	去	幫	效	p		ʊk		22	也有读成a							
仆								p		ʊk	22									
般	幫	開	一	寒	平	幫	山	p		un		33								
搬	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	p		un										
半	幫	開	一	寒	去	幫	山	p		un		33								
伴	並	開	一	寒	上	幫	山	p		un		22								
拌	滂	開	一	寒	平	幫	山	p		un		33								
絆	幫	開	一	寒	去	幫	山	p		un		33								
本	幫	合	一	魂	上	幫	臻	p		un		55								
畚	幫	合	一	魂	上	幫	臻	p		un		55								
叛	並	開	一	寒	去	幫	山	p		un		22								
畔	並	開	一	寒	去	幫	山	p		un		22								
胖	滂	開	一	寒	去	幫	山	p		un		33								
肨								p		un	22									
缽	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	p		ut										
撥	幫	開	一	寒	入	幫	山	p		ut		33								
勃	並	合	一	魂	入	幫	臻	p		ut		22								
脖	並	合	一	魂	入	幫	臻	p		ut		22								
渤	並	合	一	魂	入	幫	臻	p		ut		22								
砵								p		ut	33									
鉢								p		ut	33									
缽								p		ut	33									
叉	初	開	二	佳	平	莊	蟹	ʦh		a		33								
茶	澄	開	二	麻	平	知	假	ʦh		a		32								
查	崇	開	二	麻	平	莊	假	ʦh		a		32								
槎	崇	開	二	麻	平	莊	假	ʦh		a		32								
奼	徹	開	二	麻	上	知	假	ʦh		a		55								
岔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	ʦh		a										
差	初	開	二	麻	平	莊	假	ʦh		a		33								
詫	徹	開	二	麻	去	知	假	ʦh		a		33								
猜	清	開	一	咍	平	精	蟹	th		a		33								
踩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	ʦh		a			同样含义有读na55							
差	初	開	二	佳	平	莊	蟹	ʦh		a		33								
柴	崇	開	二	佳	平	莊	蟹	ʦh		a		32								
參	清	開	一	覃	平	精	咸	th		am		33								
慚	從	開	一	談	平	精	咸	th		am		32								
蠶	從	開	一	覃	平	精	咸	th		am		32								
慘	清	開	一	覃	上	精	咸	th		am		55								
摻	生	開	二	咸	平	莊	咸	ʦh		am		33								
攙	崇	開	二	咸	平	莊	咸	ʦh		am		32								
饞	崇	開	二	咸	平	莊	咸	ʦh		am		32								
杉	生	開	二	咸	平	莊	咸	ʦh		am		33								
巉								ʦh		am	22									
餐	清	開	一	寒	平	精	山	th		an		33								
殘	從	開	一	寒	平	精	山	th		an		32								
璨	清	開	一	寒	去	精	山	th		an		33								
燦	清	開	一	寒	去	精	山	th		an		33								
產	生	開	二	山	上	莊	山	ʦh		an		55								
剷	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	ʦh		an			又音ʦhεn							
鏟	初	開	二	山	上	莊	山	ʦh		εn		55								
插	初	開	二	咸	入	莊	咸	ʦh		ap		33	又音tshεp，一般为动词							
擦	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	ʦh		at										
察	初	開	二	山	入	莊	山	ʦh		at		33								
刷	生	合	二	刪	入	莊	山	ʦh		at		33								
刷	生	合	二	刪	入	莊	山	ʦh		at		33								
獺	透	開	一	寒	入	端	山	th		at		33								
抄	初	開	二	肴	平	莊	效	ʦh		εu		33								
抄	初	開	三	肴	平	莊	效	ʦh		εu		33								
鈔	初	開	二	肴	平	莊	效	ʦh		au		33								
巢	崇	開	二	肴	平	莊	效	ʦh		au		32								
吵	明	開	三	宵A	上	幫	效	ʦh		a	32									
炒	初	開	二	肴	上	莊	效	ʦh		εu		55								
沏	清	開	四	先	入	精	山	th		ɐi		33								
妻	清	開	四	齊	平	精	蟹	th		ɐi		33								
萋	清	開	四	齊	平	精	蟹	th		ɐi		33								
淒	清	開	四	齊	平	精	蟹	th		ɐi		33								
悽	清	開	四	齊	平	精	蟹	th		ɐi		33								
棲	心	開	四	齊	平	精	蟹	ʦh		ɐi		33								
齊	從	開	四	齊	平	精	蟹	th		ɐi		32								
砌	清	開	四	齊	去	精	蟹	th		ɐi		33								
切	清	開	四	齊	去	精	蟹	th		ɐi		33								
隋	邪	合	三	支A	平	精	止	ʦh		ɐi		32								
隨	邪	合	三	支A	平	精	止	ʦh		ɐi		32								
冊	初	開	二	耕	入	莊	梗	ʦh		εk		33								
策	初	開	二	耕	入	莊	梗	ʦh		εk		33								
測	初	開	三	蒸	入	莊	曾	ʦh		ɐk		55								
惻	初	開	三	蒸	入	莊	曾	ʦh		ɐk		55								
拆	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	ʦh		εk										
坼	徹	開	二	庚	入	知	梗	ʦh		εk		33								
賊	從	開	一	登	入	精	曾	ʦh		ɐk		33								
賊	從	開	一	登	入	精	曾	ʦh		εk		22								
吒								ʦh		ɐk	55									
柵	初	開	三	庚	入	莊	梗	ʦh		ɐk		22								
參	初	開	三	侵B	平	莊	深	ʦh		ɐm		33								
沉	澄	開	三	侵B	平	知	深	ʦh		ɐm		32								
侵	清	開	三	侵A	平	精	深	th		ɐm		33								
寢	清	開	三	侵A	上	精	深	th		ɐm		55								
尋	邪	開	三	侵A	平	精	深	ʦh		ɐm		32								
瞋	昌	開	三	真A	平	章	臻	ʦh		ɐn		33								
陳	澄	開	三	真B	平	知	臻	ʦh		ɐn		32								
塵	澄	開	三	真B	平	知	臻	ʦh		ɐn		32								
趁	澄	開	三	真B	平	知	臻	ʦh		ɐn		32								
襯	初	開	三	真B	去	莊	臻	ʦh		ɐn		33								
春	昌	合	三	真A	平	章	臻	ʦh		ɔn		33								
鶉	常	合	三	真A	平	章	臻	ʦh		ɔn		32								
蠢	昌	合	三	真A	上	章	臻	ʦh		ɔn		55								
村	清	合	二	魂	平	精	臻	th		ɔn		33								
秦	從	開	三	真A	平	精	臻	th		ɔn		32								
親	清	開	三	真A	平	精	臻	th		ɐn		33								
親	清	開	三	真A	去	精	臻	th		ɐn		33								
旬	邪	合	三	真A	平	精	臻	ʦh		ɔn		32								
巡	邪	合	三	真A	平	精	臻	ʦh		ɔn		32								
循	邪	合	三	真A	平	精	臻	ʦh		ɔn		32								
疹	章	開	三	真A	上	章	臻	ʦh		ɐn		55								
診	章	開	三	真A	上	章	臻	ʦh		ɐn		55								
曾	從	開	一	登	平	精	曾	th		ɐŋ		32								
層	從	開	一	登	平	精	曾	th		ɐŋ		32								
撐	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	ʦh		εŋ										
瞠	徹	開	二	庚	平	知	梗	ʦh		ɐŋ		33								
橙	澄	開	二	耕	平	知	梗	ʦh		ɐŋ		32								
鐺	初	開	二	庚	平	莊	梗	ʦh		εŋ		33								
鐺	初	開	二	庚	平	莊	梗	ʦh		εŋ		33								
鎗								ʦh		εŋ	22									
鋥								ʦh		εŋ	22									
牚								ʦh		εŋ	33									
緝	清	開	三	侵A	入	精	深	th		ɐp		55								
輯	從	開	三	侵A	入	精	深	ʦh		ɐp		22								
出	昌	合	三	脂A	去	章	止	ʦh		ɔt		33								
齣	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	ʦh		ɐt										
七	清	開	三	真A	入	精	臻	th		ɐt		55								
柒	清	開	三	真A	入	精	臻	th		ɐt		55								
漆	清	開	三	真A	入	精	臻	th		ɐt		55								
猝	清	合	二	魂	入	清	臻	th		ɔt		33	有读thyt33，thʊk55的							
抽	徹	開	三	尤	平	知	流	ʦh		ɐu		33								
惆	徹	開	三	尤	平	知	流	ʦh		ɐu		33								
酬	常	開	三	尤	平	章	流	ʦh		ɐu		32								
稠	澄	開	三	尤	平	知	流	ʦh		ɐu		32								
綢	透	開	一	豪	平	端	效	ʦh		ɐu		33								
疇	澄	開	三	尤	平	知	流	ʦh		ɐu		32								
籌	澄	開	三	尤	平	知	流	ʦh		ɐu		32								
躊	澄	開	三	尤	平	知	流	ʦh		ɐu		32								
丑	徹	開	三	尤	上	知	流	ʦh		ɐu		55								
醜	昌	開	三	尤	上	章	流	ʦh		ɐu		55								
臭	昌	開	三	尤	去	章	流	ʦh		ɐu		33								
湊	清	開	一	侯	去	精	流	th		ɐu		33								
秋	清	開	三	尤	平	精	流	th		ɐu		33								
鰍	清	開	三	尤	平	精	流	th		ɐu		33								
囚	邪	開	三	尤	平	精	流	ʦh		ɐu		32								
糗	溪	開	三	尤	上	見	流	ʦh		ɐu		55								
嗅	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	ʦh		ɐu										
車	昌	開	三	麻	平	章	假	ʦh	i	ia		33								
扯	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	ʦh		ia										
且	精	開	三	魚	平	精	遇	ʦh	i	ia		33								
奢	書	開	三	麻	平	章	假	ʦh	i	ia		33								
邪	邪	開	三	麻	平	精	假	ʦh	i	ia		32								
斜	以	開	三	麻	平	以	假	ʦh	i	ia		32								
廁	初	開	三	之	去	莊	止	ʦh		y		33								
差	初	開	三	支B	平	莊	止	ʦh		i		33								
嗤	昌	開	三	之	平	章	止	ʦh		i		33								
痴	徹	開	三	之	平	知	止	ʦh		i		33								
池	澄	開	三	支B	平	知	止	ʦh		i		32								
弛	書	開	三	支A	上	章	止	ʦh		i		55								
持	澄	開	三	之	平	知	止	ʦh		i		32								
馳	澄	開	三	支B	平	知	止	ʦh		i		32								
遲	澄	開	三	脂B	平	知	止	ʦh		i		32								
侈	昌	開	三	支A	上	章	止	ʦh		i		55								
恥	徹	開	三	之	上	知	止	ʦh		i		55								
齒	昌	開	三	之	上	章	止	ʦh		i		55								
翅	書	開	三	支A	去	章	止	ʦh		i		33								
熾	昌	開	三	之	去	章	止	ʦh		i		33								
