音标	调类	调值	
ȵi	2	323	泥宜倪仪尼夷1疑沂凝
ȵi	3	31	蚁拟
ȵi	6	33	艺谊义议夷2（武～山）毅
ȵi	7	5	匿逆溺
ɕi	1	24	须（白 胡～）西犀兮牺嬉熙希稀虽□（流：～眼泪，～鼻涕）绥□（～眼睛：眯眼睛）
ɕi	2	323	徐（白2）随
ɕi	3	31	洗玺喜蟢髓
ɕi	5	212	絮细岁戏
ɕi	6	33	序（白）叙绪系携遂隧穗荽（芫～）
ɕi	7	5	壻胥□（门～：门钹）习袭泣㬤悉戌恤息熄媳惜昔席夕锡（文）析
i	1	24	伊医衣依
i	2	323	移肄饴姨遗
i	3	31	倚椅已以
i	5	212	瞖（～子）意忆亿
i	6	33	易1（容～）异
i	7	5	揖乙一逸抑翼益亦译易（交～）液腋
pu	3	31	补脯辅（白 ～佐）
pu	5	212	布怖
pu	7	5	不
bu	1	24	铺1
bu	2	323	蒲菩□（气体或液体溢出）
bu	3	31	谱普浦脯
bu	5	212	铺2
bu	6	33	部簿步埠
bu	7	5	赴讣朴卜扑仆倒仆曝瀑
fu	1	24	呼夫肤敷麸
fu	2	323	和1（～了：打麻将赢了）胡湖狐壶乎葫1糊俘符扶芙浮（文）
fu	3	31	虎浒府腑俯甫斧抚釜腐辅（文 ～导员）否阜
fu	5	212	戽1（～斗）付赋傅富副
fu	6	33	户沪互护父附妇负
fu	7	5	复忽佛斛福幅蝠复腹覆服伏（～鸡婆：抱窝鸡）
ku	1	24	姑孤箍菇
ku	3	31	古估盬牯（～牛：公牛 贼～：盗贼）股鼓
ku	5	212	故固锢雇顾
ku	7	5	骨核（白 桃～）穀谷
gu	1	24	枯骷
gu	2	323	跍（蹲）瓠（～子）葫2
gu	3	31	苦
gu	5	212	库裤
gu	7	5	哭窟酷
u	1	24	乌污巫诬□(～骨：颧骨)
u	2	323	吴吾梧无芜
u	3	31	五伍午忤仵武舞侮鹉
u	6	33	误悟务雾戊
u	7	5	兀物勿屋
ɕy	1	24	书舒墟(～市)虚须(文)需输吁1
ɕy	2	323	殊
ɕy	3	31	暑鼠署薯许水
ɕy	5	212	庶恕戍
ɕy	6	33	序（文）竖树睡（白）
ɕy	7	5	術沭述秫
tɕy	1	24	猪诸居车（～马炮）诛蛛株朱珠拘驹俱锥鸠（斑～）
tɕy	3	31	煮举主矩
tɕy	5	212	著据锯（文）驻注注蛀铸句剧
tɕy	7	5	橘焗
dʑy	1	24	枢区驱吹（白）
dʑy	2	323	除储渠厨瞿槌锤捶
dʑy	3	31	处（相～）杵拄处
dʑy	5	212	趣（文）
dʑy	6	33	苎箸（夹一～）巨拒距柱住具惧苣（莴～）柜（白）
dʑy	7	5	出屈
ȵy	2	323	鱼渔愚虞娱
ȵy	3	31	女语
y	1	24	於淤瘀迂于盂
y	2	323	如余舁（抬）儒
y	3	31	吕铝汝与乳雨宇禹羽
y	5	212	餧（白）
y	6	33	预豫誉喻裕芋榆逾愈吁遇寓愉御纬(～线)
y	7	5	尉(～迟,姓）入域疫役玉
pɑ	1	24	巴笆粑芭疤
pɑ	3	31	把
pɑ	5	212	霸把坝
pɑ	7	5	伯（白 ～爷：伯父）爸八
bɑ	1	24	趴
bɑ	2	323	爬杷扒琶耙钯
bɑ	5	212	怕
bɑ	6	33	罢稗
bɑ	7	5	拍魄白帛帕拔
mɑ	1	24	妈
mɑ	2	323	麻
mɑ	3	31	马码蚂玛
mɑ	6	33	骂
mɑ	7	5	抹脈（白）□（～坼：开裂）□（～顶搭：扎辫子）蟆（蛤～）麦
fɑ	1	24	花
fɑ	2	323	华划桦滑猾
fɑ	5	212	化
fɑ	6	33	画话（文）划
fɑ	7	5	法發罚伐乏阀髮筏
tɑ	3	31	打
tɑ	7	5	跌（白）跶（摔跤）搭答沓
dɑ	1	24	他1
dɑ	6	33	大（文）
dɑ	7	5	獭达踏搨塔榻塌
nɑ	1	24	他2拉
nɑ	2	323	哪1（～咤）
nɑ	3	31	哪2（～个）
nɑ	5	212	娜1
nɑ	7	5	□（贵）拿纳腊蜡捺辣瘌（白 ～痢）䖧
ʦɑ	1	24	抓（白）楂渣
ʦɑ	5	212	炸蔗诈榨炸乍闸栅炸柞
ʦɑ	7	5	眨札窄扎柘（～树）轧铡摘（白）
dzɑ	1	24	叉杈差2
dzɑ	2	323	茶茬查
dzɑ	5	212	岔
dzɑ	6	33	□（～哩柴：连枝带叶的柴）
dzɑ	7	5	搽杂插擦察拆择（白 ～菜）浞（淋湿）
sɑ	1	24	杉莎沙纱痧㸺(母牛)
sɑ	3	31	洒耍撒1
sɑ	7	5	萨撒2杀刷煞
tʂɑ	1	24	遮
tʂɑ	7	5	炙隻(白）
dʐɑ	1	24	车
dʐɑ	3	31	扯
dʐɑ	7	5	赤（白）尺
ʂɑ	1	24	奢赊佘（姓）畲
ʂɑ	2	323	蛇
ʂɑ	3	31	舍1（～得）傻
ʂɑ	5	212	赦舍2（邻～）
ʂɑ	6	33	射麝社（白）
ʂɑ	7	5	石（白）□（传染）
ɳɑ	3	31	惹
kɑ	1	24	家（白）枷
kɑ	5	212	架（白）嫁（白）尬稼（白 庄～）
kɑ	7	5	胳（～肢窝）夹（～菜）□（二～货：笨蛋）胛（白）隔（～壁）
gɑ	2	323	㐄（跨）虾1（～蟆）
gɑ	3	31	卡
gɑ	5	212	胯
gɑ	7	5	客（白）掐
ŋɑ	1	24	桠轭
ŋɑ	2	323	牙芽伢（小孩）
ŋɑ	3	31	哑
ŋɑ	7	5	鸭压（白）啮（咬）额（白 ～公：额头）
hɑ	1	24	虾2哈
hɑ	6	33	下
hɑ	7	5	嚇（吓）瞎
ɑ	2	323	啊（表疑问）
piɑ	7	5	壁（白）
biɑ	7	5	劈（白）
tiɑ	1	24	爹（白 祖父母及其他祖辈亲属）
tiɑ	7	5	滴（白）
diɑ	2	323	提（白）
diɑ	7	5	缔（将绳子打结 ～鞋带）踢栎
tɕiɑ	1	24	家（文）加嘉痂佳
tɕiɑ	3	31	假姐贾
tɕiɑ	5	212	架（文）驾嫁（文）稼（文）借藉价
tɕiɑ	7	5	甲胛（文）脊
dʑiɑ	2	323	斜（白）
dʑiɑ	5	212	笡
dʑiɑ	6	33	谢（白）
dʑiɑ	7	5	喫（～饭）恰洽
ȵiɑ	1	24	□（发～：撒娇）
ɕiɑ	1	24	些（白）
ɕiɑ	2	323	斜（文）霞瑕暇遐
ɕiɑ	3	31	写
ɕiɑ	5	212	泻卸
ɕiɑ	6	33	夏厦
ɕiɑ	7	5	狭峡匣辖锡（白）
iɑ	1	24	鸦丫耶（～稣）
iɑ	2	323	衙爷涯
iɑ	3	31	也雅野
iɑ	5	212	亚
iɑ	6	33	夜
iɑ	7	5	押压（文）
kuɑ	1	24	瓜
kuɑ	3	31	寡剐
kuɑ	5	212	掛卦褂
kuɑ	7	5	刮括（白）
guɑ	1	24	誇
guɑ	3	31	垮侉
guɑ	5	212	跨
uɑ	1	24	鸹（老～：乌鸦）蛙洼剜
uɑ	2	323	娃
uɑ	3	31	搲瓦
uɑ	5	212	凹（山～）
uɑ	6	33	话（白）
uɑ	7	5	挖袜
tɕyɑ	1	24	抓（文）
dʑyɑ	2	323	瘸茄
ɕyɑ	1	24	靴
yɑ	7	5	哕
pɔ	1	24	波菠玻坡
pɔ	3	31	跛（文）
pɔ	5	212	簸
pɔ	7	5	博剥1驳勃饽脖
bɔ	1	24	颇
bɔ	2	323	婆
bɔ	5	212	破
bɔ	7	5	薄泊1（梁山～）雹（～子：冰雹）
mɔ	1	24	摸□（磨蹭、拖延）
mɔ	2	323	魔磨摩馍摹模模
mɔ	3	31	母拇麼
mɔ	6	33	磨暮慕墓募
mɔ	7	5	没（沉～）木目穆牧莫膜寞
tɔ	1	24	多
tɔ	3	31	躲朵
tɔ	5	212	剁
tɔ	7	5	厾夺
