音标	调类	调值	
tʂœn	3	31	展
tʂœn	5	212	战颤占2绽
dʐœn	2	323	缠
ʂœn	1	24	膻煽
ʂœn	2	323	蝉禅蟾
ʂœn	3	31	闪陕
ʂœn	5	212	骟扇搧禅1（～让）
ʂœn	6	33	膳单2（姓氏）禅2（～位）善鳝
ɳœn	2	323	然燃
kœn	1	24	干1（天～地支）肝竿干2（～湿）甘柑
kœn	3	31	杆秆擀赶敢橄□（盖住）赣感□（～子：手镯）
kœn	5	212	幹（～什么）
gœn	1	24	看1（～伢：生孩子，～猪：养猪）
gœn	5	212	磡（陡崖、陡岸）看2
ŋœn	1	24	庵安鞍
ŋœn	5	212	按案揞暗
ŋœn	6	33	岸
hœn	1	24	鼾夯
hœn	2	323	寒韩
hœn	3	31	撼2
hœn	5	212	汉
hœn	6	33	苋汗焊翰旱
fuœn	1	24	欢
fuœn	3	31	缓
fuœn	5	212	唤焕
kuœn	1	24	官棺观1（参～）冠1
kuœn	3	31	管馆
kuœn	5	212	灌（白）贯罐观2冠2
guœn	1	24	宽
guœn	3	31	款
uœn	1	24	豌
uœn	2	323	完
uœn	3	31	腕皖碗宛
uœn	6	33	换
tɕyœn	1	24	砖专娟捐
tɕyœn	3	31	转1捲卷
tɕyœn	5	212	转2眷绢传1（水浒～）
dʑyœn	1	24	川穿圈1
dʑyœn	2	323	传2（～达）椽船拳权醛
dʑyœn	3	31	喘犬
dʑyœn	5	212	串劝券
dʑyœn	6	33	篆倦传3(～记)圈2
ɕyœn	1	24	宣(文）喧（文）□（推）
ɕyœn	2	323	弦眩舷（文）
ɕyœn	5	212	楦（鞋～）
ȵyœn	3	31	染冉软阮
ȵyœn	6	33	愿
yœn	1	24	冤渊
yœn	2	323	圆丸员缘铅元原源袁援辕园远1
yœn	3	31	远2
yœn	5	212	怨
yœn	6	33	院
piᴇn	1	24	鞭编边蝙
piᴇn	3	31	贬扁匾
piᴇn	5	212	变遍
biᴇn	1	24	篇偏
biᴇn	2	323	便（～宜）
biᴇn	5	212	骗片
biᴇn	6	33	辨辩便（方～）汴辫
miᴇn	2	323	眠棉绵
miᴇn	3	31	免勉娩缅
miᴇn	6	33	面麺
tiᴇn	1	24	癫掂颠巅
tiᴇn	3	31	点典腆
tiᴇn	5	212	店
diᴇn	1	24	添天
diᴇn	2	323	廉镰帘甜连联田填怜莲
diᴇn	3	31	敛殓舔脸
diᴇn	6	33	簟（竹～）电殿奠□（～常：经常）佃垫练炼楝恋
ʨiᴇn	1	24	尖歼兼煎肩坚庚（老～：同年生的人）耕
ʨiᴇn	3	31	检剪茧趼□（～日：整天）笕（以竹通水）
ʨiᴇn	5	212	剑箭建荐见□（鞭痕）
dʑiᴇn	1	24	签（牙～）签（～名）谦迁千牵□（牲畜交配）
dʑiᴇn	2	323	潜钳钱虔前全荃泉挦（～毛：拔毛）
dʑiᴇn	3	31	浅践遣笺肯（白）
dʑiᴇn	5	212	欠忺（想念）歉
dʑiᴇn	6	33	俭件贱饯键健腱旋（白）
ȵiᴇn	1	24	拈搛研恩（白 ～将仇报）
ȵiᴇn	2	323	黏阎严年
ȵiᴇn	3	31	碾辇捻撵
ȵiᴇn	6	33	验酽（～茶：浓茶）念谚砚
ɕiᴇn	1	24	仙鲜轩掀先宣（白）喧（白）欣
ɕiᴇn	2	323	嫌贤旋（文）舷（白 桌～：桌沿）
ɕiᴇn	3	31	险藓显选□(～前年：大前年)
ɕiᴇn	5	212	鏾（～鸡：阉鸡）线羡宪献
ɕiᴇn	6	33	渐现县
iᴇn	1	24	腌焉烟燕咽
iᴇn	2	323	炎盐檐鲇延筵言沿芫（～荽）
iᴇn	3	31	掩演
iᴇn	5	212	堰燕宴厌
iᴇn	6	33	焰艳
pən	1	24	奔1锛崩
pən	3	31	本
pən	5	212	奔2
bən	1	24	膨烹1
bən	2	323	盆
bən	6	33	笨
mən	2	323	萌门
mən	6	33	闷焖
fən	1	24	昏婚分芬纷荤
fən	2	323	魂横焚坟浑
fən	3	31	粉混（文）□（～亮：拂晓）
fən	5	212	喷粪奋愤忿
fən	6	33	馄混（白）份
tən	1	24	敦墩蹲蹬
tən	3	31	等（文）
tən	5	212	顿镫盾遁澄（文）瞪
dən	2	323	屯豚饨囤沌
dən	6	33	钝
nən	2	323	论1仑伦沦轮楞砻
nən	6	33	嫩论2
ʦən	1	24	尊遵
ʦən	5	212	俊
dzən	1	24	郴村皴
dzən	2	323	存
dzən	3	31	□（摁、按压）
dzən	5	212	忖寸衬
sən	1	24	孙
sən	2	323	循巡旬
sən	3	31	损笋榫省（文 ～长，反～）
sən	5	212	逊
tʂən	1	24	针斟珍真蒸征贞侦正1（～月）
tʂən	3	31	枕诊疹震拯整（文）
tʂən	5	212	镇振证症正（文）政
dʐən	1	24	称伸抻
dʐən	2	323	沉陈尘臣橙乘1承丞程（文）成城诚呈
dʐən	3	31	趁惩逞宠1
dʐən	5	212	称秤
dʐən	6	33	阵澄（白）郑
ʂən	1	24	深身申升声（文）
ʂən	2	323	神娠辰晨唇乘2绳塍
ʂən	3	31	沈审婶
ʂən	5	212	胜圣
ʂən	6	33	甚肾（文）慎剩盛（文）殉
ɳən	2	323	壬任1（姓）人仁仍扔
ɳən	3	31	纴忍刃韧
ɳən	6	33	任2（责～）认
kən	1	24	根（文）跟（文）更1（文 ～换）赓
kən	3	31	粳耿
kən	5	212	更2（文 ～加）
gən	1	24	坑（文）
gən	3	31	肯（文）
ŋən	1	24	恩（文）
ŋən	6	33	硬（文）
hən	1	24	亨
hən	2	323	桓痕衡
hən	3	31	很狠
hən	6	33	恨
pin	1	24	彬宾槟鬓冰浜兵
pin	3	31	禀丙秉柄
pin	5	212	殡并1（合～）
bin	1	24	拼姘
bin	2	323	凭评平（文）贫频瓶屏萍苹
bin	3	31	品
bin	5	212	聘
bin	6	33	并2（～且）
min	2	323	闽民鸣明（文）名（文）铭螟瞑茗
min	3	31	悯敏抿皿
min	5	212	命（文）
tin	1	24	□（～斗：跟斗）丁（文）钉1（文）砧
tin	3	31	戥2顶（文）鼎（文）
tin	5	212	钉2（文）订锭
din	1	24	厅汀梃（床～）亭停（文）
din	2	323	林淋临邻鳞磷麟陵凌菱廷庭灵零（文）伶拎翎
din	3	31	檩领（文）岭（文）艇挺
din	5	212	听（文）
din	6	33	赁令
ʨin	1	24	今金津巾斤筋京荆惊精根（白）跟（白）□（奶～：母猪的统称）晶经径螼（寒～哩：蚯蚓）羹（瓢～：调羹）
ʨin	3	31	锦尽1（～他：不管他）紧仅谨境景警
ʨin	5	212	禁襟进竞晋劲茎敬竟镜劲
dʑin	1	24	浸侵钦亲1卿□（打哈～：打哈欠）清（文 ～明节）
dʑin	2	323	寻（白）岑琴禽擒檎秦勤芹擎鲸情（文）
dʑin	3	31	寝
dʑin	5	212	亲2（～家）庆
dʑin	6	33	尽肾（白 鸡～：鸡肫）近净静靖
ȵin	2	323	吟银宁（安～）宁（～可）迎
ȵin	6	33	另
ɕin	1	24	心辛新薪兴1馨
ɕin	2	323	寻（文 ～常）荀旬行形型刑
ɕin	5	212	信讯衅迅兴2性行嗅
ɕin	6	33	幸杏
in	1	24	音□（知～：知了）阴荫因姻殷鹰莺鹦樱英婴缨
in	2	323	淫寅蝇盈营茔
in	3	31	饮（～马）饮（～酒）引隐影（文）颖
in	5	212	印胤应
kuən	3	31	滚磙
kuən	5	212	棍
guən	1	24	昆坤
guən	2	323	浑（～个：整个的，～鸡：整鸡）
guən	3	31	捆龈
guən	5	212	困睏
uən	1	24	温瘟
uən	2	323	文纹蚊闻
uən	3	31	稳吻刎
uən	6	33	问璺
ʨyn	1	24	均钧君军
ʨyn	3	31	凖准
ʨyn	5	212	菌（文）圳
dʑyn	1	24	椿春倾
dʑyn	2	323	羣裙琼醇纯（文）
dʑyn	3	31	蠢顷
dʑyn	6	33	菌（白）郡
ɕyn	1	24	熏勋
ɕyn	2	323	纯（白）莼驯
ɕyn	5	212	舜训
ɕyn	6	33	顺
yn	1	24	晕
yn	2	323	匀云云荥荣
yn	3	31	允尹永
yn	5	212	熨泳咏韵（文）
yn	6	33	润闰韵（白）运孕
poŋ	1	24	帮邦梆
poŋ	3	31	榜绑膀髈
poŋ	5	212	谤磅镑
boŋ	1	24	肨（～头鱼：鳙鱼）
boŋ	2	323	旁螃庞傍
boŋ	3	31	□～角：外墙墙角
boŋ	5	212	胖棒
boŋ	6	33	蚌塝（～田：梯田）
moŋ	2	323	忙茫芒虻盲
moŋ	3	31	莽蟒猛
foŋ	1	24	芳方1
foŋ	2	323	黄（文）簧皇肪妨房防
foŋ	3	31	谎晃仿纺
foŋ	5	212	放访
toŋ	1	24	当1
toŋ	3	31	党挡
toŋ	5	212	当2
doŋ	1	24	汤
doŋ	2	323	堂棠螳唐糖塘溏
doŋ	3	31	倘躺
doŋ	5	212	烫趟
doŋ	6	33	荡凼
noŋ	2	323	囊郎廊狼蜋
noŋ	3	31	朗
noŋ	6	33	浪
ʦoŋ	1	24	赃脏1庄装桩妆
ʦoŋ	5	212	葬壮
dzoŋ	1	24	仓苍疮沧窗
dzoŋ	2	323	藏1床
dzoŋ	3	31	闯
dzoŋ	5	212	创
dzoŋ	6	33	藏2脏2状撞
soŋ	1	24	桑丧1婚孀双
soŋ	3	31	磉嗓爽搡
soŋ	5	212	丧2
tʂoŋ	1	24	张章漳樟
tʂoŋ	3	31	长1涨掌
tʂoŋ	5	212	瘴帐账胀
dʐoŋ	1	24	昌菖倡猖娼障
dʐoŋ	2	323	长2肠场
dʐoŋ	3	31	厂
dʐoŋ	5	212	畅唱仗（白）
dʐoŋ	6	33	丈仗（文）杖
ʂoŋ	1	24	商伤
ʂoŋ	2	323	常尝裳嫦
ʂoŋ	3	31	赏偿
ʂoŋ	6	33	绱上尚
ɳoŋ	2	323	瓤
ɳoŋ	3	31	壤攘嚷酿1
ɳoŋ	6	33	让
koŋ	1	24	冈岗纲钢1（～铁）缸豇光
koŋ	3	31	讲（白 ～古：讲故事）港广
koŋ	5	212	钢2（～刀）杠
goŋ	1	24	康糠
goŋ	2	323	扛狂
goŋ	3	31	慷
goŋ	5	212	抗炕旷况
ŋoŋ	1	24	骯
ŋoŋ	2	323	昂
hoŋ	1	24	荒慌方2
hoŋ	2	323	行航杭
hoŋ	6	33	项巷
dioŋ	2	323	良凉量粮梁粱
dioŋ	3	31	两
dioŋ	6	33	亮谅量辆
ʨioŋ	1	24	刚将浆疆僵姜缰姜江
ʨioŋ	3	31	蒋奖桨讲（文）
ʨioŋ	5	212	酱犟将降1
dʑioŋ	1	24	枪羌匡筐眶框腔
dʑioŋ	2	323	墙详祥强1
dʑioŋ	3	31	抢强2
dʑioŋ	5	212	强3（犟）
dʑioŋ	6	33	像（白）匠
ȵioŋ	2	323	娘
ȵioŋ	3	31	仰
ȵioŋ	6	33	酿2
ɕioŋ	1	24	相1箱厢湘襄镶香乡□（菜畦）
ɕioŋ	2	24	降2
ɕioŋ	3	31	想晌享响饷
ɕioŋ	5	212	像（文）向相2
ɕioŋ	6	33	象橡
ioŋ	1	24	央秧殃鞅
ioŋ	2	323	羊洋烊（融化）杨阳扬疡
ioŋ	3	31	养痒
ioŋ	5	212	映
ioŋ	6	33	样旺（白 ～鸡：公鸡）
kuoŋ	5	212	逛
guoŋ	5	212	矿
uoŋ	1	24	汪
uoŋ	2	323	亡王
uoŋ	3	31	黄（白）蝗网往枉1
uoŋ	5	212	妄
uoŋ	6	33	忘望旺（文）枉2
pʌŋ	5	212	蹦埲（石灰扬起）迸
bʌŋ	1	24	烹2喷
bʌŋ	2	323	朋棚篷蓬
bʌŋ	3	31	捧
mʌŋ	2	323	萌盟蒙
mʌŋ	3	31	懵蠓
mʌŋ	6	33	孟梦
fʌŋ	1	24	风枫疯丰封峰蜂锋烘
fʌŋ	2	323	弘宏红（文）洪鸿虹冯缝逢
fʌŋ	3	31	轰哄
fʌŋ	5	212	讽
fʌŋ	6	33	俸奉缝凤
tʌŋ	1	24	东冬
tʌŋ	3	31	董懂
tʌŋ	5	212	冻栋
tʌŋ	7	5	□（敦齐）
dʌŋ	1	24	通
dʌŋ	2	323	同铜桐筒童瞳
dʌŋ	3	31	桶捅筒统
dʌŋ	5	212	痛
dʌŋ	6	33	洞动
nʌŋ	1	24	聋
nʌŋ	2	323	笼农脓隆浓龙
nʌŋ	3	31	拢陇垄
nʌŋ	6	33	弄
ʦʌŋ	1	24	椶鬃宗综踪
ʦʌŋ	3	31	总
ʦʌŋ	5	212	□（皱）粽纵
dzʌŋ	1	24	聪怱葱
dzʌŋ	2	323	丛从松1（～树）
dzʌŋ	6	33	诵1颂1
sʌŋ	1	24	松2（放～）嵩
sʌŋ	3	31	怂
sʌŋ	5	212	送宋
sʌŋ	6	33	诵2颂2讼
tʂʌŋ	1	24	征忠中终钟钟盅
tʂʌŋ	3	31	种1肿
tʂʌŋ	5	212	中种2众
dʐʌŋ	1	24	充冲舂
dʐʌŋ	2	323	虫崇重1
dʐʌŋ	3	31	宠2
dʐʌŋ	5	212	铳
dʐʌŋ	6	33	仲重2
ɳʌŋ	2	323	戎絨茸
kʌŋ	1	24	功攻公（白）
gʌŋ	1	24	空（白）
hʌŋ	2	323	红（白）
hʌŋ	3	31	□（擤）
ʨiʌŋ	1	24	供（～崽读书）
dʑiʌŋ	2	323	穹穷
dʑiʌŋ	6	33	共（白 ～爷各娘：同父异母）
ɕiʌŋ	1	24	兄胸凶
ɕiʌŋ	2	323	熊雄
iʌŋ	1	24	雍癕拥
iʌŋ	2	323	容蓉镕庸
iʌŋ	3	31	拥勇涌
iʌŋ	6	33	用
kuʌŋ	1	24	公(文)工弓躬宫恭
kuʌŋ	3	31	拱巩
kuʌŋ	5	212	贡汞供(文）
guʌŋ	3	31	孔恐
guʌŋ	5	212	控空（文）
guʌŋ	6	33	共（文）
uʌŋ	1	24	翁瓮
pɑŋ	1	24	□(推)
bɑŋ	2	323	彭
mɑŋ	5	212	□（扯住）
nɑŋ	3	31	冷
tsɑŋ	1	24	㬹争（白）睁筝
dzɑŋ	1	24	撑
dzɑŋ	5	212	□(皱)牚(椅子～儿)□(～衫袖：挽袖子)
dzɑŋ	6	33	锃（～亮)
sɑŋ	1	24	生（白 夹～饭）
sɑŋ	2	323	□（～蛋：下蛋）
sɑŋ	3	31	省（白）
tʂɑŋ	3	31	整（白）
tʂɑŋ	5	212	正（白）
dʐɑŋ	2	323	程（白）
ʂɑŋ	1	24	声（白）
ʂɑŋ	2	323	盛（白 ～饭）
kɑŋ	3	31	埂哽
gɑŋ	1	24	坑（白）
gɑŋ	3	31	□咳嗽
ŋɑŋ	6	33	硬（白）
piɑŋ	3	31	饼
biɑŋ	2	323	平（白）坪
biɑŋ	6	33	病
miɑŋ	2	323	名（白）明（白）
miɑŋ	6	33	命（白）
tiɑŋ	1	24	钉1（白）靪疔
tiɑŋ	5	212	钉2（白）
diɑŋ	1	24	停（白）
diɑŋ	2	323	零（白）铃蛉
diɑŋ	3	31	领（白）岭（白）
diɑŋ	5	212	听（白）
diɑŋ	6	33	定
tɕiɑŋ	1	24	腈（～肉：瘦肉）
tɕiɑŋ	3	31	井颈
tɕiɑŋ	5	212	经（～纬）
dʑiɑŋ	1	24	清（白）青轻
dʑiɑŋ	2	323	晴情（白）
dʑiɑŋ	3	31	请
dʑiɑŋ	5	212	磬
ɕiɑŋ	1	24	星
ɕiɑŋ	3	31	醒
ɕiɑŋ	5	212	姓腥
iɑŋ	2	323	赢
iɑŋ	5	212	䁐（～牛：放牛）
kuɑŋ	1	24	桄
kuɑŋ	3	31	梗
uɑŋ	2	323	横（白）
yɑŋ	3	31	影（白）
m̩	1	24	姆1（～妈：妈妈）
m̩	3	31	姆2（～妈：妈妈）
m̩	7	5	姆3（～嫲：祖母）
n̩	3	31	尔（白 你）
n̩	5	212	尔（中指代词）
ŋ̩	2	323	蜈
