繁体	简体	聲韻	聲調	注釋
伯	伯	paʔ	2|陰入	
八	八	pɛk	2|陰入	
剝	剥	puk	2|陰入	異讀[p][uoʔ/uk][2]單字讀，剝皮
剝	剥	puoʔ	2|陰入	異讀[p][uoʔ/uk][2]單字讀，剝皮
北	北	pœk	2|陰入	
博	博	pɔk	2|陰入	
壁	壁	pek	2|陰入	異讀[p][iɛʔ/ek][2]
壁	壁	piɛʔ	2|陰入	異讀[p][iɛʔ/ek][2]
必	必	pek	2|陰入	
撥	拨	puok	2|陰入	
撲	扑	puk	2|陰入	
擘	擘	paʔ	2|陰入	
柏	柏	paʔ	2|陰入	異讀[p][aʔ/ɛk][2]
柏	柏	pɛk	2|陰入	異讀[p][aʔ/ɛk][2]
檗	檗	paʔ	2|陰入	
畢	毕	pek	2|陰入	
發	发	puk	2|陰入	異讀[p/x][uk/uok][2]文讀，長出
百	百	paʔ	2|陰入	
筆	笔	pek	2|陰入	
缽	钵	puok	2|陰入	
腹	腹	pok	2|陰入	異讀[p/x][ok][2]
逼	逼	pek	2|陰入	
鉢	钵	puok	2|陰入	
駁	驳	pɔk	2|陰入	
鱉	鳖	pik	2|陰入	
僻	僻	pʰek	2|陰入	異讀[pʰ][iɛʔ/ek][2]
僻	僻	pʰiɛʔ	2|陰入	異讀[pʰ][iɛʔ/ek][2]
匹	匹	pʰek	2|陰入	
拍	拍	pʰaʔ	2|陰入	
撆	撆	pʰik	2|陰入	
撇	撇	pʰik	2|陰入	
撲	扑	pʰɔk	2|陰入	
樸	朴	pʰɔk	2|陰入	
潑	泼	pʰuok	2|陰入	
璧	璧	pʰek	2|陰入	
碧	碧	pʰek	2|陰入	
粕	粕	pʰɔʔ	2|陰入	
魄	魄	pʰɛk	2|陰入	
得	得	tɛk	2|陰入	
德	德	tɛk	2|陰入	
掇	掇	tɔk	2|陰入	
摘	摘	tiɛʔ	2|陰入	
撘	撘	tap	2|陰入	
桌	桌	tɔʔ	2|陰入	
涿	涿	tɔk	2|陰入	
滴	滴	tek	2|陰入	
的	的	tek	2|陰入	
督	督	tok	2|陰入	
竹	竹	tøk	2|陰入	
笮	笮	taʔ	2|陰入	壓：原書作「硩」
答	答	tap	2|陰入	
篤	笃	tok	2|陰入	
剔	剔	tʰek	2|陰入	
坼	坼	tʰik	2|陰入	異讀[tʰ/tsʰ][ik/ɛk][2]
塔	塔	tʰap	2|陰入	
帖	帖	tʰɛp	2|陰入	
惕	惕	tʰek	2|陰入	
榻	榻	tʰap	2|陰入	
獺	獭	tʰiɛk	2|陰入	水獺
貼	贴	tʰɛp	2|陰入	
踢	踢	tʰek	2|陰入	
鐵	铁	tʰik	2|陰入	
飭	饬	tʰek	2|陰入	
佮	佮	kap	2|陰入	佮夥
刮	刮	kuok	2|陰入	
割	割	kak	2|陰入	
劫	劫	kip	2|陰入	
吉	吉	kek	2|陰入	
國	国	kok	2|陰入	
夾	夹	kak	2|陰入	異讀[k][ak/ap][2]
夾	夹	kap	2|陰入	異讀[k][ak/ap][2]
廓	廓	kok	2|陰入	
急	急	kek	2|陰入	
括	括	kuok	2|陰入	
擊	击	kek	2|陰入	
決	决	kyk	2|陰入	
潔	洁	kik	2|陰入	
激	激	kek	2|陰入	
甲	甲	kap	2|陰入	
穀	谷	kok	2|陰入	
結	结	kik	2|陰入	異讀[k][ɛk/ik][2]
結	结	kɛk	2|陰入	異讀[k][ɛk/ik][2]
給	给	kep	2|陰入	
菊	菊	køk	2|陰入	
葛	葛	kak	2|陰入	
蛤	蛤	kap	2|陰入	
角	角	kœk	2|陰入	
訣	诀	kyk	2|陰入	
詰	诘	kek	2|陰入	
豁	豁	kok	2|陰入	
郭	郭	kok	2|陰入	
隔	隔	kaʔ	2|陰入	異讀[k][aʔ/ɛk][2]
隔	隔	kɛk	2|陰入	異讀[k][aʔ/ɛk][2]
革	革	kɛk	2|陰入	
骨	骨	kɔk	2|陰入	
鴿	鸽	kap	2|陰入	
乞	乞	kʰøk	2|陰入	
克	克	kʰɛk	2|陰入	
刻	刻	kʰɛk	2|陰入	
卻	却	kʰyk	2|陰入	
哭	哭	kʰok	2|陰入	
壑	壑	kʰɔk	2|陰入	
客	客	kʰaʔ	2|陰入	異讀[kʰ][aʔ/ɛk][2]
客	客	kʰɛk	2|陰入	異讀[kʰ][aʔ/ɛk][2]
怯	怯	kʰyk	2|陰入	
恰	恰	kʰap	2|陰入	恰當
曲	曲	kʰuk	2|陰入	異讀[kʰ][øk/uk][2]曲折，白讀
曲	曲	kʰøk	2|陰入	異讀[kʰ][øk/uk][2]曲折，白讀
欬	欬	kʰak	2|陰入	
泣	泣	kʰep	2|陰入	
確	确	kʰœk	2|陰入	
窟	窟	kʰɔk	2|陰入	
缺	缺	kʰyk	2|陰入	異讀[kʰ][yk/ik][2/5]
腳	脚	kʰyk	2|陰入	
酷	酷	kʰok	2|陰入	
闊	阔	kʰuok	2|陰入	
闕	阙	kʰok	2|陰入	
隙	隙	kʰek	2|陰入	
仄	仄	tsaʔ	2|陰入	
則	则	tsɛk	2|陰入	
即	即	tsik	2|陰入	
叔	叔	tsøk	2|陰入	異讀[s/ts][øk][2]
只	只	tsiɛʔ	2|陰入	
囑	嘱	tsøk	2|陰入	
執	执	tsik	2|陰入	
