来源：	邢向东 王兆富 2014《吴堡方言调查研究》；灰原哀 木瓜 整理录入
说明：	代表吴堡县寇家塬镇东王家山音系。
#符号说明：	-白=文*俗?待考
#调值	［1］213［2］33［3］412［5］53［7］3［8］213［0］21
#ɿ	
ts	［1］支枝肢资姿咨兹滋梓之芝辎脂{～油}□{状态形容词重叠式后缀，威格～～儿：耍威风的样子}［2］吱{象声词}［3］姊脂{～肪}旨子紫纸呲只止趾址［5］自至字痔稚志誌痣□{称}
tsʰ	［1］疵眵龇{用力踩}呲鸱{～怪子：一种较大的猫头鹰}□{鸡卜～儿：鸡胗}［2］雌瓷慈磁词祠［3］此齿子{拿～～：抓子儿}［5］刺赐翅豉次伺{～候}嘶{象声词：多形容扯破布料的声音}
s	［1］斯厮撕燍{～气了：馊了}施私师狮司丝思饲诗［2］匙辞时［3］死尸屎使史驶［5］豕是氏四肆矢示视嗜似祀巳寺嗣士仕柿俟事市恃试侍赐-{明舍暗～}
#ʅ	
tʂ	［5］掷炙
tʂʰ	［5］嗤{忽～：象声词}□{秋～：蟋蟀}
#i	
p	［1］屄［3］蓖彼［5］蔽敝弊毙陛被备闭={禁～}褙{袼～儿}
pʰ	［1］批披疲［2］皮琵枇平-{～师：风水先生}［3］脾避鄙庇痹俾僻{～静}［5］屁
m	［2］迷谜咪糜弥靡眉楣媚柠{～条}冥{～婚}［3］米［5］篾昧{圪～：趁人不注意把别人或公家的东西拿走}眯□{瞄，瞅准}
n	［2］泥{和～，～灶火}倪宜谊尼疑□{生～：生锈}［3］拟［5］匿溺泥{～水匠}
tɕ	［1］鸡稽饥肌几{茶～}基机惊{马～了}戟荆{～茇：荆条}［3］己几{～乎}几{～个}虮景-{～家沟：地名}［5］计继系技妓寄冀纪记忌既季镜□{忙～：忙碌}［0］地{助词，放在状语和动词中心语之间}
tɕʰ	［1］梯欺期［2］堤题畦提蹄奇骑岐歧祁鳍其棋旗［3］体启企起杞岂［5］啼替涕剃{下吴堡音}屉契器弃气汽［0］箕{簸～}
ɕ	［1］溪奚兮牺希稀［2］孩-{～儿，这是“孩儿”的折合音，口语中没有单念的}肥-{形容人胖}［3］玺徙嬉熙喜螬擤［5］系{筐～～}撃{联～}係{关～}戏费-{磨牙～口：费口舌}惠-{姓}
