#汉字	音标	解释
#来源	/	林德威《Problems in Comparative Chinese Dialectology》
#声调	/	1阴平34 2阳平32 3阴上21ʔ 5阴去23 6阳去阴入455 8阳上阳入53ʔ
蕾	lueʔ3	
朘	tsue1	阴茎
坐	tsueʔ8	
罪	tsueʔ8	
切	tsʰue6	
衰	sue1	倒霉，瘦
□	sue6	类似小黑蚊的虫子
锅	ue1	训
围	ue2	~身：身体
禾	ue2	
和	ue2	~尚
弃	ueʔ8	训，丢弃
该	kue1	
改	kaiʔ3	
怀	kue2	麦子孕穗
胲	kue1	喉结
傀	kueʔ3	
髻	kue5	
怪	kue5	
盖	kue5	
开	kʰue1	
瘸	kʰue2	
快	kʰue5	
外	ŋue6	
海	haiʔ3	
灰	hue1	
䀁	hue2	瓷器
火	hueʔ3	
会	hue6	
失	ʃie6	
纸	tʃieʔ3	
蜇	tʃie6	
汁	tʃie6	
织	tʃie6	
侄	tʃieʔ8	
舌	tʃieʔ8	
泄	tʃʰie6	训，漏尿
识	ʃie6	
十	ʃieʔ8	
蚀	ʃieʔ8	蚀本
急	kie6	
结	kie6	打结
橘	kie6	
柿	kʰieʔ8	
级	kʰie6	台阶
□	kʰie6	一~子：一下子
出	kʰie6	一~戏
出	kʰye6	
乞	kʰye6	
月	ŋyeʔ8	
平	pie2	
坪	pie2	
丙	pieʔ3	
饼	pieʔ3	
柄	pie5	
病	pie6	
名	mie2	
命	mie6	
晾	nie2	
岭	nieʔ3	
领	nieʔ3	
另	nie6	
精	tsie1	漂亮
晴	tsie2	
𫗚	tsieʔ3	味淡
井	tsieʔ3	
青	tsʰie1	
请	tsʰieʔ3	
醒	tsʰieʔ3	
生	tsʰie1	训，本字为青
姓	sie5	
猄	kioŋ1	
颈	kieʔ3	
镜	kie5	
跨	kie6	训
轻	kʰie1	
䋎	tʰeɲ5	缝扣子
浸	tsiaŋ5	
真	tseɲ1	太，非常
针	tʃeɲ1	
真	tʃeɲ1	
珍	tʃeɲ1	~珠
蒸	tʃeɲ1	少用
沉	tiaŋ2	
尘	tʃʰeɲ2	
枕	tʃeɲʔ3	
震	tʃeɲʔ3	
针	tʃeɲ5	叮
深	tʃʰeɲ1	
寻	tʃʰeɲ2	一~
塍	tʃʰeɲ2	
程	tʃʰeɲ2	
称	tʃʰeɲ5	
沉	tʃʰeɲ6	训，鱼咬钩时提起鱼竿
升	ʃeɲ1	量词
申	ʃeɲ1	地支
升	ʃeɲ1	动词
身	ʃeɲ1	
神	ʃeɲ2	
辰	ʃeɲ2	地支
婶	ʃeɲ5	
圣	ʃeɲ5	~筊
籯	eɲ2	一种小畚箕
壬	eɲ2	天干
龈	eɲ2	训，牙龈
永	eɲʔ3	
薳	eɲʔ3	树芽
闰	veɲ6	
今	keɲ1	
金	keɲ1	
跟	keɲ1	
紧	keɲʔ3	紧，越来越
妗	keɲʔ8	
肾	keɲʔ8	鸡胗
凝	keɲʔ8	训
淬	keɲ5	训，淬火
健	keɲ6	
根	kyeɲ1	
斤	kyeɲ1	
筋	kyeɲ1	
振	kyeɲ1	发抖
巾	kyeɲ1	
准	kyeɲʔ3	
近	kyeɲʔ8	
圳	kyeɲ5	
牵	kʰeɲ1	
琴	kʰeɲ2	
芹	kʰeɲ2	
桕	kʰeɲ2	训，乌桕树
肯	kʰeɲʔ3	
春	kʰyeɲ1	
椿	kʰyeɲ1	
伸	kʰyeɲ1	
人	ɲeɲ2	
银	nyeɲ2	
忍	ŋyeɲʔ3	
韧	ŋyeɲ6	
斑	pie1	
	peɲ1	少
边	pie2	多
反	pieʔ3	
扁	pieʔ3	
□	pie5	用于捣蛋
篇	pʰie1	
䘆	kʰyeʔ3	
片	pʰie5	
办	pʰie6	烹饪
盲	mie2	青~：瞎
慢	mie6	
甜	tie2	
填	tie2	
田	tie2	
点	tieʔ3	
店	tie5	
殿	tie6	
靛	tie6	
□	tieʔ8	不甘愿地给
□	tieʔ8	用全身重量去推
年	nie2	
踮	nie5	训
连	nie2	
莲	nie2	
鲢	la2	~鲤：穿山甲
瓣	nie5	训
前	tsie2	
剪	tsieʔ3	买草药
盏	tsieʔ3	
秈	tsʰie1	
青	tsʰie1	~盲：瞎
签	tsʰie1	
藓	tsʰieʔ3	
先	sie1	
引	sie2	训，呼叫动物
毡	tʃie1	
筅	tʃʰieʔ3	
□	tʃʰieʔ3	高粱
辗	tʃʰie5	训，翻滚
闪	ʃieʔ3	
鳝	tʃieʔ8	
扇	ʃie5	
俺	e1	训，咱们
烟	e1	
萤	ie1	训，萤火~：萤火虫
盐	ie2	
檐	ie2	
援	ieʔ3	训，翻被子，翻页
踩	ieʔ3	训，脚踩到东西痛
艾	ie5	
燕	ie5	
园	vie2	
圆	vie2	
铅	vie2	
䘼	vieʔ3	袖子
远	vieʔ3	
县	vie6	
肩	kie1	
间	kie1	
舷	kie2	边缘
笕	kieʔ3	
砖	kye1	
转	kyeʔ3	
