湖南方言調查報告-楊時逢-調查時間民國二十四年(1935年)		
長沙城區		
IPA	調類	字
ʨyei	5	綴
ʨʰyei	1	吹
ɕyei	3	水
ɕyei	5	稅睡瑞
yei	5	銳
paɤ	1	包
paɤ	2	跑袍
paɤ	3	寶保
paɤ	5	報
pʰaɤ	5	礮
maɤ	2	貓
maɤ	5	冒貌
maɤ	6	帽無(沒有)
taɤ	1	刀
taɤ	2	桃
taɤ	3	倒
taɤ	5	到道
taɤ	6	道
tʰaɤ	3	討
tʰaɤ	5	套
naɤ	2	牢
naɤ	3	腦老
naɤ	5	鬧
tsaɤ	1	昭招
tsaɤ	3	早
tsaɤ	5	趙照
tsʰaɤ	3	草炒吵
tsʰaɤ	5	造糙
saɤ	1	燒
saɤ	3	掃少
saɤ	5	紹
zaɤ	2	饒
kaɤ	1	高
kaɤ	3	攪
kaɤ	5	告
kʰaɤ	3	考
kʰaɤ	5	靠
ŋaɤ	3	襖
ŋaɤ	5	奧
xaɤ	2	豪
xaɤ	3	好
xaɤ	6	號
piaɤ	3	表
pʰiaɤ	1	飄
pʰiaɤ	5	票
miaɤ	2	苗
miaɤ	5	謬
tiaɤ	1	刁
tiaɤ	2	條
tiaɤ	5	釣
tʰiaɤ	1	挑
tʰiaɤ	3	斢
tʰiaɤ	5	跳
niaɤ	2	聊堯
niaɤ	3	了
niaɤ	5	料
ʨiaɤ	1	驕
ʨiaɤ	2	喬
ʨiaɤ	5	教叫
ʨʰiaɤ	3	巧
ɕiaɤ	1	消囂蕭
ɕiaɤ	2	淆餚肴
ɕiaɤ	3	曉小
ɕiaɤ	5	孝校笑效
ɕiaɤ	6	校
iaɤ	1	妖
iaɤ	3	咬
iaɤ	5	要
məu	3	某
fəu	3	否
təu	1	都
təu	2	塗頭
təu	3	斗
təu	5	杜鬥
təu	7	讀篤
tʰəu	1	偷
tʰəu	7	突禿
nəu	2	奴
nəu	3	努
nəu	5	漏路
nəu	6	路
nəu	7	鹿麓六陸綠
tsəu	1	周
tsəu	2	綢
tsəu	3	走
tsəu	5	做
tsəu	7	卒竹足燭囑
tsʰəu	3	楚丑
tsʰəu	5	助湊
tsʰəu	7	族促
səu	1	收
səu	3	手
səu	5	素數獸
səu	7	肅縮熟續屬
zəu	2	柔
zəu	7	育辱欲
kəu	3	狗
kəu	5	夠
kʰəu	1	摳
kʰəu	3	口
kʰəu	5	扣
ŋəu	1	歐
ŋəu	3	偶
xəu	2	候
xəu	5	後候
xəu	6	後候
tiəu	1	丟
niəu	3	紐扭
ʨiəu	1	糾
ʨiəu	2	求
ʨiəu	3	九酒
ʨiəu	5	舅
ʨiəu	6	就舅
ʨʰiəu	1	秋
ɕiəu	1	休
ɕiəu	7	畜
iəu	2	由尤猶
iəu	3	有友
iəu	5	幼
iəu	6	又
iəu	7	育嶽
pã	1	班邦
pã	2	旁
pã	3	板
pã	5	扮辦磅
pʰã	5	盼判叛
mã	2	蠻忙
mã	5	慢
mã	6	慢
fã	1	翻方芳
fã	2	凡還黃房防
fã	3	反
fã	5	范犯
tã	1	當
tã	2	潭談堂
tã	3	黨
tã	5	旦
tʰã	1	貪
tʰã	5	歎蕩
nã	2	南藍難郎
nã	3	朗
tsã	1	張
tsã	2	長
tsã	3	斬展長
tsã	5	暫站
tsã	6	暫
tsʰã	1	餐倉
tsʰã	3	慘產剷
sã	1	三杉山
sã	2	常
sã	5	散上尚
sã	6	上
zã	6	讓
kã	1	干間綱
kã	3	感敢減
kã	5	監諫
kʰã	5	看
ŋã	1	安
ŋã	5	暗晏
xã	2	含銜寒
xã	3	喊
xã	5	陷漢巷
niã	2	娘
niã	3	仰兩
niã	5	量
ʨiã	1	江將
ʨiã	3	講
ʨʰiã	5	像
ɕiã	1	湘香鄉
ɕiã	2	祥
ɕiã	3	想
ɕiã	5	像象
iã	1	央
iã	2	陽楊
iã	6	樣
kuã	1	鰥光
kuã	2	狂
kʰuã	5	況
uã	1	彎汪
uã	2	玩王
uã	3	往
uã	5	萬
uã	6	萬忘
ʨyã	1	樁莊
ʨʰyã	1	窗穿
ʨʰyã	3	撞
ʨʰyã	5	創
ɕyã	1	閂
tsẽ	1	毡
tsẽ	3	展
tsẽ	5	站
sẽ	2	蟬
sẽ	3	陝
sẽ	5	扇
piẽ	1	邊
piẽ	2	便
piẽ	3	眨
piẽ	5	辨辮
pʰiẽ	5	片徧
miẽ	2	棉
tiẽ	3	點典
tiẽ	5	店
tʰiẽ	1	天
niẽ	2	廉嚴連聯年
niẽ	3	臉
niẽ	5	驗念硯戀
ʨiẽ	2	鉗金
ʨiẽ	3	剪
ʨiẽ	5	件健見建
ʨiẽ	6	件健見建
ʨʰiẽ	1	謙千
ɕiẽ	1	先宣
ɕiẽ	2	嫌賢
ɕiẽ	3	險
ɕiẽ	5	現
ɕiẽ	6	現
iẽ	1	煙
iẽ	2	言
iẽ	3	演
iẽ	5	厭
ʨyẽ	1	專
ʨyẽ	2	船
ʨyẽ	3	轉
ʨyẽ	5	篆倦
ɕyẽ	2	玄
yẽ	2	然元園鉛緣
yẽ	3	染軟遠
yẽ	5	院
põ	2	盤
põ	5	半
mõ	3	滿
tõ	1	端
tõ	2	團
tõ	3	短
tõ	5	斷
nõ	3	暖
nõ	5	亂
tsʰõ	5	竄
sõ	1	酸
sõ	5	算
kõ	1	官觀
kõ	5	貫
kʰõ	1	寬
kʰõ	3	款
xõ	1	歡
xõ	3	緩
xõ	5	喚換
xõ	6	換
õ	2	完丸
õ	3	碗
pən	1	崩
pən	2	彭
pən	3	本
mən	2	門萌
fən	1	昏分
fən	2	橫
fən	5	奮
tən	3	等
tən	5	鄧頓
nən	2	倫能
nən	3	冷
nən	5	論
tsən	1	真增爭貞徵
tsən	2	沉陳臣存成層誠城
tsən	3	怎
tsən	5	鄭正政
tsən	6	陣
tsʰən	1	撐
tsʰən	5	寸
sən	1	森身深生身申
sən	2	繩
sən	3	審
sən	5	勝聖盛
zən	2	壬人扔
zən	3	忍
zən	5	認
zən	6	認
kən	1	跟耕
kən	5	更
kʰən	3	肯
ŋən	1	恩
ŋən	5	硬
xən	2	恒
xən	3	很
xən	5	恨
suən	2	旬
kuən	3	滾
kʰuən	1	坤
kʰuən	5	困
uən	1	溫
uən	2	聞
uən	3	穩
uən	5	問
ʨyən	1	均
ʨyən	3	群
ʨyən	5	䢛
ʨʰyən	1	椿春傾
ʨʰyən	3	蠢
ɕyən	1	勳
yən	2	云雲營榮螢
yən	3	允
pin	1	兵
pin	2	貧平瓶
pin	3	稟
pin	5	並
pin	6	並
pʰin	1	拼
pʰin	3	品
min	2	民名
min	3	敏
min	5	命
min	6	命
tin	1	丁
tin	3	頂
tin	5	定
tin	6	定
tʰin	5	聽
nin	2	林鄰陵
nin	5	令
ʨin	1	今巾斤京荊經
ʨin	2	情
ʨin	3	緊
ʨin	5	進近靜
ʨin	6	近
ʨʰin	1	輕欽
ʨʰin	5	信興杏幸性姓
in	1	音英鶯英
in	2	盈贏
in	3	隱
in	5	印應
poŋ	2	朋
pʰoŋ	5	碰
moŋ	5	孟夢
foŋ	1	風封
foŋ	5	奉
toŋ	1	東
toŋ	2	同
toŋ	5	凍洞
toŋ	6	動
tʰoŋ	1	通
noŋ	2	農隆龍
noŋ	3	攏
tsoŋ	1	中鍾鐘宗
tsoŋ	2	崇從蟲
tsoŋ	3	總
tsoŋ	5	眾
tsoŋ	6	重
tsʰoŋ	1	充
tsʰoŋ	3	寵
soŋ	1	嵩鬆松
soŋ	5	送宋誦
koŋ	1	公功工弓
koŋ	5	共
kʰoŋ	1	空
kʰoŋ	3	恐
xoŋ	2	弘宏紅
ɕioŋ	1	兄胸
ioŋ	2	絨融容茸
ioŋ	5	用
ioŋ	6	用
