	註釋：-白讀，=文讀																		
#a																			
p	[1]巴疤爸芭粑[2]爬耙琶杷筢[3]飽-把靶[5]霸壩[6]罷耙																		
pʰ	[1]脬拋-葩[5]怕帕皰																		
m	[1]嗎[2]麻貓蟆痳[3]馬瑪碼媽[5]罵																		
w	[1]娃																		
t	[1]焦{幹}[2]茶[3]打䠤{～跢，小孩學步}[6]跢{～䠤}																		
tʰ	[1]他它[5]詫蛇																		
n	[1]□{痂}[2]□{～屎}[3]那																		
l	[1]拉啦																		
ts	[1]查渣皶[2]查[3]早-[5]炸詐乍																		
tsʰ	[1]叉差{～不多}岔=杈[2]柴[3]吵-炒																		
s	[1]沙=紗傻裟=痧挲=砂=[2]□{草動聲}[5]□{交媾}																		
k	[1]家加嘉佳枷=茄{香～}鉸-咖膠-[3]假{真～}賈{姓}絞-[5]架假{放～}嫁價駕教-稼[6]咬-																		
kʰ	[1]奇{～數}骹[5]敲-卡																		
ŋ	[1]椏{開～}[2]牙衙芽[3]雅[6]迓訝岔{山～}																		
h	[1]哈[2]蝦霞瑕遐瘕[5]孝-{帶～}罅[6]夏廈嗄																		
j	[1]也=																		
∅	[1]鴉呀丫啊[2]阿{～爺}[3]啞拗[5]亞婭[6]下{～山}																		
#ɛ																			
p	[1]□{女陰}[2]牌排[3]擺[5]□{伯母}																		
pʰ	[1]□{削}𠜱{削}[5]稗																		
m	[2]麻[3]買[6]賣																		
t	[1]低[2]題蹄[3]底抵牴[5]帝[6]第弟=遞隸逮棣																		
tʰ	[2]啼=[3]體[5]替涕																		
n	[2]尼泥[3]奶[6]滯																		
l	[2]厘黎璃-藜[3]禮醴[6]厲勵麗蠣=荔礪戾隸																		
ts	[1]遮齋劑[2]齊臍=薺儕[3]擠[5]濟笊																		
s	[1]茜{人名}[3]所洗徙璽[5]細婿[6]多{訓}																		
k	[1]街[3]解-[5]疥解{～送}																		
kʰ	[1]溪[3]□{啃}[5]快-																		
ŋ	[2]霓倪猊麑[3]睨																		
h	[2]□{油膩}[6]蟹懈																		
∅	[1]挨[2]鞋[3]矮[5]睨{看}[6]會{訓“解”}解{會}																		
#e																			
t	[1]爹[6]蠣-																		
ts	[3]姐紙者[5]蔗炙蹠柘[6]籍																		
tsʰ	[1]車-奢[2]斜[3]且[5]□{傳染}																		
s	[1]賒佘[2]邪蛇佘畲{～客：畲族}[3]寫[5]舍赦瀉卸[6]社射榭謝寺示視恃氏																		
k	[1]迦[2]袈枷-[5]寄																		
kʰ	[5]崎{陡}[6]徛{站}																		
ŋ	[2]鵝-[5]艾-[6]蟻																		
j	[2]耶爺椰而[3]野冶[5]夜也-曳{撒}																		
∅	[1]矣																		
#œ																			
t	[6]苧苎																		
l	[2]犁-驢[5]鑢																		
ts	[1]□{糊塗}[6]助																		
tsʰ	[1]淒初-差{出～}妻悽棲[2]□{倒、輸}[3]楚-礎[5]粞{米粉}擦																		
s	[1]西-犀梳疏蔬[3]稰[5]疏{註～}耖{犁～}																		
kʰ	[2]□{傻}																		
h	[2]□{呵氣}																		
∅	[1]□{嬰兒學話}																		
#ø																			
l	[1]□{呼狗聲}																		
kʰ	[5]去-																		
∅	[1]於迂[2]盂竽																		
#ɔ																			
p	[1]褒[2]婆[3]保寶堡葆[5]播報[6]暴爆抱																		
pʰ	[1]玻波坡跛[2]袍[6]抱																		
m	[1]□{病疹}[2]毛-無-[3]牳母-[5]□{敲}[6]磨{石～}冒帽眊																		
t	[1]多刀[2]逃駝掏陶駝馱萄[3]禱島倒{打～}搗[5]倒{～水}到[6]道惰導稻盜悼																		
tʰ	[1]滔弢韜叨[2]桃[3]討[5]套																		
n	[3]腦惱[6]糯懦																		
l	[1]嘮[2]羅鑼勞牢癆澇醪邏[3]老=簩[6]撈																		
ts	[1]遭[2]曹槽=嘈[3]左棗[5]做[6]坐=座矬{矮貌}皂																		
tsʰ	[1]搓臊操{～作}磋蹉[3]草=藻[5]錯躁操{節～}糙造挫銼燥=																		
s	[1]梭騷搔唆娑-[2]槽-[3]鎖瑣嫂掃=[5]燥-																		
