列1	列2	列3	列4	湖州话字表	此列不需录入
trad	simp	IPA	pinyin	detail	IPA
豬	猪	tsɿ⁴⁴	tsy1		tsɿ⁴⁴
諸	诸	tsɿ⁴⁴	tsy1		tsɿ⁴⁴
朱	朱	tsɿ⁴⁴	tsy1		tsɿ⁴⁴
珠	珠	tsɿ⁴⁴	tsy1		tsɿ⁴⁴
蛛	蛛	tsɿ⁴⁴	tsy1		tsɿ⁴⁴
株	株	tsɿ⁴⁴	tsy1		tsɿ⁴⁴
滋	滋	tsɿ⁴⁴	tsy1		tsɿ⁴⁴
知	知	tsɿ⁴⁴	tsy1		tsɿ⁴⁴
蜘	蜘	tsɿ⁴⁴	tsy1		tsɿ⁴⁴
支	支	tsɿ⁴⁴	tsy1		tsɿ⁴⁴
枝	枝	tsɿ⁴⁴	tsy1		tsɿ⁴⁴
肢	肢	tsɿ⁴⁴	tsy1		tsɿ⁴⁴
梔	栀	tsɿ⁴⁴	tsy1		tsɿ⁴⁴
資	资	tsɿ⁴⁴	tsy1		tsɿ⁴⁴
姿	姿	tsɿ⁴⁴	tsy1		tsɿ⁴⁴
咨	咨	tsɿ⁴⁴	tsy1		tsɿ⁴⁴
脂	脂	tsɿ⁴⁴	tsy1		tsɿ⁴⁴
之	之	tsɿ⁴⁴	tsy1		tsɿ⁴⁴
芝	芝	tsɿ⁴⁴	tsy1		tsɿ⁴⁴
主	主	tsɿ⁴²	tsy3		tsɿ⁴²
紫	紫	tsɿ⁴²	tsy3		tsɿ⁴²
紙	纸	tsɿ⁴²	tsy3		tsɿ⁴²
旨	旨	tsɿ⁴²	tsy3		tsɿ⁴²
指	指	tsɿ⁴²	tsy3		tsɿ⁴²
子	子	tsɿ⁴²	tsy3		tsɿ⁴²
梓	梓	tsɿ⁴²	tsy3		tsɿ⁴²
止	止	tsɿ⁴²	tsy3		tsɿ⁴²
趾	趾	tsɿ⁴²	tsy3		tsɿ⁴²
址	址	tsɿ⁴²	tsy3		tsɿ⁴²
翅	翅	tsɿ⁴²	tsy3		tsɿ⁴²
著	着	tsɿ³⁵	tsy5		tsɿ³⁵
箸	箸	tsɿ³⁵	tsy5		tsɿ³⁵
煮	煮	tsɿ³⁵	tsy5		tsɿ³⁵
注	注	tsɿ³⁵	tsy5		tsɿ³⁵
註	注	tsɿ³⁵	tsy5		tsɿ³⁵
駐	驻	tsɿ³⁵	tsy5		tsɿ³⁵
鑄	铸	tsɿ³⁵	tsy5		tsɿ³⁵
蛀	蛀	tsɿ³⁵	tsy5		tsɿ³⁵
制	制	tsɿ³⁵	tsy5		tsɿ³⁵
製	制	tsɿ³⁵	tsy5		tsɿ³⁵
智	智	tsɿ³⁵	tsy5		tsɿ³⁵
至	至	tsɿ³⁵	tsy5		tsɿ³⁵
致	致	tsɿ³⁵	tsy5		tsɿ³⁵
置	置	tsɿ³⁵	tsy5		tsɿ³⁵
志	志	tsɿ³⁵	tsy5		tsɿ³⁵
誌	志	tsɿ³⁵	tsy5		tsɿ³⁵
痣	痣	tsɿ³⁵	tsy5		tsɿ³⁵
癡	痴	tsʰɿ⁴⁴	tshy1		tsʰɿ⁴⁴
眵	眵	tsʰɿ⁴⁴	tshy1		tsʰɿ⁴⁴
嗤	嗤	tsʰɿ⁴⁴	tshy1		tsʰɿ⁴⁴
雌	雌	tsʰɿ⁴⁴	tshy1		tsʰɿ⁴⁴
餈	餈	tsʰɿ⁴⁴	tshy1		tsʰɿ⁴⁴
差	差	tsʰɿ⁴⁴	tshy1	參~	tsʰɿ⁴⁴
此	此	tsʰɿ⁴²	tshy3		tsʰɿ⁴²
侈	侈	tsʰɿ⁴²	tshy3		tsʰɿ⁴²
恥	耻	tsʰɿ⁴²	tshy3		tsʰɿ⁴²
齒	齿	tsʰɿ⁴²	tshy3		tsʰɿ⁴²
鼠	鼠	tsʰɿ⁴²	tshy3		tsʰɿ⁴²
褚	褚	tsʰɿ⁴²	tshy3		tsʰɿ⁴²
疵	疵	tsʰɿ⁴²	tshy3		tsʰɿ⁴²
處	处	tsʰɿ³⁵	tshy5		tsʰɿ³⁵
刺	刺	tsʰɿ³⁵	tshy5		tsʰɿ³⁵
次	次	tsʰɿ³⁵	tshy5		tsʰɿ³⁵
廁	厠	tsʰɿ³⁵	tshy5	~所	tsʰɿ³⁵
除	除	dzɿ¹²	dzy2		dzɿ¹²
厨	厨	dzɿ¹²	dzy2		dzɿ¹²
儲	储	dzɿ¹²	dzy2		dzɿ¹²
殊	殊	dzɿ¹²	dzy2		dzɿ¹²
池	池	dzɿ¹²	dzy2		dzɿ¹²
瓷	瓷	dzɿ¹²	dzy2		dzɿ¹²
遲	迟	dzɿ¹²	dzy2		dzɿ¹²
慈	慈	dzɿ¹²	dzy2		dzɿ¹²
磁	磁	dzɿ¹²	dzy2		dzɿ¹²
辭	辞	dzɿ¹²	dzy2		dzɿ¹²
詞	词	dzɿ¹²	dzy2		dzɿ¹²
祠	祠	dzɿ¹²	dzy2		dzɿ¹²
伺	伺	dzɿ¹²	dzy2		dzɿ¹²
□	？	dzɿ¹²	dzy2	蜂~人	dzɿ¹²
苧	苎	dzɿ²³¹	dzy4	~麻	dzɿ²³¹
柱	柱	dzɿ²³¹	dzy4		dzɿ²³¹
住	住	dzɿ²³¹	dzy4		dzɿ²³¹
痔	痔	dzɿ²³¹	dzy4		dzɿ²³¹
雉	雉	dzɿ²³¹	dzy4		dzɿ²³¹
署	署	dzɿ²⁴	dzy6		dzɿ²⁴
薯	薯	zɿ²⁴	zy6	番~：紅薯	zɿ²⁴
滯	滞	dzɿ²⁴	dzy6		dzɿ²⁴
治	治	dzɿ²⁴	dzy6		dzɿ²⁴
書	书	sɿ⁴⁴	sy1	讀~	sɿ⁴⁴
