#調值	[1]33 [2]213 [3]53 [5]445 [6]13 [7]5 [8]2			
117	mi	陽平213	糜, 迷, 靡, 彌	4
118	mi	陰上53	米, 尾	2
119	mi	陽去13	謎	1
120	mɑ	陰平33	媽	1
121	mɑ	陽平213	痳, 麻	2
122	mɑ	陰上53	馬, 碼	2
123	mɑ	陽去13	罵	1
124	mᴇ	陽平213	埋	1
125	mᴇ	陰上53	買	1
126	mᴇ	陰去445	邁, 賣	2
127	mɔ	陽平213	錨, 毛, 貓, 矛	4
128	mɔ	陰上53	卯	1
129	mɔ	陽去13	貌, 帽, 冒	3
130	miɔ	陽平213	瞄, 苗, 描	3
131	miɔ	陰上53	渺, 妙, 藐, 秒	4
132	miɔ	陽去13	廟, 謬	2
133	moᵘ	陽平213	摩, 模, 摹, 磨, 魔	5
134	moᵘ	陽去13	墓, 募, 磨, 幕, 暮	5
135	mei	陽平213	黴, 梅, 楣, 枚, 媒, 眉	6
136	mei	陰上53	每, 牡, 美	3
137	mei	陽去13	媚, 寐, 茂, 妹, 貿, 昧	6
138	mᴇ̃	陰平33	蠻	1
139	mᴇ̃	陽平213	蠻	1
140	mᴇ̃	陽去13	漫, 幔, 蔓, 慢	4
141	miᴇ̃	陽平213	綿, 眠, 棉	3
142	miᴇ̃	陰上53	免, 娩, 澠, 勉, 緬	5
143	miᴇ̃	陽去13	麵, 面	2
144	muõ	陽平213	饅, 瞞, 鰻	3
145	muõ	陰上53	滿	1
146	muõ	陽去13	漫, 幔	2
147	men	陰平33	悶	1
148	men	陽平213	門, 明, 盟, 萌	4
149	men	陽去13	悶	1
150	min	陽平213	明, 鳴, 銘, 盟, 民, 名, 萌	7
151	min	陰上53	皿, 敏, 憫, 閩, 抿	5
152	min	陽去13	命	1
153	mæ̃	陽平213	盲, 茫, 忙, 虻, 芒	5
154	mæ̃	陰上53	莽, 蟒, 網	3
155	mæ̃	陽去13	忘	1
156	moŋ	陽平213	蒙, 懵, 蠓	3
157	moŋ	陰上53	猛	1
158	moŋ	陽去13	孟, 夢	2
159	mɑʔ	陽入2	脈, 陌, 麥, 抹, 襪	5
160	məʔ	陽入2	沒	1
161	miəʔ	陽入2	蜜, 覓, 滅, 篾, 密	5
162	moʔ	陽入2	沫, 木, 目, 末, 摸, 膜, 寞, 牧, 墨, 莫, 穆, 默	12
163	fi	陰平33	榧, 妃, 非, 飛	4
164	fi	陰上53	匪	1
165	fi	陰去445	廢, 疿, 費, 翡, 吠, 肺	6
166	fu	陰平33	麩, 夫, 俘, 膚, 敷	5
167	fu	陰上53	府, 斧, 甫, 腑, 輔, 脯	6
168	fu	陰去445	付, 富, 賦, 傅, 副, 訃, 赴	7
169	fei	陰上53	否	1
170	fᴇ̃	陰平33	藩, 翻, 番	3
171	fᴇ̃	陰上53	反, 晚	2
172	fᴇ̃	陰去445	泛, 販	2
173	fen	陰平33	紛, 分, 芬	3
174	fen	陰上53	粉	1
175	fen	陰去445	奮, 糞	2
176	fæ̃	陰平33	芳, 肪, 方	3
177	fæ̃	陰上53	妨, 彷, 紡, 仿, 倣, 訪	6
178	fæ̃	陰去445	放	1
179	foŋ	陰平33	封, 風, 楓, 瘋, 諷, 豐, 鋒, 峯, 蜂	9
180	fɑʔ	陰入5	法, 髮, 發	3
181	foʔ	陰入5	腹, 覆, 彿, 復, 複, 蝠, 福, 幅	8
182	vi	陽平213	微, 肥, 唯, 惟, 維	5
183	vi	陽去13	味, 未	2
184	vu	陽去13	釜, 附, 婦, 腐, 父	5
185	vei	陽平213	浮	1
186	vei	陽去13	阜, 負	2
187	vᴇ̃	陽平213	礬, 繁, 帆, 凡, 煩, 藩	6
188	vᴇ̃	陽去13	犯, 萬, 範, 范, 飯	5
189	ven	陽平213	蚊, 聞, 紋, 文, 焚, 墳	6
190	ven	陽去13	份, 吻, 忿, 憤, 問, 刎	6
191	væ̃	陽平213	亡, 房	2
192	væ̃	陽去13	妄, 望, 忘	3
193	voŋ	陽平213	縫, 逢, 馮	3
194	voŋ	陽去13	鳳, 俸, 奉, 縫	4
195	vɑʔ	陽入2	乏, 罰, 筏, 伐	4
196	vəʔ	陽入2	勿, 物, 佛	3
197	voʔ	陽入2	楸, 伏, 服, 縛	4
198	ti	陰平33	低	1
199	ti	陰上53	底, 抵	2
200	ti	陰去445	帝	1
201	tu	陰平33	都	1
202	tu	陰上53	賭, 妬, 肚, 堵	4
203	tɑ	陰上53	打	1
204	tiɑ	陰平33	爹	1
205	tᴇ	陰平33	獃	1
206	tᴇ	陰去445	帶	1
207	tɔ	陰平33	刀, 叨	2
208	tɔ	陰上53	島, 倒, 禱	3
209	tɔ	陰去445	到, 倒	2
210	tiɔ	陰平33	雕, 貂, 刁	3
211	tiɔ	陰上53	屌	1
212	tiɔ	陰去445	釣, 弔	2
213	toᵘ	陰平33	多	1
214	toᵘ	陰上53	朶, 躱	2
215	ty	陰平33	丟	1
216	tei	陰平33	兜	1
217	tei	陰上53	斗, 抖, 陡	3
218	tei	陰去445	鬥	1
219	tui	陰平33	堆	1
220	tui	陰去445	碓, 對	2
221	tᴇ̃	陰平33	旦, 丹, 耽, 單, 擔	5
222	tᴇ̃	陰上53	膽, 撣	2
223	tᴇ̃	陰去445	擔	1
224	tiᴇ̃	陰平33	顛	1
225	tiᴇ̃	陰上53	典, 碘, 點	3
226	tiᴇ̃	陰去445	店	1
227	tuõ	陰平33	端	1
228	tuõ	陰上53	短	1
229	tuõ	陰去445	斷, 鍛	2
230	ten	陰平33	墩, 燈, 敦, 蹲, 登	5
231	ten	陰上53	等	1
232	ten	陰去445	鐙, 凳	2
233	tin	陰平33	釘, 疔, 丁, 靪, 叮, 盯	6
234	tin	陰上53	頂, 鼎	2
235	tin	陰去445	訂, 澄, 釘	3
236	tun	陰去445	頓	1
237	tæ̃	陰平33	當	1
238	tæ̃	陰上53	擋, 黨	2
239	tæ̃	陰去445	當	1
240	toŋ	陰平33	冬, 東	2
241	toŋ	陰上53	懂, 董	2
242	toŋ	陰去445	凍, 棟	2
243	tɑʔ	陰入5	答, 搭, 溻	3
244	təʔ	陰入5	德, 得	2
245	tiəʔ	陰入5	滴, 嫡, 跌, 的	4
246	toʔ	陰入5	篤, 督, 掇, 啄	4
247	tʰi	陰平33	梯	1
248	tʰi	陰上53	體	1
249	tʰi	陰去445	剃, 涕, 替, 屉	4
250	tʰu	陰上53	土, 吐	2
251	tʰu	陰去445	吐, 兔	2
252	tʰɑ	陰平33	他	1
253	tʰᴇ	陰平33	胎, 台	2
254	tʰᴇ	陰去445	泰, 態, 太	3
255	tʰɔ	陰平33	濤, 滔, 掏	3
256	tʰɔ	陰上53	討	1
257	tʰɔ	陰去445	套	1
258	tʰiɔ	陰平33	挑	1
259	tʰiɔ	陰去445	眺, 跳	2
260	tʰoᵘ	陰平33	拖	1
261	tʰoᵘ	陰上53	橢, 唾, 妥	3
262	tʰei	陰平33	偷	1
263	tʰei	陰上53	㪗	1
264	tʰei	陰去445	透	1
265	tʰui	陰平33	推	1
266	tʰui	陰上53	腿	1
267	tʰui	陰去445	退, 蛻	2
268	tʰᴇ̃	陰平33	坍, 貪, 灘, 攤	4
269	tʰᴇ̃	陰上53	毯, 坦	2
270	tʰᴇ̃	陰去445	嘆, 碳, 炭, 探	4
271	tʰiᴇ̃	陰平33	添, 天	2
272	tʰiᴇ̃	陰上53	掭, 舔	2
273	tʰen	陰平33	吞	1
274	tʰin	陰平33	廳, 聽, 汀	3
275	tʰin	陰上53	艇, 挺	2
276	tʰin	陰去445	聽	1
277	tʰun	陰去445	褪	1
278	tʰæ̃	陰平33	湯	1
