正體	簡體	聲母	韻母	聲調	詞例	声母音标	韵母音标	調值
皦	皦	j	io	3		tɕ	iɔ	31
叫	叫	j	io	5		tɕ	iɔ	44
轎	轿	q	io	2	轎車	tɕʰ	iɔ	24
轎	轿	q	io	6	轎子	tɕʰ	iɔ	33
較	较	j	io	5	比較	tɕ	iɔ	44
較	较	g	o	5		k	ɔ	44
教	教	g	o	1	教書	k	ɔ	21
教	教	j	io	5	教育	tɕ	iɔ	44
窖	窖	g	o	5		k	ɔ	44
酵	酵	x	io	5	發酵	ɕ	iɔ	44
酵	酵	g	o	5	酵條	k	ɔ	44
階	阶	g	ae	1		k	ɛ	21
階	阶	j	iae	1		tɕ	iɛ	21
皆	皆	j	iae	1		tɕ	iɛ	21
接	接	j	ih	7		tɕ	iʔ	4
稭	秸	g	ae	1	麥稭	k	ɛ	21
揭	揭	j	ih	7		tɕ	iʔ	4
街	街	g	ae	1		k	ɛ	21
節	节	j	ih	7		tɕ	iʔ	4
劫	劫	j	ih	7		tɕ	iʔ	4
杰	杰	q	ih	8		tɕʰ	iʔ	3
傑	杰	q	ih	8		tɕʰ	iʔ	3
潔	洁	j	ih	7		tɕ	iʔ	4
結	结	j	ih	7		tɕ	iʔ	4
捷	捷	q	ih	8		tɕʰ	iʔ	3
睫	睫	j	ih	7		tɕ	iʔ	4
截	截	q	ih	8		tɕʰ	iʔ	3
竭	竭	q	ih	8		tɕʰ	iʔ	3
姐	姐	j	i	3		tɕ	ɨᶨ	31
姐	姐	j	ia	3	姐姐	tɕ	ia	31
解	解	g	ae	3	解開	k	ɛ	31
解	解	j	iae	3	解放	tɕ	iɛ	31
介	介	g	ae	5		k	ɛ	44
介	介	j	iae	5		tɕ	iɛ	44
戒	戒	g	ae	5		k	ɛ	44
屆	届	g	ae	5		k	ɛ	44
屆	届	j	iae	5		tɕ	iɛ	44
界	界	g	a	5		k	a	44
界	界	g	ae	5	界岸	k	ɛ	44
界	界	j	iae	5	世界	tɕ	iɛ	44
疥	疥	g	ae	5		k	ɛ	44
誡	诫	j	iae	5		tɕ	iɛ	44
借	借	j	ia	5		tɕ	ia	44
巾	巾	j	ien	1		tɕ	iəŋ	21
斤	斤	j	ien	1		tɕ	iəŋ	21
今	今	g	en	1	今朝（今天）	k	əŋ	21
今	今	j	ien	1		tɕ	iəŋ	21
金	金	j	ien	1		tɕ	iəŋ	21
津	津	j	ien	1		tɕ	iəŋ	21
筋	筋	j	ien	1		tɕ	iəŋ	21
襟	襟	j	ien	1		tɕ	iəŋ	21
僅	仅	j	ien	3		tɕ	iəŋ	31
儘	尽	j	ien	3	儘量	tɕ	iəŋ	31
儘	尽	j	yen	3	儘數（一直）	tɕ	yəŋ	31
盡	尽	q	ien	6		tɕʰ	iəŋ	33
緊	紧	j	ien	3		tɕ	iəŋ	31
錦	锦	j	ien	3		tɕ	iəŋ	31
謹	谨	j	ien	3		tɕ	iəŋ	31
瑾	瑾	j	ien	3		tɕ	iəŋ	31
槿	槿	j	ien	3		tɕ	iəŋ	31
進	进	j	ien	5		tɕ	iəŋ	44
近	近	q	ien	6		tɕʰ	iəŋ	33
劤	劲	j	ien	5		tɕ	iəŋ	44
勁	劲	j	ien	5		tɕ	iəŋ	44
晉	晋	j	ien	5		tɕ	iəŋ	44
浸	浸	j	ien	5		tɕ	iəŋ	44
禁	禁	j	ien	1	弱不禁風	tɕ	iəŋ	21
禁	禁	j	ien	5	禁止	tɕ	iəŋ	44
莖	茎	j	ien	1		tɕ	iəŋ	21
京	京	j	ien	1		tɕ	iəŋ	21
涇	泾	j	ien	1		tɕ	iəŋ	21
經	经	j	ien	1		tɕ	iəŋ	21
荊	荆	j	ien	1		tɕ	iəŋ	21
菁	菁	j	ien	1		tɕ	iəŋ	21
旌	旌	j	ien	1		tɕ	iəŋ	21
惊	惊	j	ien	1		tɕ	iəŋ	21
驚	惊	j	ien	1		tɕ	iəŋ	21
晶	晶	j	ien	1		tɕ	iəŋ	21
睛	睛	j	ien	1		tɕ	iəŋ	21
粳	粳	g	en	1		k	əŋ	21
精	精	j	ien	1		tɕ	iəŋ	21
鯨	鲸	j	ien	1		tɕ	iəŋ	21
井	井	j	ien	3		tɕ	iəŋ	31
頸	颈	j	ien	3		tɕ	iəŋ	31
景	景	j	ien	3		tɕ	iəŋ	31
警	警	j	ien	3		tɕ	iəŋ	31
逕	径	j	ien	5		tɕ	iəŋ	44
徑	径	j	ien	5		tɕ	iəŋ	44
凈	净	ch	en	6	冷	tʂʰ	əŋ	33
淨	净	q	ien	6	干净	tɕʰ	iəŋ	33
脛	胫	j	ien	5		tɕ	iəŋ	44
竟	竟	j	ien	5		tɕ	iəŋ	44
婧	婧	q	ien	6		tɕʰ	iəŋ	33
敬	敬	j	ien	5		tɕ	iəŋ	44
靖	靖	q	ien	6		tɕʰ	iəŋ	33
靜	静	q	ien	6		tɕʰ	iəŋ	33
境	境	j	ien	3	箇境	tɕ	iəŋ	31
境	境	j	ien	5	邊境	tɕ	iəŋ	44
鏡	镜	j	ien	5		tɕ	iəŋ	44
糾	纠	j	ieu	1		tɕ	iʊ	21
鳩	鸠	j	ieu	1		tɕ	iʊ	21
究	究	j	ieu	5		tɕ	iʊ	44
赳	赳	j	ieu	1		tɕ	iʊ	21
鬮	阄	j	ieu	1		tɕ	iʊ	21
揪	揪	j	ieu	1		tɕ	iʊ	21
鬏	鬏	j	ieu	1		ʨ	iʊ	21
九	九	j	ieu	3		tɕ	iʊ	31
久	久	j	ieu	3		tɕ	iʊ	31
玖	玖	j	ieu	3		tɕ	iʊ	31
灸	灸	j	ieu	3		tɕ	iʊ	31
韭	韭	j	ieu	3		tɕ	iʊ	31
酒	酒	j	ieu	3		tɕ	iʊ	31
舊	旧	q	ieu	6		tɕʰ	iʊ	33
臼	臼	q	ieu	6		tɕʰ	iʊ	33
救	救	j	ieu	5		tɕ	iʊ	44
就	就	q	ieu	6		tɕʰ	iʊ	33
舅	舅	q	ieu	6		tɕʰ	iʊ	33
鷲	鹫	q	ieu	6		tɕʰ	iʊ	33
拘	拘	j	y	1		tɕ	yᶨ	21
苴	苴	j	ia	1	苴鎮	tɕ	ia	21
苴	苴	j	in	1		tɕ	ĩ	21
居	居	j	y	1		tɕ	yᶨ	21
駒	驹	j	y	1		tɕ	yᶨ	21
掬	掬	j	ioh	7		tɕ	iɔʔ	4
鋦	锔	j	ioh	7		tɕ	iɔʔ	4
鞠	鞠	j	ioh	7		tɕ	iɔʔ	4
鞫	鞫	j	ioh	7		tɕ	iɔʔ	4
局	局	q	ioh	8	局長	tɕʰ	iɔʔ	3
侷	局	q	ioh	8	侷促	tɕʰ	iɔʔ	3
菊	菊	j	ioh	7		tɕ	iɔʔ	4
焗	焗	q	ioh	8		tɕʰ	iɔʔ	3
橘	橘	j	yeh	7		tɕ	yəʔ	4
咀	咀	j	y	3		tɕ	yᶨ	31
沮	沮	j	y	3		tɕ	yᶨ	31
矩	矩	j	y	3		tɕ	yᶨ	31
舉	举	j	y	3		tɕ	yᶨ	31
巨	巨	q	y	6		tɕʰ	yᶨ	33
句	句	j	y	5		tɕ	yᶨ	44
拒	拒	q	y	6		tɕʰ	yᶨ	33
具	具	j	y	5	家具	tɕ	yᶨ	44
具	具	q	y	6		tɕʰ	yᶨ	33
炬	炬	q	y	6		tɕʰ	yᶨ	33
俱	俱	j	y	5		tɕ	yᶨ	44
劇	剧	q	iah	7		tɕʰ	iaʔ	4
據	据	j	y	5		tɕ	yᶨ	44
距	距	q	y	6		tɕʰ	yᶨ	33
懼	惧	j	y	5		tɕ	yᶨ	44
鋸	锯	j	y	5		tɕ	yᶨ	44
聚	聚	q	y	6		tɕʰ	yᶨ	33
捐	捐	j	iun	1		tɕ	iʊ̃	21
涓	涓	j	iun	1		tɕ	iʊ̃	21
娟	娟	j	iun	1		tɕ	iʊ̃	21
鵑	鹃	j	iun	1		tɕ	iʊ̃	21
卷	卷	j	iun	3		tɕ	iʊ̃	31
捲	卷	j	iun	3		tɕ	iʊ̃	31
絹	绢	j	iun	5		tɕ	iʊ̃	44
眷	眷	j	iun	5		tɕ	iʊ̃	44
撅	撅	j	iuh	7		tɕ	iʊʔ	4
噘	噘	j	iuh	7		tɕ	iʊʔ	4
決	决	j	iuh	7		tɕ	iʊʔ	4
訣	诀	j	iuh	7		tɕ	iʊʔ	4
抉	抉	j	iuh	7		tɕ	iʊʔ	4
覺	觉	g	o	5	睏覺	k	ɔ	44
覺	觉	g	ah	7	覺察	k	aʔ	4
覺	觉	j	iah	7	自覺	tɕ	iaʔ	4
絕	绝	q	iuh	8		tɕʰ	iʊʔ	3
掘	掘	q	iuh	8	掘港	tɕʰ	iʊʔ	3
厥	厥	j	iuh	7		tɕ	iʊʔ	4
蕨	蕨	j	iuh	7		tɕ	iʊʔ	4
獗	獗	j	iuh	7		tɕ	iʊʔ	4
爵	爵	j	iah	7		tɕ	iaʔ	4
嚼	嚼	q	iah	8		tɕʰ	iaʔ	3
軍	军	j	yen	1		tɕ	yəŋ	21
均	均	j	yen	1		tɕ	yəŋ	21
君	君	j	yen	1		tɕ	yəŋ	21
鈞	钧	j	yen	1		tɕ	yəŋ	21
菌	菌	j	yen	1		tɕ	yəŋ	21
俊	俊	j	yen	5		tɕ	yəŋ	44
峻	峻	j	yen	5		tɕ	yəŋ	44
浚	浚	j	yen	5		tɕ	yəŋ	44
駿	骏	j	yen	5		tɕ	yəŋ	44
竣	竣	j	yen	5		tɕ	yəŋ	44
咖	咖	g	a	1	咖喱	k	a	21
咖	咖	k	a	1	咖啡	kʰ	a	21
卡	卡	k	a	3		kʰ	a	31
開	开	k	ae	1		kʰ	ɛ	21
揩	揩	k	ae	1		kʰ	ɛ	21
凱	凯	k	ae	3		kʰ	ɛ	31
愷	恺	k	ae	3		kʰ	ɛ	31
鎧	铠	k	ae	3		kʰ	ɛ	31
慨	慨	k	ae	3		kʰ	ɛ	31
楷	楷	k	ae	3		kʰ	ɛ	31
刊	刊	k	un	1		kʰ	ʊ̃	21
勘	勘	k	un	5		kʰ	ʊ̃	44
堪	堪	k	un	1		kʰ	ʊ̃	21
冚	冚	k	un	3		kʰ	ʊ̃	31
坎	坎	k	un	3		kʰ	ʊ̃	31
侃	侃	k	un	3		kʰ	ʊ̃	31
砍	砍	k	un	3		kʰ	ʊ̃	31
檻	槛	k	aen	3		kʰ	ɛ̃	31
看	看	k	un	1	看家	kʰ	ʊ̃	21
看	看	k	un	5	看見	kʰ	ʊ̃	44
康	康	k	an	1		kʰ	ã	21
慷	慷	k	an	1		kʰ	ã	21
糠	糠	k	an	1		kʰ	ã	21
躿	躿	k	an	1		kʰ	ã	21
扛	扛	k	an	2		kʰ	ã	24
亢	亢	k	an	5		kʰ	ã	44
抗	抗	k	an	5		kʰ	ã	44
囥	囥	k	an	5		kʰ	ã	44
炕	炕	h	an	5	火热	x	ã	44
炕	炕	k	an	5		kʰ	ã	44
考	考	k	o	3		kʰ	ɔ	31
拷	拷	k	o	3		kʰ	ɔ	31
烤	烤	k	o	3		kʰ	ɔ	31
銬	铐	k	o	5		kʰ	ɔ	44
犒	犒	k	o	5		kʰ	ɔ	44
靠	靠	k	o	5		kʰ	ɔ	44
苛	苛	k	u	1		kʰ	ʊ	21
珂	珂	k	u	1		kʰ	ʊ	21
柯	柯	k	u	1		kʰ	ʊ	21
科	科	k	u	1		kʰ	ʊ	21
棵	棵	k	u	1		kʰ	ʊ	21
頦	颏	k	ah	7	下巴頦兒	kʰ	aʔ	4
嗑	嗑	k	uh	7		kʰ	ʊʔ	4
稞	稞	k	u	1		kʰ	ʊ	21
窠	窠	k	u	1		kʰ	ʊ	21
顆	颗	k	u	1		kʰ	ʊ	21
磕	磕	k	uh	7		kʰ	ʊʔ	4
瞌	瞌	k	uh	7		kʰ	ʊʔ	4
蝌	蝌	k	u	1		kʰ	ʊ	21
殼	壳	k	ah	7		kʰ	aʔ	4
揢	揢	k	a	5	揢嗓子	kʰ	a	44
可	可	k	u	3		kʰ	ʊ	31
坷	坷	k	u	3		kʰ	ʊ	31
渴	渴	k	uh	7		kʰ	ʊʔ	4
克	克	k	eh	7		kʰ	əʔ	4
剋	克	k	eh	7		kʰ	əʔ	4
刻	刻	k	eh	7		kʰ	əʔ	4
客	客	k	eh	7		kʰ	əʔ	4
課	课	k	u	5		kʰ	ʊ	44
氪	氪	k	eh	7		kʰ	əʔ	4
錁	锞	g	u	3		k	ʊ	31
肯	肯	k	en	3		kʰ	əŋ	31
墾	垦	k	en	3		kʰ	əŋ	31
懇	恳	k	en	3		kʰ	əŋ	31
啃	啃	k	en	3	啃咬	kʰ	əŋ	31
豤	啃	k	en	3	啃咬	kʰ	əŋ	31
掯	掯	k	en	5	按壓	kʰ	əŋ	44
坑	坑	k	en	1	土坑	kʰ	əŋ	21
吭	吭	k	en	1	吭聲	kʰ	əŋ	21
吭	吭	k	an	2	聲稱，堅持認爲	kʰ	ã	24
空	空	k	on	1	時空	kʰ	ɔŋ	21
空	空	k	on	5	空閒	kʰ	ɔŋ	44
孔	孔	k	on	3		kʰ	ɔŋ	31
恐	恐	k	on	3		kʰ	ɔŋ	31
控	控	k	on	5		kʰ	ɔŋ	44
摳	抠	k	eu	1		kʰ	ɤɯ	21
口	口	k	eu	3		kʰ	ɤɯ	31
叩	叩	k	eu	5		kʰ	ɤɯ	44
扣	扣	k	eu	1	結扣，名詞	kʰ	ɤɯ	21
扣	扣	k	eu	5	扣款，動詞	kʰ	ɤɯ	44
寇	寇	k	eu	5		kʰ	ɤɯ	44
刳	刳	k	ua	2	刮	kʰ	ua	24
枯	枯	k	v	1		kʰ	ʋ	21
哭	哭	k	oh	7		kʰ	ɔʔ	4
窟	窟	k	ueh	7		kʰ	uəʔ	4
骷	骷	k	v	1		kʰ	ʋ	21
苦	苦	k	v	3		kʰ	ʋ	31
庫	库	k	v	5		kʰ	ʋ	44
褲	裤	k	v	5		kʰ	ʋ	44
酷	酷	k	oh	7		kʰ	ɔʔ	4
夸	夸	k	ua	1		kʰ	ua	21
誇	夸	k	ua	1		kʰ	ua	21
侉	侉	k	ua	3		kʰ	ua	31
垮	垮	k	ua	3		kʰ	ua	31
挎	挎	k	ua	5		kʰ	ua	44
跨	跨	k	ua	5		kʰ	ua	44
擓	㧟	k	uae	3	擓兒	kʰ	uɛ	31
擓	㧟	k	uae	6	背，挎	kʰ	uɛ	33
塊	块	k	uae	5		kʰ	uɛ	44
快	快	k	uae	5		kʰ	uɛ	44
筷	筷	k	uae	5		kʰ	uɛ	44
寬	宽	k	un	1		kʰ	ʊ̃	21
髖	髋	k	un	1		kʰ	ʊ̃	21
款	款	k	un	3		kʰ	ʊ̃	31
匡	匡	k	uan	1		kʰ	uã	21
筐	筐	k	uan	1		kʰ	uã	21
狂	狂	k	uan	2		kʰ	uã	24
曠	旷	k	uan	5		kʰ	uã	44
況	况	k	uan	5		kʰ	uã	44
礦	矿	k	uan	5		kʰ	uã	44
框	框	k	uan	1		kʰ	uã	21
眶	眶	k	uan	1		kʰ	uã	21
虧	亏	k	uei	1		kʰ	uəi	21
盔	盔	k	uei	1		kʰ	uəi	21
窺	窥	k	uei	1		kʰ	uəi	21
奎	奎	k	uei	2		kʰ	uəi	24
逵	逵	k	uei	2		kʰ	uəi	24
馗	馗	k	uei	2		kʰ	uəi	24
葵	葵	k	uei	2		kʰ	uəi	24
魁	魁	k	uei	2		kʰ	uəi	24
傀	傀	k	uei	3		kʰ	uəi	31
愧	愧	k	uei	5		kʰ	uəi	44
坤	坤	k	uen	1		kʰ	uəŋ	21
昆	昆	k	uen	1		kʰ	uəŋ	21
崑	昆	k	uen	1		kʰ	uəŋ	21
捆	捆	k	uen	3		kʰ	uəŋ	31
困	困	k	uen	5	困難	kʰ	uəŋ	44
睏	困	k	uen	5	睏覺	kʰ	uəŋ	44
擴	扩	k	uah	7		kʰ	uaʔ	4
括	括	g	uaeh	7		k	yaʔ	4
闊	阔	k	uh	7		kʰ	ʊʔ	4
廓	廓	k	uah	7		kʰ	uaʔ	4
垃	垃	l	a	1		l	a	21
拉	拉	l	a	1		l	a	21
邋	邋	l	aeh	8		l	iaʔ	3
剌	剌	l	aeh	8		l	iaʔ	3
喇	喇	l	a	3		l	a	31
臘	腊	l	aeh	8		l	iaʔ	3
蠟	蜡	l	aeh	8		l	iaʔ	3
瘌	瘌	l	aeh	8		l	iaʔ	3
辣	辣	l	aeh	8		l	iaʔ	3
鬎	鬎	l	aeh	8		l	iaʔ	3
鑞	镴	l	aeh	8		l	iaʔ	3
啦	啦	l	a	1		l	a	21
來	来	l	ae	2		l	ɛ	24
倈	俫	l	ae	2		l	ɛ	24
賴	赖	l	ae	6		l	ɛ	33
瀨	濑	l	ae	6		l	ɛ	33
癩	癞	l	ae	6	癩蛤蟆	l	ɛ	33
癩	癞	l	aeh	8	癩痢	l	iaʔ	3
籟	籁	l	ae	6		l	ɛ	33
蘭	兰	l	aen	2		l	ɛ̃	24
攔	拦	l	aen	2		l	ɛ̃	24
攔	拦	l	aeh	8		l	iaʔ	3
欄	栏	l	aen	2		l	ɛ̃	24
闌	阑	l	aen	2		l	ɛ̃	24
藍	蓝	l	aen	2		l	ɛ̃	24
瀾	澜	l	aen	2		l	ɛ̃	24
籃	篮	l	aen	2		l	ɛ̃	24
覽	览	l	aen	3		l	ɛ̃	31
攬	揽	l	aen	3		l	ɛ̃	31
纜	缆	l	aen	3		l	ɛ̃	31
欖	榄	l	aen	3		l	ɛ̃	31
懶	懒	l	aen	3		l	ɛ̃	31
爛	烂	l	aen	6		l	ɛ̃	33
濫	滥	l	aen	6		l	ɛ̃	33
啷	啷	l	an	1		l	ã	21
啷	啷	l	an	2		l	ã	24
郎	郎	l	an	2		l	ã	24
狼	狼	l	an	2		l	ã	24
瑯	琅	l	an	2		l	ã	24
廊	廊	l	an	2		l	ã	24
榔	榔	l	an	2		l	ã	24
螂	螂	l	an	2		l	ã	24
躴	躴	l	an	2		l	ã	24
鎯	鎯	l	an	2		l	ã	24
朗	朗	l	an	3		l	ã	31
浪	浪	l	an	6	波浪	l	ã	33
㫰	㫰	l	an	6	㫰衣裳	l	ã	33
撈	捞	l	o	1		l	ɔ	21
撈	捞	l	o	2		l	ɔ	24
勞	劳	l	o	2		l	ɔ	24
牢	牢	l	o	2		l	ɔ	24
嘮	唠	l	o	2		l	ɔ	24
癆	痨	l	o	2		l	ɔ	24
老	老	l	o	3		l	ɔ	31
佬	佬	l	o	3		l	ɔ	31
烙	烙	l	ah	8		l	aʔ	3
澇	涝	l	o	6		l	ɔ	33
酪	酪	l	ah	8		l	aʔ	3
嫪	嫪	l	o	6		l	ɔ	33
樂	乐	l	ah	8	快樂	l	aʔ	3
樂	乐		iah	8	音樂		iaʔ	3
了	了	l	io	3		l	iɔ	31
瞭	了	l	io	3		l	iɔ	31
勒	勒	l	eh	8		l	əʔ	3
雷	雷	l	uei	2		l	uəi	24
擂	擂	l	uei	6		l	uəi	33
鐳	镭	l	uei	2		l	uəi	24
壘	垒	l	uei	3		l	uəi	31
磊	磊	l	uei	3		l	uəi	31
蕾	蕾	l	uei	2	芭蕾	l	uəi	24
蕾	蕾	l	uei	3	花蕾	l	uəi	31
儡	儡	l	uei	3		l	uəi	31
肋	肋	l	eh	8		l	əʔ	3
淚	泪	l	uei	6		l	uəi	33
淚	泪	l	ieh	8		l	iəʔ	3
類	类	l	uei	6		l	uəi	33
累	累	l	uei	2	累贅	l	uəi	24
累	累	l	uei	3	累積	l	uəi	31
累	累	l	uei	6	連累	l	uəi	33
棱	棱	l	en	2		l	əŋ	24
冷	冷	l	en	3		l	əŋ	31
愣	愣	l	en	6		l	əŋ	33
哩	哩	l	i	3			ɨᶨ	31
厘	厘	l	i	2			ɨᶨ	24
狸	狸	l	i	2			ɨᶨ	24
離	离	l	i	2	離別，分離		ɨᶨ	24
離	离	l	i	6	离我远点儿		ɨᶨ	33
梨	梨	l	i	2			ɨᶨ	24
犁	犁	l	i	2			ɨᶨ	24
鸝	鹂	l	i	2			ɨᶨ	24
喱	喱	l	i	2			ɨᶨ	24
漓	漓	l	i	2			ɨᶨ	24
璃	璃	l	i	2			ɨᶨ	24
黎	黎	l	i	2			ɨᶨ	24
篱	篱	l	i	2			ɨᶨ	24
籬	篱	l	i	2	籬笆		ɨᶨ	24
禮	礼	l	i	3			ɨᶨ	31
李	李	l	i	3			ɨᶨ	31
裏	里	l	ii	0	日裏	l	i	
里	里	l	i	3			ɨᶨ	31
裏	里	l	i	3	裏頭		ɨᶨ	31
娌	娌	l	i	3			ɨᶨ	31
理	理	l	i	3			ɨᶨ	31
鋰	锂	l	i	3			ɨᶨ	31
鯉	鲤	l	i	3			ɨᶨ	31
力	力	l	ieh	8		l	iəʔ	3
歷	历	l	ieh	8	歷史	l	iəʔ	3
曆	历	l	ieh	8	日曆	l	iəʔ	3
厲	厉	l	i	6			ɨᶨ	33
立	立	l	ieh	8		l	iəʔ	3
吏	吏	l	i	6			ɨᶨ	33
麗	丽	l	i	6			ɨᶨ	33
勵	励	l	i	6			ɨᶨ	33
利	利	l	i	6			ɨᶨ	33
例	例	l	i	6			ɨᶨ	33
癘	疠	l	i	6			ɨᶨ	33
隸	隶	l	i	6			ɨᶨ	33
俐	俐	l	i	6			ɨᶨ	33
莉	莉	l	i	6			ɨᶨ	33
栗	栗	l	ieh	8		l	iəʔ	3
猁	猁	l	i	6			ɨᶨ	33
笠	笠	l	ieh	8		l	iəʔ	3
粒	粒	l	ieh	8		l	iəʔ	3
靂	雳	l	ieh	8		l	iəʔ	3
倆	俩	l	ian	3	伎倆	l	iã	31
連	连	l	in	2		l	ĩ	24
憐	怜	l	in	2		l	ĩ	24
帘	帘	l	in	2		l	ĩ	24
簾	帘	l	in	2		l	ĩ	24
蓮	莲	l	in	2		l	ĩ	24
聯	联	l	in	2		l	ĩ	24
廉	廉	l	in	2		l	ĩ	24
鰱	鲢	l	in	2		l	ĩ	24
鐮	镰	l	in	2		l	ĩ	24
臉	脸	l	in	3		l	ĩ	31
練	练	l	in	6		l	ĩ	33
煉	炼	l	in	6		l	ĩ	33
戀	恋	l	in	6		l	ĩ	33
鏈	链	l	in	6		l	ĩ	33
楝	楝	l	in	6		l	ĩ	33
良	良	l	ian	2		l	iã	24
涼	凉	l	ian	2		l	iã	24
梁	梁	l	ian	2		l	iã	24
樑	梁	l	ian	2		l	iã	24
椋	椋	l	ian	2		l	iã	24
輬	辌	l	ian	2		l	iã	24
糧	粮	l	ian	2		l	iã	24
粱	粱	l	ian	2		l	iã	24
兩	两	l	aen	3	兩個	l	ɛ̃	31
兩	两	l	ian	3	斤兩	l	iã	31
魎	魉	l	ian	3		l	iã	31
亮	亮	l	ian	6		l	iã	33
諒	谅	l	ian	6		l	iã	33
輛	辆	l	ian	3		l	iã	31
量	量	l	ian	2	測量	l	iã	24
量	量	l	ian	6	分量	l	iã	33
撩	撩	l	io	1	撩起	l	iɔ	21
撩	撩	l	io	2	撩撥	l	iɔ	24
遼	辽	l	io	2		l	iɔ	24
療	疗	l	io	2		l	iɔ	24
聊	聊	l	io	2		l	iɔ	24
僚	僚	l	io	2		l	iɔ	24
寥	寥	l	io	2		l	iɔ	24
嘹	嘹	l	io	2		l	iɔ	24
獠	獠	l	io	2		l	iɔ	24
潦	潦	l	io	2		l	iɔ	24
繚	缭	l	io	2		l	iɔ	24
燎	燎	l	io	2		l	iɔ	24
尥	尥	l	io	6		l	iɔ	33
料	料	l	io	6		l	iɔ	33
撂	撂	l	io	6		l	iɔ	33
廖	廖	l	io	6		l	iɔ	33
瞭	瞭	l	io	6	瞭望	l	iɔ	33
鐐	镣	l	io	2		l	iɔ	24
鐐	镣	l	io	6		l	iɔ	33
咧	咧	l	ae	3		l	ɛ	31
列	列	l	ih	8		l	iʔ	3
劣	劣	l	ih	8		l	iʔ	3
烈	烈	l	ih	8		l	iʔ	3
獵	猎	l	ih	8		l	iʔ	3
裂	裂	l	ih	8		l	iʔ	3
拎	拎	l	ien	1		l	iəŋ	21
鄰	邻	l	ien	2		l	iəŋ	24
林	林	l	ien	2		l	iəŋ	24
臨	临	l	ien	2		l	iəŋ	24
淋	淋	l	ien	2	淋雨	l	iəŋ	24
淋	淋	l	ien	6	淋病	l	iəŋ	33
琳	琳	l	ien	2		l	iəŋ	24
粼	粼	l	ien	2		l	iəŋ	24
霖	霖	l	ien	2		l	iəŋ	24
磷	磷	l	ien	2		l	iəŋ	24
鱗	鳞	l	ien	2		l	iəŋ	24
麟	麟	l	ien	2		l	iəŋ	24
賃	赁	r	en	6		ɻ	əŋ	33
藺	蔺	l	ien	6		l	iəŋ	33
膦	膦	l	ien	2		l	iəŋ	24
伶	伶	l	ien	2		l	iəŋ	24
靈	灵	l	ien	2		l	iəŋ	24
苓	苓	l	ien	2		l	iəŋ	24
玲	玲	l	ien	2		l	iəŋ	24
鈴	铃	l	ien	2		l	iəŋ	24
凌	凌	l	ien	2		l	iəŋ	24
淩	凌	l	ien	2		l	iəŋ	24
陵	陵	l	ien	2		l	iəŋ	24
聆	聆	l	ien	2		l	iəŋ	24
菱	菱	l	ien	2		l	iəŋ	24
蛉	蛉	l	ien	2		l	iəŋ	24
羚	羚	l	ien	2		l	iəŋ	24
綾	绫	l	ien	2		l	iəŋ	24
零	零	l	ien	2		l	iəŋ	24
齡	龄	l	ien	2		l	iəŋ	24
澪	澪	l	ien	2		l	iəŋ	24
嶺	岭	l	ien	3		l	iəŋ	31
領	领	l	ien	3		l	iəŋ	31
另	另	l	ien	6		l	iəŋ	33
令	令	l	ien	6		l	iəŋ	33
呤	呤	l	ien	2		l	iəŋ	24
溜	溜	l	ieu	1		l	iʊ	21
劉	刘	l	ieu	2		l	iʊ	24
瀏	浏	l	ieu	2		l	iʊ	24
留	留	l	ieu	2		l	iʊ	24
流	流	l	ieu	2		l	iʊ	24
琉	琉	l	ieu	2		l	iʊ	24
硫	硫	l	ieu	2		l	iʊ	24
餾	馏	l	ieu	2		l	iʊ	24
榴	榴	l	ieu	2		l	iʊ	24
鎦	镏	l	ieu	2		l	iʊ	24
瘤	瘤	l	ieu	2		l	iʊ	24
鎏	鎏	l	ieu	2		l	iʊ	24
柳	柳	l	ieu	3		l	iʊ	31
綹	绺	l	ieu	3		l	iʊ	31
六	六	l	oh	8		l	ɔʔ	3
遛	遛	l	ieu	6		l	iʊ	33
龍	龙	l	on	2		l	ɔŋ	24
嚨	咙	l	on	2		l	ɔŋ	24
瓏	珑	l	on	2		l	ɔŋ	24
朧	胧	l	on	2		l	ɔŋ	24
聾	聋	l	on	2		l	ɔŋ	24
籠	笼	l	on	2	鳥籠子	l	ɔŋ	24
籠	笼	l	on	3	籠罩	l	ɔŋ	31
隆	隆	l	on	2		l	ɔŋ	24
癃	癃	l	on	2		l	ɔŋ	24
窿	窿	l	on	2		l	ɔŋ	24
攏	拢	l	on	3		l	ɔŋ	31
壟	垄	l	on	3		l	ɔŋ	31
漊	溇	l	eu	2		l	ɤɯ	24
樓	楼	l	eu	2		l	ɤɯ	24
螻	蝼	l	eu	2		l	ɤɯ	24
髏	髅	l	eu	2		l	ɤɯ	24
摟	搂	l	eu	3		l	ɤɯ	31
簍	篓	l	eu	3		l	ɤɯ	31
陋	陋	l	eu	6		l	ɤɯ	33
鏤	镂	l	eu	6		l	ɤɯ	33
瘺	瘘	l	eu	6		l	ɤɯ	33
漏	漏	l	eu	6		l	ɤɯ	33
嚕	噜	l	v	1		l	ʋ	21
盧	卢	l	v	2		l	ʋ	24
蘆	芦	l	v	2		l	ʋ	24
廬	庐	l	v	2		l	ʋ	24
爐	炉	l	v	2		l	ʋ	24
瀘	泸	l	v	2		l	ʋ	24
鸕	鸬	l	v	2		l	ʋ	24
顱	颅	l	v	2		l	ʋ	24
