字	IPA 聲	IPA 韻	IPA 調	粵拼 聲	粵拼 韻	粵拼 調	注
路	l	au	32	l	aau	6	
流	l	au	12	l	aau	4	
柳	l	au	21	l	aau	5	
柔	j	au	12	j	aau	4	
單		an	23		aan	1	
誕		an	23		aan	1	
彈		an	32		aan	6	子彈
安		an	23		aan	1	
扮	v	an	32	v	aan	6	
辦	v	an	32	v	aan	6	
班	v	an	23	v	aan	1	
板	v	an	55	v	aan	2	
辮	v	an	21	v	aan	5	
檳	v	an	23	v	aan	1	檳榔
奔	v	an	23	v	aan	1	
笨	v	an	21	v	aan	5	
品	v	an	55	v	aan	2	
拌	v	an	21	v	aan	5	
頑	v	an	12	v	aan	4	頑皮
幻	v	an	32	v	aan	6	
彎	v	an	23	v	aan	1	
挽	v	an	21	v	aan	5	
勻	v	an	12	v	aan	4	
運	v	an	32	v	aan	6	
盼	h	an	23	h	aan	1	
炭	h	an	23	h	aan	1	
彈	h	an	12	h	aan	4	彈琴
限	h	an	21	h	aan	5	
弦	h	an	21	h	aan	5	
痕	h	an	12	h	aan	4	
恨	h	an	32	h	aan	6	
反	f	an	55	f	aan	2	
翻	f	an	23	f	aan	1	
煩	f	an	12	f	aan	4	
飯	f	an	32	f	aan	6	
墳	f	an	12	f	aan	4	
訓	f	an	32	f	aan	6	
凡	f	an	12	f	aan	4	
犯	f	an	32	f	aan	6	
餐	tʰ	an	23	t	aan	1	
親	tʰ	an	23	t	aan	1	
贊	ʦ	an	23	z	aan	1	
綻	ʦ	an	23	z	aan	1	破綻
盞	ʦ	an	55	z	aan	2	
棧	ʦ	an	23	z	aan	1	
鎭	ʦ	an	23	z	aan	1	
陣	ʦ	an	32	z	aan	6	
眞	ʦ	an	55	z	aan	2	
震	ʦ	an	23	z	aan	1	
殘	ʦʰ	an	21	c	aan	5	
鏟	ʦʰ	an	55	c	aan	2	
趁	ʦʰ	an	23	c	aan	1	
陳	ʦʰ	an	23	c	aan	1	
