序號	目次	聲	等	呼	韻部	調	反切	攝	字	古韻羅馬字	有女羅馬字	備註	正心擬音	推導拼音	小韻字數	hiunnOrder	平水韻目		說明：平聲31 上聲33 去聲15 入聲34
1	上平1東	端	一	開	東	平	德紅	通	東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤	tung	tung		tuŋ	dong1	17	上01	東		
2	上平1東	定	一	開	東	平	徒紅	通	同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨝯𨚯𪔝𩦶𪒿	dung	dung		duŋ	tong2	45	上01	東		
3	上平1東	知	三	開	東	平	陟弓	通	中衷忠𦬕	triung	tiung		ʈɨuŋ	zhong1	4	上01	東		
4	上平1東	澄	三	開	東	平	直弓	通	蟲沖种盅爞𦬕翀	driung	diung		ɖɨuŋ	chong2	7	上01	東		
5	上平1東	章	三	開	東	平	職戎	通	終衆(眾)潨𣧩𧑄𩅧䝦䶱䈺螽鼨蔠柊鴤泈	cjung	tjung		tɕɨuŋ	zhong1	15	上01	東		
6	上平1東	徹	三	開	東	平	敕中	通	忡浺盅	thriung	thiung		ʈʰɨuŋ	chong1	3	上01	東		
7	上平1東	崇	三	開	東	平	鋤弓	通	崇崈㓽𩞉	zriung	drung		dʐɨuŋ	chong2	4	上01	東		
8	上平1東	心	三	開	東	平	息弓	通	嵩崧娀菘硹𪀚㣝𧊕𨱿	siung	siung		sɨuŋ	song1	9	上01	東		
9	上平1東	日	三	開	東	平	如融	通	戎𢦦㭜𥬪𠈋茙駥狨絨	njung	rung		ȵɨuŋ	rong2	9	上01	東		
10	上平1東	見	三	開	東	平	居戎	通	弓躳躬㴦宮匑	kiung	kiung		kɨuŋ	jiong1	6	上01	東		
11	上平1東	以	三	開	東	平	以戎	通	融肜瀜	jung	jung		ʝɨuŋ	yong2	3	上01	東		
12	上平1東	云	三	開	東	平	羽弓	通	雄熊	iung	hiung		ɦɨuŋ	yong2	2	上01	東		
13	上平1東	明	三	開	東	平	莫中	通	瞢夢懜𨞯𦫰𧲎	miung	miung		mɨuŋ	meng2	6	上01	東		
14	上平1東	溪	三	開	東	平	去宮	通	穹𢞏𦵡𥳎焪芎匑	khiung	qiung		kʰɨuŋ	qiong1	7	上01	東		
15	上平1東	群	三	開	東	平	渠弓	通	窮藭𥨪	giung	giung		ɡɨuŋ	qiong2	3	上01	東		
16	上平1東	並	三	開	東	平	房戎	通	馮堸汎芃𨝭渢梵	biung	biung		bɨuŋ	feng2	7	上01	東		
17	上平1東	幫	三	開	東	平	方戎	通	風飌楓猦偑檒𧆉|瘋|	piung	piung		pɨuŋ	feng1	7	上01	東		
18	上平1東	滂	三	開	東	平	敷空	通	豐酆蘴灃寷麷㒥𡾿	phiung	phiung		pʰɨuŋ	feng1	8	上01	東		
19	上平1東	昌	三	開	東	平	昌終	通	充珫茺㤝䘪𪎽㳘	chjung	tcung		tɕʰɨuŋ	chong1	7	上01	東		
20	上平1東	來	三	開	東	平	力中	通	隆癃𪔳㚅窿霳	liung	liung		ɭɨuŋ	long2	6	上01	東		
21	上平1東	溪	一	開	東	平	苦紅	通	空箜崆椌硿悾埪倥涳鵼䅝𦱇𢃐𧌆	khung	qung		qʰuŋ	kong1	14	上01	東		
22	上平1東	見	一	開	東	平	古紅	通	公功工疘蚣玒㓚釭魟攻愩碽篢	kung	kung		quŋ	gong1	13	上01	東		
23	上平1東	明	一	開	東	平	莫紅	通	蒙冡濛𩦺䰒艨朦矇饛檬𨢊䴿𢄐𨣘鸏幪罞髳蠓𦿏雺霿霧䀄懜霥[礞]	mung	mung		muŋ	meng2	26	上01	東		
24	上平1東	來	一	開	東	平	盧紅	通	籠豅㰍朧𡃡龓䪊瀧聾𨏠䆍礱𪚗嚨蘢櫳𤮨巃襱𧙥瓏曨蠪鸗𩟭㟅屸	lung	lung		luŋ	long2	27	上01	東		
25	上平1東	匣	一	開	東	平	戸公	通	紅!洪鉷訌虹仜鴻葒葓谼䉺䪦𦏼䫹𨾊烘洚渱𨹁䧆魟䂫	ghung	hung		ʁuŋ	hong2	22	上01	東		
26	上平1東	從	一	開	東	平	徂紅	通	叢藂䕺潨𥵫	zung	dzung		dzuŋ	cong2	5	上01	東		
27	上平1東	影	一	開	東	平	烏紅	通	翁螉䱵蓊䈵䩺㮬𩔚	qung	ung		ʔuŋ	weng1	8	上01	東		
28	上平1東	清	一	開	東	平	倉紅	通	怱[匆]忩葱(蔥)聦(聰)騘(驄)樬𨍉(䡯)(𦇎)𤧚(璁)𨣭(𨣼)鍯(鏓)㷓(熜)𢉛(𢊕)䗓(蟌)	chung	cung		tsʰuŋ	cong1	15	上01	東		
29	上平1東	透	一	開	東	平	他紅	通	通蓪侗恫痌曈俑𧳆𨀜	thung	thung		tʰuŋ	tong1	9	上01	東		
30	上平1東	精	一	開	東	平	子紅	通	葼嵕艐鬷猣鯼椶(棕)騣(鬃)𥓻翪緵㣭稯堫蝬鬉㚇豵䗥嵸𩮀	cung	zung		tsuŋ	zong1	21	上01	東		
31	上平1東	並	一	開	東	平	薄紅	通	蓬𥭗篷髼蜂芃𧚋韸䮾𩖛	bung	bung		buŋ	peng2	10	上01	東		
32	上平1東	曉	一	開	東	平	呼東	通	烘叿魟谾𩐠𩗄	hung	xung		χuŋ	hong1	6	上01	東		
33	上平1東	疑	一	開	東	平	五東	通	㟅	ngung	ngung		ɴuŋ	weng2	1	上01	東		
34	上平1東	心	一	開	東	平	蘇公	通	檧憽(忪)	sung	sung		suŋ	song1	3	上01	東		
35	上平2冬	端	一	開	冬	平	都宗	通	冬𠔙苳䳉笗𩂓𧲴	tuung	tvng		tɔŋ	dong1	7	上02	冬		
36	上平2冬	定	一	開	冬	平	徒冬	通	彤疼佟炵䳋鼕𢥞𢾮爞㤏痋䂈鉵𧹝𩦶浵䶱𠩁鉖𨜳㠽赨	duung	dvng		dɔŋ	tong2	22	上02	冬		
37	上平2冬	從	一	開	冬	平	藏宗	通	賨琮悰潨淙慒鬃㼻孮誴𢃏	zuung	dzvng		dzɔŋ	cong2	11	上02	冬		
38	上平2冬	泥	一	開	冬	平	奴冬	通	農䢉辳𨑋𩟊噥𩅽憹㺜儂𧗕膿	nuung	nvng		nɔŋ	nong2	12	上02	冬		
39	上平2冬	見	一	開	冬	平	古冬	通	攻釭	kuung	kvng		qɔŋ	gong1	2	上02	冬		
40	上平2冬	匣	一	開	冬	平	戸冬	通	䃔洚㗢𩘎	ghuung	hvng		ʁɔŋ	hong2	4	上02	冬		
41	上平2冬	來	一	開	冬	平	力冬	通	䃧䥢𣫣	luung	lvng		lɔŋ	long2	3	上02	冬		
42	上平2冬	精	一	開	冬	平	作冬	通	宗倧	cuung	zvng		tsɔŋ	zong1	2	上02	冬		
43	上平2冬	心	一	開	冬	平	私宗	通	鬆䯳	suung	svng		sɔŋ	song1	2	上02	冬		
44	上平2冬	透	一	開	冬	平	他冬	通	炵	thuung	thvng		tʰɔŋ	tong1	1	上02	冬		
45	上平3鍾	章	三	開	鍾	平	職容	通	鍾鐘蚣忪䇗蹱彸衳伀橦籦妐㕬𧢸炂𦬘𨳗鈆	cjyung	tjvng		tɕioŋ	zhong1	18	上03	冬		
46	上平3鍾	來	三	開	鍾	平	力鍾	通	龍𪚝躘鸗驡𪚠籠𦪽蘢	lyung	livng		ɭɨoŋ	long2	9	上03	冬		
47	上平3鍾	書	三	開	鍾	平	書容	通	舂摏蹖憃𧐍𪄻	sjyung	sjvng		ɕɨoŋ	shong1	6	上03	冬		
48	上平3鍾	邪	三	開	鍾	平	祥容	通	松㮤淞訟	zsyung	szivng		zɨoŋ	song2	4	上03	冬		
49	上平3鍾	昌	三	開	鍾	平	尺容	通	衝𧘂罿憧䡴艟潼褈𠟍𠝤䂌	chjyung	tcvng		tɕʰɨoŋ	chong1	11	上03	冬		
50	上平3鍾	以	三	開	鍾	平	餘封	通	容溶滽庸𦤘𧴄㺎𤛑墉鎔鏞銿鄘傭𪅟𤮇㼸鱅蓉䗤傛褣搈瑢䈶嵱頌㝐䡆㟾𨲟𪃾槦㣑𢧳	jyung	jvng		ʝɨoŋ	yong2	35	上03	冬		
51	上平3鍾	幫	三	開	鍾	平	府容	通	封𡉚犎葑崶|篈㜂	pyung	pivng		pɨoŋ	feng1	5	上03	冬		
52	上平3鍾	曉	三	開	鍾	平	許容	通	胸(胷)凶𣧑恟𧧗訩銎洶兇匈	hyung	xivng		hɨoŋ	xiong1	10	上03	冬		
53	上平3鍾	疑	三	開	鍾	平	魚容	通	顒𩤛鰅喁	ngyung	ngivng		ŋɨoŋ	yong2	4	上03	冬		
54	上平3鍾	影	三	開	鍾	平	於容	通	邕雍噰嗈郺澭灉癰罋廱饔壅雝𪄉㻾𧴗|蕹	qyung	ivng		ˀɨoŋ	yong1	16	上03	冬		
55	上平3鍾	娘	三	開	鍾	平	女容	通	濃!醲𨑊襛穠檂𪒬𨲳|㺜	nryung	nivng		ɳɨoŋ	nong2	8	上03	冬		
56	上平3鍾	澄	三	開	鍾	平	直容	通	重緟褈蝩穜䳯	dryung	divng		ɖɨoŋ	chong2	6	上03	冬		
57	上平3鍾	從	三	開	鍾	平	疾容	通	從从𩀰	zyung	dzivng		dzɨoŋ	cong2	3	上03	冬		
58	上平3鍾	徹	三	開	鍾	平	丑凶	通	蹱傭𦟛𨙦䝑𨤩𪒒	thryung	thivng		ʈʰɨoŋ	chong1	7	上03	冬		
59	上平3鍾	並	三	開	鍾	平	符容	通	逢縫夆漨䩼𥎌𥛝捀	byung	bivng		bɨoŋ	feng2	8	上03	冬		
60	上平3鍾	滂	三	開	鍾	平	敷容	通	峯(峰)鋒丰𡴀𢓱妦蠭蜂𧒒蘴桻㷭烽莑仹㸼	phyung	phivng		pʰɨoŋ	feng1	16	上03	冬		
61	上平3鍾	精	三	開	鍾	平	即容	通	縱𣯨蹤䡮樅磫豵熧𧺣	cyung	zivng		tsɨoŋ	zong1	9	上03	冬		
62	上平3鍾	日	三	開	鍾	平	而容	通	茸襛䩸髶䇯搑𥎂榵穁穠	njyung	rvng		ȵɨoŋ	rong2	10	上03	冬		
63	上平3鍾	群	三	開	鍾	平	渠容	通	蛩邛舼𦨰輁𦭭𥳎䂬蛬𠌖𩬰桏䅃𤤶𩢽筇	gyung	givng		ɡɨoŋ	qiong2	16	上03	冬		
64	上平3鍾	常	三	開	鍾	平	蜀庸	通	鱅慵𩌨	zjyung	zjvng		dʑɨoŋ	chong2	3	上03	冬		
65	上平3鍾	見	三	開	鍾	平	九容	通	恭龔供珙共廾䢼𤱨髸䳍	kyung	kivng		kɨoŋ	jiong1	10	上03	冬		
66	上平3鍾	心	三	開	鍾	平	息恭	通	蜙淞凇鬆倯𢔋	syung	sivng		sɨoŋ	song1	6	上03	冬		
67	上平3鍾	清	三	開	鍾	平	七恭	通	樅鏦從暰䗥瑽摐䐫𥡬𧺣鬆𨑪	chyung	civng		tsʰɨoŋ	cong1	12	上03	冬		
68	上平3鍾	溪	三	開	鍾	平	曲恭	通	銎𥳎	khyung	qivng		kʰɨoŋ	qiong1	2	上03	冬		
69	上平4江	見	二	開	江	平	古雙	江	江扛杠茳釭矼豇肛玒𧢸䜫	krung	keong		qɻœŋ	jiang1	11	上04	江		
70	上平4江	明	二	開	江	平	莫江	江	厖駹狵尨浝哤牻娏䵨㟌蛖𥆙痝𠈵	mrung	meong		mɻœŋ	mang2	14	上04	江		
71	上平4江	娘	二	開	江	平	女江	江	𦗳𣰊涳噥𩟊鬞䁸𪆯	nrung	neong		ɳɻœŋ	nang2	8	上04	江		
72	上平4江	初	二	開	江	平	楚江	江	窗)!囪牎窓䎫堫摐鏦𥍷	chrung	cheong		tʂʰɻœŋ	chuang1	9	上04	江		
73	上平4江	幫	二	開	江	平	博江	江	邦=𤰫梆垹	prung	peong		pɻœŋ	bang1	4	上04	江		
74	上平4江	匣	二	開	江	平	下江	江	栙䜶降缸缻洚夅跭	ghrung	heong		ʁɻœŋ	xiang2	8	上04	江		
75	上平4江	滂	二	開	江	平	匹江	江	胮𤵸𩐨𪔔𪐿	phrung	pheong		pʰɻœŋ	pang1	5	上04	江		
76	上平4江	來	二	開	江	平	呂江	江	瀧䮾	lrong	leong		ɭɻœŋ	lang2	2	上04	江		
77	上平4江	生	二	開	江	平	所江	江	雙艭䉶𢥠䝄瀧𨇯	srung	sheong		ʂɻœŋ	shuang1	7	上04	江		
78	上平4江	並	二	開	江	平	薄江	江	龐逄胮𩐨舽	brung	beong		bɻœŋ	pang2	5	上04	江		
79	上平4江	曉	二	開	江	平	許江	江	肛啌谾舡|𨋪[夯]|	hrung	xeong		χɻœŋ	xiang1	4	上04	江		
80	上平4江	影	二	開	江	平	握江	江	胦	qrung	eong		ʔɻœŋ	yang1	1	上04	江		
81	上平4江	溪	二	開	江	平	苦江	江	腔𤟄羫控椌悾跫涳崆𩩝㾤㼹	khrung	qeong		qʰɻœŋ	qiang1	12	上04	江		
82	上平4江	澄	二	開	江	平	宅江	江	幢撞橦𣃘噇𩪘	drung	deong		ɖɻœŋ	chuang2	6	上04	江		
83	上平4江	徹	二	開	江	平	丑江	江	憃䚎𥡟䄝𧜧	thrung	theong		ʈʰɻœŋ	chuang1	5	上04	江		
84	上平4江	知	二	開	江	平	都江	江	樁𣻛	trung	teong		ʈɻœŋ	zhuang1	2	上04	江		
85	上平4江	疑	二	開	江	平	五江	江	㟅	ngrung	ngeong		ɴɻœŋ	yang2	1	上04	江		
86	上平4江	崇	二	開	江	平	士江	江	淙鬃㼻𩞐	zrung	dreong		ɖɻœŋ	chuang2	4	上04	江		
87	上平5支	章	三	開	支A	平	章移	止	支𥾣只汥㲍卮(巵)梔衹枝㽻衼肢胑𨈛禔馶氏疻㩼鳷䧴觶榰㯄𪂅𧌔眵䡋𩍲	cje	tje		tɕiɛ	zhi1	29	上05A	支		
88	上平5支	以	三	開	支A	平	弋支	止	移䄬迻𠩗杝鉹袲箷𥠥㥴詑簃䔟熪扅衪暆迆(迤)𤝻栘歋酏匜拸謻𠗺蛇虵螔𠐀𣣢䬁	je	je		ʝiɛ	yi2	32	上05A	支		
89	上平5支	云	三	合	支B	平	薳支	止	爲為潙䧦鄬𩻟	ye	hwe		ɦɻɥɛ	wei2	6	上05B	支		
90	上平5支	見	三	合	支B	平	居爲	止	嬀(媯)潙(溈)	kye	kwe		kɻɥɛ	gui1	2	上05B	支		
91	上平5支	曉	三	合	支B	平	許爲	止	𪎮麾噅𩻟䧦撝	hye	xwe		hɻɥɛ	hui1	6	上05B	支		
92	上平5支	影	三	合	支B	平	於爲	止	逶𣨙萎㮃覣痿蜲倭委䴧蟡	qye	we		ˀɻɥɛ	wei1	10	上05B	支		
93	上平5支	明	三	開	支B	平	靡爲	止	糜縻㸏𪎕蘼䊳𪎭𦗕醿	mie	mye		mɻiɛ	mi2	9	上05B	支		
94	上平5支	曉	三	合	支A	平	許規	止	隳!隓墮眭觿睢䜐鑴蘳	hjye	xve	！表字头后退	hɥɛ	hui1	9	上05A	支		
95	上平5支	澄	三	合	支B	平	直垂	止	鬌錘甀	drye	dwe		ɖɥɛ	chui2	3	上05B	支		
96	上平5支	常	三	合	支A	平	是爲	止	垂!埀陲倕𦈼𨿠圌篅𥳙𠂹	zjye	zjve	𠂹=𠃀	dʑɥɛ	chui2	10	上05A	支		
97	上平5支	來	三	合	支A	平	力爲	止	羸𡰠(𡰟)	lye	lve		ɭɥɛ	lei2	2	上05A	支		
98	上平5支	昌	三	合	支A	平	昌垂	止	吹炊䶴{龡	chjye	tcve	{表古文	tɕʰɥɛ	chui1	3	上05A	支		
99	上平5支	滂	三	開	支B	平	敷羈	止	鈹帔鮍披𤱍耚狓翍旇秛㿫㱟	phie	phye	㿫=𤿎	pʰɻiɛ	pi1	12	上05B	支		
100	上平5支	幫	三	開	支B	平	彼爲	止	陂詖碑羆𥀍𨰟𤜑𨧦𥶓襬藣|㗗㽡焷䴽錍	pie	pye		pɻiɛ	bi1	11	上05B	支		
101	上平5支	邪	三	合	支A	平	旬爲	止	隨隋𥶻	zsye	szve		zɥɛ	sui2	3	上05A	支		
102	上平5支	溪	三	合	支B	平	去爲	止	虧	khye	qwe		kʰɻɥɛ	kui1	1	上05B	支		
103	上平5支	溪	三	合	支A	平	去隨	止	窺!闚	khjye	qve		kʰɥɛ	kui1	2	上05A	支		
104	上平5支	群	三	開	支B	平	渠羈	止	奇(竒)琦騎鵸弜鬾碕㩽𢺷錡	gie	gye	㩽原作⿰朿支	ɡɻiɛ	qi2	10	上05B	支		
105	上平5支	群	三	開	支A	平	巨支	止	祇示衹岐歧𨙸馶疧蚑忯䞚翄𢻚軝𩉬芪汥跂䲬蚑䉻𦭲伎𨱜𠁭	gje	gie		ɡiɛ	qi2	25	上05A	支		
106	上平5支	曉	三	開	支B	平	許羈	止	犧羲焁桸巇羛戲𤃪曦𢹍𧕆䚙䖒㺣𣤴𢨛㚀隵	hie	xye	19->18	hɻiɛ	xi1	18	上05B	支		
107	上平5支	溪	三	開	支B	平	去奇	止	㩻觭踦㱦崎𦖊碕𤘌㥓䗁攲[崎][榿]	khie	qye		kʰɻiɛ	qi1	11	上05B	支		
108	上平5支	疑	三	開	支B	平	魚羈	止	宜宐𠣨㝖儀𥪺䣡䴊轙涯崖	ngie	ngye		ŋɻiɛ	yi2	11	上05B	支		
109	上平5支	並	三	開	支B	平	符羈	止	皮疲郫罷㯅犤	bie	bye		bɻiɛ	pi2	6	上05B	支		
110	上平5支	常	三	開	支A	平	是支	止	匙!提𦑡㖷䈕堤禔𦳚忯姼眂𣏚	zje	zje		dʑiɛ	chi2	12	上05A	支		
111	上平5支	日	三	開	支A	平	汝移	止	兒𠒆唲婼	nje	re	婼羌	ȵiɛ	er2	4	上05A	支		
112	上平5支	來	三	開	支A	平	呂支	止	離籬醨罹璃酈𣀷驪𪖂樆鸝鵹𪅆縭褵蘺䕻麗离䍦㰚蠡䅻孋漓灕𧕯㷰𧕮攡黐矖穲𢟢𢥗謧劙	lie	lie		ɭiɛ	li2	37	上05A	支		
113	上平5支	從	三	開	支A	平	疾移	止	疵骴玼茈𣐑胔飺鴜	zie	dzie		dziɛ	ci2	8	上05A	支		
114	上平5支	精	三	開	支A	平	即移	止	貲頾(髭頿)訾𪕊鮆訾鄑㠿媊𨚖㰣鈭姕𦺱䖪觜	cie	zie		tsiɛ	zi1	16	上05A	支		
115	上平5支	見	三	開	支B	平	居宜	止	羈畸羇掎攲竒(奇)㱦妓躸	kie	kye		kɻiɛ	ji1	9	上05B	支		
116	上平5支	幫	三	開	支A	平	府移	止	卑鵯椑箄裨鞞𩔹痺渒錍𢃍	pje	pie		piɛ	bi1	11	上05A	支		
117	上平5支	並	三	開	支A	平	符支	止	陴𩫫焷脾䴽埤裨蜱𧓎螷蠯㯅郫𪌈紕	bje	bie		biɛ	pi2	15	上05A	支		
118	上平5支	書	三	開	支A	平	式支	止	𦇲絁施葹䙾鍦鉈鸍𪓿䗐𧠜𢻫	sje	sje		ɕiɛ	shi1	12	上05A	支		
119	上平5支	心	三	開	支A	平	息移	止	斯虒𩆵榹㴲廝㒋凘磃㾷傂謕鼶𪆁蟴㽄螔䫢䌳䔮菥𥕶蜤燍禠鐁	sie	sie		siɛ	si1	26	上05A	支		
120	上平5支	初	三	開	支B	平	楚宜	止	差縒嵯𪙉	chrie	chye		tʂʰɻiɛ	chi1	4	上05B	支		
121	上平5支	徹	三	開	支B	平	丑知	止	摛螭誺魑黐㷰离𡴥彲	thrie	thye		ʈʰɻiɛ	chi1	9	上05B	支		
122	上平5支	明	三	開	支A	平	武移	止	彌獼弥𪂕镾䍘𨤐𥉓㣆𥸀擟麊冞㜷䥸𥎖瀰	mje	mie		miɛ	mi2	17	上05A	支		
123	上平5支	清	三	開	支A	平	此移	止	雌姕(胔）鈭𦍧	chie	cie		tsʰiɛ	ci1	5	上05A	支		
124	上平5支	知	三	開	支B	平	陟移	止	知䵹鼅蜘䣽䝷	trie	tye		ʈiɛ	zhi1	6	上05B	支		
125	上平5支	影	三	開	支B	平	於離	止	漪猗椅旖禕陭欹㾨犄𩕲檹	qie	ye		ˀɻiɛ	yi1	11	上05B	支		
126	上平5支	澄	三	開	支B	平	直離	止	馳趍池簃篪䶵踟褫䪧䶔誃傂䞾	drie	dye	14->13	ɖiɛ	chi2	13	上05B	支		
127	上平5支	心	三	合	支A	平	息爲	止	眭	sye	sve		sɥɛ	sui1	1	上05A	支		
128	上平5支	疑	三	合	支B	平	魚爲	止	危㕒洈峗	ngye	ngwe		ŋɻɥɛ	wei2	4	上05B	支		
129	上平5支	曉	三	開	支A	平	香支	止	詑焁	hje	xie		hiɛ	xi1	2	上05A	支		
130	上平5支	生	三	開	支B	平	所宜	止	釃簁(篩）欐襹𧕯籭褷	srie	shye		ʂɻiɛ	shi1	7	上05B	支		
131	上平5支	生	三	合	支B	平	山垂	止	䪎䭨	srye	shwe		ʂɻɥɛ	shuai1	2	上05B	支		
132	上平5支	日	三	合	支A	平	人垂	止	痿䬐	njye	rve		ȵɥɛ	rui2	2	上05A	支		
133	上平5支	精	三	開	支A	平	姊移	止	厜觜惢纗嫢㭰	cie	zie		tsiɛ	zi1	6	上05A	支		
134	上平5支	見	三	合	支A	平	居隋	止	規！𩓸𩓡槻鬹𨾚摫	kjye	kve		kɥɛ	gui1	7	上05A	支		
135	上平5支	精	三	合	支A	平	遵爲	止	劑㭰𦸺臇𤎱㷷	cye	zve		tsɥɛ	zui1	6	上05A	支		
136	上平5支	初	三	合	支B	平	楚危	止	衰夊	chrye	chwe		tʂɻɥɛ	chuai1	2	上05B	支		
137	上平5支	知	三	合	支B	平	竹垂	止	腄箠㩾	trye	twe		ʈɥɛ	zhui1	3	上05B	支		
138	上平5支	精	三	合	支A	平	子垂	止	䮔	cye	zve		tsɥɛ	zui1	1	上05A	支		
139	上平5支	昌	三	開	支A	平	叱支	止	眵䌳	chje	tce		tɕʰiɛ	chi1	2	上05A	支		
140	上平5支	莊	三	開	支B	平	側移	止	齜	crie	trye		tʂɻiɛ	zhi1	1	上05B	支		
141	上平5支	滂	三	開	支A	平	匹支	止	𤿎	phje	phie		pʰiɛ	pi1	1	上05A	支		
142	上平5支	以	三	合	支A	平	悅吹	止	䔺𩁌蠵欈𧲚䝐	jye	jve		ʝɥɛ	wei2	6	上05A	支		
143	上平5支	崇	三	開	支B	平	士移	止	齹	zrie	drye		dʐɻiɛ	chi2	1	上05B	支		
144	上平6脂	章	三	開	脂A	平	旨夷	止	脂祗汦砥栺鴲㴯疻䓜𥁼	cjii	tji		tɕi	zhi1	10	上06A	支		
145	上平6脂	以	三	開	脂A	平	以脂	止	姨彞(彝)寅夷峓恞眱𣟗珆蔩𡰥痍䧅荑桋蛦胰鮧羠羨鏔𢓡鴺𡱐跠洟	jii	ji		ʝi	yi2	26	上06A	支		
146	上平6脂	生	三	開	脂B	平	疏夷	止	師鰤蒒篩獅螄	srii	shy		ʂɻi	shi1	6	上06B	支		
147	上平6脂	並	三	開	脂A	平	房脂	止	𣬈毗比琵㮰芘沘貔豼膍肶蚍𧖈枇仳𨈚魮鈚𦳈𦊁阰𧑜鵧	bjii	bi		bi	pi2	23	上06A	支		
148	上平6脂	精	三	開	脂A	平	即夷	止	資!咨粢𪗉𪗋𧞓諮姿齍澬𣳩齎蒫𩆂𩄠	cii	zi	𩄠=⿱雨真	tsi	zi1	15	上06A	支		
149	上平6脂	見	三	開	脂A	平	居夷	止	飢机肌虮	kjii	ki		ki	ji1	4	上06A	支		
150	上平6脂	昌	三	開	脂A	平	處脂	止	鴟𨾦鵄胵𩶅𧪡𨒬	chjii	tci		tɕʰi	chi1	7	上06A	支		
151	上平6脂	徹	三	開	脂B	平	丑飢	止	絺郗辴𥭘脪瓻訵	thrii	thy		ʈi	chi1	7	上06B	支		
152	上平6脂	清	三	開	脂A	平	取私	止	郪趑𨌅趀𧾒𧠵𡰾𡳠蠀	chii	ci	趀𡰾隷化从𡛷右	tsʰi	ci1	9	上06A	支		
153	上平6脂	從	三	開	脂A	平	疾資	止	茨薋薺餈(糍)𩜴垐䆅𧓉瓷澬𥿆𨌅𩆂	zii	dzi		dzi	ci2	13	上06A	支		
154	上平6脂	娘	三	開	脂B	平	女夷	止	尼柅怩蚭跜呢𩚯䝚	nrii	ny		ɳi	ni2	8	上06B	支		
155	上平6脂	澄	三	開	脂B	平	直尼	止	遲!墀𡎰坻泜遟蚳岻彽阺荎菭謘莉貾	drii	dy		ɖi	chi2	15	上06B	支		
156	上平6脂	心	三	開	脂A	平	息夷	止	私鋖(鐁）𦮺㺨厶	sii	si		si	si1	5	上06A	支		
157	上平6脂	書	三	開	脂A	平	式之	止	尸鳲屍蓍	sjii	sji		ɕi	shi1	4	上06A	支		
158	上平6脂	群	三	開	脂A	平	渠脂	止	鬐𦓀耆愭𧡺𥉙䅲祁𨪌鰭鮨	gjii	gi		ɡi	qi2	11	上06A	支		
159	上平6脂	影	三	開	脂A	平	於脂	止	伊咿黝黟𧉅	qjii	i		ˀi	yi1	5	上06A	支		
160	上平6脂	來	三	開	脂A	平	力脂	止	棃梨𠠍秜蜊蔾犂刕𢤂鯬鑗䴻蟍𨟀(犁)	lii	li		ɭi	li2	14	上06A	支		
161	上平6脂	群	三	合	脂A	平	渠隹	止	葵鄈楑𩹍𢜽𦝢䳫𧍜	gjyi	gvi		ɡɥi	kui2	8	上06A	支		
162	上平6脂	知	三	合	脂B	平	陟隹	止	追䨨娺	tryi	twy		ʈɥi	zhui1	3	上06B	支		
163	上平6脂	見	三	合	脂B	平	居追	止	龜𪚦𤕣䟸螝騩|頄鱖	kyi	kwy	𪚦代丶起筆的異體龜字	kɻɥi	gui1	6	上06B	支		
164	上平6脂	日	三	合	脂A	平	儒隹	止	蕤甤緌擩桵䅑捼	njyi	rvi		ȵɥi	rui2	7	上06A	支		
165	上平6脂	生	三	合	脂B	平	所追	止	衰[摔]榱𤸬	sryi	shwy		ʂɻɥi	shuai1	3	上06B	支		
166	上平6脂	以	三	合	脂A	平	以追	止	惟𣄧維遺濰壝𥌰蓶䜅琟唯𧔥	jyi	jvi		ʝɥi	wei2	12	上06A	支		
167	上平6脂	來	三	合	脂A	平	力追	止	㶟纍虆欙(樏)𤜖𡿔𡤯(嫘)瓃𥍔鸓儽纝|(縲)	lyi	lvi		ɭɥi	lei2	13	上06A	支		
168	上平6脂	心	三	合	脂A	平	息遺	止	雖!綏荾荽䒘葰浽奞夊睢=濉䅑	syi	svi		sɥi	sui1	12	上06A	支		
169	上平6脂	群	三	合	脂B	平	渠追	止	逵夔𣦞馗戣鍨騤犪躨𦝢艽䟸𠊾頯𠐽𧢦𢌳頄	gyi	gwy	缺⿱隹矢	ɡɻɥi	kui2	19	上06B	支		
170	上平6脂	明	三	開	脂B	平	武悲	止	眉睂嵋湄𤃱鶥楣瑂矀覹䉠黴麋蘪郿㵟薇𦗕葿攗|猸	mii	my		mɻi	mi2	20	上06B	支		
171	上平6脂	幫	三	開	脂B	平	府眉	止	悲	pii	py		pɻi	bi1	1	上06B	支		
172	上平6脂	章	三	合	脂A	平	職追	止	錐隹𪋇騅㮅䶆萑鵻	cjyi	tjvi		tɕɥi	zhui1	8	上06A	支		
173	上平6脂	常	三	合	脂A	平	視隹	止	誰脽䜅	zjyi	zjvi		dʑɥi	chui2	3	上06A	支		
174	上平6脂	云	三	合	脂B	平	洧悲	止	帷	yi	hwy		ɦɻɥi	wei2	1	上06B	支		
175	上平6脂	並	三	開	脂B	平	符悲	止	邳鉟䲹岯魾䫠	bii	by		bɻi	pi2	6	上06B	支		
