序號	目次	聲	等	呼	韻部	調	反切	攝	字	古韻羅馬字	有女羅馬字	備註	正心擬音	推導拼音	小韻字數	hiunnOrder	平水韻目		說明：平聲31 上聲33 去聲15 入聲34
3362	入10月	明	三	合	元	入	望發	山	韤韈襪𥄎㒝	myat	mvat		mʉɤt	wa4	5	上22	月		
3363	入10月	曉	三	合	元	入	許月	山	䬂䟠泧狘䎀㞽	hyat	xvat		hʉɤt	xue	6	上22	月		
3364	入10月	影	三	開	元	入	於歇	山	謁閼暍𢉥黦	qiat	iat		ˀɨɤt	ye	5	上22	月		
3365	入10月	曉	三	開	元	入	許謁	山	歇蠍猲𤢔𦪬	hiat	xiat		hɨɤt	xie	5	上22	月		
3366	入10月	見	三	開	元	入	居謁	山	揭!訐𧼨羯𢶆鍻	kiat	kiat		kɨɤt	jie	6	上22	月		
3367	入10月	群	三	開	元	入	其謁	山	𢷒揭竭碣楬	giat	giat		ɡɨɤt	jie2	5	上22	月		
3368	入10月	滂	三	合	元	入	拂伐	山	怖	phyat	phvat		pʰʉɤt	fa	1	上22	月		
3369	入10月	疑	三	開	元	入	語訐	山	钀	ngiat	ngiat		ŋɨɤt	ye4	1	上22	月		
3370	入11沒*	明	一	合	魂	入	莫勃	臻	沒)!没殁(歿)𤣻𩑦𠬛莈	muot	muot		muot	mo4	6	上23	月		
3371	入11沒*	透	一	合	魂	入	土骨	臻	宊	thuot	thuot		tʰuot	tu	1	上23	月		
3372	入11沒*	見	一	合	魂	入	古忽	臻	骨縎鶻滑䮩啒淈汩愲蓇尳㾶榾䓛扢㒴	kuot	kuot		quot	gu	16	上23	月		
3373	入11沒*	並	一	合	魂	入	蒲没	臻	勃渤𩣡𩱚餑𡋯馞悖䄶郣浡𣭷𢠜㪍誖㶿桲孛艴挬脖𦸦鵓	buvt	buot		buot	bo2	23	上23	月		
3374	入11沒*	端	一	合	魂	入	當没	臻	咄柮𩢎𩨳	tuvt	tuot		tuot	du	4	上23	月		
3375	入11沒*	透	一	合	魂	入	他骨	臻	宊棁𠫓𡿮㥆䠈	thuot	thuot		tʰuot	tu	6	上23	月		
3376	入11沒*	定	一	合	魂	入	陀骨	臻	突揬腯鼵葖鶟堗𦩤鈯𦔅𣔻凸𡿮鍎	duot	duot		duot	du2	14	上23	月		
3377	入11沒*	影	一	合	魂	入	烏没	臻	𩑦腽(膃)殟嗢䯉榅揾淴馧	'uvt	uot		ʔuot	wu	9	上23	月		
3378	入11沒*	曉	一	合	魂	入	呼骨	臻	忽昒㾁匫寣笏䩐曶𨑥啒𣓗㦌𦁕䝆惚	huot	xuot	䝆原作⿱日㣇,說文作⿱曰⿻八㣇	χuot	hu	17	上23	月		
3379	入11沒*	疑	一	合	魂	入	五忽	臻	兀扤杌屼矹䦍鼿𦨉䑢𠨜㽾𤴰軏𧈭刖𦬂	nguot	nguot		ɴuot	wu4	16	上23	月		
3380	入11沒*	滂	一	合	魂	入	普没	臻	䪬昢哱㛘馞	phuvt	phuot		pʰuot	pu	5	上23	月		
3381	入11沒*	來	一	合	魂	入	勒没	臻	𢂤硉𨁸𥓎㪐	luvt	luot	𢂤原作⿰朿犮	luot	lu4	5	上23	月		
3382	入11沒*	溪	一	合	魂	入	苦骨	臻	窟顝泏𩑔矻堀𡑧㧾圣㩿𡑣䯇𡼿𥌄胐	khuot	quot		qʰuot	ku	15	上23	月		
3383	入11沒*	泥	一	合	魂	入	内骨	臻	訥㕯肭抐𣧍	nuot	nuot		nuot	nu4	5	上23	月		
3384	入11沒*	心	一	合	魂	入	蘇骨	臻	窣𪌯𪍛㲞𪖶𪅄㞕	suot	suot		suot	su	7	上23	月		
3385	入11沒*	清	一	合	魂	入	倉没	臻	猝卒𣨛𢪃𥾛	chuvt	cuot		tsʰuot	cu	5	上23	月		
3386	入11沒*	從	一	合	魂	入	昨没	臻	捽椊𪘧䚝崪𩩠	zuvt	dzuot		dzuot	zu2	6	上23	月		
3387	入11沒	匣	一	開	痕	入	下没	臻	麧𥝖齕紇淈	ghvt	hot		ʁʌt	he2	5	上24	月		
3388	入11沒*	匣	一	合	魂	入	戸骨	臻	搰扢𣝗𦗣𦖼抇鶻尳㨡𡰅滑	ghuot	huot		ʁuot	hu2	11	上23	月		
3389	入11沒*	精	一	合	魂	入	臧没	臻	卒倅稡	cuvt	zuot		tsuot	zu	3	上23	月		
3390	入12曷	匣	一	開	寒	入	胡葛	山	曷褐毼鶡蝎餲䫘𩩲骱㮫鞨	ghat	hat		ʁɑt	he2	11	上25	曷		
3391	入12曷	曉	一	開	寒	入	許葛	山	䫘𠿒喝猲𦤦㿣暍𩡔	hat	xat		χɑt	he	8	上25	曷		
3392	入12曷	端	一	開	寒	入	當割	山	怛𢛁妲呾炟䵣狚笪𦬹靼	tat	tat		tɑt	da	10	上25	曷		
3393	入12曷	透	一	開	寒	入	他達	山	闥㒓撻躂澾獺䲚𣥂羍𦍒達汏噧[韃]	that	that		tʰɑt	ta	13	上25	曷		
3394	入12曷	影	一	開	寒	入	烏葛	山	遏齃頞堨閼胺餲靄咹𠥜𢉥	qat	at		ʔɑt	e	11	上25	曷		
3395	入12曷	來	一	開	寒	入	盧達	山	剌揧辢䓶(辣)瘌攋糲癩𢈠轢𢃴䶛㻝𥈙楋喇|蝲	lat	lat		lɑt	la4	16	上25	曷		
3396	入12曷	溪	一	開	寒	入	苦曷	山	渴㵣𤸎䳚嵑磕骹䅥[瞌]	khat	qat		qʰɑt	ke	8	上25	曷		
3397	入12曷	定	一	開	寒	入	唐割	山	達薘	dat	dat		dɑt	da2	2	上25	曷		
3398	入12曷	從	一	開	寒	入	才割	山	巀囋囐㩵(砸)	zat	dzat		dzɑt	za2	4	上25	曷		
3399	入12曷	疑	一	開	寒	入	五割	山	嶭䡾屵枿𣡌櫱𣎴(蘖)𠱥㩵𠲗歺頇齾	ngat	ngat		ɴɑt	e4	13	上25	曷		
3400	入12曷	見	一	開	寒	入	古達	山	葛䈓獦割𩢛匃(丐)輵𨞛𥢸㵧	kat	kat		qɑt	ge	10	上25	曷		
3401	入12曷	心	一	開	寒	入	桑割	山	躠薩摋𥻦𠱡攃䉈𦼧𨐖|撒|	sat	sat		sɑt	sa	9	上25	曷		
3402	入12曷	清	一	開	寒	入	七曷	山	攃[擦]䌨礤	chat	cat		tsʰɑt	ca	3	上25	曷		
3403	入12曷	泥	一	開	寒	入	奴曷	山	捺𤷈䖧	nat	nat		nɑt	na4	3	上25	曷		
3404	入13末	明	一	合	桓	入	矛割	山	䔾	muat	muat		mɑt	mo4	1	上26	曷		
3405	入13末	明	一	合	桓	入	莫撥	山	末昩𩑷䀛䴲𨣱䬴秣𥬎靺韎苜粖𩱷𥽘䱅眜抹妺𠇱𢗿𡊉瀎𩿣沫𦫕袜[茉]	muat	muat	𦫕左从末而非未	muɑt	mo4	27	上26	曷		
3406	入13末	疑	一	合	桓	入	五活	山	枂	nguat	nguat		ɴuɑt	wo4	1	上26	曷		
3407	入13末	從	一	合	桓	入	藏活	山	柮	zuat	dzuat		dzuɑt	zuo2	1	上26	曷		
3408	入13末	幫	一	合	桓	入	北末	山	撥癶袚茇鉢[缽]盋䳊鱍䢌𩯌襏帗㤄𦪑驋筏|鮁|	puat	puat		puɑt	bo	16	上26	曷		
3409	入13末	精	一	合	桓	入	姊末	山	䰖拶㳨𠛱𨀨𤁢	cuat	zuat	拶右下从歹	tsuɑt	zuo	6	上26	曷		
3410	入13末	見	一	合	桓	入	古活	山	括活𣽅髺檜栝聒䒷𦸈鴰萿适銛佸頢劊葀䯏懖𦗾筈	kuat	kuat		quɑt	guo	21	上26	曷		
3411	入13末	溪	一	合	桓	入	苦栝	山	闊蛞筈适䟯𤫵	khuat	quat		qʰuɑt	kuo	6	上26	曷		
3412	入13末	匣	一	合	桓	入	戸括	山	活𣽅䄆越鬠佸秳姡	ghuat	huat		ʁuɑt	huo2	8	上26	曷		
3413	入13末	定	一	合	桓	入	徒活	山	奪𡙜敚(敓)脫挩莌痥鮵	duat	duat		duɑt	duo2	8	上26	曷		
3414	入13末	曉	一	合	桓	入	呼括	山	豁𧯆奯濊𤃴泧𣁳眓	huat	xuat		χuɑt	huo	8	上26	曷		
3415	入13末	影	一	合	桓	入	烏括	山	斡焥䩊捾𣁳嬒䁊睕𥄗	quat	uat		ʔuɑt	wo	9	上26	曷		
3416	入13末	精	一	合	桓	入	子括	山	繓撮攥	cuat	zuat		tsuɑt	zuo	3	上26	曷		
3417	入13末	滂	一	合	桓	入	普活	山	鏺𢯸𨂩㧊䣪𨡩𣸍𥄱鱍𧘟𦫔䍨𠷑	phuat	phuat		pʰuɑt	po	13	上26	曷		
3418	入13末	透	一	合	桓	入	他括	山	侻挩脫莌棁	thuat	thuat		tʰuɑt	tuo	5	上26	曷		
3419	入13末	來	一	合	桓	入	郎活	山	捋𠜖蛶㸹㭩	luat	luat		luɑt	luo4	5	上26	曷		
3420	入13末	端	一	合	桓	入	丁括	山	掇剟鵽腏祋咄裰敠	tuat	tuat		tuɑt	duo	8	上26	曷		
3421	入13末	清	一	合	桓	入	倉括	山	撮襊	chuat	cuat		tsʰuɑt	cuo	2	上26	曷		
3422	入13末	並	一	合	桓	入	蒲撥	山	拔!跋䟛𧺡𧺺魃𢇷軷䣮馛炦颰癹妭犮䚨 胈鈸䳊䮂菝坺𩃶茇䯋	buat	buat		buɑt	bo2	25	上26	曷		
3423	入14黠	匣	二	開	山	入	胡八	山	黠𩪲䕸䦖	ghret	haet		ʁɻæt	xia2	4	上28	黠		
3424	入14黠	莊	二	開	山	入	側八	山	札㱜蚻紮𩿤扎	cret	traet		tʂɻæt	zha	6	上28	黠		
3425	入14黠	並	二	開	山	入	蒲八	山	拔菝𥎱	bret	baet		bɻæt	ba2	3	上28	黠		
3426	入14黠	溪	二	開	山	入	恪八	山	𤫶(葜)擖劼鬝𩮁𠛉㓤硈𦸉䂒咭𢼣	khret	qaet		qʰɻæt	qia	12	上28	黠		
3427	入14黠	匣	二	合	山	入	戸八	山	滑猾䱻磆螖䴳𧽌鶻	ghruet	hoet		ʁɻuæt	hua2	8	上28	黠		
3428	入14黠	幫	二	開	山	入	博拔	山	八𩡩朳捌扒㺴䤢哵玐釟	pret	paet		pɻæt	ba	10	上28	黠		
3429	入14黠	知	二	合	山	入	丁滑	山	窡𠿡娺鵽聉	truet	toet		ʈɻuæt	zhua	5	上28	黠		
3430	入14黠	影	二	合	山	入	烏八	山	婠𣁳嗢䯉穵[挖]嗗	qruet	oet		ʔɻuæt	wa	6	上28	黠		
3431	入14黠	娘	二	合	山	入	女滑	山	豽貀㕯肭	nruet	noet		ɳɻuæt	na4	4	上28	黠		
3432	入14黠	初	二	開	山	入	初八	山	𪙻䕓察詧𣘤𥉻𩴳|檫	chret	chaet		tʂʰɻæt	chua	7	上28	黠		
3433	入14黠	見	二	合	山	入	古滑	山	劀=𠟽鱊	kruet	koet		qɻuæt	gua	3	上28	黠		
3434	入14黠	見	二	開	山	入	古黠	山	戛扴圿稭鴶楔秸骱鞂砎忦嘎𠜵𪃈袺㮖磍頡|恝	kret	kaet		qɻæt	jia	18	上28	黠		
3435	入14黠	影	二	開	山	入	烏黠	山	軋圠揠嫼䝟猰穵𥈔䰲窫	qret	aet	堰改揠	ʔɻæt	ya	10	上28	黠		
3436	入14黠	生	二	開	山	入	所八	山	殺煞鎩𣻑帴蔱榝	sret	shaet		ʂɻæt	sha	7	上28	黠		
3437	入14黠	明	二	開	山	入	莫八	山	㑻䀣齂䯦𪒜睰礣	mret	maet		mɻæt	ma	7	上28	黠		
3438	入14黠	曉	二	開	山	入	呼八	山	傄䀨	hrat	xaet		χɻæt	xia	2	上28	黠		
3439	入14黠	娘	二	開	山	入	女黠	山	痆𤷈𧞍	nret	naet		ɳɻæt	na4	3	上28	黠		
3440	入14黠	疑	二	合	山	入	五滑	山	𦤙聉𦘍	ngruet	ngoet		ɴɻuæt	wa4	3	上28	黠		
3441	入14黠	溪	二	合	山	入	口滑	山	䯇	khruet	qoet		qʰɻuæt	kua	1	上28	黠		
3442	入14黠	滂	二	開	山	入	普八	山	汃𪗔碒𨋐|叭|	phret	phaet		pʰɻæt	pa	4	上28	黠		
3443	入14黠	莊	二	合	山	入	鄒滑	山	茁	cruet	troet		tʂɻuæt	zhua	1	上28	黠		
3444	入15鎋	匣	二	開	刪	入	胡瞎	山	鎋舝轄𪗾鶷砎𧕱𤪍𦵯𡑧縖𩝛𥰶𠢆𢮟	ghrat	heat		ʁɻat	xia2	15	上27	黠		
3445	入15鎋	影	二	開	刪	入	乙鎋	山	𪆰䦪𡇼咀劜	qrat	eat		ʔɻat	ya	5	上27	黠		
3446	入15鎋	疑	二	開	刪	入	五鎋	山	齾聐𩮝𡿖	ngrat	ngeat		ɴɻat	ya4	4	上27	黠		
3447	入15鎋	初	二	開	刪	入	初鎋	山	刹䓭	chrat	chat		tʂʰɻat	cha	2	上27	黠		
3448	入15鎋	溪	二	開	刪	入	枯鎋	山	𥴭楬磍趏	khrat	qeat		qʰɻat	qia	4	上27	黠		
3449	入15鎋	曉	二	開	刪	入	許鎋	山	瞎𪗾𩮂㔠	hrat	xeat		χɻat	xia	4	上27	黠		
3450	入15鎋	徹	二	開	刪	入	他鎋	山	獺	thrat	theat		ʈʰɻat	cha	1	上27	黠		
3451	入15鎋	見	二	合	刪	入	古䫄	山	刮鴰劀䄆趏	kruvt	koat		qɻuat	gua	5	上27	黠		
3452	入15鎋	匣	二	合	刪	入	下刮	山	頢𤁪𦧠敌舌(𠯑)姡咶	ghruat	hoat		ʁɻuat	hua2	7	上27	黠		
3453	入15鎋	徹	二	合	刪	入	丑刮	山	䫄𤁫	thruat	thoat	缺氵䫄ok	ʈʰɻuat	chua	2	上27	黠		
3454	入15鎋	知	二	合	刪	入	丁刮	山	鵽錣窡娺	truat	toat		ʈɻuat	zhua	4	上27	黠		
3455	入15鎋	生	二	合	刪	入	數刮	山	刷	sruat	shoat		ʂɻuat	shua	1	上27	黠		
3456	入15鎋	疑	二	合	刪	入	五刮	山	刖䎳㱚䚴	ngruat	ngoat		ɴɻuat	wa4	4	上27	黠		
3457	入15鎋	初	二	合	刪	入	初刮	山	䵵㔍	chruat	choat		tʂʰɻuat	chua	2	上27	黠		
3458	入15鎋	明	二	開	刪	入	莫鎋	山	𥗥帓帕㩢	mrat	meat		mɻat	ma4	4	上27	黠		
3459	入15鎋	娘	二	合	刪	入	女刮	山	妠𤬷袦	nruat	noat		ɳɻuat	na4	3	上27	黠		
3460	入15鎋	幫	二	開	刪	入	百鎋	山	捌㭭	prat	peat		pɻat	ba	2	上27	黠		
3461	入15鎋	見	二	開	刪	入	古鎋	山	𪈟擖𩮁猰	krat	keat		qɻat	jia	4	上27	黠		
3462	入15鎋	崇	二	開	刪	入	査鎋	山	𨰉(鍘)耫㳐	zrat	drat		dʐɻat	zha2	3	上27	黠		
3463	入15鎋	知	二	開	刪	入	陟鎋	山	哳𢧖𧶇眣	trat	teat		ʈɻat	zha	4	上27	黠		
3464	入15鎋	日	二	開	刪	入	而轄	山	𩭿	nj'rat	reat	??4->1	ȵat		1	上27	黠		
3465	入16屑	心	四	開	先	入	先結	山	屑楔揳𨇨榍糏僁偰㴽𦵱𦞚㨝	set	set	12?	set	xie	11	下01	屑		
3466	入16屑	清	四	開	先	入	千結	山	切㗫𪙇竊柣沏䟙詧	chet	cet		tsʰet	qie	8	下01	屑		
3467	入16屑	見	四	開	先	入	古屑	山	結絜潔䥛鍥桔𣚃𧾯𪃈袺拮狤魝𡔣𧍩	ket	ket		qet	jie	15	下01	屑		
3468	入16屑	精	四	開	先	入	子結	山	節𢎛[卩]癤蝍楶𤁢㸅𡴺𩯰䲙幯𠬨𧞩	cet	zet	𡴺原作⿱⿴㔾丶山,𠬨原作⿸卪又	tset	jie	13	下01	屑		
3469	入16屑	曉	四	合	先	入	呼決	山	血𥅧䆷䆝䦑泬疦瞲決䛎䒸坹	huet	xuet		χuet	xue	12	下01	屑		
