單字	聲紐	呼	等	韻部	聲調	組	攝	聲母_定	韻母_定	聲調_定	備註									
巴	幫	開	二	麻	平	幫	假	b	aa	1										
叭	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	aa	1										
芭	幫	開	二	麻	平	幫	假	b	aa	1										
疤	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	aa	1										
笆	幫	開	二	麻	平	幫	假	b	aa	1										
粑	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	aa	1										
把	幫	開	二	麻	上	幫	假	b	aa	2										
靶	幫	開	二	麻	去	幫	假	b	aa	2										
爸	並	開	一	歌	上	幫	果	b	aa	2										
罷	並	開	三	支B	平	幫	止	b	aa	6										
霸	幫	開	二	麻	去	幫	假	b	aa	1										
壩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	aa	1										
吧	滂	開	二	麻	平	幫	假	b	aa	1										
峇	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	aa	1										
擺	幫	開	二	佳	上	幫	蟹	b	aai	2										
襬	幫	開	三	支B	平	幫	止	b	aai	2										
拜	幫	開	二	皆	去	幫	蟹	b	aai	1										
敗	並	開	二	夬	去	幫	蟹	b	aai	6										
湃	滂	開	二	皆	去	幫	蟹	b	aai	1										
陛	並	開	四	齊	上	幫	蟹	b	aai	6										
閉	幫	開	四	齊	去	幫	蟹	b	aai	1										
敝	並	開	三	祭A	去	幫	蟹	b	aai	6										
蔽	幫	開	三	祭A	去	幫	蟹	b	aai	1										
弊	並	開	三	祭A	去	幫	蟹	b	aai	6										
幣	並	開	三	祭A	去	幫	蟹	b	aai	6										
斃	並	開	三	祭A	去	幫	蟹	b	aai	6										
跛								b	aai	1	跛咗									
跛	幫	開	一	歌	上	幫	果	b	aai	2	腳有殘疾									
白	並	開	二	庚	入	幫	梗	b	aak	6										
百	幫	開	二	庚	入	幫	梗	b	aak	1										
佰	明	開	二	庚	入	幫	梗	b	aak	1										
北	幫	開	一	登	入	幫	曾	b	aak	2										
伯	幫	開	二	庚	入	幫	梗	b	aak	5	伯公									
帛	並	開	二	庚	入	幫	梗	b	aak	6										
蔔	並	開	一	登	入	幫	曾	b	aak	6										
乓	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	aam	1										
班	幫	開	二	刪	平	幫	山	b	aan	1										
斑	幫	開	二	刪	平	幫	山	b	aan	1										
頒	並	合	三	文	平	幫	臻	b	aan	1										
阪	幫	合	三	元	上	幫	山	b	aan	2										
板	幫	開	二	刪	上	幫	山	b	aan	2										
版	幫	開	二	刪	上	幫	山	b	aan	2										
粄	幫	開	一	寒	上	幫	山	b	aan	2										
闆	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	aan	2										
扮	幫	合	三	文	平	幫	臻	b	aan	6										
崩	幫	開	一	登	平	幫	曾	b	aang	1										
繃	幫	開	二	耕	平	幫	梗	b	aang	1	繃帶									
蹦	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	aang	1										
棒	並	開	二	江	上	幫	江	b	aang	6										
八	幫	開	二	山	入	幫	山	b	aat	1										
捌	幫	開	二	山	入	幫	山	b	aat	1										
拔	並	合	三	元	入	幫	山	b	aat	6										
跋	並	開	一	寒	入	幫	山	b	aat	6	習讀音應爲與形近字“拔”混淆導致									
包	幫	開	二	肴	平	幫	效	b	aau	1										
苞	幫	開	二	肴	平	幫	效	b	aau	1										
孢	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	aau	1										
胞	幫	開	二	肴	平	幫	效	b	aau	1										
飽	幫	開	二	肴	上	幫	效	b	aau	2										
鮑	並	開	二	肴	上	幫	效	b	aau	1	鮑魚									
爆	幫	開	二	肴	去	幫	效	b	aau	1										
卑	幫	開	三	支A	平	幫	止	b	ei	1										
悲	幫	開	三	脂B	平	幫	止	b	ei	1										
碑	幫	開	三	支B	平	幫	止	b	ei	1										
被	並	開	三	支B	去	幫	止	b	ei	6	被動									
備	並	開	三	脂B	去	幫	止	b	ei	6										
憊	並	開	二	皆	去	幫	蟹	b	ei	6	習讀音應爲讀半邊“備”導致									
鼻	並	開	三	脂A	去	幫	止	b	ei	6										
比	幫	開	三	脂A	上	幫	止	b	ei	2	比較									
妣	幫	開	三	脂A	上	幫	止	b	ei	2										
彼	幫	開	三	支B	上	幫	止	b	ei	2										
庇	幫	開	三	脂A	去	幫	止	b	ei	1										
痺	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	ei	1										
避	並	開	三	支A	去	幫	止	b	ei	6										
臂	幫	開	三	支A	去	幫	止	b	ei	1										
跛	幫	開	三	支B	去	幫	止	b	ei	1	站立時重心偏於某一足上									
泌	幫	開	三	脂B	去	幫	止	b	ei	1										
祕	幫	開	三	脂B	去	幫	止	b	ei	1										
秘	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	ei	1										
陂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	ei	4										
背	並	合	一	灰	去	幫	蟹	b	ei	5	背小孩									
奔	幫	合	一	魂	平	幫	臻	b	en	1										
笨	幫	合	一	魂	上	幫	臻	b	en	6										
彬	幫	開	三	真B	平	幫	臻	b	en	1										
賓	幫	開	三	真A	平	幫	臻	b	en	1										
濱	幫	開	三	真A	平	幫	臻	b	en	1										
檳	幫	開	三	真A	平	幫	臻	b	en	1										
繽	滂	開	三	真A	平	幫	臻	b	en	1										
臏	並	開	三	真A	上	幫	臻	b	en	1	習讀音應爲讀半邊“賓”導致									
鬢	幫	開	三	真A	去	幫	臻	b	en	1										
稟	幫	開	三	侵B	上	幫	深	b	en	2										
筆	幫	開	三	真B	入	幫	臻	b	et	2										
畢	幫	開	三	真A	入	幫	臻	b	et	2										
嗶	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	et	2										
不	幫	合	三	尤	平	幫	流	b	et	2										
柄	幫	開	三	庚	去	幫	梗	b	iaang	1	習讀音應爲韻母ing對應的白讀音									
餅	幫	開	三	清A	上	幫	梗	b	iaang	2	習讀音應爲韻母ing對應的白讀音									
病	並	開	三	庚	去	幫	梗	b	iaang	6										
啤	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	ie	1										
逼	幫	開	三	蒸	入	幫	曾	b	ik	2										
碧	幫	開	三	清B	入	幫	梗	b	ik	2										
壁	幫	開	四	青	入	幫	梗	b	ik	2										
璧	幫	開	三	清A	入	幫	梗	b	ik	2										
迫	幫	開	二	庚	入	幫	梗	b	ik	2										
鞭	幫	開	三	仙A	平	幫	山	b	in	1										
邊	幫	開	四	先	平	幫	山	b	in	1										
扁	幫	開	四	先	上	幫	山	b	in	2	扁平									
匾	幫	開	四	先	上	幫	山	b	in	2										
貶	幫	開	三	鹽B	上	幫	咸	b	in	2										
汴	並	開	三	仙B	去	幫	山	b	in	6										
便	並	開	三	仙A	去	幫	山	b	in	6	便利									
辨	並	開	三	仙B	上	幫	山	b	in	6										
辮	並	開	四	先	上	幫	山	b	in	1										
辯	並	開	三	仙B	上	幫	山	b	in	6										
變	幫	開	三	仙B	去	幫	山	b	in	1										
蝙	幫	開	四	先	平	幫	山	b	in	1										
柄	幫	開	三	庚	去	幫	梗	b	ing	2	文讀									
迸	幫	開	二	耕	去	幫	梗	b	ing	6	習讀音應爲讀半邊“并”導致									
冰	幫	開	三	蒸	平	幫	曾	b	ing	1										
兵	幫	開	三	庚	平	幫	梗	b	ing	1										
丙	幫	開	三	庚	上	幫	梗	b	ing	2										
秉	幫	開	三	庚	上	幫	梗	b	ing	2										
炳	幫	開	三	庚	上	幫	梗	b	ing	2										
并	幫	開	三	清A	平	幫	梗	b	ing	6										
並	並	開	四	青	上	幫	梗	b	ing	6										
摒	幫	開	三	清A	去	幫	梗	b	ing	2	習讀音應爲官話影響導致									
乒	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	ing	1										
屏	幫	開	三	清A	上	幫	梗	b	ing	2	屏除									
必	幫	開	三	真A	入	幫	臻	b	it	2										
別	並	開	三	仙B	入	幫	山	b	it	6										
癟	並	開	四	先	入	幫	山	b	it	6										
彆	幫	開	三	祭A	去	幫	蟹	b	it	1										
彪	幫	開	三	幽	平	幫	流	b	iu	1										
標	幫	開	三	宵A	平	幫	效	b	iu	1										
飆	幫	開	三	宵A	平	幫	效	b	iu	1										
鑣	幫	開	三	宵B	平	幫	效	b	iu	1										
表	幫	開	三	宵B	上	幫	效	b	iu	2										
錶	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	iu	1										
錶	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	iu	2	又讀									
雹	並	開	二	江	入	幫	江	b	ok	6										
薄	並	開	一	唐	入	幫	宕	b	ok	6										
泊	並	開	一	唐	入	幫	宕	b	ok	6										
博	幫	開	一	唐	入	幫	宕	b	ok	1										
搏	幫	合	三	虞	去	幫	遇	b	ok	1										
駁	幫	開	二	江	入	幫	江	b	ok	1										
箔	並	開	一	唐	入	幫	宕	b	ok	6										
膊	滂	開	一	唐	入	幫	宕	b	ok	1										
礴	並	開	一	唐	入	幫	宕	b	ok	6										
縛	並	開	一	歌	去	幫	果	b	ok	1										
魄								b	ok	6	旁魄									
卜	幫	開	一	東	入	幫	通	b	ok	2										
邦	幫	開	二	江	平	幫	江	b	ong	1										
幫	幫	開	一	唐	平	幫	宕	b	ong	1										
綁	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	ong	2										
榜	並	開	二	庚	平	幫	梗	b	ong	2										
傍	並	開	一	唐	去	幫	宕	b	ong	6	依山傍水									
磅								b	ong	6	一磅									
膀								b	ong	2	肩膀									
煲	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	ou	1										
煲	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	ou	5	一个煲									
褒	幫	開	一	豪	平	幫	效	b	ou	1										
保	幫	開	一	豪	上	幫	效	b	ou	2										
葆	幫	開	一	豪	上	幫	效	b	ou	2										
堡	幫	開	一	豪	上	幫	效	b	ou	2										
褓	幫	開	一	豪	上	幫	效	b	ou	2										
寶	幫	開	一	豪	上	幫	效	b	ou	2										
報	幫	開	一	豪	去	幫	效	b	ou	1										
暴	並	開	一	豪	去	幫	效	b	ou	6	凶暴									
捕	並	開	一	模	去	幫	遇	b	u	6										
哺	並	開	一	模	去	幫	遇	b	u	6										
補	幫	開	一	模	上	幫	遇	b	u	2										
布	幫	開	一	模	去	幫	遇	b	u	1										
步	並	開	一	模	去	幫	遇	b	u	6										
佈	幫	開	一	模	去	幫	遇	b	u	1										
怖	滂	開	一	模	去	幫	遇	b	u	1										
部	並	開	一	模	上	幫	遇	b	u	6										
埠	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	u	6	船埠，埠頭									
簿	並	開	一	模	上	幫	遇	b	u	6										
埔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	u	1										
暴	並	開	一	東	入	幫	通	b	uk	6	一暴十寒									
卜	幫	開	一	東	入	幫	通	b	uk	2										
僕	並	開	一	東	入	幫	通	b	uk	6										
蹼	幫	開	一	東	入	幫	通	b	uk	6										
瀑	並	開	一	豪	去	幫	效	b	uk	6										
曝	並	開	一	豪	去	幫	效	b	uk	6										
波	幫	開	一	歌	平	幫	果	b	uo	1										
玻	滂	開	一	歌	平	幫	果	b	uo	1										
菠	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	uo	1										
播	幫	開	一	歌	去	幫	果	b	uo	1										
簸	幫	開	一	歌	上	幫	果	b	uo	1										
坡	滂	開	一	歌	平	幫	果	b	uo	1										
杯	幫	合	一	灰	平	幫	蟹	b	uoi	1										
盃	幫	合	一	灰	平	幫	蟹	b	uoi	1										
貝	幫	開	一	泰	去	幫	蟹	b	uoi	1										
背	幫	合	一	灰	去	幫	蟹	b	uoi	1	背後									
狽	幫	開	一	泰	去	幫	蟹	b	uoi	1										
悖	並	合	一	灰	去	幫	蟹	b	uoi	1	習讀音應爲與近義詞“背”混淆導致									
悖	並	合	一	灰	去	幫	蟹	b	uoi	6	又音									
焙	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	uoi	6										
輩	幫	合	一	灰	去	幫	蟹	b	uoi	1										
吠	並	合	三	廢	去	幫	蟹	b	uoi	6	狗吠									
般	幫	開	一	寒	平	幫	山	b	uon	1										
搬	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	uon	1										
半	幫	開	一	寒	去	幫	山	b	uon	1										
伴	並	開	一	寒	上	幫	山	b	uon	6										
拌	滂	開	一	寒	平	幫	山	b	uon	6										
絆	幫	開	一	寒	去	幫	山	b	uon	6										
本	幫	合	一	魂	上	幫	臻	b	uon	2										
畚	幫	合	一	魂	上	幫	臻	b	uon	2										
叛	並	開	一	寒	去	幫	山	b	uon	6										
畔	並	開	一	寒	去	幫	山	b	uon	6										
胖	滂	開	一	寒	去	幫	山	b	uon	6	肥胖，習讀音應爲官話影響導致									
缽	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	uot	5										
撥	幫	開	一	寒	入	幫	山	b	uot	6										
勃	並	合	一	魂	入	幫	臻	b	uot	6										
脖	並	合	一	魂	入	幫	臻	b	uot	6										
渤	並	合	一	魂	入	幫	臻	b	uot	6										
叉	初	開	二	佳	平	莊	蟹	c	aa	1										
茶	澄	開	二	麻	平	知	假	c	aa	4										
查	崇	開	二	麻	平	莊	假	c	aa	4	檢查									
槎	崇	開	二	麻	平	莊	假	c	aa	4										
奼	徹	開	二	麻	上	知	假	c	aa	1										
岔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	c	aa	1										
差	初	開	二	麻	平	莊	假	c	aa	1	差別									
詫	徹	開	二	麻	去	知	假	c	aa	1										
猜	清	開	一	咍	平	精	蟹	c	aai	1										
差	初	開	二	佳	平	莊	蟹	c	aai	1	出差									
柴	崇	開	二	佳	平	莊	蟹	c	aai	4										
踩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	c	aai	2										
沏	清	開	四	先	入	精	山	c	aai	1										
妻	清	開	四	齊	平	精	蟹	c	aai	1										
萋	清	開	四	齊	平	精	蟹	c	aai	1										
淒	清	開	四	齊	平	精	蟹	c	aai	1										
悽	清	開	四	齊	平	精	蟹	c	aai	1										
棲	心	開	四	齊	平	精	蟹	c	aai	1										
齊	從	開	四	齊	平	精	蟹	c	aai	4	整齊									
砌	清	開	四	齊	去	精	蟹	c	aai	1										
切	清	開	四	齊	去	精	蟹	c	aai	1	一切									
隋	邪	合	三	支A	平	精	止	c	aai	4	又音									
隨	邪	合	三	支A	平	精	止	c	aai	4	又音									
冊	初	開	二	耕	入	莊	梗	c	aak	1										
策	初	開	二	耕	入	莊	梗	c	aak	1										
測	初	開	三	蒸	入	莊	曾	c	aak	1										
惻	初	開	三	蒸	入	莊	曾	c	aak	1										
拆	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	c	aak	1										
坼	徹	開	二	庚	入	知	梗	c	aak	1										
賊	從	開	一	登	入	精	曾	c	aak	1	文讀									
賊	從	開	一	登	入	精	曾	c	aak	5	白讀									
吒								c	aak	2	叱吒									
柵	初	開	三	庚	入	莊	梗	c	aak	1	木柵									
參	清	開	一	覃	平	精	咸	c	aam	1	參加									
慚	從	開	一	談	平	精	咸	c	aam	4										
蠶	從	開	一	覃	平	精	咸	c	aam	4										
慘	清	開	一	覃	上	精	咸	c	aam	2										
摻	生	開	二	咸	平	莊	咸	c	aam	1										
攙	崇	開	二	咸	平	莊	咸	c	aam	1										
饞	崇	開	二	咸	平	莊	咸	c	aam	4										
杉	生	開	二	咸	平	莊	咸	c	aam	1										
餐	清	開	一	寒	平	精	山	c	aan	1										
殘	從	開	一	寒	平	精	山	c	aan	4										
璨	清	開	一	寒	去	精	山	c	aan	1										
燦	清	開	一	寒	去	精	山	c	aan	1										
產	生	開	二	山	上	莊	山	c	aan	2										
剷	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	c	aan	2										
鏟	初	開	二	山	上	莊	山	c	aan	2										
曾	從	開	一	登	平	精	曾	c	aang	4	曾經									
層	從	開	一	登	平	精	曾	c	aang	4										
撐	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	c	aang	1										
瞠	徹	開	二	庚	平	知	梗	c	aang	1										
橙	澄	開	二	耕	平	知	梗	c	aang	4										
鐺	初	開	二	庚	平	莊	梗	c	aang	1	瓦鐺									
鐺	初	開	二	庚	平	莊	梗	c	aang	4	又音									
鎗								c	aang	1										
插	初	開	二	咸	入	莊	咸	c	aap	1										
擦	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	c	aat	1										
察	初	開	二	山	入	莊	山	c	aat	1										
刷	生	合	二	刪	入	莊	山	c	aat	1										
獺	透	開	一	寒	入	端	山	c	aat	1										
抄	初	開	二	肴	平	莊	效	c	aau	1										
鈔	初	開	二	肴	平	莊	效	c	aau	1	習讀音應爲官話影響導致									
巢	崇	開	二	肴	平	莊	效	c	aau	4										
吵	明	開	三	宵A	上	幫	效	c	aau	2										
炒	初	開	二	肴	上	莊	效	c	aau	2										
抽	徹	開	三	尤	平	知	流	c	aau	1										
臍	從	開	四	齊	平	精	蟹	c	ei	4	肚臍									
瞋	昌	開	三	真A	平	章	臻	c	en	1										
陳	澄	開	三	真B	平	知	臻	c	en	4										
塵	澄	開	三	真B	平	知	臻	c	en	4										
趁	澄	開	三	真B	平	知	臻	c	en	1										
襯	初	開	三	真B	去	莊	臻	c	en	1										
親	清	開	三	真A	平	精	臻	c	en	1	親人									
親	清	開	三	真A	去	精	臻	c	en	1	親家									
七	清	開	三	真A	入	精	臻	c	et	2										
柒	清	開	三	真A	入	精	臻	c	et	2										
漆	清	開	三	真A	入	精	臻	c	et	2										
廁	初	開	三	之	去	莊	止	c	i	1										
差	初	開	三	支B	平	莊	止	c	i	1	參差									
嗤	昌	開	三	之	平	章	止	c	i	1										
痴	徹	開	三	之	平	知	止	c	i	1										
池	澄	開	三	支B	平	知	止	c	i	4										
弛	書	開	三	支A	上	章	止	c	i	4										
持	澄	開	三	之	平	知	止	c	i	4										
馳	澄	開	三	支B	平	知	止	c	i	4										
遲	澄	開	三	脂B	平	知	止	c	i	4										
侈	昌	開	三	支A	上	章	止	c	i	2										
恥	徹	開	三	之	上	知	止	c	i	2										
齒	昌	開	三	之	上	章	止	c	i	2										
翅	書	開	三	支A	去	章	止	c	i	1										
熾	昌	開	三	之	去	章	止	c	i	1										
躇	澄	開	三	魚	平	知	遇	c	i	4										
櫥	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	c	i	4										
疵	從	開	三	支A	平	精	止	c	i	1										
茨	從	開	三	脂A	平	精	止	c	i	4										
瓷	從	開	三	脂A	平	精	止	c	i	4										
詞	邪	開	三	之	平	精	止	c	i	4										
磁	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	c	i	4										
雌	清	開	三	支A	平	精	止	c	i	1										
辭	邪	開	三	之	平	精	止	c	i	4										
此	清	開	三	支A	上	精	止	c	i	2										
次	清	開	三	脂A	去	精	止	c	i	1										
刺	清	開	三	支A	去	精	止	c	i	1										
賜	心	開	三	支A	去	精	止	c	i	1										
矢	書	開	三	脂A	上	章	止	c	i	2										
柿	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	c	i	2										
恃	常	開	三	之	上	章	止	c	i	1	茶匙，湯匙，一本作“瓷”									
姒	邪	開	三	之	上	精	止	c	i	1										
幟	書	開	三	之	去	章	止	c	i	1										
佇	澄	開	三	魚	上	知	遇	c	i	1										
貯	知	開	三	魚	上	知	遇	c	i	1										
茲								c	i	4	龜茲，國名									
尺	昌	開	三	清A	入	章	梗	c	iaak	1										
赤	昌	開	三	清A	入	章	梗	c	iaak	1										
綽	昌	開	三	陽	入	章	宕	c	iaak	1										
桌	知	開	二	江	入	知	江	c	iaak	1										
卓	知	開	二	江	入	知	江	c	iaak	1										
參	初	開	三	侵B	平	莊	深	c	iaam	1	參差									
沉	澄	開	三	侵B	平	知	深	c	iaam	4										
侵	清	開	三	侵A	平	精	深	c	iaam	1										
寢	清	開	三	侵A	上	精	深	c	iaam	2										
尋	邪	開	三	侵A	平	精	深	c	iaam	4										
青	清	開	四	青	平	精	梗	c	iaang	1	又音									
