来源：	由Pekkhak（啵啵）整理自《抚州方言研究》								
说明：	這份資料記錄是臨川上頓渡口音，並非老城區口音，其與老城區口音最大的區別在於陰平和陽去尚未合流								
#符号说明：-白=文*俗?待考									
#调值	［1］¹¹［2］²⁴［3］³⁵［5］⁴²［6］³³［7］²［8］⁵								
#ɿ									
ts	［1］资姿咨兹滋［3］紫姊滓子梓［5］置做								
tsʰ	［1］雌疵嗤［2］瓷辞词饲慈磁脐祠［3］此［5］刺次［6］自稚字巳痔								
s	［1］斯厮撕私师狮伺思似司丝［2］鹚［3］死使史驶［5］赐四肆祀［6］治-{~鱼：杀鱼}								
#i									
p	［1］稗碑卑婢陂潷{迫使汤汁流出}［3］彼俾鄙比［5］庇痹贝蔽敝泌闭必［6］陛								
pʰ	［1］批披被丕枇［2］陪裴皮疲脾琵枇［5］沛屁［6］弊币毙箅背避备蓖								
m	［2］迷谜糜弥眉楣媚［3］米靡美［5］寐［6］尾								
f	［1］恢非妃飞挥辉徽□{～嫩：很嫩}［2］回茴肥［3］贿毁翡匪［5］悔晦废肺痱费	［6］会={开～}汇绘吠惠慧穗贿								
t	［1］低知蜘支肢枝栀痴之芝脂旨狸［2］梨厘驴黎犁离篱璃［3］吕旅缕屡底抵礼纸只履里理鲤耻止趾址蛰指［5］制帝致至志痣［6］泪吏类虑滤例厉励丽荔利痢								
tʰ	［1］堤［2］题提蹄啼池驰持［3］体侈齿□{害羞}［5］梯替涕剃屉递滞智［6］第隶地治=弟								
ȵ	［2］愚娱泥倪宜仪谊尼疑［3］女语蚁你［5］腻□{迹~：痕迹}［6］遇寓艺义议毅御								
tɕ	［1］居车{~马炮}拘驹鸡稽饥肌几{茶～}基杞机饥讥妓［3］举矩嘴几{～个}［5］据聚句祭际济剂计继系髻寄冀忌记既瞖								
tɕʰ	［1］趋区妻栖溪欺巨惧［2］瞿齐脐奇骑岐期祈鰭其棋旗［3］取启企起岂［5］趣砌契器气汽［6］技拒具距								
ɕ	［1］墟虚嘘须需西犀兮奚施匙是牺尸诗嬉熙希稀［2］徐时随［3］许=洗眵玺徙矢始喜屎蟢髓口吝啬［5］序细续世势系{关系}戏试［6］叙绪婿誓逝氏豉示								
Ø	［1］於淤迂倚伊医衣依［2］余虞移于盂榆逾愉夷姨饴沂遗［3］雨与宇禹羽椅矣已以予	［5］愈缢意［6］誉豫预芋喻裕易肄异								
#u									
p	［3］补［5］布怖								
pʰ	［1］铺簿［2］菩蒲脯［3］谱普浦甫脯［5］铺埠讣［6］部步捕辅								
m	［2］模摹［3］母拇［6］暮慕墓募								
f	［1］呼乎夫肤敷俘孵［2］胡湖狐壶瓠符扶芙和{～牌}［3］虎浒府腑俯斧［5］付赋富副赴［6］户阜互沪护父附妇负								
t	［1］都诸诛蛛株朱硃珠［2］涂?［3］堵赌肚{鱼～}煮主［5］妬著驻註注蛀铸								
tʰ	［1］柱肚{〜子}［2］徒图屠途涂除厨［3］土吐{〜痰}［5］吐{呕~}兔处［6］杜渡度镀住								
l	［2］奴炉庐鸬芦［3］努鲁橹虏乳撸［6］怒路赂露鹭								
ts	［1］租［3］祖组阻								
tsʰ	［1］粗初［2］锄［3］楚［5］醋［6］助								
s	［1］苏酥梳疏蔬书舒输竖枢［2］储殊［3］所暑鼠署数{动词}［5］素诉塑嗦庶恕数{名词}戍漱［6］树								
k	［1］姑孤箍［3］古估牯股鼓［5］故固雇顾								
kʰ	［1］枯呼-{喚鸡的声音}［3］苦［4］库裤								
Ø	［1］乌坞污巫诬沃［2］吾梧无［3］午［5］恶{可~}［6］误悟务雾								
#a									
