#符号说明：-白=文/书*俗?待考	
#调值	[1]⁴⁴ [2]³¹ [3]⁵⁴ [5]³⁵ [6]²¹³
#ɿ	
ts	[1]孜雌资姿咨兹滋辎[3]紫姊子梓[6]自字牸祀巳寺
tsʰ	[2]疵瓷糍茨慈磁鹚伺辞词祠嗣饲[3]此[5]刺赐次似
s	[1]嘶斯厮撕私师狮蛳司丝思[3]死[5]四肆士仕事

#i	
p	[3]比[5]闭滗[6]煏蔽敝弊币毙陛鐾臂被婢被避庇痹备篦笔毕必逼碧璧辟僻辟壁
pʰ	[1]蓖批披丕纰[2]啤皮疲脾琵枇鼻匹[3]彼譬痞鄙[5]屁[6]霹劈
m	[2]迷眉媚[3]米糜靡[5]沕谜[6]汨秘泌密蜜匿觅弥
t	[1]低[3]底抵[5]蒂[6]谛缔迪滞帝啼弟第递隶地的滴嫡笛敌狄涤荻
tʰ	[1]锑{~毫：硬币}梯[2]堤屉题提蹄惕[3]体[5]嚏替涕剃[6]惕踢剔
n	[2]霓猕泥倪霓尼呢[3]你拟[5]腻[6]逆
l	[2]漓犁黎篱璃离梨厘狸栗[3]礼李里理鲤[5]泣[6]砺蛎俐莉蜊脷{~钱：猪舌头}沥呖雳例厉励丽荔蜊利痢吏立笠粒力历
ts	[1]孳荠[3]挤滓[5]祭际济剂[6]缉集辑疾即鲫积迹脊绩寂
tsʰ	[1]妻凄[2]齐脐七[5]峙[5]砌[6]漆膝戚
s	[1]西栖犀[3]洗[5]细婿[6]习袭息熄媳惜昔席夕锡析
tʃ	[1]知蜘支枝肢栀妓脂痴之芝[2]侄直[3]纸只{一~；不~}隻旨指止趾址衹[5]制智技致稚至痔治志痣这[6]质{品~；人~}置帜蛰执汁秩值织职识殖植
tʃʰ	[1]嗤[2]弛池驰踟迟祁持斥[3]侈耻齿始[6]食蚀赤尺
ʃ	[1]施尸诗[2]匙时十什[3]矢屎使史驶使[5]世势誓逝是氏豉示视柿试市恃侍式[6]玺湿拾实失室饰适释石
k	[1]鸡稽奇{~数}饥肌基机讥吃[3]几{茶几；老几}己纪杞幾[5]暨计继髻寄冀记忌既季[6]秸急级及吸桔吉橘极戟击激
kʰ	[1]欺[2]奇{~怪}骑岐歧鳍其棋期旗麒[3]启起岂[5]契企器气汽[6]祈
x	[1]蹊曦嘻禧溪奚兮牺嬉熙希稀[3]蚁喜徙[5]系戏弃艺{又}
Ø	[1]伊医衣依[2]怡胰宜仪谊移夷姨肄疑遗[3]倚椅矣已以[5]颐薏懿噫义议易{交~；容~}意异毅忆亿艺翼亦腋沂{又}[6]彝溢轶佚驿奕弈缢揖日乙一逸讫乞恤抑益译液

#u	
p	[1]卜[3]补[5]布怖不[6]部簿步埠
pʰ	[1]铺{床~}潽{沸水溢出}[2]菩脯葡讣朴卜[3]哺埔圃谱圃普浦蒲捕甫脯辅[6]扑仆
m	[2]模吾巫诬穆[3]母拇姆[6]暮慕墓募睦幕木目牧
f	[1]夫肤敷俘孵麸[2]扶[3]府腑俯斧抚釜腐[5]咐驸付赋傅咐父附富副妇负[6]符芙辐覆茯袱复佛弗拂沸福幅蝠复腹覆服伏
t	[1]嘟都督[2]读毒[3]睹堵赌肚[6]杜肚度渡镀渎踱独
tʰ	[2]徒屠途涂图秃[3]土[5]吐兔[6]突
n	[2]奴[3]努[6]怒
l	[2]鲈颅卢炉芦鸬庐驴鹿六[3]鲁橹虏卤[6]路赂露鹭辘麓漉碌禄陆绿录
ts	[1]租[3]狙祖组阻[6]助族足
tsʰ	[1]粗初[2]锄[3]楚础[5]醋[6]畜促束
s	[1]苏酥梳疏蔬[3]数{~钱}[5]素诉塑数{~目}漱[6]夙肃宿{~舍}缩粟俗
tʃ	[6]浊竹筑逐轴祝粥烛嘱触
tʃʰ	[6]畜筑{又}逐{又}
ʃ	[6]叔熟淑孰塾续属{归~}赎蜀瞩
k	[1]菇沽咕姑孤箍鸪辜估[3]蛊古盬牯股鼓[5]故固锢雇顾[6]酷骨谷
kʰ	[1]枯[3]苦[5]库裤[6]哭
ŋ	[2]梧
x	[2]弧胡湖狐壶葫蝴糊[3]虎浒[5]戽户沪互护握
Ø	[1]呜钨邬乌污坞[2]吴蜈无梧{又}[3]五伍午武舞侮鹉[5]误悟恶务雾戊[6]物勿屋

#y	
n	[3]女
l	[3]闾榈侣铝吕旅缕履[6]虑滤律率{效~}
ts	[6]咀沮聚卒{兵~}籍藉
tsʰ	[2]褚[5]趣
s	[1]须需荽[5]嗉絮序叙绪[6]戌术述
tʃ	[1]猪诛蛛株朱珠[3]煮主[6]储著诸拄驻注柱住注蛀铸
tʃʰ	[1]趋[2]徐除厨橱[3]处取娶[5]处[6]出
