#汉字	音标	解释
#来源	/	林德威《Problems in Comparative Chinese Dialectology》
#声调	/	1阴平455 2阳平22 3阴上35 5阴去14 6阳去阴入52 8阳上阳入43ʔ 9小称343
假	kʋ3	
嫁	kʋ5	
价	kʋ5	
架	kʋ5	
隔	kʋ6	
蛤	kʋ6	训，青蛙
甲	kʋ6	天干，指甲，马甲
咬	kʋʔ8	
客	kʰʋ6	
咳	kʰʋʔ8	
牙	ŋʋ2	
虾	hʋ2	虾，赤虾：婴儿
下	hʋʔ8	
夏	hʋ6	
下	hʋ6	一下
吓	hʋ6	
匣	hʋʔ8	
合	hʋʔ8	
麻	ma2	
痧	sa1	中暑
哕	uaʔ8	干呕
瓦	vʋʔ3	
话	vʋ6	
划	vʋʔ8	
瓜	kʋ1	
寡	kʋ3	
挂	kʋ5	
花	fʋ1	
画	fʋ6	
兜	tia1	下面
雕	tia1	修剪枝条
斗	tia3	
昼	tia5	
斗	tia5	拼接
豆	tia6	
偷	tʰia1	
头	tʰia2	
敨	tʰia3	
透	tʰia5	
跳	tʰiɵ5	
毒	tʰia6	
稠	nia2	训
纽	niaʔ3	
楼	lia2	两层的建筑
留	lia2	
漏	lia6	
走	tsia3	跑
馊	tsʰia1	
薮	sia3	鸟窝
搜	sia1	从袋子里拿出
瘦	sia5	
呕	ia3	蓝黑色，紫色
沤	ia5	
钩	kia1	
沟	kia1	
狗	kia3	
厚	kiɒo6	
够	kia5	
箍	kʰia1	
口	kʰia3	
猴	hia2	
帮	pɒoŋ1	一~人，帮助
膨	pɒoŋ1	用在传统的玩具气球
绑	pɒoŋ3	
捧	pʰɒoŋ3	
碰	pʰɒoŋ6	训，偷看
张	tɒoŋ1	装入
塘	tɒoŋ2	
堂	tɒoŋ2	
肠	tɒoŋ2	
长	tɒoŋ2	
盪	tɒoŋʔ8	
丈	tʃɒoŋʔ8	量词
当	tɒoŋ5	典当
汤	tʰɒoŋ2	
糖	tʰɒoŋ2	
烫	tʰɒoŋ5	
瓤	nɒoŋ1	
郎	lɒoŋ2	
浪	lɒoŋ6	
装	tsɒoŋ1	设置陷阱
庄	tsɒoŋ1	
壮	tsɒoŋ5	
撞	tsɒoŋ6	
仓	tsʰɒoŋ1	
疮	tsʰɒoŋ1	
床	tsʰɒoŋ2	
霜	sɒoŋ1	
张	tʃɒoŋ1	姓氏，量词
章	tʃɒoŋ1	
中	tʃɒoŋ1	
丈	tʃɒoŋʔ8	
帐	tʃɒoŋ5	蚊帐
账	tʃɒoŋ5	
长	tʃɒoŋ6	剩余
扬	tʃʰɒoŋ2	单脚跳
长	tʃʰɒoŋ2	长江，长汀
杖	tʃʰɒoŋ9	拐杖
唱	tʃʰɒoŋ5	
香	ʃɒoŋ1	
乡	ʃɒoŋ1	
伤	ʃɒoŋ1	
尝	ʃɒoŋ2	
响	ʃɒoŋ3	~雷公
上	ʃɒoŋʔ8	动词
向	ʃɒoŋ5	
上	ʃɒoŋ6	名词
尚	ʃɒoŋ6	和尚
肮	ɒoŋ1	~龟：乌龟
秧	ɒoŋ1	
影	ɒoŋ3	
黄	vɒoŋ2	
王	vɒoŋ2	
黄	vɒoŋ2	姓氏
抱	vɒoŋ3	训
旺	vɒoŋ6	火旺
缸	kɒoŋ1	
光	kɒoŋ1	
扛	kɒoŋ1	端
江	kɒoŋ1	
讲	kɒoŋ3	
钢	kɒoŋ5	
糠	kʰɒoŋ1	
刚	kʰɒoŋ1	
空	kʰaŋ5	一百~三：一百零三
房	fɒoŋ2	
楻	fɒoŋ2	大木桶
行	fɒoŋ2	
网	miɒoŋ3	
辆	liɒoŋ2	
量	liɒoŋ2	动词
梁	liɒoŋ2	
凉	liɒoŋ2	鸟睾丸
两	liɒoŋ3	两个，斤两
量	liɒoŋ6	名词
酱	tsiɒoŋ5	酱油
浆	tsiɒoŋ1	
浆	tsiɒoŋ3	
痒	tsiɒoŋʔ8	
将	tsiɒoŋ5	棋子
墙	tsʰiɒoŋ2	
抢	tsʰiɒoŋ3	
匠	tsʰiɒoŋ6	
像	tsʰiɒoŋ6	
箱	siɒoŋ1	
相	siɒoŋ1	
想	siɒoŋ3	
相	siɒoŋ5	样貌
象	siɒoŋ6	
痈	iɒoŋ1	
洋	iɒoŋ2	大块低地
羊	iɒoŋ2	
煬	iɒoŋ2	融化
杨	iɒoŋ2	杨梅
阳	iɒoŋ2	阴阳
旺	iɒoŋ6	热闹
姜	kiɒoŋ1	
强	kiɒoŋ2	训，用工具保持打开
娘	ŋiɒoŋ2	夫娘：妻子
让	ŋiɒoŋ6	
婆	pɵ2	
宝	pɵ3	
驳	pɵ6	交换，连接
薄	pɵʔ8	
藨	pʰɵ1	
浮	pʰiɵ2	浮，油炸
𦢊	pʰɵʔ8	虫子叮的包
粕	pʰɵ6	汤渣
雹	pʰɵʔ8	
毛	mɵ1	
冇	mɵ2	
磨	mɵ6	名词
帽	mɵ6	
戊	mɵ6	天干
刀	tɵ1	
逃	tʰɵ2	
倒	tɵ3	倒下，表示成功完成的动词后缀
倒	tɵ5	颠倒
到	tɵ5	
道	tɵ6	
啄	tɵ6	弯腰，点头，鸡啄食
择	tɵʔ8	
桃	tʰɵ2	
讨	tʰɵ3	
托	tʰɵ6	用背推，拿在头顶
糯	nɵ6	
□	lɵ1	训，锅巴
啰	lɵ1	
罗	lɵ2	
□	lɵ2	壁~：一种蜘蛛
佬	lɵ3	嘴~：嘴
老	lɵ3	
落	lɵʔ8	
糟	tsɵ1	
糟	tsɵ1	用于脏
槽	tsɵ2	
早	tsɵ3	
枣	tsɵ3	
左	tsɵ3	
灶	tsɵ5	
做	tsɵ5	
桌	tsɵ6	
作	tsɵ6	作田，一起
搓	tsʰɵ1	
草	tsʰɵ3	
糙	tsʰɵ5	
错	tsʰɵ1	
锉	tsʰɵ5	
凿	tsʰɵʔ8	
□	sɵ1	用于孕穗
梭	sɵ1	
唆	sɵ1	
锁	sɵ3	
嫂	sɵ3	
扫	sɵ5	
索	sɵ6	
朝	tʃɵ1	
招	tʃɵ1	招赘
照	tʃɵ5	
烧	tʃʰɵ1	热闹
笑	tʃʰɵ5	
着	tʃʰɵʔ8	正确
少	ʃɵ3	
屙	ɵ1	
恶	ɵ6	小孩表现好
呃	ɵʔ8	打嗝
窝	vɵ1	山谷
和	vʋʔ8	用筷子搅拌
高	kɵ1	
歌	kɵ1	
篙	kɵ1	
糕	kɵ1	
果	kɵ3	
过	kɵ5	
告	kɵ5	盖章
钁	kɵ6	锄头
郭	kɵ6	
桷	kɵ9	
角	kɵ9	
搉	kɵʔ8	敲
去	kʰɵ5	
壳	kʰɵ6	
蜈	ŋɵ2	
鹅	ŋɵ2	
饿	ŋɵ6	
豪	hɵ2	豪猪
荷	hɵ2	
河	hɵ2	河溪：银河
好	hɵ3	
好	hɵ3	作~：一起
学	hɵʔ8	
尿	tsʰiɵ3	训，尿在一个地方
曲	tsʰiɵ6	训，牙齿弯曲
拨	siɵ6	训，把头发拨开
赵	tʃʰɵ6	
腰	iɵ1	
摇	iɵ2	
窑	iɵ2	
要	iɵ5	
药	iɵʔ8	
钥	iɵʔ8	
轿	kiɵ6	
脚	kiɵ6	
窥	kiɵʔ8	训，窥探
攫	kʰiɵ6	从地上捡起
箬	ŋiɵʔ8	叶子
箬	ŋiɵʔ8	训，~婆：鹰
尿	ŋiɵ6	尿，~䘆：蚯蚓
薸	pʰiɵ2	
挑	tʰie1	托架
捞	liɵ1	
椒	tsiɵ1	
蕉	tsiɵ1	
匀	tsiɵ2	训，均匀
噍	tsiɵ6	
樵	tsʰiɵ2	
箫	siɵ1	*桥~：一种蜘蛛
箫	siɵ1	
硝	siɵ1	盐的沉积物
桥	kiɵ2	
茄	kiɵ2	
桥	kiɵ2	~*箫：一种蜘蛛
夫	pu1	~娘：妻子
烰	pu2	烤，水煮
菩	pu2	
浮	pu2	训，一~粪
脯	pu2	
䊿		衣服的卷边
瓠	pu2	葫芦
浮		~竹：地名
补	pu3	
脯	pu3	
斧	pu3	
父		伯
妇	pu6	新妇
布	pu5	
孵	pu6	
步	pu6	
簿	pu6	
腐	pu6	豆腐
部	pu6	
铺	pʰu1	
殕	pʰu1	发酵
殕	pʰu3	霉
殕	pʰu3	灰暗的
潽	pʰu5	水溢出来
亩	mia3	
屠	tu2	
肚	tu3	
赌	tu3	
杜	tu6	
涂	tʰu2	~潭：地名
土	tʰu3	
吐	tʰu5	
兔	tʰu5	
奴	nu2	
黸	lu1	铁锈
炉	lu2	
卤	lu3	
露	lu5	
芦	lu5	~箕：芒箕
路	lu6	
珠	tʃiu1	
抽	tʃʰiu1	鞭打（小孩）
手	tʃʰiu3	
臭	tʃʰiu5	
收	ʃiu1	
守	ʃiu3	
受	ʃiu6	
乌	u1	
雨	u3	
舞	u3	
芋	u6	
姑	ku1	
姑	ku1	耳~
菇	ku1	
糊	fu2	
鼓	ku3	凸出
久	ku9	时间久，现在
古	ku9	故事
鼓	ku9	
牯	ku9	
股	ku9	翼~
跍	ku6	蹲下
舅	kuʔ8	
丘	kʰu1	一~田
枯	kʰu1	油饼
苦	kʰu3	
杵	kʰu3	
裤	fu5	
吴	ŋu2	
糊	fu2	训，撇汤
胡	fu2	~蝇
胡	fu2	胡须
壶	fu2	
胡		姓氏，胡椒
湖	fu2	文读
糊		
虎	fu3	
赴	fu5	~墟
富	fu5	
副	fu5	一~棺材
戽	fu5	洒
傅	fu5	姓
傅	fu6	师傅
妇	fu6	寡妇
抽	tʃʰiu1	
绸	tʃʰiu2	
丑	tʃʰiu3	地支
溜	liu1	蛇爬行
刘	liu2	
榴	liu2	石榴
吐	liu3	训，吐痰
柳	liu3	
遛	liu5	训，瓜夹
啾	tsiu1	哭
酒	tsiu3	
揪	tsiu5	训，弯曲，拧
就	tsiu6	
鞦	tsʰiu1	
须	tsʰiu1	
秋	tsʰiu1	
泅	siu2	游泳
油	iu2	
酉	iu3	地支
右	iu6	
又	iu6	
九	kiu3	
旧	kiu6	
球	kiu2	
扭	ŋy3	
分	pə̃1	给
本	pə̃3	
粪	pə̃5	
奋	pɒ5	训，用前脚挖
潘	pʰə̃1	泔水
㖹	pʰə̃2	吹
坟	pʰə̃2	
盆	pʰə̃2	
喷	pʰə̃5	泼洒
满	mə̃1	训，溢出，满
蚊	mə̃1	
门	mə̃2	
问	mə̃5	
顿	tə̃5	
顿	tə̃5	捅，用拳头打
吞	tʰə̃1	
耸	nə̃1	训，耸肩
轮	lə̃2	训，竹鼠
轮	lə̃2	
蜦	lə̃6	一种青蛙
村	tsʰə̃1	
寸	tsʰə̃5	
孙	sə̃1	
寻	sə̃2	
笋	sə̃3	
闩	sə̃3	训
云	və̃2	
浑	və̃2	
炆	və̃2	
混	və̃5	打滚
揾	və̃6	沾蘸料
汶	və̃ʔ8	闷热，用暗火烧
裙	kuə̃2	
混	kuə̃2	训，用大量水煮
滚	kuə̃3	滚水
滚	kuə̃3	滚动
棍	kuə̃e3	
薰	fə̃1	烟，古田：薰
分	fə̃1	一~
粉	fə̃3	
份	fə̃6	
