#汉字	音标	解释
#来源	/	林德威《Problems in Comparative Chinese Dialectology》
#声调	/	1阴平455 2阳平22 3阴上35 5阴去14 6阳去阴入52 8阳上阳入43ʔ 9小称343
起	kʰi3	
徛	kʰiʔ8	
气	cʰi5	
器	kʰi5	
眨	kʰɪ6	训，闭眼，眨眼
缺	kʰɪ6	
吹	kʰʉi1	
炊	kʰʉi1	
疖	kʰʉi2	训，脓疮
咍	ŋi1	笑，杀人前歇斯底里的笑
热	ŋiəiʔ8	
蟹	hɪ3	
喜	hi3	
戏	hi5	
係	ʃɪ6	
狭	hiʔ8	
肺	fi5	
睡	fɪ6	
血	fi6	
面	məiŋ6	一~旗
篾	məiʔ8	
宜	ŋi2	便宜
染	ŋiəiŋ3	
耳	ŋiəeiŋ3	
蚁	ŋiəeiŋ3	
二	ŋiəiŋ6	
入	ŋiəiʔ8	
日	ŋiəiʔ8	
余	y2	
乳	y2	腐乳
俞	y6	
猪	ky1	
珠	ky1	
朱	ky1	
车	ky1	
除	ky2	
橱	ky2	
主	ky3	
煮	ky3	
举	ky3	
柱	kyʔ8	
苎	kyʔ8	
句	ky5	
锯	ky5	
箸	ky6	
住	ky6	
拄	ky6	拄拐杖
嬉	kʰy1	
除	kʰy2	锄头
锤	kʰy2	
鼠	kʰy3	
鱼	ŋy2	
女	ŋy3	
书	fy1	
梳	fy1	
输	fy1	
疏	fy1	
墟	fy1	
薯	fy2	
水	fy3	
许	fy3	
树	fy6	
杯	pɛ1	
飞	pɛ1	
陪	pɛ2	
背	pɛʔ8	背在背上或肩上
背	pɛ5	
焙	pɛ6	
背	pɛ6	背诵
倍	pɛʔ8	
发	pɛ6	
被	pʰɛ3	
杮	pʰɛ5	木片
梅	mɛ2	
糜	mɛ2	
媒	mɛ2	
尾	mɛ3	
妹	mɛ5	
袜	maʔ8	
堆	tɛ1	
搥	tɛ2	
锤	tɛ2	砝码
苔	tɛ2	
短	tɛ3	
对	tɛ5	
碓	tɛ5	
袋	tɛ6	
代	tɛ6	
梯	tʰɛ1	
胎	tʰɛ1	
腿	tʰɛ3	
退	tʰɛ5	
雷	lɛ2	
擂	lɛ2	
螺	lɛ2	田螺，膝头螺
猡	lɛ9	训，一种小猴子
篓	lɛ3	训，鱼篓
蕾	lɛ2	
朘	tsɛ1	阴茎
