#符号说明：-白=文/书*俗?待考	
#调值	［1］21［2］35［3］212［5］53 ［7］5
#ɿ	
s	[1]尿虽[2]隋髓随=谁蛇[5]岁碎穗祟隧
k	[3]给
#uei	
ts	[1]追锤椎[5]缀坠
tsʰ	[1]吹[2]垂捶锤槌
s	[3]水[5]税睡瑞
z	[3]蕊[5]锐瑞
k	[1]归规龟闺[3]鬼诡轨[5]贵桂柜鳜
kʰ	[1]亏窥盔[2]葵奎魁逵[3]傀跪[5]愧溃跪
x	[1]灰恢诙挥辉晖徽[2]回茴蛔[3]毁悔[5]会绘烩汇彗慧卉惠秽贿讳晦
	[1]威偎煨[2]韦违围帷惟唯维为桅危微薇巍苇圩[3]尾伪纬伟委萎[5]未味为畏喂胃谓蝟渭尉慰蔚卫魏位芮
#ɔ	
p	[1]包胞苞[3]宝保堡葆饱褒[5]报刨抱鲍豹暴爆
pʰ	[1]抛[2]袍咆跑[5]泡疱炮
m	[1]猫[2]毛髦矛茅锚[3]卯铆[5]冒帽貌
t	[1]刀叨[3]岛捣祷导蹈倒[5]到道稻盗悼倒
tʰ	[1]掏滔涛[2]桃逃淘陶萄[3]讨[5]套
l	[1]捞孬[2]劳疲牢[3]老姥佬脑恼瑙[5]涝闹
ts	[1]糟遭召招昭朝[3]早枣澡藻找沼笊[5]造皂灶照兆罩赵躁
tsʰ	[1]操抄超[2]曹嘈槽朝潮嘲巢[3]草吵炒[5]糙噪躁燥钞
s	[1]骚臊烧梢稍捎艄筲[2]勺韶[3]扫嫂少[5]绍邵哨少
k	[1]高篙膏羔糕跤教[3]搞稿[5]告觉窖较
kʰ	[1]敲[3]考烤拷[5]靠铐
x	[1]蒿[2]豪壕嚎毫[3]好[5]号耗浩皓好
	[1]嗷[2]敖熬遨翱鏖饶扰[3]袄咬[5]傲奥懊澳坳拗绕
#iɔ	
p	[1]标膘彪瞟[3]表裱婊[5]嫑
pʰ	[1]飘漂[2]瓢嫖[5]票漂
m	[2]苗描瞄秒[3]渺藐[5]妙庙
t	[1]刁叨貂凋雕[3]席[5]吊钓掉碉调
tʰ	[1]挑[2]条笤迢调[3]调[5]跳眺
l	[2]僚嘹燎獠缭辽疗聊撩镣[3]鸟袅了潦[5]料撂尿
tɕ	[1]交郊胶蛟姣骄娇浇焦蕉礁椒跤教[3]狡皎绞饺缴侥搅剿[5]叫轿较教校嚼{正字应为“噍”}噍{《当涂县志》误记为“嚼”}
tɕʰ	[1]悄锹跷敲[2]乔桥侨荞瞧樵憔[3]巧[5]窍撬橇俏峭诮鞘翘
ɕ	[1]肖消宵逍硝销霄萧箫嚣淆[3]晓小[5]笑效孝啸校嚣
	[1]腰夭妖幺吆邀要[2]摇遥谣瑶窑姚尧[3]舀[5]耀跃要
#o	
p	[1]播玻波菠[3]跛[5]簸
pʰ	[1]坡[2]婆[3]颇[5]破剖
m	[1]摸[2]模摹摩磨魔蘑膜漠谋[3]亩母拇姆牡某[5]墓暮幕募慕磨
t	[1]多[3]朵躲[5]剁跺垛舵惰堕
tʰ	[1]拖[2]驼鸵陀驮[3]妥椭
l	[1]啰[2]罗锣萝逻螺骡[3]裸[5]摞
ts	[3]左佐[5]坐座做
tsʰ	[1]搓蹉[2]昨[5]错措挫锉
s	[1]唆梭蓑[3]锁琐所
k	[1]锅哥歌戈过[3]果裹[5]过个
kʰ	[1]科蝌苛柯棵颗[3]可[5]课
x	[1]呵[2]何河荷禾和[2]伙火[5]货祸和贺
	[1]窝蜗屙[2]鹅俄娥蛾峨哦讹[3]我[5]卧饿
#əɯ	
f	[3]否
t	[1]兜都[3]抖蚪陡斗[5]豆痘逗窦斗
tʰ	[1]偷[2]头投[5]透
l	[2]楼娄[3]篓搂[5]漏陋镂
ts	[1]邹州洲舟周诌遮[3]走帚肘[5]奏揍咒宙皱昼骤纣
tsʰ	[1]抽车[2]仇酬愁绸稠惆踌畴筹[3]丑扯[5]凑臭
s	[1]搜嗖馊飕收奢赊[2]佘蛇[3]叟擞守手首舍[5]嗽受授兽瘦寿售射社舍
k	[1]勾沟钩篝[3]狗苛枸[5]够构购
kʰ	[1]抠眍[3]口[5]扣寇
x	[1]齁[2]侯猴喉瘊[3]吼候[5]后厚候
	[1]欧殴讴呕[2]柔蹂揉[3]藕偶[5]怄肉
#iəɯ	
m	[5]谬
t	[1]丢
l	[1]溜[2]流琉硫留瘤榴馏刘牛[3]柳扭纽钮忸妞[5]遛溜
tɕ	[1]纠赳鸠揪鬏灸[3]久玖九韭酒[5]旧臼舅救咎疚厩就究
tɕʰ	[1]丘蚯秋阄[2]求救裘囚泅酋
ɕ	[1]休修羞[3]朽[5]秀绣锈袖嗅宿
	[1]优忧悠幽[2]由油邮尤犹游[3]有友酉[5]幼右佑柚釉又诱
#ã	
p	[1]班斑颁扳般邦帮梆浜[3]板版榜膀绑[5]办瓣扮蚌棒傍谤镑磅泵
pʰ	[1]攀滂乓[2]彷旁膀傍滂庞[5]判=叛=畔盼绊胖襻
m	[1]蛮[2]忙盲氓芒茫莽蟒蛮[5]曼慢漫=蔓
f	[1]番翻方芳坊[2]凡矾帆烦繁樊房防妨肪[3]反返仿纺访[5]饭贩泛范犯放
t	[1]丹单担耽眈当铛噹[3]胆掸疸党挡档[5]旦但担弹淡氮蛋诞荡当档宕
tʰ	[1]摊滩瘫坍汤[2]谈痰潭谭弹檀坛=昙唐塘搪糖堂膛螳棠[3]坦袒毯倘淌躺[5]炭探叹烫趟
l	[2]兰拦栏澜斓蓝篮褴婪南楠喃难男狼琅郎廊榔螂囊[3]览揽榄懒朗[5]滥烂难浪缆
ts	[1]瞻脏赃臧章彰樟獐蟑张[3]展辗斩崭盏长涨掌[5]赞暂占站战栈绽蘸湛葬藏脏丈杖仗帐胀障幛嶂
tsʰ	[1]参餐搀掺仓苍沧舱昌猖菖娼[2]残惭缠蝉馋谗潺蟾藏长肠常尝[3]惨产铲阐厂敞场偿[5]灿颤忏唱倡怅畅
s	[1]三山衫删珊姗跚桑丧伤商[3]伞散闪=陕嗓赏[5]散善=擅丧尚上
k	[1]干=肝=甘=柑尴缸肛冈刚钢纲豇[3]赶=杆竿感敢=橄岗港讲[5]干赣杠虹-
kʰ	[1]刊看=堪勘康糠[2]扛[3]砍坎[5]看=抗炕
x	[1]酣憨罕夯[2]含函涵=寒=韩杭航行咸[3]喊[5]汗=旱悍捍焊翰汉憾撼巷苋陷项
	[1]安=鞍=氨庵=肮淹[2]昂然燃[3]染嚷壤眼[5]岸按案=暗=让晏雁
#iã	
l	[2]良粮凉梁粱量娘酿[3]两俩辆仰[5]亮晾谅量酿
tɕ	[1]江疆僵缰姜将浆[3]奖桨蒋讲[5]匠酱将糨犟降
tɕʰ	[1]腔枪呛锵[2]强墙蔷降详祥翔[3]抢强[5]呛
ɕ	[1]香乡相箱厢湘襄镶[3]响想享[5]向项象像橡相
	[1]央秧殃鸯[2]羊洋佯烊阳扬杨疡[3]养痒氧仰[5]样漾烊恙
#uã	
ts	[1]庄桩装妆[3]奘[5]赚壮状
tsʰ	[1]窗疮[2]床[3]闯[5]创撞
s	[1]拴栓闩双霜[3]爽
k	[1]关观=冠=光胱[3]广[5]贯=惯冠=逛掼
kʰ	[1]筐框眶[2]狂[3]款=[5]况旷矿
x	[1]欢=荒慌[3]还环寰桓皇凰惶徨煌蝗黄磺簧潢[3]缓=谎恍幌[5]唤=痪=患宦幻豢晃
	[1]弯湾汪[2]玩顽完-王亡[3]宛婉=惋晚挽鞔皖=往枉网惘腕=[5]万旺忘妄望
#iɪ̃	
p	[1]边编鳊蝙鞭[3]扁匾贬[5]遍辨辩辫便变
pʰ	[1]偏篇翩[2]便[5]片骗遍
m	[2]棉绵眠[3]免勉冕缅[5]面
t	[1]颠掂踮[3]典点[5]电佃甸店惦殿垫奠
tʰ	[1]天添[2]田甜填[3]舔[5]掭
