#ɿ	
∅	[3]雅[4]也野涯[5]亚[6]夜晚[7]轭
#uɑ	
s	[7]涮刷甩
k	[1]瓜乖[3]寡拐[4]□{大～佬，蜘蛛}□{握}[5]怪挂卦[6]□{量词，走一步}[7]剐割刮
kʰ	[1]夸[3]垮{～台}[6]胯[7]块
∅	[3]□{呕吐}[6]□{回去：～去}[7]挖掘
#iæ	
∅	[4]药
#ie	
p	[6]鼻卜[7]憋笔北逼壁□{哥哥}
pʰ	[4]撇僻劈
m	[4]灭篾蜜墨[7]□{酒窝}
f	[6]□{眼～，眼珠}
t	[4]叠谍[6]坠跌着{著。睡～了，找～了；猜～了；～急，～凉}□{看见：看～}[7]拿得{给}得德
tʰ	[4]踢
n	[2]来[4]站猎立笠列烈裂劣两{～斤}肋力[7]颗聂粒栗
tʃ	[1]遮埼[2]豺柴[3]姐者[4]在捷[5]借蔗鹧肉[6]侄直值[7]烤劄蜇疾鲫积脊隻炙□{刺、扎}□{用几个手指尖抓一撮米、捏}
tʃʰ	[1]车{～辆}[3]且扯[4]七漆出赤尺戚[5]妾□{动词，绕路}
ȵ	[3]惹[4]业入进日{～头}[7]日
ʃ	[1]奢赊[2]蛇[3]捨[4]佘喝吃□{麻雀：～甲鸟}[5]泻卸谢麝舍社懈泄[6]射十拾悉实室惜席石[7]湿膝虱息
k	[4]杰洁[7]急脚激足□{火帽：～子}
x	[1]蝎[4]谐协胁
∅	[1]腰[2]斜窑尧谊[4]乙[6]鹞[7]揖一益驿
#ye	
t	[6]朵躲笛[7]竹烛□{一泡尿}
tʰ	[5]吐{～痰}
n	[4]掠六绿
tʃ	[3]左佐[4]坐座绝爵
tʃʰ	[1]搓[5]锉措错
ȵ	[4]耳
ʃ	[1]蓑[3]锁琐写髓唢[7]薛雪削{剥～}锡粟
k	[4]诀觉{感～}[7]厥蕨决骨橘国
kʰ	[4]缺
∅	[4]悦阅越粤
#o	
p	[1]波{～浪}菠褒包胞苞泊{濼，陂濼，梁山～。补遗}[3]饱[4]博[5]薄{～荷}豹爆曝[6]刨{削也}鉋刨{～花}
pʰ	[1]抛脬[4]迫[5]炮泡{氵奅，浸～}雹瀑龅
m	[3]□{掩耳}□{壅火：～火}[4]模{～范}莫膜寞[6]骂忘
t	[1]棵株兜蔸[2]屠头驼[3]斗抖[4]夺[5]舵剁[6]豆痘
tʰ	[1]偷[3]妥椭㪗[4]驮{～子}[5]唾透
n	[1]囉[2]螺掏捞楼搂{～钱}耧[3]篓搂{～抱}[4]骆洛络乐{快～}[5]诺瘰[6]涝闹漏陋
ts	[1]周舟州洲[2]愁[3]跑爪找走[4]拙酌卓□{一串葡萄}[5]罩皱咒
tsʰ	[1]抄钞[3]炒吵[4]撮[5]凑臭
s	[1]稍搜飕馊收[2]仇{雠，～敌}[3]所手首守□{抖衣服上的灰尘}[5]潲嗽瘦兽哨[6]受寿授
k	[1]交胶勾钩沟阄[3]搞狗苟犬虼[4]郭[5]教{～书}教{～训也}窖觉{睡～}叫{～花子}够构
kʰ	[1]科敲抠扣{～扳机}搕[3]可{～能}考[4]括廓扩[5]课扣{～住}寇
ŋ	[3]荷{～花}藕偶呕折{～断}[4]咬
x	[2]喉{～病}[3]口[4]荷{薄～}厚或惑获[5]贺孝霍藿□{去年：～年}[6]後后候
∅	[1]倭凹瓯[5]卧傲坳沤怄
#io	
n	[4]略
tʃʰ	[4]雀鹊
ȵ	[4]弱虐
ʃ	[4]削
k	[1]鸠[2]求球[3]九久韭[4]舅[5]救[6]旧
kʰ	[4]确
∅	[1]妖优忧幽[2]揉尤邮由油游[4]有友酉若约跃嶽乐{音～}岳[6]右柚釉
#ɤ	
p	[1]波{～斯}玻巴{下～}划[2]婆耙排牌簰筏[4]跛[5]簸{～一～}[6]薄{厚～}[7]拨驳
pʰ	[1]剖[5]破
m	[1]揩[2]埋茅[4]买末沫默[5]□{背带：～带}[6]卖迈[7]擦抹{拭也。～布，～桌子}袜
f	[2]和{调也，如～泥}喉{～咙}猴瘊[3]火伙吼[5]货[6]祸
t	[2]台臺[4]□{里，内}
tʰ	[4]特
n	[5]倦[6]那耐奈
ts	[2]材财裁[4]子{桃～}浙泽择责
tsʰ	[4]厕彻撤测策册
s	[1]师{老～}狮[4]摄涉设[5]祀[6]士事侍什
k	[1]□{拇指中指张开的长度}[4]葛阁搁革
kʰ	[4]刻克
ŋ	[1]硙□{砚台：～碗}[2]牙芽挨崖捱挠[4]瓦额[6]碍艾隘
x	[2]靴鞋[4]核{审～}
∅	[3]尔[4]俄而
#uɤ	
k	[1]锅[3]果裹[5]过焦
ŋ	[2]牛
∅	[1]窠窝涡{旋～}蜗巢群涡{转～}[2]禾[4]我
#iu	
∅	[4]育辱褥域
#ai	
p	[1]碑椑[3]彼鄙比[4]被[5]贝别滗潷[6]婢庇备篦□{着火：～火}[7]剥掰
pʰ	[1]披[5]屁
m	[1]寐[4]尾[5]媚
f	[1]灰{～心}非飞匪妃挥[4]槐淮[5]痱
t	[6]地
tʰ	[5]太{～多了}
n	[4]礼丽你李里裏理鲤勒□{些}[5]□{些}[6]例厉励荔锐利莉
ts	[2]池[3]紫子{五倍～}[6]自字寺昨贼[7]侧织
tsʰ	[3]踩[5]刺赐次看{～守}看{～见}
s[1]斯厮撕私师{～傅}司丝思诗嘶[3]死[5]四肆视饲[6]市食[7]楔塞色	
k	[7]角
kʰ	[3]凯楷[5]溉慨
x	[3]晓[4]核{果子～也，枣～儿}黑[6]学核{～桃，～心}
∅	[1]哀
#uai	
t	[1]猪[4]柱[6]箸驻住筷
n	[4]女[6]滤痢泪流{水～}
ts	[1]诛朱硃珠[3]阻煮主[5]蛀铸
tsʰ	[1]蛆初趋[3]取娶喘[5]苎处{相～，～理}处{～所，～～}暑趣
s	[1]梳疏蔬书舒鬚枢输荽衰[3]鼠数{～一～}[4]竖[5]庶数{～目}帅漱率{～领}数{频～}[6]树
k	[1]闺规龟归[3]诡轨鬼[5]鳜桂贵[6]跪柜
kʰ	[1]亏愧[5]刽
∅	[1]煨威好{～坏}媁[5]餵畏谓[6]外卫伪为{助也;～了，～什么}位未味胃
#ei	
p	[1]杯卑悲膘标鳔彪𧽤 [2]肤皮疲脾[3]表錶[5]闭箅[6]鐾[7]鳖匹
pʰ	[1]批坯飘漂{～浮}[4]秕[5]漂{～白}票漂{～亮}
m	[1]𡝠{伯母}[2]迷谜眉描瞄[3]美[4]米[5]妹昧[6]庙[7]密
f	[1]恢辉徽[2]回{～音}茴怀肥[3]悔毁翡[4]茴[5]贿晦汇绘彗废肺惠慧费讳彙[6]吠
t	[1]低堤刁貂雕剜鸟□{明天：那～}[2]提蹄啼迟[3]底抵屌[4]弟[5]帝蒂垂钓吊调{～和}掉调{音～，～动}滴[6]弟{徒～}第递碟
tʰ	[1]梯挑{～担}剔锑[3]体[4]帖贴铁[5]替涕剃屉跳
n	[2]泥{～土}犁黎离{～别}篱璃离{～开}尼呢梨厘狸撩[3]儡累{积～}□{动词，把脚翘起来}[4]了完[5]类[6]尿尿料廖[7]镊捏历□{收拾}
ts	[1]蕉椒□{女阴}[2]齐脐糍鹚祠侪[6]荠嚼[7]接节截
tsʰ	[1]妻锹悄[4]切[5]砌脆翠粹
s	[1]西栖犀兮消宵霄硝销萧箫[3]洗小少{不多也}[5]世势岁笑[6]少{幼～}
k	[1]鸡机[3]绞绕{～线}缴[6]轿□{笊篱：捞～}
x	[1]□{猪拱墙}[5]翘
#uei	
ts	[2]锄[5]最缀赘
s	[3]薯[5]税隧穗
kʰ	[1]盔[2]傀[4]魁癸逵葵[5]溃殨
∅	[1]微[2]桅围[3]委伟苇纬[4]危为{作～}维惟唯违[5]慰□{满月酒：洗～酒}
#au	
p	[1]□{哑～，哑巴}□{黑蜂：～□蜂}[5]鲍
pʰ	[4]□{招风耳：～耳朵皮}
m	[4]马码锚木目蚂
f	[6]服伏[7]福
t	[3]赌肚岛导陡[6]杜度渡镀独读毒
tʰ	[1]滔涛[3]土祷讨[4]陶萄[5]吐{呕～}兔盗
n	[2]□{倒}[3]鲁橹卤[4]□{黑蜂：□～蜂}[5]□{毛～虫}[6]路露{～出来}露鹭
ts	[1]租朝{～夕，今～}[3]祖组[5]造兆筑[6]拄逐[7]粥
tsʰ	[1]粗操{～作}操{节～}超[4]曹朝{～代}畜{～牲}[5]醋躁
s	[1]苏酥[4]韶[5]素绍[6]塑熟赎□{招魂：～魂}[7]术俗缩束□{热旧饭}
k	[7]稻穀谷
kʰ	[4]□{鸡～，鸡罩子}
x	[4]哭[5]去耗浩
∅	[3]袄[5]奥[7]屋
#iau	
m	[3]藐渺秒[5]妙
n	[4]疗辽
tʃ	[3]剿
k	[1]郊骄茭[3]狡搅矫饺
kʰ	[3]巧[4]侨
x	[5]酵效
∅	[1]邀幺□{恶心：～肚}[4]谣姚[5]耀[7]淹
#əu	
p	[1]煲[2]袍杷[3]簸{～箕}保堡宝[4]抱[5]诉报暴[6]孵菢
m	[1]茉[2]麻痲蟆矛毛[3]卯牡[4]谋[5]茂贸[6]冒帽貌
f	[2]俘浮{～肿}[3]否
t	[1]多刀[2]徒涂{姓}图桃逃淘□{拴}[5]倒{仆也，～塌}到倒{～悬，～水}鬥[6]道
tʰ	[1]拖拽[4]驮{～起}投託托[5]套
n	[1]唠[2]罗锣箩脶奴炉芦鸬劳牢痨[3]裸□{动词，逗小孩}[4]爷脑恼老落烙佬[5]辣瘰
ts	[1]楂渣遭糟抓召昭招{～手}[2]茶槽潮绸[3]早枣蚤澡[5]诈榨炸赵奏昼宙□{一束花}[6]灶就浑凿浊[7]作着{著，～凉。～衣。高～儿，支～儿；～点儿盐}桌捉□{舀汤：～汤}
tsʰ	[1]叉差{～别}抽[3]草丑醜[4]酬戳[5]杈岔汊糙
s	[1]莎沙纱骚臊筲杉㸺砂痧[3]耍玩嫂[5]扫{～地}扫{～帚}售[7]吸索{绳～}朔绳
k	[1]歌哥高膏{牙～}篙羔糕膏{～车}[3]稿镐[5]个告购[7]鸽蛤
kʰ	[1]磕[4]可{～怜}鞘{刀～}叩壳[5]倚靠犒
ŋ	[2]蛾鹅熬{～药，～夜，～煎}熬{〔火麀〕。～肉，～菜}颚[6]饿
x	[1]蒿薅[2]荷{～包蛋}豪壕毫 [4]何和{～气}好{～吃}合{十～一升}合{～作}活[5]好{喜～}[6]号盒[7]鹤
∅	[1]殴屙[3]哑[4]□{仰头：～头}[7]恶{厌～，可～}恶{～心}恶{善～}
#iəu	
p	[2]嫖
n	[1]溜馏[2]聊流{～口水}刘留榴硫琉瘤[3]踒纽扭钮柳[4]没[5]□{斗鸡眼：～眼}
