音標	調類	調值	
dɔ	1	22	他（新派lɔ，其～）車（新派lɔ）祂
dɔ	3	53	扯（新派lɔ）
dɔ	7	45	赤（白，新派lɔ）尺（白，新派lɔ）
dʊ	1	22	拖（新派lʊ）
dʊ	2	21	駝（新派lʊ）坨（新派lʊ，～吶：坨坨，蚊子包）鴕（新派lʊ）馱（新派lʊ，～肚：懷孕）
dʊ	3	53	妥（新派lʊ）椭（新派lʊ）
dʊ	6	44	舵（新派lʊ）惰（新派lʊ）垛（新派lʊ）
dʊ	5	213	唾（新派lʊ）
dʊ	7	45	託（新派lʊ）托（新派lʊ）鐸（新派lʊ）踱（新派lʊ）着（新派lʊ）綽（新派lʊ）焯（新派lʊ）
fa	1	22	翻藩翻番藩
fa	2	21	懷槐淮凡帆環煩礬繁藩
fa	3	53	反
fa	5	213	泛販
fa	6	44	壞犯飯
fa	7	45	法乏髮發伐筏罰
fi	1	22	虚嘘盔恢灰麾非飛（～拍吶：蛾子）妃揮輝徽
fi	2	21	回魁茴誰肥
fi	3	53	許悔毁水（泭～/划～：游泳）匪榧翡
fi	5	213	廢肺吠税疿費
fi	6	44	賄匯晦會繪惠慧穢睡瑞諱彙
fin	1	22	熏勳薰
fin	5	213	訓
fiɑŋ	1	22	兄（白）
fiəu	2	21	浮
fiəu	3	53	否
fiɛ	1	22	靴
fiɛ	2	21	玄懸
fiɛ	7	45	血穴或惑獲
fu	1	22	呼乎夫膚跗敷俘孵麩
fu	2	21	胡湖狐壺瓠鬍符扶芙泭（～水：游泳）□（或為「泭」，～水：游泳）
fu	3	53	虎滸府腑俯甫脯斧撫釜腐輔
fu	5	213	付賦傅赴訃附阜富副復戽
fu	6	44	户滬互護瓠父婦負
fu	7	45	斛福幅蝠複腹覆服伏栿袱復
fɑŋ	1	22	荒慌方芳
fɑŋ	2	21	黃簧皇蝗肪妨房防橫（白）
fɑŋ	3	53	謊晃倣紡仿彷訪
fɑŋ	5	213	放
fən	1	22	昏婚分芬紛葷轟揈風楓瘋豐封峯蜂鋒
fən	2	21	魂餛渾焚墳弘宏紅洪鴻虹（文，彩～）馮逢縫
fən	3	53	粉烘哄諷
fən	5	213	忿糞奮俸縫
fən	6	44	混憤份閧鳳奉
fɤ	1	22	歡
fɤ	2	21	桓
fɤ	5	213	唤
fɤ	6	44	緩焕幻患宦
fɤ	7	45	佛
fɔ	1	22	花
fɔ	2	21	華鏵划（～水：游泳）
fɔ	5	213	化
fɔ	6	44	畫話劃
fɔ	7	45	滑
i	1	22	伊醫衣依
i	2	21	移夷姨飴遺
i	3	53	伊（第三人稱兼遠指代詞，本字「渠」）渠（第三人稱兼遠指代詞）
i	5	213	意異億忆
i	7	45	揖乙一逸憶抑益亦譯液腋翼疫役
in	1	22	音陰因姻殷應鷹鶯鸚櫻英嬰纓雍癰庸擁
in	2	21	淫寅齦匀仍蠅盈螢榮營塋戎絨融茸容蓉
in	3	53	飲飲引隱允尹永泳詠穎冗甬勇湧
in	5	213	蔭印應泳詠
in	6	44	用
iɑŋ	1	22	央秧殃
iɑŋ	2	21	瓤穰羊洋（～油：煤油）烊楊陽揚瘍贏
iɑŋ	3	53	壤攘嚷養癢影
iɑŋ	5	213	映眏（～牛：放牛）
iɑŋ	6	44	樣
iəu	1	22	憂優悠幽
iəu	2	21	柔尤郵由油（洋～：煤油）游猶
iəu	3	53	有友酉莠
iəu	5	213	誘幼
iəu	6	44	右
iəu	7	45	郁育辱欲慾浴
iɛ	1	22	淹閹醃焉煙燕
iɛ	2	21	炎鹽閻簷鹽（～鴨蛋）顔延筵
iɛ	3	53	掩魘演
iɛ	5	213	厭雁燕嚥宴
iɛ	6	44	豔焰堰
iɛ	7	45	葉頁拽悦閲越
iɔ	2	21	牙爺
iɔ	3	53	野也
iɔ	5	213	亞
iɔ	6	44	夜（～呐：夜晚）
iʊ	1	22	妖邀腰要么吆
iʊ	2	21	肴饒搖謠窰姚堯
iʊ	3	53	擾舀杳
iʊ	5	213	要耀鷂
iʊ	7	45	約藥鑰躍嶽岳樂
ka	1	22	該皆階街間（白）
ka	3	53	改解減襇揀
ka	5	213	概溉蓋丐介界芥尬疥屆戒械間
ka	7	45	夾裌甲胛
kɑu	1	22	高膏篙羔糕交
kɑu	3	53	稿搞（本字攪）
kɑu	5	213	告膏教酵窖覺（白）
ku	1	22	箍姑孤估
ku	3	53	古牯股鼓
ku	5	213	故固錮雇顧
ku	7	45	穀谷
kua	1	22	乖關
kua	3	53	拐
kua	5	213	怪慣
kua	7	45	括聒刮
kui	1	22	居車拘駒圭閨規追龜歸（～來：回來）鮭
kui	3	53	舉詭軌癸鬼
kui	5	213	據句綴鱖桂貴劇劇
kui	7	45	橘
kuin	1	22	均鈞君軍
kuin	3	53	窘菌
kuɑŋ	1	22	光（天～：天亮）胱
kuən	3	53	滾
kuən	5	213	棍
