#参考资料 《安康牛蹄乡赣语方言岛同音字汇》
#调值 [1]阴平22 [2]阳平24 [3]上55 [5]阴去31 [6]阳去33 [7]入214
#ɿ
ts [1]资姿咨滋兹 [3]紫姊子梓滓
tsʰ [1]雌 [2]瓷糍慈磁辞词祠差{参～}嗣饲 [3]次此 [5]伺侍 [6]自刺赐巳字字
s [1]私斯厮撕司{～机}丝师狮 [3]死 [5]四肆 [6]似祀思寺仕士俟事
#ʅ
tʂ [1]知支枝肢栀之芝只 [2]置滞只 [3]纸脂旨指止趾址雉 [5]智翅致稚至痔治{～病}志痣制誌製蛰{惊~} [7]蜘汁执质值植织职殖
tʂʰ [1]痴眵嗤{～笑}□{踩到} [2]持池驰侈迟 [3]耻齿斥始 [6]治{政～}蛭直 [5]恃秩 [7]赤尺
ʂ [1]尸屍诗 [2]施{措～}时匙识 [3]矢屎使史驶施{～舍} [5]示视嗜市试世势誓逝式{～样}饰 [6]是氏豉柿什{～物}十实食蚀式{样～}石 [7]湿拾失室适释
ʐ  [7]日
#ʯ
tʂ [1]猪诸车{～马炮}居诛蛛殊株朱珠殊拘驹俱 [2]褚聚桔 [3]煮主举 [5]著据锯巨拒距注蛀矩句具惧骤剧 [6]註驻铸距 [7]局菊掬橘
tʂʰ [1]趋枢区驱 [2]除储渠厨瞿[3]杵处拄 [5]趣 [6]柱住曲麴屈 [7]出
ɳ [3]女
ʂ [1]书舒墟输虚嘘须{～需} [3]暑鼠黍薯署许 [5]序叙绪庶恕续述 [6]竖树术
Ø [1]迂虞欲懲 [2]如愚裕鱼渔余馀儒于淤盂榆逾愉浴与{给～} [3] 吕汝语乳雨擂宇禹羽芋 [5]慰 [6]域郁御禦誉预豫遇寓愈芋喻 [7]玉狱育
#i
p [1]屄 [2]滗{～米汤} [3]被{～迫}彼比 [5]鄙蔽敝弊幣斃闭备弼 [6]臂 [7]陛笔毕必壁碧逼
pʰ [1]批 [2]皮疲脾琵枇匹 [3]庇丕避譬僻闢劈 [5]屁 [6]箅痹鼻篦
m [1]眯{小：～～眼} [2]迷糜弥眉楣泌秘 [3]米 [6]谜 [7]密蜜
t [1]低啼 [3]底抵 [7]的{目～}嫡滴敌狄籴
tʰ [1]梯剔{～柴} [2]堤题提蹄 [3]体 [5]帝剔{～头}替涕屉 [6]笛弟递第地 [7]踢
ȵ [2]泥尼倪宜疑凝逆谊拟 [6]腻义议
l [2]犁黎离{～别}篱璃梨厘狸粒栗力驴 [3]礼履李里裏理鲤旅虑滤 [6]例厉励丽隶利痢吏 [7] 荔离{～开}立笠历力律率
tɕ [1]鸡稽饥肌基机讥 [3]挤几己纪杞 [5]祭际剂计继系{～鞋带}髻寄技妓冀记忌即既鲫季给{供～}藉 [6]济辑{编～} [7]戟极积击激籍藉跡脊吉寂绩际{实～}集疾急级及
tɕʰ [1]妻欺蛆期 [2]膝齐脐奇骑歧祁鳍其棋旗缉徐 [3]启荠起取娶 [5]岂砌企契{～约}器弃气汽泣讫去 [6]黢 [7]七漆戚吃
ɕ [1]西棲犀溪吴牺熙希稀须{胡～} [3]洗玺徙嬉喜袭 [5]细婿戏恤僖系{～统} [6]襦絮蓄昔席 [7]戌习吸悉畜{～牧}析锡息熄媳惜夕
Ø [1]医衣依伊 [2]遗仪移夷姨沂翼亦译疫役 [3] 倚椅矣已以 [5]艺刈易{交～}瞖易意肄异毅揖{作～}忆亿抑 [7]缢乙逸益
#u
p [3]补 [5]布怖 [7]不
