#<字彙音,/前爲字彙音，/後爲縣志音
#拼音	漢字
zz1	之兹卮吱呲咨嗞姕姿孖孜孳巵恣搘嵫支枝梔椔榰氏汥淄滋甾漬玆兹眥眦知祗禔粢緇缁肢胔胾脂芝茲菑蜘觜訾諮咨貲資趑趦輜錙鎡髭鯔鼒齍齜㞢㠿㲍㿳䝷䟗𠀢𡙛𢙊𤂇𤰭𥝮𦙆𧹛𪑿𪗋
zz2	吱{～咕～咕}
zz3	仔只咫址坁姊子徵峙帋恉指旨枳栺梓榟止沚洔滓漬畤疻砥祇秄祉秭笫籽紙紫耔芓芷茈訾趾軹酯阯黹㣥㫑㫖㲛㴯䅩𠂔𡱔𣥉𣲵𣸆
zz5	剚字=寺幟寘彘徝志忮恣懥懫摯智治洷淛滯牸狾疐痔=痣知稚稺置翅-自至緻致製制觶誌識質{人～}贄躓輊這鋕雉鷙㚄㡶㨖㴛䇽䓌䘭𠊷𡜍𢂴𢙺𢷟𣄮𣉻𤾞𧩴
cz1	嗤媸字-{硬幣有字的一面}差泚玼疵痴癡眵竾笞筂篪絺蚩彲螭跐*雌魑鴟黐㛓𠈴𡥎𣘜𣣷𤶢𥉍𧠎
cz2	値匙坻墀徥慈持柌池治{～魚}濨瓷磁礠祠稺竾箈箎箷篪糍茈茌茨詞豉趍踟踶辞辤辭遅遲餈粢{餈}馳弛鶿鹚㓾䜴𢔊𣸗𣹡
cz3	佌侈峙庀恥耻此泚茝豸跐歯齒䊼𡗼𢓗𣦗
cz5	偫佽刺廁厠喫<庛啻懘朿栨次洩滍滯璏痓稺穉翅莿褫賜雉㰷䆈痔-疵
sz1	絲事-偲俬司嘶尸屍市-師厮廝思撕斯施是-楒泀湤溮燍獅禗禠私箷篩絲緦罳蓍蕬螄詩邿釃鍶颸鰤鳲鷥飼+侈+㴲㺇㺨𠷇𢠹𤜳𥯨𧜂
sz2	塒時榯漦蒔鰣𨸝弛-{下陷：地基不牢，房子往下～}
sz3	使史始屎死矢駛𣦸𣦹𣧇𥏳𦳊
sz5	世事=亖仕伺似佴侈+侍俟兕勢卋哆嗜嗣噬四士姒寺屎峙巳市=鈰弒弛怬恀恃是=柿氏汜泗泤洍涘澨牭眂眎矢示祀禩竢笥笶筮耜肆舐舓蒔視試誓諟諡謚豉豕貰逝食飤飼+駟㒾㭒㹝䜴𠀍𠁱𠦜𡱢𢃰𢻃𣻞𤜣𥘰𥫴𦧇𦧧𩢲
bi1	屄𣬼𡚦
bi3	佊啚匕妣彼比沘鄙毗㠲𠀤𠴿𡚧
bi5	匕媲鄙嬖庇柲毖毙泌狴畀祕秘笓篦蓖+芘詖費髲䀣䇫𢅩𢌿𣴪𤹦
pi1	仳坏坯娝怶批披抷砒磇笓紕翍邳鈹錍㓟𠜱𠞇𡲮𢱧𢾱𦊁𧪫
pi2	啤丕埤枇枈毗毘琵疲皮粃羆脾蚍裨貔鈚𢓖𣓋𤧰
pi3	伾俾痹否噽嚭圮狴痞丕邳妣+胚脾裨駓䠋䯗𡉏𢔌𢛞𢻹
pi5	屁譬辟𠱢𥥓𥧔
mi1	昧-眯-瞇咪謎-渳-
mi3	米+
di1	仾低奃磾𠽰𩑾
di3	底弤抵柢氐牴砥觝詆邸㡳㭽䩚𢇝
di5	地=坔娣帝弟=悌慸棣楴泜渧滓睇禘第締苐蒂蔕螮蠆諦跇踅㦅䠠𦯔𦷾𧍝
ti1	梯地-弟-
ti2	啼嗁埞堤姼惿提稊綈緹蹄隄題鯷騠鵜鶗𣹲𧙣𩤢
ti3	涕躰軆醍体{體}體𡥩
ti5	剃嚏屉屜弟悌揥替楴洟涕薙褅逓遞鬀㔸䶑𡲕𧝆𧝐
ni2	倪呢坭埿堄妮婗尼屔怩柅泥淣猊鈮輗郳霓鯢麑㞾䘽𡌰𢛜𨋗
