#符号说明：-白=文/书*俗?待考			
聲母	韻母	聲調	字元
	ɑ	平聲11	家{村名帶“家”者大多讀爲[ɑ¹¹]}
	ɑ	去聲45	下{底~}
p	ɑ	平聲11	巴疤爬{~起來}粑{~餅}笆叭
p	ɑ	上聲53	把{~握，一~}㞎
p	ɑ	去聲45	霸欛壩垻爸耙{~地}罷把{刀~，木~}□{~叉：成×形}
pˣ	ɑ	平聲11	爬{~挲}琶趴耙{~子}
pˣ	ɑ	去聲45	怕
m	ɑ	平聲11	麻蟆媽痳□{~虎、~虎子：狼}
m	ɑ	上聲53	馬碼螞{~蚍蜉：螞蟻}
m	ɑ	去聲45	罵螞{~蚱}
v	ɑ	平聲11	蛙{~泳}挖娃哇{哭得~~底}窪
v	ɑ	上聲53	瓦挖{~米，~面}窊{~流}
v	ɑ	去聲45	窪凹哇{助詞，相當於北京話的“吧”：咱們走~！}
t	ɑ	平聲11	爹{~~：父親}跶{蹦~}
t	ɑ	上聲53	打
t	ɑ	去聲45	大□{歎詞，突然大喝一聲，使人注意}
tˣ	ɑ	平聲11	他她它
n	ɑ	平聲11	拿
n	ɑ	上聲53	哪
n	ɑ	去聲45	那娜{女孩兒名}
l	ɑ	平聲11	拉剌{~了個口子}
l	ɑ	上聲53	喇
l	ɑ	去聲45	落{~下}
ts	ɑ	平聲11	查渣{山~}碴{灰~}吒
ts	ɑ	上聲53	拃咱咋{~底：怎麼}□{用拳頭蘸水壓麵使其變軟}□{踏：~在桌子上}
ts	ɑ	去聲45	榨炸{~彈}栅奓痄{~腮：腮腺炎}乍詐
tsʰ	ɑ	平聲11	茶搽查{調~}叉{~車}杈茬碴差{~錯，~別}
tsʰ	ɑ	上聲53	叉搽衩
tsʰ	ɑ	去聲45	差岔杈
s	ɑ	平聲11	沙紗砂霎{一~~：一眨眼的功夫}
s	ɑ	上聲53	灑傻
s	ɑ	去聲45	沙{挑揀}
k	ɑ	平聲11	嘎
kˣ	ɑ	平聲11	哢
kˣ	ɑ	上聲53	卡{~手：限制或控制：錢太少，花起來~手}
x	ɑ	平聲11	哈{~一口氣}
x	ɑ	去聲45	下-{~地，~旗，~雨，~雪，~頭，底~，~巴頦，~元}夏
ɣ	ɑ	平聲11	阿腌{~髒}
ɣ	ɑ	上聲53	俺
p	ɒ̃	平聲11	幫邦梆
p	ɒ̃	上聲53	榜綁膀{肩~}
p	ɒ̃	去聲45	棒磅榜謗膀蚌
pˣ	ɒ̃	平聲11	旁螃肨{~眉腫眼}龐滂膀{~胱}
pˣ	ɒ̃	去聲45	肨胖
m	ɒ̃	平聲11	忙芒茫盲氓
m	ɒ̃	上聲53	莽蟒
f	ɒ̃	平聲11	方肪芳妨房防坊
f	ɒ̃	上聲53	倣紡仿彷
f	ɒ̃	去聲45	放
v	ɒ̃	平聲11	汪亡王枉
v	ɒ̃	上聲53	網往枉妄
v	ɒ̃	去聲45	忘望旺
t	ɒ̃	平聲11	當{應~，~中}襠鐺堂{土~}
t	ɒ̃	上聲53	黨擋檔
t	ɒ̃	去聲45	當{上~，~鋪}蕩宕
tˣ	ɒ̃	平聲11	湯堂棠唐糖塘膛螳
tˣ	ɒ̃	上聲53	躺倘淌
tˣ	ɒ̃	去聲45	燙趟
n	ɒ̃	平聲11	囊囔
n	ɒ̃	上聲53	攮{~子：短而尖的刀}
n	ɒ̃	去聲45	曩
