#备注：江宁方言语音研究 聂平  	
#调值	[1]³¹ [2]²⁴ [3]²¹² [4]⁴⁴ [5]⁵
#ɿ	
ts	[1]资姿咨兹滋龇缁之支只芝枝织知栀蜘撕-[3]子紫籽仔姊止址趾旨指脂纸[5]字自至致制智志痔痣治雉稚
tsʰ	[1]疵差痴嗤[2]雌词祠慈磁瓷糍辞迟池驰匙持[3]此呲耻齿[5]次刺赐翅啻
s	[1]私师狮蛳斯撕=司丝思饲施[2]时鲥□{~：形容人很拽}[3]死史驶使始屎豕[5]士仕柿事四肆寺似祀视是试恃世势示誓逝氏市式嗜
	
#iᶽ	
p	[3]比彼鄙[5]闭敝蔽弊篦币毙避秘泌
pʰ	[1]批披坯[2]皮疲脾痹[3]痞□{动词，用大力掰}[5]屁庇
m	[1]眯咪[2]迷谜弥猕靡糜[3]米
l	[2]离尼泥梨犁黎篱璃厘狸驴[3]你礼李里理鲤[5]例腻厉励丽隶痢吏荔
tɕ	[1]基机讥饥矶鸡低挤{~：动词，用手挤}[3]几己姐抵底挤{~：①形容词，拥挤②动词，用身体挤}[5]祭际济剂计记纪技继寄借忌季妓冀系帝地弟第递
tɕʰ	[1]妻凄蛆期欺梯[2]齐脐荠奇骑棋麒岐祁鳍提题啼蹄堤[3]起启企岂体[5]砌契器气汽弃替屉涕剃
ɕ	[1]西栖牺犀希稀溪嬉熙[2]邪斜[3]洗喜些写[5]细系戏
Ø	[1]伊衣依[2]移夷姨疑遗饴仪谊宜沂爷[3]野椅已以[5]意艺意议刈易夜

#i	
k	[3]给-[5]这-
kʰ	[5]去-

#u̜	
p	[3]补波玻播簸菠[5]布步部簿怖埠
pʰ	[1]铺坡[2]蒲菩婆[3]谱捕普甫浦哺[5]铺破剖
m	[1]摸[2]磨摩魔摸摹谋[3]某母亩牡[5]磨幕暮慕墓募
f	[1]夫肤敷麸[2]扶浮符芙[3]府俯斧腐辅[5]付附父富妇负赋赴讣孵
t	[1]都[3]睹赌堵肚[5]杜肚度渡镀妒
tʰ	[2]图徒途涂屠[3]土吐[5]吐兔
l	[2]奴努卢炉芦庐[3]鲁橹卤[5]路怒露赂鹭
k	[1]孤姑辜箍[3]古估股鼓[5]顾故固雇过
kʰ	[1]枯[3]苦[5]库裤
x	[1]呼[2]胡湖糊葫胡壶[3]虎浒[5]户护互沪
Ø	[1]乌污坞巫诬[2]无吴梧蜈[3]吾五伍午武舞[5]饿误悟务雾

#yᶽ	
tɕ	[1]租朱诸猪珠株硃居[3]祖组阻主煮举咀沮[5]助注著注拄蛀铸句聚剧俱具巨拒距锯炬
tɕʰ	[1]粗初区[2]锄雏除徐-厨储殊[3]楚础鼠暑处杵褚取娶[5]醋处去=
ɕ	[1]苏酥书输舒枢需虚嘘须[2]徐=[3]数许[5]诉数漱塑素蔬树竖庶恕戍续婿
Ø	[1]迂[2]于鱼渔余娱如[3]语与雨羽宇乳儒汝[5]遇玉预狱

#ᴀ	
p	[1]巴疤芭笆粑{~~：面饼、饼干}[3]把{①给②介词}[5]罢爸坝霸把{~子：把手}□{~~意：故意}
pʰ	[1]趴扒啪[2]爬[5]怕
m	[1]妈[2]麻[3]马码[5]骂
t	[3]打[5]大
tʰ	[1]他她它
l	[1]拉啦[2]拿[3]哪[5]那纳
ts	[1]渣楂喳张-{动词}[5]乍诈榨炸
tsʰ	[1]叉差[2]茶搽查茬察昨[5]岔杈
s	[1]沙纱杀{动词，用刀划开}[3]洒傻撒[5]煞{~厌：小孩调皮}散{杂乱无章地跑}
k	[1]家-夹{~~：小孩的护衣}[2]□{喝~：小孩语，茶水}[5]嫁-架-
kʰ	[1]掐-{~颈子：勒住脖子}[3]卡
x	[1]哈□{~人：挠别人痒痒}[2]蛤[3]坏-[5]下-
ŋ	[1]啊阿丫押桠[2]伢{小~：小孩}衙-[3]哑[5]轧

#iᴀ	
t	[1]爹-[3]嗲
tɕ	[1]家=佳加嘉痂[3]假贾[5]架=假嫁=驾价借-
tɕʰ	[1]掐=
ɕ	[1]虾[2]霞瑕遐暇[5]夏厦下=
Ø	[1]鸦爷{~：爷爷}[2]牙芽衙=崖涯爷{~~：爷爷}[3]雅[5]亚

#uᴀ	
tʂ	[1]抓[3]爪=
tʂʰ	[3]耍
k	[1]瓜[3]寡剐[5]卦褂挂
kʰ	[1]夸[3]垮侉[5]跨
x	[1]花哗[2]华划[5]画化话
Ø	[1]蛙[2]娃[3]瓦挖{动词，用器物挑、舀}[3]洼凹

#ɛ	
p	[1]掰={~污：折腾}[3]摆[5]拜败稗
pʰ	[2]牌排[5]派
m	[2]埋[3]买[5]卖迈
t	[1]呆[3]逮歹{①坏②非常，如：~好}[5]待怠代贷袋带戴殆
tʰ	[1]胎[2]台抬苔[5]太态泰
l	[2]来[3]乃奶裂-[5]赖耐奈
ts	[1]灾栽斋[2]宅[3]宰载[5]再寨在债
