#符号说明	-白=文?待考																									
#调值	［1］⁵⁵［2］²⁴［3］²¹［5］²¹³［6］³³																									
#ɿ																										
tɕ	［1］基机鸡支枝{一～山：一座山}知蜘栀肩坚箕{粪～}□{石～树}□{茅狼～：一种茅草}□{嘴～皮儿：嘴唇}□{山～水：山涧水}［2］渠{第三人称单数}□{～tse˨˦～tse˨˦～：指两人发生口角}［3］杞{枸～苗儿}己止址纸几茶展麂趼峙{～滩：地名}［5］记纪{年～}志至{夏～}痣制计季继系{～鞋带儿}智战建见占{～卦}执汁急级质吉□{扁担～儿：扁担两头固定绳子的钉子或短木棒}																									
tɕʰ	［1］欺痴{憨，木讷}牵［2］其期棋旗祠{～堂}迟奇骑池钳{老虎～儿}乾{乱搞～坤：形容胡来}［3］起齿耻启［5］气汽去契器□{～树：一种植物}［6］徛{站立}及件侄{～～郎laŋ˧：侄子}																									
ɕ	［1］稀希尸诗□{发～：一种游戏，北京话叫手心手背}□{～辣：形容很辣}［2］时匙{锁～}嫌贤□{抽～儿：抽屉}舷{床～下儿：床沿}［3］喜屎始险显［5］世戏玩耍扇湿［6］试市是氏誓{发～}势{有钱有～}十什{～锦菜}善现{～在；形容食物不新鲜}实□{开头发～：起先，开始}																									
∅	［1］衣依医［2］姨疑［3］以［5］意揖{打拱作～}一乙［6］易{容～；姓}																									
#u																										
p	［5］补［6］布{扯～：买布}																									
pʰ	［1］铺{～床}［2］蒲{莒～}菩{～萨}□{～篮儿：一种圆形或椭圆形竹器}□{～sɚ˥ 儿：荸荠}□{～记风：一种毒蛇}［3］谱{族～}普［5］铺{～板：搭床铺用的木板}［6］部簿{人情～儿：登记送礼人的姓名、礼金多少的簿子}步孵?{～小鸡}扑?{～火虫：灯蛾}伏{～倒睏：趴着睡}																									
m	［3］母{儿多～苦}□{tsai˨˩˧～：立即，马上}□{～一看：想想看}［2］模{发～：旧时进私垫启蒙}［6］墓{～门石：墓碑}木目穆□{～秧：插秧结束时把多余的秧成束插下去保存起来以便以后补苗}																									
f	［1］呼{～龙：下葬时说一些吉样话}夫{～子}□{～跑个：很快地跑}［2］湖=胡壶扶符和{（打麻将）和了}蝴{～蝶儿}［3］虎府腐{～竹}抚{～州}［5］戽付傅富副幅福蝠{蝙～}复［6］户互护父{～母}妇负斛{禾～：脱粒用具}伏={三～}服腐{豆～}																									
k	［1］姑［2］□{拟声词，～ləu˨˦一下闪了下腰}［3］古{翻～儿：讲故事}股{翻～儿：翻绳子，一种游戏}鼓估{～子儿：一种游戏，猜手里的小石子儿的数目}牯{水～：公水牛}□{发～：极其生气}［5］故顾雇谷																									
kʰ	［1］箍{打～：用竹篾捆紧圆形器具，是一种职业}枯{麻～：芝麻榨油后剩下的渣滓}［2］跍{蹲}葫{～芦儿}□{哮～loɚ：哮喘}［3］苦［5］库裤哭［6］□{～起～倒：形容菜做得不清爽或衣服穿得不利索}																									
∅	［1］乌［2］吴狐{～狸：黄鼠狼}无湖{洋～：地名}糊{糨～}［3］五伍午武舞坞{～里：指两山之间；～laŋ˨˦ 头：两山之间最深处；渡家～：地名}［5］屋恶{可～}［6］误雾戊核{害洋～子儿：得了腹股沟淋巴肿大}握{把～}□{被～：被子}																									
#y																										
tɕ	［1］猪诸{～葛亮}居车{～马炮}槠{苦～树}株{～树}朱珠追{～人：蜂叮人}苣{莴～}□{促～儿：螺蟀}［3］煮举主矩{规～}［5］据锯注句橘{金～}																									
tɕʰ	［1］区吹［2］鼠{老～}除褚{姓}殊{特～}捶{～背}锤{铁～儿}槌{芒～：洗衣服时捶打衣服的工具}葵{～花}□{打～：与肩齐高的木棍，挑担时放在另一肩膀上用来分担重量，中途歇息时可用来支撑扁担}［3］鼠{属～个}拄{～棍儿：拐杖}［5］处{～暑}出［6］苧住□{～钱：赚钱}箸{火～儿：火筷子}□{手～儿：胳膊肘}																									
ɕ	［1］书舒虚输{～赢}［2］薯［3］暑许水［5］税［6］竖树瑞																									
∅	［1］迂{形容想问题时与事情本身毫无关联，南辕北辙}［2］如鱼渔余围{～裙儿}蜈{～蚣虫}［3］女语雨［5］喂{～饭}熨{～贴：形容井井有条}［6］芋玉																									
#a																										
p	［1］爸□{～淡：味道很淡；～酸：形容咸菜的酸；～苦：味道很苦}［2］□{～脚：走路姿态不正，与常人不同}［3］摆［5］拜百柏佰																									
