聲	呼	等	韻	調	組	攝	單字	多音	罕度	檢	原註	聲母	韻母	聲調	次 聲母	次 韻母	次 聲調	新註	分韻(1782)	英華(1856)	分部(1914)	道漢(1939)	穗書	穗習				
匣	開	一	東	平	影	通	鴻	0	1	0		h	ʊŋ	51					hung4	hung4	hung4	-	hung4					
影	開	一	東	平	影	通	翁	0	0	0		j	ʊŋ	55					jung1	jung1	jung1	jung1	jung1					
影	開	一	東	平	影	通	蓊	0	2	0		j	ʊŋ	213					-	-	-	jung1	jung2					
云	開	三	東	平	影	通	雄	0	0	0		h	ʊŋ	51					hung4	hung4	hung4	hung4	hung4					
云	開	三	東	平	影	通	熊	0	0	0		h	ʊŋ	51					hung4	hung4	hung4	hung4	hung4					
以	開	三	東	平	以	通	融	0	0	0		j	ʊŋ	51					jung4	jung4	-	jung4	jung4					
幫	合	三	東	平	幫	通	楓	0	1	0		h	ʊŋ	55					fung1	fung1	fung1	fung1	fung1					
幫	合	三	東	平	幫	通	風	0	0	0		h	ʊŋ	55					fung1	fung1	fung1	fung1	fung1					
並	開	一	東	平	幫	通	蓬	0	0	0		pʰ	ʊŋ	51					pung4	pung4	pung4	pung4	pung4					
並	開	一	東	平	幫	通	篷	0	1	0		pʰ	ʊŋ	51					pung4	pung4	pung4	pung4	pung4					
並	開	一	東	平	幫	通	蜂	0	0	0		h	ʊŋ	55					fung1	fung1	fung1	fung1	fung1					
並	合	三	東	平	幫	通	梵	0	2	0		f	an	51					faan6	faan6	faan6	faan4	faan6	faan4				
並	合	三	東	平	幫	通	馮	1	1	0		h	ʊŋ	51				姓馮	fung4	fung4	fung4	fung4	fung4					
並	開	三	蒸	平	幫	曾	馮	1	1	0		pʰ	ɐŋ	51				暴虎馮河		pang4			pang4					
明	開	一	東	平	幫	通	矇	0	0	0		m	ʊŋ	55					mung4	-	mung4	mung4	mung4					
明	開	一	東	平	幫	通	濛	0	0	0		m	ʊŋ	51					mung4	mung4	mung4	mung4	mung4					
明	開	一	東	平	幫	通	朦	0	1	0		m	ʊŋ	51					mung4	mung4	mung4	mung4	mung4					
明	開	一	東	平	幫	通	檬	0	1	0		m	ʊŋ	55					-	mung4	-	mung1	mung1					
明	開	一	東	平	幫	通	蒙	0	0	0		m	ʊŋ	51					mung4	mung4	mung4	mung4	mung4					
明	合	三	東	平	幫	通	夢	0	0	0		m	ʊŋ	33					mung1	mung6	mung6	mung6	mung6					
滂	合	三	東	平	幫	通	豐	0	0	0		h	ʊŋ	55					fung1	fung1	fung1	fung1	fung1					
群	開	三	東	平	見	通	窮	0	0	0		kʰ	ʊŋ	51					kung4	kung4	kung4	kung4	kung4					
端	開	一	東	上	端	通	董	0	0	0		t	ʊŋ	213					dung2	dung2	dung2	dung2	dung2					
透	開	一	東	上	端	通	桶	0	0	0		tʰ	ʊŋ	213					tung2	tung2	tung2	tung2	tung2					
定	開	一	東	上	端	通	動	0	0	0		t	ʊŋ	33					dung6	dung6	dung6	dung6	dung6					
來	開	一	東	上	來	通	攏	0	0	0		l	ʊŋ	213					lung4	lung4	-	lung5	lung5					
精	開	一	東	上	精	通	總	0	0	0		ts	ʊŋ	213					zung2	zung2	zung2	zung2	zung2					
溪	開	一	東	上	見	通	孔	0	0	0		kʰ	ʊŋ	213					hung2	hung2	kung2	hung2	hung2					
幫	開	一	東	上	幫	通	俸	0	2	0		h	ʊŋ	213					fung2	fung2	fung2	fung2	fung2					
明	開	一	東	上	幫	通	懵	0	2	0		m	ʊŋ	213					mung1	mung1	mung2	mung2	mung5	mung2				
端	開	一	東	去	端	通	棟	0	0	0		t	ʊŋ	33					dung3	dung3	dung3	dung2	dung3	dung6				
透	開	一	東	去	端	通	痛	0	0	0		tʰ	ʊŋ	33					tung3	tung3	tung3	tung3	tung3					
來	開	一	東	去	來	通	弄	0	0	0		l	ʊŋ	33					lung6	lung6	lung6	lung6	lung6					
精	開	一	東	去	精	通	粽	0	2	0		ts	ʊŋ	33					zung2	zung2	zung2	zung1	zung3	zung2				
心	開	一	東	去	精	通	送	0	0	0		s	ʊŋ	33					sung3	sung3	sung3	sung3	sung3					
澄	開	三	東	去	知	通	仲	0	1	0		ts	ʊŋ	33					zhung6	zhung6	zung6	zung6	zung6					
昌	開	三	東	去	章	通	銃	0	2	0		tsʰ	ʊŋ	33					chung3	chung3	cung3	cung1	cung3					
見	開	一	東	去	見	通	貢	0	0	0		k	ʊŋ	33					gung3	gung3	gung3	gung3	gung3					
匣	開	一	東	去	影	通	哄	1	0	0		h	ʊŋ	33					hung3	hung3	hung3	hung3,hung6	hung6	hung3				
							哄	1	0	0													hung6	hung1				
影	開	一	東	去	影	通	甕	0	1	0			ʊŋ	33					ung3	ung3	jung3	jung3	ung3					
幫	合	三	東	去	幫	通	諷	0	0	0		h	ʊŋ	33					fung2	fung2	fung3	fung3	fung3	fung2				
並	合	三	東	去	幫	通	鳳	0	0	0		h	ʊŋ	33					fung6	fung6	fung6	fung6	fung6					
端	開	一	東	入	端	通	啄	0	0	0		t	œk	3					doek1	doek3	doek3	doek3	doek3					
端	開	一	東	入	端	通	竺	0	2	0		ts	ʊk	5					zhuk1	zhuk1	zuk1	zuk1	zuk1					
透	開	一	東	入	端	通	禿	0	0	0		tʰ	ʊk	5					tuk1	-	tuk1	-	tuk1					
定	開	一	東	入	端	通	犢	0	2	0		t	ʊk	3					duk6	duk6	duk6	duk6	duk6					
定	開	一	東	入	端	通	獨	0	0	0		t	ʊk	3					duk6	duk6	duk6	duk6	duk6					
定	開	一	東	入	端	通	瀆	0	2	0		t	ʊk	3					duk6	duk6	duk6	duk6	duk6					
定	開	一	東	入	端	通	讀	1	0	0		t	ʊk	3				朗讀	duk6	duk6	duk6	duk6	duk6					
定	開	一	侯	去	端	流	讀	1	0	0		t	ɐu	3				句讀		dau6			dau6					
來	開	一	東	入	來	通	麓	0	2	0		l	ʊk	5					luk1	luk6	luk1	luk1	luk1					
來	開	一	東	入	來	通	鹿	0	0	0		l	ʊk	3					luk6	luk6	luk6	luk6	luk6					
來	開	一	東	入	來	通	漉	0	2	0		l	ʊk	5					luk1	luk6	luk1	luk6	luk1					
來	開	一	東	入	來	通	碌	0	0	0		l	ʊk	5					luk1	luk1	luk1	luk1	luk1					
來	開	一	東	入	來	通	角	0	0	0		k	ɔk	3					gok1	gok3	gok3	gok3	gok3					
來	開	一	東	入	來	通	祿	0	2	0		l	ʊk	3					luk6	luk4	luk6	-	luk6					
來	開	三	東	入	來	通	陸	0	0	0		l	ʊk	3					luk6	-	luk6	luk6	luk6					
來	開	三	東	入	來	通	六	0	0	0		l	ʊk	3					luk6	luk6	-	luk6	luk6					
精	開	三	東	入	精	通	蹙	0	2	0		tsʰ	ʊk	5					cuk1	cuk1	-	cuk1	cuk1					
清	開	一	東	入	精	通	簇	0	1	0		tsʰ	ʊk	5					-	zuk6	-	zuk6	cuk1					
清	開	三	東	入	精	通	蹴	0	2	0		tsʰ	ʊk	5					cuk1	cuk1	cuk1	cuk1	cuk1					
從	開	一	東	入	精	通	族	0	0	0		ts	ʊk	3					zuk6	zuk6	zuk6	zuk6	zuk6					
從	開	一	東	入	精	通	鑿	0	1	0		ts	ɔk	3					zok6	zok6	zok6	zok6	zok6					
心	開	一	東	入	精	通	速	0	0	0		tsʰ	ʊk	5					cuk1	cuk1	cuk1	cuk1	cuk1					
心	開	三	東	入	精	通	肅	0	0	0		s	ʊk	5					suk1	siu3	suk1	suk1	suk1					
心	開	三	東	入	精	通	夙	0	2	0		s	ʊk	5					suk1	suk1	suk1	suk1	suk1					
知	開	三	東	入	知	通	竹	0	0	0		ts	ʊk	5					zhuk1	zhuk1	zuk1	zuk1	zuk1					
知	開	三	東	入	知	通	築	0	0	0		ts	ʊk	5					zhuk1	zhuk1	zuk1	zuk1	zuk1					
澄	開	三	東	入	知	通	逐	0	0	0		ts	ʊk	3					zhuk6	zhuk6	zuk6	zuk6	zuk6					
澄	開	三	東	入	知	通	軸	0	1	0		ts	ʊk	3					zhuk6	zhuk6	zuk6	zuk6	zuk6					
